@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute destClass {1,3,2}

@data
26,8,25,55,66,15,4,18,55,19,17,5,68,5,68,16,24,47,68,10,13,17,77,8,77,7,60,43,24,15,13,68,11,68,26,17,77,6,26,10,13,17,5,17,1.0
25,10,22,57,63,17,5,20,58,20,19,6,70,6,66,17,23,51,66,13,12,19,75,10,75,8,58,46,23,18,12,69,12,70,24,19,75,7,24,14,12,19,6,19,3.0
7,6,6,83,77,10,1,6,84,6,11,1,88,4,78,11,6,82,78,10,2,11,83,6,83,5,74,79,6,11,2,87,2,88,6,11,83,5,6,10,2,11,1,11,1.0
25,9,22,57,61,18,5,19,57,19,19,6,69,4,65,16,24,50,65,13,13,19,75,9,75,8,56,46,24,18,13,69,12,69,25,19,75,5,25,13,13,19,6,19,3.0
11,7,10,76,72,12,2,9,77,9,13,2,84,4,75,13,10,75,75,11,3,13,81,7,81,6,69,69,10,13,3,83,3,84,10,13,81,4,10,11,3,13,2,13,2.0
24,6,22,59,74,11,6,22,60,22,12,7,71,3,76,11,23,54,76,10,12,12,82,6,82,5,71,49,23,12,12,70,12,71,23,12,82,4,23,10,12,12,7,12,1.0
3,5,2,89,80,8,0,2,90,2,9,0,92,3,81,9,2,89,81,8,0,9,85,5,85,4,78,87,2,9,0,91,0,92,2,9,85,4,2,8,0,9,0,9,1.0
7,6,6,83,74,11,1,5,84,5,12,1,88,4,76,12,6,82,76,10,2,12,82,6,82,5,70,79,6,12,2,87,2,88,6,12,82,4,6,10,2,12,1,12,1.0
21,6,21,61,74,11,3,17,61,17,12,4,73,3,76,12,20,56,76,8,9,12,82,6,82,5,71,50,20,11,9,73,8,73,21,12,82,4,21,8,9,12,4,12,3.0
6,6,5,84,78,9,0,5,85,5,10,0,89,4,80,10,5,83,80,9,1,10,84,6,84,5,76,80,5,10,1,88,1,89,5,10,84,4,5,9,1,10,0,10,3.0
16,5,15,67,77,9,1,14,67,14,10,3,78,2,79,9,15,65,79,7,5,10,84,5,84,4,75,58,15,9,5,78,5,78,16,10,84,3,16,8,5,10,3,10,1.0
15,5,14,70,77,9,2,14,70,14,10,2,79,2,79,9,14,66,79,8,6,10,84,5,84,4,75,61,14,9,6,79,6,79,15,10,84,3,15,9,6,10,2,10,3.0
26,10,23,56,61,18,6,21,57,21,20,7,69,6,64,18,24,50,64,14,13,20,74,10,74,8,55,45,24,19,13,68,13,69,25,20,74,7,25,15,13,20,7,20,2.0
5,5,4,85,77,9,0,4,86,4,10,0,90,2,79,10,4,85,79,9,0,10,84,5,84,4,75,81,4,10,0,89,0,90,4,10,84,3,4,9,0,10,0,10,3.0
3,6,2,89,79,9,0,2,90,2,10,0,92,4,80,10,2,89,80,9,0,10,84,6,84,5,77,87,2,10,0,91,0,92,2,10,84,5,2,9,0,10,0,10,1.0
1,8,0,93,70,13,0,0,94,0,14,0,94,4,74,14,0,93,74,13,0,14,80,8,80,7,68,93,0,14,0,93,0,94,0,14,80,4,0,13,0,14,0,14,1.0
20,8,18,65,76,11,6,18,66,18,12,7,75,6,78,11,19,62,78,10,10,12,82,8,82,7,74,57,19,12,10,74,10,75,19,12,82,6,19,10,10,12,7,12,3.0
6,6,4,84,78,9,0,5,85,5,10,0,89,3,80,9,5,83,80,9,1,10,84,6,84,5,77,80,5,10,1,88,1,89,5,10,84,4,5,9,1,10,0,10,3.0
15,8,14,69,68,15,0,12,70,12,16,3,80,5,70,16,14,68,70,13,4,16,78,8,78,7,63,62,14,16,4,79,4,80,14,16,78,6,14,13,4,16,3,16,3.0
23,11,20,60,57,20,5,17,61,17,22,6,72,6,61,20,21,55,61,15,11,22,72,11,72,9,51,50,21,21,11,71,11,72,22,22,72,7,22,16,11,22,6,22,3.0
27,8,24,55,66,15,7,22,56,22,17,9,68,5,68,15,25,50,68,11,14,17,77,8,77,6,60,45,25,16,14,67,14,68,26,17,77,6,26,12,14,17,9,17,2.0
21,4,20,62,79,8,4,18,62,18,9,4,73,2,80,8,20,56,80,6,10,9,85,4,85,3,76,51,20,8,10,73,9,73,21,9,85,3,21,6,10,9,4,9,3.0
24,4,24,59,77,9,8,22,59,22,10,8,70,2,78,10,23,54,78,7,13,10,84,4,84,3,73,48,23,9,13,70,13,70,24,10,84,3,24,8,13,10,8,10,3.0
26,10,25,55,68,16,4,20,55,20,17,5,68,8,70,16,25,47,70,11,13,17,77,10,77,9,63,43,25,16,13,68,12,68,26,17,77,8,26,11,13,17,5,17,2.0
12,8,10,75,68,15,1,11,76,11,16,3,83,5,70,15,11,74,70,15,4,16,78,8,78,7,63,70,11,16,4,82,4,83,11,16,78,6,11,15,4,16,3,16,2.0
13,7,12,72,68,14,1,9,73,9,15,3,82,4,71,15,12,72,71,11,3,15,79,7,79,6,63,65,12,15,3,81,3,82,12,15,79,4,12,11,3,15,3,15,1.0
5,6,4,85,78,9,0,4,86,4,10,0,90,4,80,10,4,85,80,9,0,10,84,6,84,5,76,81,4,10,0,89,0,90,4,10,84,4,4,9,0,10,0,10,3.0
26,11,24,56,67,16,6,21,57,21,18,7,69,9,69,17,24,50,69,12,13,18,76,11,76,9,62,45,24,17,13,68,13,69,25,18,76,9,25,13,13,18,7,18,3.0
