@relation 'Sax dominant'

@attribute o1atLee numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMaa numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o2atMbb numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atLdd numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMdb numeric
@attribute o2atLdb numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMbb numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMbe numeric
@attribute o3atLbe numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMec numeric
@attribute o3atLec numeric
@attribute o3atLed numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMdb numeric
@attribute o3atLdb numeric
@attribute destClass {1.0,3.0,2.0}

@data
4,23,15,8,20,4,30,25,5,7,18,1,6,7,19,25,6,12,18,6,23,12,5,11,15,4,23,12,6,7,6,0,31,0,0,24,0,23,0,19,0,19,0,30,11,19,10,4,14,15,23,6,16,8,16,8,23,6,14,15,23,13,7,30,1,12,19,26,4,13,1,12,18,26,4,12,5,27,0,26,0,0,31,0,12,4,1.0
4,21,12,9,20,4,30,24,5,7,16,1,7,7,17,24,7,14,17,7,23,14,6,12,13,4,23,14,7,7,7,0,31,0,0,24,0,23,0,17,0,17,0,30,11,21,8,2,14,14,25,3,17,6,17,6,25,5,16,14,24,12,11,30,0,14,16,27,3,15,1,15,16,27,3,14,4,28,0,27,0,0,31,0,15,3,3.0
3,26,7,16,21,2,30,27,3,5,10,1,4,6,11,27,4,20,11,6,25,20,3,19,10,5,24,20,4,6,4,0,31,0,0,25,0,25,0,11,0,11,0,30,7,31,11,0,13,17,31,0,13,0,14,0,31,0,14,18,22,15,9,28,2,11,19,24,4,13,2,12,18,24,5,12,6,26,1,25,1,0,30,0,12,5,1.0
3,24,13,8,19,3,30,26,4,7,17,1,5,7,18,26,5,13,18,7,23,13,4,12,14,4,23,13,5,7,5,0,31,0,0,24,0,23,0,18,0,18,0,30,9,22,10,1,13,16,26,3,15,5,15,5,26,5,15,16,24,12,11,28,0,14,16,26,3,15,2,15,16,26,3,14,4,28,1,27,1,0,30,0,15,3,3.0
4,23,8,13,20,4,30,25,5,7,12,1,6,7,13,25,6,18,13,7,23,18,5,17,11,6,23,18,6,7,6,0,31,0,0,24,0,23,0,13,0,13,0,30,11,27,8,0,16,14,29,1,17,2,17,2,29,1,16,14,23,10,14,30,1,16,14,26,3,18,1,17,13,26,4,17,5,27,0,26,0,0,31,0,17,4,2.0
3,24,10,11,17,5,30,26,4,9,14,1,5,9,15,26,4,15,15,9,21,16,4,15,11,6,21,16,5,9,5,0,31,0,0,22,0,21,0,15,0,15,0,30,9,21,10,2,13,16,25,4,15,6,15,6,25,6,15,16,22,13,10,28,2,13,17,24,5,14,2,14,17,25,5,13,6,26,1,25,1,1,30,0,14,5,1.0
3,26,6,19,18,1,30,27,3,6,8,1,4,7,9,27,4,22,8,6,24,22,3,21,8,6,23,22,4,7,4,0,31,0,0,24,0,24,0,9,0,9,0,30,9,31,9,0,15,15,31,0,15,0,16,0,31,0,16,16,24,20,8,28,4,10,22,24,6,10,2,9,21,25,5,10,6,26,2,25,1,1,30,0,9,5,1.0
4,25,11,12,19,5,30,26,4,8,14,1,5,8,15,26,5,16,15,8,22,16,4,15,13,7,22,16,5,8,5,0,31,0,0,23,0,22,0,15,0,15,0,30,17,28,6,1,21,10,29,2,21,2,21,2,29,2,21,10,24,10,16,30,0,17,13,27,2,19,1,18,12,27,3,18,4,28,0,27,0,0,31,0,18,3,1.0
3,24,12,9,19,3,30,26,4,7,16,1,5,7,17,26,5,14,17,7,23,14,4,13,14,5,23,14,5,7,5,0,31,0,0,24,0,23,0,17,0,17,0,30,8,21,13,2,11,18,25,4,13,6,13,6,25,5,12,18,22,12,10,28,0,14,17,25,4,15,2,14,16,25,4,14,5,27,1,26,1,0,30,0,14,4,3.0
4,25,8,13,19,5,30,26,4,8,12,1,5,8,13,26,5,18,13,8,22,18,4,17,11,7,22,18,5,8,5,0,31,0,0,23,0,22,0,13,0,13,0,30,16,29,7,0,20,11,30,1,20,1,20,1,30,1,20,11,22,10,14,30,2,16,14,25,4,18,1,17,13,25,5,17,6,26,0,25,0,0,31,0,17,5,3.0
