@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMaaa numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMacb numeric
@attribute o2atLacb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMaac numeric
@attribute o2atLaac numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMcba numeric
@attribute o2atLcba numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atLbcc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMacc numeric
@attribute o2atLacc numeric
@attribute o2atMaba numeric
@attribute o2atLaba numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMaaa numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMaba numeric
@attribute o3atLaba numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMaac numeric
@attribute o3atLaac numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbac numeric
@attribute o3atLbac numeric
@attribute o3atLccc numeric
@attribute o3atMcba numeric
@attribute o3atLcba numeric
@attribute destClass {1.0,3.0,2.0}

@data
7,8,6,20,12,12,1,5,13,12,6,18,18,8,18,7,10,17,6,12,3,23,3,24,17,6,13,8,6,8,6,12,3,21,1,24,3,12,3,13,3,12,1,13,1,6,17,8,17,24,2,7,3,24,1,24,2,5,3,5,21,4,21,21,13,8,2,9,3,8,13,0,27,0,9,0,1,21,10,16,8,15,2,27,1,3,20,9,14,28,1,27,1,5,2,26,12,5,21,4,20,29,0,9,1,29,0,28,0,10,1,0,10,1,1.0
5,10,4,22,8,13,0,6,11,14,3,21,16,10,16,8,7,19,3,13,1,25,1,26,15,6,11,9,4,10,4,14,1,23,0,26,1,14,1,15,1,14,0,15,2,8,17,8,17,26,2,8,2,26,1,26,1,5,2,5,21,5,21,24,13,9,2,9,2,9,14,0,28,0,9,0,2,21,9,17,9,17,3,26,2,4,21,9,16,26,3,25,2,5,3,24,14,5,21,5,21,28,1,9,3,28,0,27,0,9,3,0,9,2,3.0
1,6,0,29,17,8,0,4,19,9,0,29,22,6,21,5,16,29,0,8,0,29,0,30,21,4,18,7,0,7,0,9,0,30,0,30,0,8,0,9,0,9,0,9,0,1,27,2,28,30,0,1,0,30,0,30,0,0,0,0,29,0,28,30,26,1,0,2,0,1,27,0,30,0,1,0,0,29,4,24,4,24,1,26,2,1,26,4,23,26,3,25,2,2,3,24,22,2,26,2,26,28,1,4,3,28,0,27,0,4,3,0,4,2,1.0
6,8,4,21,10,12,0,4,13,11,5,19,18,8,18,7,9,18,5,12,2,24,2,25,17,4,13,8,5,8,5,12,2,22,0,25,2,12,2,13,2,12,0,13,2,8,18,7,18,24,3,8,3,25,2,25,2,5,3,4,21,5,22,23,14,9,3,8,3,8,15,1,27,1,9,1,2,22,10,17,8,16,3,24,3,4,20,9,15,24,3,23,3,6,4,21,14,6,21,5,20,27,1,9,3,27,0,26,0,10,3,0,10,3,3.0
3,7,2,25,13,10,0,4,16,11,2,25,20,7,19,6,12,23,2,10,0,27,0,28,19,4,15,8,2,8,2,11,1,26,0,28,0,10,1,11,0,11,0,11,0,2,25,3,26,28,1,2,1,28,1,28,1,0,1,0,28,0,27,27,23,2,1,3,1,2,25,0,29,0,2,0,0,28,5,23,5,23,2,27,1,2,25,5,22,28,2,27,1,3,2,26,21,3,25,3,25,29,0,5,2,29,0,28,0,5,2,0,5,1,2.0
6,6,4,21,16,8,0,3,19,8,5,19,22,6,21,5,16,18,5,8,2,24,2,25,21,3,18,7,5,7,5,9,5,22,0,25,2,8,5,9,2,9,0,9,2,8,19,7,19,30,0,8,0,30,0,30,0,4,0,3,22,4,23,30,15,8,0,7,0,7,17,0,30,0,8,0,2,23,9,18,8,18,4,24,3,5,21,9,17,24,3,23,3,6,4,21,16,6,21,6,21,27,1,9,4,27,0,26,0,9,3,0,9,3,1.0
1,5,0,29,20,6,0,3,22,7,0,29,24,5,23,4,20,29,0,6,0,29,0,30,23,3,21,5,0,5,0,7,0,30,0,30,0,6,0,7,0,7,0,7,0,1,28,1,28,30,0,1,0,30,0,30,0,0,0,0,29,0,29,30,27,1,0,1,0,1,28,0,30,0,1,0,0,29,1,28,1,28,0,26,2,0,29,1,28,26,3,25,2,0,3,24,27,0,29,0,29,28,1,1,3,28,0,27,0,1,3,0,1,2,1.0
1,6,0,29,15,9,0,4,17,10,0,29,21,6,20,5,13,29,0,9,0,29,0,30,20,4,16,8,0,8,0,10,0,30,0,30,0,9,0,10,0,10,0,10,0,1,27,2,28,30,0,1,0,30,0,30,0,0,0,0,29,0,28,30,26,1,0,2,0,1,27,0,30,0,1,0,0,29,4,24,3,24,1,25,2,1,26,4,23,26,2,25,2,2,3,23,22,2,26,2,26,28,0,4,3,28,0,27,0,4,2,0,4,2,1.0
4,6,3,23,16,8,0,3,19,9,3,23,22,6,21,5,16,20,3,8,0,26,0,27,21,3,18,6,3,6,3,9,2,24,0,27,0,8,2,9,0,9,0,9,1,8,18,8,18,30,0,8,0,30,0,30,0,4,0,4,22,4,22,30,14,8,0,8,0,8,15,0,30,0,8,0,1,22,9,18,6,17,2,24,3,3,21,8,16,24,2,23,3,5,4,21,15,5,22,4,21,27,1,8,3,27,0,26,0,9,2,0,9,3,3.0
2,6,1,27,17,8,0,4,19,9,1,27,22,6,21,5,16,26,1,8,0,28,0,29,21,4,18,7,1,7,1,9,1,28,0,29,0,8,1,9,0,9,0,9,0,0,29,1,30,30,0,0,0,30,0,30,0,0,0,0,30,0,29,30,29,0,0,1,0,0,29,0,30,0,0,0,0,30,3,25,3,25,0,27,1,0,27,3,24,28,2,27,1,1,2,26,23,1,27,1,27,29,0,3,2,29,0,28,0,3,2,0,3,1,3.0
