@relation 'Sax dominant'

@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atLkk numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMaj numeric
@attribute o1atLaj numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMak numeric
@attribute o1atLak numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMjc numeric
@attribute o1atLjc numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMhb numeric
@attribute o1atLhb numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute destClass {-1,1}

@data
65,48,29,66,21,83,40,55,70,25,92,3,31,62,22,72,41,53,32,56,71,4,45,24,38,53,91,3,32,62,22,72,70,23,2,37,59,26,71,9,44,52,86,19,88,6,10,85,27,67,46,49,11,50,88,6,27,67,10,84,90,4,70,7,42,49,42,25,22,62,22,53,45,3,41,24,10,72,41,52,38,55,46,25,10,73,27,62,38,53,89,3,10,54,39,4,27,56,70,6,32,56,37,56,44,49,45,6,11,7,32,53,70,3,32,53,41,49,22,67,22,62,46,7,46,4,42,4,88,3,32,6,22,67,11,4,41,6,27,62,38,6,39,25,38,49,27,53,27,49,33,25,11,25,33,4,10,63,42,7,39,49,10,57,27,24,27,56,38,24,27,53,22,56,33,49,32,24,41,3,22,56,38,3,23,4,32,49,39,7,27,6,32,3,22,53,22,49,10,68,10,67,28,4,28,49,-1.0
61,33,31,65,15,83,44,48,67,22,92,2,33,57,17,75,46,44,35,53,71,3,55,23,41,45,91,2,32,57,17,75,68,20,2,36,55,21,73,1,51,42,77,15,81,9,5,89,23,68,54,36,7,39,81,10,23,68,5,88,90,7,70,12,47,38,48,24,18,59,18,46,56,3,48,24,6,76,47,45,39,51,56,23,6,77,25,58,41,46,83,3,7,47,42,4,24,52,69,11,34,51,40,50,52,37,55,12,7,13,36,46,70,2,35,45,47,38,17,69,17,59,56,12,57,3,49,3,82,2,35,12,17,69,7,4,48,12,23,58,41,12,41,25,41,38,26,46,25,38,36,25,7,25,36,4,6,60,48,12,41,39,6,54,25,24,25,53,41,24,25,45,18,53,36,39,35,24,48,3,17,53,41,3,19,4,35,38,41,13,25,12,35,3,19,46,18,38,6,70,6,69,26,4,26,39,1.0
56,48,27,67,20,81,38,56,60,34,91,4,29,65,21,73,40,55,29,58,62,5,44,33,36,55,90,4,29,65,21,73,60,32,3,34,63,25,72,11,44,54,87,28,88,5,12,83,26,68,46,50,13,50,88,5,26,68,12,82,89,5,61,7,40,50,40,34,21,65,21,55,45,4,39,33,12,73,39,55,36,58,46,34,12,74,26,65,37,55,89,4,13,56,37,5,26,58,61,5,29,58,36,58,44,49,45,6,13,7,30,55,61,4,29,55,39,49,21,68,21,65,46,7,46,5,40,5,88,4,29,6,21,68,13,5,39,6,26,65,36,6,37,34,36,49,27,55,26,49,30,34,13,34,30,5,12,66,40,7,37,50,12,59,26,33,26,58,36,33,26,55,21,58,30,50,29,33,39,4,21,58,36,4,22,5,29,49,37,7,26,6,29,4,22,55,21,49,12,69,12,68,27,5,27,50,-1.0
72,26,25,70,18,82,38,59,74,19,88,7,26,68,19,75,41,53,26,60,76,8,65,19,34,53,87,7,26,68,19,75,74,18,4,33,67,22,74,10,62,50,80,16,82,11,11,84,23,71,65,29,11,30,82,11,23,71,11,83,84,10,76,12,41,29,41,19,19,68,19,53,65,7,41,19,11,75,41,53,34,60,65,19,11,76,23,68,34,53,83,8,11,54,35,8,23,60,75,12,26,60,34,60,64,29,65,12,12,13,26,53,75,7,26,53,41,29,19,71,19,68,66,12,66,8,42,8,82,7,26,12,19,71,12,8,41,12,23,68,34,12,34,19,34,29,23,53,23,29,26,19,11,20,27,8,11,69,42,12,34,29,11,61,23,19,23,60,34,19,23,53,19,60,26,29,26,19,41,7,19,60,34,7,20,8,26,29,35,12,23,12,26,7,19,53,19,29,11,72,11,71,24,8,23,29,-1.0
73,34,24,69,18,84,39,56,77,17,92,2,25,67,19,75,40,51,25,60,78,4,55,17,34,51,91,2,25,68,19,75,76,16,2,30,66,23,74,8,50,49,88,13,89,4,9,86,23,70,55,37,10,40,89,3,24,70,9,85,90,2,77,5,42,39,43,18,19,68,19,52,55,3,42,17,9,75,41,51,33,59,56,17,9,76,24,68,34,51,91,3,9,53,35,4,24,60,76,4,25,60,33,59,54,38,55,4,10,5,26,52,77,3,26,52,42,39,19,70,19,68,56,5,56,4,43,4,90,2,26,4,19,70,10,4,42,4,24,68,34,4,35,18,34,39,24,52,24,39,27,18,10,18,27,4,9,69,43,5,35,39,9,61,24,17,24,60,34,17,24,52,19,60,27,39,26,17,42,3,19,60,34,3,20,4,26,39,35,5,24,4,26,3,19,52,19,39,9,71,9,70,25,4,25,39,1.0
69,38,24,68,21,79,28,62,74,17,94,1,25,68,22,71,33,59,25,65,77,1,50,18,29,60,93,1,25,66,21,71,74,16,0,26,66,22,69,11,46,56,85,11,88,4,13,82,24,69,50,43,14,44,88,4,22,68,13,81,92,3,76,5,34,43,34,19,23,68,23,61,51,1,33,18,13,71,32,59,27,64,50,19,13,72,24,68,29,60,89,1,13,62,30,2,23,64,76,5,25,64,27,64,49,42,51,6,14,7,26,61,76,1,26,60,33,43,23,70,22,68,51,7,52,2,34,2,88,1,26,6,21,70,14,2,33,6,23,66,29,6,30,19,29,43,24,61,24,43,27,19,14,19,27,2,13,69,34,7,30,43,13,66,24,18,24,65,29,18,24,60,23,65,27,43,26,18,33,1,22,65,29,1,24,2,26,43,30,7,24,6,26,1,23,61,23,43,13,71,13,70,25,2,25,43,1.0
79,38,31,62,15,85,43,54,81,11,90,5,32,61,17,77,44,50,32,56,83,5,52,12,38,50,89,5,32,62,17,77,81,12,4,36,61,28,75,7,48,49,86,9,87,6,8,87,29,64,51,42,8,43,87,6,30,64,8,86,88,6,82,6,44,42,44,12,17,62,17,50,52,5,44,12,8,77,44,50,38,56,51,12,8,78,30,62,38,50,88,5,8,51,39,6,30,56,82,7,32,56,38,56,52,42,52,7,9,8,32,50,82,5,32,50,44,42,17,64,17,62,52,7,53,6,45,6,87,5,32,7,17,64,9,6,44,7,30,62,38,7,38,12,38,42,30,50,30,42,32,12,8,13,33,6,8,63,45,7,38,42,8,57,30,12,30,56,38,12,30,50,17,56,32,42,32,12,44,5,17,56,38,5,18,6,32,42,39,7,30,7,32,5,17,50,17,42,8,65,8,64,31,6,30,42,-1.0
81,37,24,71,16,82,35,60,83,10,90,5,25,68,17,77,39,54,25,62,85,5,54,10,32,54,89,4,25,69,17,77,84,9,4,30,68,21,76,10,51,49,87,7,88,5,11,84,21,72,54,39,12,41,87,6,22,72,11,83,88,5,84,6,40,40,40,11,17,69,17,54,54,5,40,10,11,77,40,53,32,62,54,10,11,78,22,69,32,54,89,5,11,55,33,6,22,62,84,6,25,62,31,62,53,40,54,6,12,7,25,54,84,5,25,54,40,40,17,72,17,69,54,6,55,5,41,6,88,5,25,6,17,72,12,6,40,6,22,69,32,6,33,11,32,40,22,54,22,40,26,11,12,11,26,6,11,70,40,7,33,40,11,63,22,10,22,62,32,10,22,54,17,62,26,40,25,10,40,5,17,62,32,5,18,6,25,40,33,7,22,6,25,5,17,54,17,40,11,73,11,72,23,6,23,40,-1.0
64,39,25,69,19,82,39,62,69,23,93,2,26,67,19,73,44,51,27,64,71,2,51,23,29,50,92,2,26,67,20,73,69,23,1,28,65,21,71,10,49,47,85,18,88,5,11,84,23,69,51,43,12,43,88,5,23,70,11,83,91,3,70,5,44,43,44,25,21,67,21,51,52,2,42,23,11,73,42,50,30,63,51,25,11,74,23,67,31,51,89,2,12,52,31,3,23,64,70,5,26,64,29,63,51,41,52,5,12,7,28,51,70,2,26,51,42,41,21,71,21,67,52,7,53,3,44,3,88,2,27,6,21,71,12,3,43,5,23,67,30,5,31,25,29,41,24,51,23,42,28,25,12,25,28,3,11,68,44,7,31,43,11,65,23,24,23,64,29,23,23,51,21,64,28,43,26,24,43,2,21,64,30,2,22,3,26,42,31,7,23,6,27,2,22,51,21,42,11,72,11,71,24,3,24,43,1.0
78,30,23,71,17,83,41,63,80,12,89,4,24,70,18,76,45,48,24,66,82,5,60,12,28,49,88,5,24,70,18,76,80,12,3,25,69,21,75,9,58,45,84,10,84,7,10,85,22,72,60,33,10,34,85,7,22,72,10,84,85,6,80,7,45,33,45,13,18,70,18,49,61,6,44,13,10,76,44,49,27,66,60,13,10,77,22,70,28,49,87,5,10,50,29,6,22,66,81,7,24,66,28,66,60,32,61,7,10,9,24,49,81,6,24,49,44,33,18,72,18,70,60,8,62,6,46,6,86,6,24,8,18,72,11,7,45,8,22,70,28,8,28,13,28,33,22,49,22,33,24,13,10,14,25,6,10,71,45,8,28,33,10,67,22,13,22,66,28,13,22,49,18,66,24,33,24,13,45,6,18,66,28,6,19,6,24,33,28,8,22,8,24,6,18,49,18,33,10,73,10,72,23,6,22,33,1.0
