@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute destClass {-1.0,1.0}

@data
30,44,29,63,27,29,64,41,44,47,44,46,47,44,43,62,28,64,28,65,47,43,47,43,43,46,27,65,29,62,29,47,29,47,29,44,28,47,28,47,29,47,29,46,-1.0
32,31,30,56,21,30,57,27,52,35,53,35,57,31,48,52,25,62,25,63,58,31,58,28,49,36,23,63,31,54,32,37,31,36,31,31,25,36,25,37,31,35,31,35,1.0
29,43,28,64,26,29,65,40,46,44,47,46,48,42,45,63,27,65,27,66,50,43,49,41,45,45,26,66,28,63,29,46,28,44,28,42,27,44,27,46,28,44,28,46,-1.0
26,20,25,67,23,25,68,17,70,21,70,21,72,19,69,66,24,68,24,69,73,19,72,18,69,21,23,69,25,66,25,22,25,21,25,19,24,21,24,22,25,21,25,21,-1.0
26,26,24,67,23,25,68,21,58,29,58,30,63,25,53,66,24,68,24,69,64,25,63,21,54,30,23,69,25,66,25,31,25,30,25,25,24,30,24,31,25,29,25,30,1.0
26,31,24,66,22,25,67,25,46,38,47,39,54,31,43,64,23,68,23,69,55,31,55,30,45,39,22,69,25,65,26,40,25,39,25,31,23,39,23,40,25,38,25,39,1.0
32,27,31,60,27,31,61,21,53,34,53,33,60,27,49,59,29,62,29,63,60,26,60,24,50,33,28,63,31,59,31,34,31,34,31,27,29,34,29,34,31,34,31,33,-1.0
25,27,24,68,22,24,69,23,55,33,55,32,61,27,51,67,23,69,23,70,61,26,61,25,53,32,22,70,24,67,24,33,24,33,24,27,23,33,23,33,24,33,24,32,-1.0
27,32,25,65,22,26,66,29,51,36,52,37,56,32,47,63,24,67,24,68,57,32,57,30,49,37,22,68,26,63,27,38,26,37,26,32,24,37,24,38,26,36,26,37,1.0
25,25,24,68,22,24,69,22,63,28,63,27,66,25,60,67,23,69,23,70,66,24,66,22,60,27,22,70,24,67,24,28,24,28,24,25,23,28,23,28,24,28,24,27,1.0
