@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atLcc numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute destClass {-1.0,1.0}

@data
8,21,18,11,12,9,22,9,12,19,11,19,22,8,12,9,16,22,14,6,17,15,24,8,23,7,16,14,29,1,30,1,30,0,31,0,0,31,0,31,0,30,0,30,-1.0
0,29,7,21,23,1,30,1,22,8,23,9,30,1,22,1,0,3,31,24,0,31,5,26,5,26,0,31,7,22,9,22,9,20,17,4,9,22,9,22,9,9,9,9,1.0
5,24,17,12,13,6,25,6,13,18,13,18,25,6,13,6,14,22,16,8,15,17,23,9,22,8,14,16,29,1,30,1,30,0,31,0,0,31,0,31,0,30,0,30,-1.0
11,16,23,6,7,13,18,13,7,24,6,24,18,12,7,13,17,31,13,0,18,14,31,0,31,0,17,13,9,22,10,21,9,21,31,0,0,31,0,31,0,10,0,9,-1.0
7,20,11,18,19,9,22,9,19,12,18,12,22,8,19,9,5,12,25,15,6,26,14,17,14,17,5,25,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
3,26,10,17,19,4,27,4,19,12,19,12,27,4,19,4,5,9,25,15,6,26,13,19,12,18,5,25,12,15,16,15,16,11,31,0,0,31,0,31,0,16,0,16,1.0
7,22,16,11,13,8,23,8,13,18,12,18,23,7,13,8,17,27,13,3,18,14,28,4,27,3,17,13,16,9,22,9,22,3,31,0,0,31,0,31,0,22,0,22,-1.0
7,22,16,13,14,8,23,8,14,17,13,17,23,7,14,8,9,18,21,6,10,22,22,10,21,9,9,21,13,16,15,16,15,14,31,0,0,31,0,31,0,15,0,15,-1.0
3,26,8,19,21,4,27,4,21,10,21,10,27,4,21,4,4,8,26,22,5,27,9,23,8,22,4,26,6,21,10,21,10,17,31,0,0,31,0,31,0,10,0,10,1.0
9,20,11,18,19,10,21,10,19,12,18,12,21,9,19,10,4,14,26,15,5,27,15,16,15,16,4,26,1,29,3,28,2,27,31,0,0,31,0,31,0,3,0,2,1.0
6,23,16,13,14,7,24,7,14,17,13,17,24,6,14,7,11,17,19,12,12,20,18,13,18,13,11,19,13,17,15,16,14,15,31,0,0,31,0,31,0,15,0,14,1.0
