@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atLkk numeric
@attribute o1atMaa numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMkb numeric
@attribute o1atLkb numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMia numeric
@attribute o1atLia numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMha numeric
@attribute o1atLha numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMfa numeric
@attribute o1atLfa numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMka numeric
@attribute o1atLka numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMhb numeric
@attribute o1atLhb numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMjc numeric
@attribute o1atLjc numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMja numeric
@attribute o1atLja numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMga numeric
@attribute o1atLga numeric
@attribute o1atMkc numeric
@attribute o1atLkc numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMjb numeric
@attribute o1atLjb numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute destClass {1.0,2.0}

@data
71,79,81,15,11,89,1,1,85,9,88,5,91,2,74,20,14,81,2,93,82,10,86,6,89,3,4,90,3,82,76,3,4,2,74,18,12,80,2,92,89,3,86,6,82,10,93,1,14,12,14,3,2,7,82,6,92,1,74,12,3,8,2,11,12,18,4,89,3,89,14,20,2,91,86,3,3,20,2,81,3,90,2,2,3,89,5,81,88,1,3,18,2,90,74,8,91,1,84,1,90,1,2,91,5,81,3,11,74,10,3,7,14,8,4,89,74,5,3,3,2,90,2,4,3,6,82,6,3,12,13,1,2,90,2,19,4,1,2,91,75,1,74,6,12,10,74,3,86,3,82,3,3,4,5,3,3,10,3,3,3,6,3,89,3,89,87,1,82,3,12,6,12,3,4,1,83,1,14,5,3,89,3,10,3,18,5,3,3,80,5,81,3,19,5,20,1.0
74,54,79,16,32,89,4,2,81,11,86,9,88,6,75,17,35,58,3,92,81,12,83,11,87,7,4,90,4,59,77,5,4,5,75,17,35,57,2,91,87,7,83,9,79,12,90,5,36,14,37,6,3,11,81,10,89,5,76,12,4,12,2,13,35,17,4,89,3,89,35,19,3,91,83,7,4,19,2,58,3,90,3,5,3,89,5,58,84,5,3,17,2,90,76,11,88,5,82,5,87,5,3,91,5,58,3,12,75,12,4,10,36,12,4,89,76,7,4,7,2,90,3,7,4,10,81,11,4,14,36,5,2,90,2,18,4,5,3,91,76,5,76,10,35,12,76,7,83,7,81,7,4,7,5,6,3,12,4,7,4,10,3,89,3,89,83,5,81,7,36,10,36,7,4,5,81,5,36,8,3,89,3,12,3,17,5,6,3,57,5,58,3,17,5,19,1.0
46,80,81,36,8,88,0,3,85,7,90,5,94,2,50,41,10,83,4,91,83,8,87,6,91,3,5,89,4,84,53,0,5,0,51,40,9,82,3,90,91,3,87,6,83,9,95,0,10,10,12,1,4,7,84,7,94,0,51,9,5,8,4,10,10,41,5,88,4,88,10,42,4,90,87,3,4,43,3,83,4,89,4,0,4,88,5,83,88,0,4,41,3,89,52,6,92,0,85,0,91,0,4,90,5,83,5,9,52,9,5,7,11,7,5,88,52,3,5,3,3,89,4,3,5,7,84,6,4,11,11,0,3,89,3,42,5,0,4,90,52,0,52,7,11,9,52,3,87,3,84,3,5,3,6,1,5,9,5,3,5,7,4,88,4,88,87,0,84,3,11,7,11,3,5,0,84,0,11,4,4,88,5,9,4,41,6,1,4,82,5,83,4,41,5,42,2.0
51,67,73,35,23,86,2,2,83,17,87,7,90,5,55,38,24,70,3,92,75,19,85,9,88,6,5,89,4,70,56,3,4,3,54,38,24,68,2,91,88,5,84,8,74,18,92,3,25,20,26,4,3,9,75,8,91,3,55,19,4,10,2,19,24,38,7,88,5,87,25,40,4,91,85,6,4,40,2,69,4,90,3,3,4,89,7,70,86,3,5,38,2,90,55,9,89,3,76,3,88,3,3,91,5,70,3,18,54,18,4,8,25,10,5,88,55,6,4,6,2,90,3,6,4,8,75,9,4,20,25,3,2,88,2,39,4,3,4,89,55,3,55,8,24,18,55,6,85,6,75,6,4,6,7,4,5,18,6,6,6,8,3,89,4,89,85,3,75,6,25,8,25,6,6,3,75,3,25,7,3,89,3,18,3,38,5,4,5,68,5,70,3,38,7,40,2.0
49,61,82,37,23,89,2,2,86,10,87,6,90,5,53,40,27,66,3,92,83,11,87,7,88,6,4,90,3,67,54,3,4,3,53,40,27,65,2,91,88,5,86,7,83,11,92,3,28,12,29,4,3,7,83,7,91,3,53,11,4,8,3,11,28,41,4,89,3,89,28,41,3,91,87,6,4,42,3,66,3,90,3,3,3,89,4,66,88,3,4,41,2,90,53,7,89,3,84,3,88,3,3,91,4,66,4,11,53,11,4,7,28,8,4,89,53,6,4,6,2,90,3,6,4,7,83,7,4,12,28,3,2,90,3,41,4,3,3,91,53,3,53,7,28,11,53,6,87,6,83,6,4,6,5,4,4,11,4,6,4,7,3,89,3,89,87,3,83,6,28,7,28,6,4,3,83,3,28,7,3,89,4,11,4,41,5,4,4,65,4,66,4,41,5,41,1.0
65,71,81,19,15,88,1,2,83,9,86,7,91,4,69,23,18,75,3,92,82,10,84,8,87,5,4,89,3,76,71,2,4,1,69,23,18,74,2,91,87,5,84,8,82,10,93,1,19,12,20,3,2,9,82,8,92,1,69,11,4,10,2,11,18,23,5,89,4,88,19,24,3,91,84,5,4,25,2,75,4,90,3,2,4,89,5,75,86,1,4,23,2,90,69,9,89,1,84,1,88,1,3,91,4,75,3,10,69,10,3,8,19,10,4,89,69,6,3,5,2,90,2,6,3,8,82,8,4,12,19,1,2,89,2,24,4,1,3,90,70,1,69,8,18,10,69,5,84,5,82,5,3,5,6,3,4,10,4,5,4,8,3,89,4,89,85,1,82,5,18,8,18,5,5,1,83,1,19,7,3,89,3,10,3,23,5,3,4,74,4,75,3,23,6,24,2.0
45,51,58,47,39,77,0,2,82,34,89,8,94,3,47,48,41,53,3,92,60,36,84,11,90,4,5,81,4,54,47,1,4,0,46,47,40,52,2,91,90,4,84,10,59,35,95,0,42,36,42,1,3,10,59,10,94,0,47,36,4,11,3,35,41,47,14,81,13,80,42,49,4,91,84,4,4,49,3,53,5,90,3,0,11,89,15,54,85,1,14,48,3,90,47,11,91,0,60,1,90,0,3,91,5,54,4,35,46,35,4,10,42,11,5,81,47,5,4,4,2,90,3,4,4,10,60,11,4,36,41,0,3,80,3,48,4,0,4,81,46,0,46,10,41,35,46,4,84,5,60,5,4,4,15,1,14,35,14,4,14,10,3,89,5,89,84,0,59,4,41,10,41,4,14,0,59,0,42,5,4,89,4,35,4,48,5,1,13,53,5,54,4,48,15,49,2.0
65,60,79,19,26,89,3,2,82,11,84,8,87,6,69,23,29,64,3,92,80,12,84,9,85,8,4,90,3,65,71,5,4,4,69,23,29,63,2,91,85,6,82,9,80,12,90,4,30,14,31,6,2,10,80,9,89,4,69,13,4,11,2,13,29,23,4,89,3,89,30,24,3,91,83,7,4,25,2,64,3,90,3,5,3,89,4,64,85,5,3,23,2,90,70,10,87,5,82,5,86,4,3,91,4,64,3,12,69,12,3,9,30,11,4,89,70,8,3,7,2,90,2,8,3,9,81,9,4,14,30,4,2,90,2,24,4,4,3,91,70,4,69,9,29,12,69,7,84,8,81,8,3,7,5,6,3,12,3,7,3,9,3,89,3,89,84,4,80,7,29,9,29,7,4,4,81,4,30,9,3,89,3,12,3,23,5,6,3,63,4,64,3,23,5,24,1.0
61,70,81,25,18,88,1,2,83,9,86,7,91,4,65,28,20,73,3,92,82,11,84,8,87,5,4,89,3,74,66,2,4,1,64,28,20,72,2,91,87,5,84,8,82,10,93,1,21,12,22,3,2,9,82,8,92,1,65,11,4,10,2,11,20,28,5,89,4,88,21,29,3,91,84,5,4,30,2,73,4,90,3,2,4,89,5,73,86,1,4,28,2,90,65,9,89,1,84,2,88,1,3,91,4,73,3,10,64,10,3,8,21,10,4,89,65,6,3,5,2,90,2,6,3,8,82,9,4,12,21,1,2,89,2,29,4,1,3,90,65,1,64,8,20,10,64,5,84,5,82,6,3,5,6,3,4,10,4,5,4,8,3,89,4,89,85,1,82,5,20,8,20,5,5,1,83,1,21,7,3,89,3,10,3,28,5,3,4,72,4,73,3,28,6,29,2.0
51,66,80,33,22,88,3,2,85,10,87,7,89,5,55,37,24,68,2,92,82,11,86,8,88,6,4,89,3,70,57,4,4,4,54,37,24,68,3,91,87,6,86,8,82,10,91,4,25,13,26,5,3,8,82,8,90,3,56,12,4,9,3,12,24,37,4,88,4,88,25,38,3,90,86,6,4,39,3,69,4,89,3,4,4,88,5,68,87,4,4,37,3,89,56,8,89,4,83,4,88,4,3,91,5,69,4,12,56,11,4,8,25,9,4,89,56,6,5,6,3,90,3,6,5,8,82,8,4,13,25,4,3,89,3,38,5,4,3,90,56,4,56,8,25,11,56,6,86,6,82,6,4,6,6,5,5,11,5,6,5,8,4,89,4,89,86,4,82,6,25,8,25,6,5,4,82,4,25,7,4,88,5,11,4,37,6,5,4,68,4,69,3,38,6,38,1.0
