@relation 'Sax dominant'

@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atLee numeric
@attribute o1atMaa numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute destClass {1,2}

@data
78,88,3,3,87,10,80,14,4,91,6,89,90,4,5,90,82,6,4,5,80,12,89,4,4,89,6,6,4,88,5,14,3,13,3,89,3,90,4,12,81,4,5,4,6,14,1.0
77,77,7,3,83,13,79,15,4,91,15,79,86,9,5,80,80,9,4,9,78,14,85,8,13,89,16,10,14,78,5,16,3,15,3,79,3,90,14,14,79,8,15,8,15,16,1.0
66,88,3,4,89,18,71,23,4,90,5,88,91,4,5,90,72,5,5,4,71,22,90,4,4,88,6,5,4,88,6,24,5,23,4,89,4,89,5,22,71,4,5,4,6,23,2.0
72,74,6,3,86,18,74,20,5,91,18,77,88,7,5,77,75,7,4,7,74,19,87,7,16,89,19,8,17,75,5,21,4,20,3,76,3,90,18,19,74,7,18,7,18,21,2.0
75,81,5,3,87,11,79,14,4,91,10,83,89,6,4,84,80,6,4,6,79,15,88,6,9,89,12,7,11,82,5,16,4,15,4,83,3,90,11,15,79,6,11,6,11,15,1.0
80,86,4,3,86,10,81,13,4,91,7,88,89,5,5,89,83,7,4,6,81,11,88,5,4,89,7,7,5,87,5,13,3,12,3,88,3,90,5,11,82,5,6,5,7,13,2.0
52,56,3,3,89,40,54,42,5,91,37,59,91,5,5,59,54,5,4,4,53,41,90,4,34,89,37,5,36,58,5,42,4,41,4,58,4,90,36,41,53,4,36,4,37,42,2.0
78,77,6,3,84,12,80,14,4,91,15,79,87,8,5,80,81,8,4,8,79,13,86,7,13,89,16,9,14,78,5,15,3,14,3,79,3,90,14,13,80,7,15,7,15,15,1.0
77,85,4,3,86,11,79,14,4,91,7,87,89,5,5,88,81,6,4,6,79,13,88,5,5,89,8,7,6,86,5,15,3,14,3,87,3,90,6,13,80,5,7,5,7,15,2.0
74,77,6,3,86,12,78,16,4,91,13,81,88,7,5,82,79,7,4,7,78,15,87,7,9,89,14,8,12,80,5,17,4,16,3,81,3,90,13,15,78,7,13,7,13,17,1.0
78,84,7,3,85,12,80,14,4,91,7,87,87,8,5,88,81,8,4,8,80,13,86,8,4,89,8,9,6,86,5,15,4,14,3,87,3,90,7,13,80,8,7,8,7,15,1.0
78,75,7,3,83,12,80,14,4,91,17,77,86,9,5,78,81,9,4,9,79,13,85,8,15,89,18,10,16,76,5,15,3,14,3,77,3,90,16,13,80,8,17,8,17,15,1.0
78,74,7,2,85,12,80,14,3,92,18,76,87,8,4,77,81,8,3,8,80,14,86,8,16,90,19,9,18,75,4,15,3,14,3,76,2,91,18,14,80,8,18,8,18,15,1.0
78,85,6,3,84,10,80,13,4,91,7,87,87,7,4,88,82,9,4,8,80,12,86,7,5,89,8,9,6,86,5,14,3,13,3,87,3,90,6,12,81,7,7,7,8,13,2.0
79,88,5,3,85,11,81,14,4,91,6,89,88,7,5,90,82,8,4,7,80,12,87,6,4,89,6,8,4,88,5,14,3,13,3,89,3,90,4,12,81,6,5,6,6,14,2.0
56,72,4,3,88,32,59,34,4,91,18,75,90,5,4,76,60,5,4,5,59,34,89,5,16,89,20,6,18,75,5,36,4,35,4,75,4,90,19,35,59,5,19,5,19,35,2.0
78,79,7,3,85,12,80,14,4,91,12,82,87,8,5,83,81,8,4,8,80,13,86,8,9,89,13,9,11,81,5,15,4,14,3,82,3,90,12,13,80,8,12,8,12,15,1.0
76,81,3,2,87,12,79,15,3,92,9,85,90,5,4,86,80,5,3,5,78,14,89,4,5,90,10,6,8,84,4,16,2,15,2,85,2,91,8,14,79,4,9,4,9,16,1.0
77,84,6,2,84,13,79,16,3,92,9,86,87,8,4,87,80,9,3,8,78,15,86,7,6,90,9,9,8,85,4,16,3,15,3,86,2,91,8,15,79,8,8,8,9,16,1.0
