@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMaaa numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdea numeric
@attribute o1atLdea numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMcda numeric
@attribute o1atLcda numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMcea numeric
@attribute o1atLcea numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMceb numeric
@attribute o1atLceb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute destClass {1.0,2.0}

@data
5,88,4,3,2,74,86,81,3,78,10,78,9,75,12,3,90,4,89,6,87,78,6,3,5,87,3,1,86,3,76,14,76,11,84,8,89,2,88,2,2,4,3,86,3,86,3,87,4,6,80,4,79,3,5,10,2,13,3,89,78,8,2,13,3,89,2,10,4,87,6,14,5,12,2,88,2,12,4,86,6,6,2,87,2,89,3,87,4,6,2,5,3,12,2,12,3,4,78,3,3,3,3,4,2,87,75,4,3,4,84,3,80,3,3,4,5,2,78,4,3,11,3,12,6,4,4,14,5,14,3,12,80,2,77,3,3,88,6,10,6,12,89,1,1.0
5,77,4,7,2,74,75,79,7,77,13,75,12,74,14,3,90,4,79,14,76,77,9,3,9,83,8,6,82,7,76,15,75,13,80,11,85,7,84,7,3,9,12,77,13,76,11,87,13,10,79,9,77,8,5,13,2,15,3,79,77,11,2,15,3,89,2,13,12,77,14,15,5,14,2,79,2,14,13,75,15,9,2,78,2,89,11,77,14,9,2,9,13,14,2,14,3,8,76,8,14,8,3,8,2,77,74,8,13,8,81,8,78,8,3,8,15,7,77,8,12,13,3,14,15,9,12,16,5,15,11,14,78,7,76,8,3,78,14,13,14,14,85,6,1.0
5,88,5,3,3,62,86,71,3,70,17,71,18,63,21,3,89,4,88,5,86,66,5,4,4,89,4,2,88,4,65,22,66,22,87,14,90,3,89,3,5,4,3,86,3,86,3,86,4,5,71,4,71,4,6,18,4,22,4,89,70,15,4,23,3,88,5,18,4,86,5,22,5,22,3,88,4,22,4,86,5,5,3,87,3,88,3,86,4,5,4,4,4,21,4,22,4,4,71,4,5,4,4,4,3,87,63,4,4,4,87,4,71,4,5,4,5,3,70,4,4,22,3,22,6,4,4,22,5,23,3,21,71,3,66,4,3,88,6,17,5,21,90,2,2.0
5,74,4,6,2,69,72,74,6,73,18,73,17,69,19,3,90,5,77,16,74,72,7,3,7,86,7,5,85,7,71,19,71,18,84,16,87,6,86,6,4,7,14,74,15,73,13,87,16,8,74,7,73,7,5,18,2,20,3,77,73,16,3,20,4,89,4,18,15,76,17,20,5,19,2,76,3,19,16,72,18,7,2,75,2,89,13,75,17,7,2,7,15,19,3,19,3,7,73,7,17,7,3,7,2,74,69,7,15,7,84,7,74,7,4,7,17,6,73,7,15,18,4,19,18,7,15,21,5,20,13,19,73,6,71,7,4,75,17,18,16,19,87,5,2.0
4,81,4,5,2,71,79,79,5,78,11,78,11,74,14,3,90,4,83,9,80,75,6,3,6,87,6,4,86,5,74,14,75,14,85,10,88,5,87,5,4,6,9,81,10,80,7,87,9,7,79,6,79,6,5,11,3,14,3,83,78,10,3,15,3,89,4,11,8,81,9,14,5,15,3,83,4,15,10,79,10,6,3,82,2,89,7,81,11,6,3,6,10,14,3,15,4,6,78,6,11,6,3,6,3,81,74,6,10,6,85,6,79,6,4,6,11,5,78,6,9,14,3,15,11,6,8,15,4,14,7,14,79,5,75,6,3,82,10,11,10,14,88,4,1.0
5,86,4,4,2,77,83,82,4,79,10,79,9,77,11,3,90,4,88,6,85,80,6,3,6,86,4,2,85,4,78,12,78,10,83,8,88,3,87,3,2,5,3,85,4,84,3,87,4,7,81,5,80,4,5,10,2,12,3,88,79,8,2,12,3,89,2,10,4,86,6,13,5,11,2,87,2,11,5,84,7,7,2,86,2,89,3,86,5,6,2,6,4,11,2,11,3,5,79,4,4,4,3,5,2,85,77,5,4,5,83,4,81,4,3,5,6,3,79,5,3,10,3,11,7,5,4,13,5,13,3,11,81,3,79,4,3,87,6,10,6,11,88,2,2.0
5,56,4,3,2,50,53,54,3,54,40,52,39,50,41,3,90,5,59,37,56,52,5,3,4,89,5,2,88,4,52,42,51,40,87,38,90,3,89,3,4,4,33,56,35,55,31,87,34,5,54,5,52,4,5,40,4,41,3,59,53,38,3,40,4,89,4,39,34,58,37,42,5,41,3,57,4,40,36,53,37,5,4,57,3,89,31,58,36,5,4,4,35,41,4,40,4,4,52,4,35,4,4,4,4,55,50,4,35,4,87,4,53,5,4,4,35,3,54,4,33,40,4,41,37,5,34,42,5,42,31,41,52,3,51,4,4,58,37,40,37,41,90,2,2.0
5,77,4,6,2,75,75,80,6,78,12,76,11,75,13,3,90,4,79,14,76,78,8,3,8,84,7,5,83,6,77,14,76,12,81,10,86,6,85,6,3,8,12,77,13,76,11,87,13,9,80,8,78,7,5,12,2,14,3,79,78,10,2,14,3,89,2,12,12,77,14,14,5,13,2,79,2,13,13,75,15,8,2,78,2,89,11,77,14,8,2,8,13,13,2,13,3,7,77,7,14,7,3,7,2,77,75,7,13,7,82,7,79,7,3,7,15,6,78,7,12,12,3,13,15,8,12,15,5,14,11,13,79,6,77,7,3,78,14,12,14,13,86,5,1.0
5,85,4,4,2,73,83,80,4,77,11,77,10,73,13,3,90,4,87,6,84,77,6,3,6,86,4,2,85,4,75,14,75,12,83,8,88,3,87,3,2,5,4,85,5,84,3,87,5,7,79,5,78,4,5,11,2,14,3,87,77,8,2,14,3,89,2,11,4,85,6,14,5,13,2,87,2,13,5,83,7,6,2,86,2,89,3,85,6,6,2,6,5,13,2,13,3,5,77,4,5,4,3,5,2,85,73,5,5,5,83,4,79,4,3,5,7,3,77,5,4,12,3,13,7,5,4,15,5,14,3,13,79,3,76,4,3,86,6,11,6,13,88,2,2.0
5,77,4,6,2,70,75,78,6,77,12,76,12,73,15,3,90,4,81,12,76,74,7,3,7,86,7,5,85,6,73,16,73,15,84,11,87,6,86,6,4,7,8,79,11,76,6,87,9,8,78,7,77,7,5,12,3,16,3,81,77,12,3,16,3,89,4,12,8,79,12,16,5,15,2,81,3,15,11,76,13,7,2,80,2,89,8,79,12,7,3,7,12,15,3,15,3,7,76,7,13,7,3,7,2,77,73,7,12,7,84,7,78,7,4,7,13,6,77,7,9,15,3,15,13,7,8,17,5,16,8,15,77,6,73,7,3,80,12,12,12,15,87,5,1.0
