@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMac numeric
@attribute o1atLih numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o2atMee numeric
@attribute o2atLee numeric
@attribute o2atLkk numeric
@attribute o2atMaa numeric
@attribute o2atMff numeric
@attribute o2atLff numeric
@attribute o2atMgg numeric
@attribute o2atLgg numeric
@attribute o2atMhh numeric
@attribute o2atLhh numeric
@attribute o2atMii numeric
@attribute o2atLii numeric
@attribute o2atMjj numeric
@attribute o2atLjj numeric
@attribute o2atMef numeric
@attribute o2atLef numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMfg numeric
@attribute o2atLfg numeric
@attribute o2atMgh numeric
@attribute o2atLgh numeric
@attribute o2atMhi numeric
@attribute o2atLhi numeric
@attribute o2atMij numeric
@attribute o2atLij numeric
@attribute o2atMbe numeric
@attribute o2atLbe numeric
@attribute o2atMfk numeric
@attribute o2atLfk numeric
@attribute o2atMkb numeric
@attribute o2atLkb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMji numeric
@attribute o2atLji numeric
@attribute o2atMih numeric
@attribute o2atLih numeric
@attribute o2atMhg numeric
@attribute o2atLhg numeric
@attribute o2atMgf numeric
@attribute o2atLgf numeric
@attribute o2atMjk numeric
@attribute o2atLjk numeric
@attribute o2atMeh numeric
@attribute o2atLeh numeric
@attribute o2atMia numeric
@attribute o2atLia numeric
@attribute o2atMkj numeric
@attribute o2atLkj numeric
@attribute o2atMfh numeric
@attribute o2atLfh numeric
@attribute o2atMha numeric
@attribute o2atLha numeric
@attribute o2atMeg numeric
@attribute o2atLeg numeric
@attribute o2atMjh numeric
@attribute o2atLjh numeric
@attribute o2atMfa numeric
@attribute o2atLfa numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMka numeric
@attribute o2atLka numeric
@attribute o2atMdf numeric
@attribute o2atLdf numeric
@attribute o2atMgd numeric
@attribute o2atLgd numeric
@attribute o2atMda numeric
@attribute o2atLda numeric
@attribute o2atMik numeric
@attribute o2atLik numeric
@attribute o2atMfi numeric
@attribute o2atLfi numeric
@attribute o2atMgk numeric
@attribute o2atLgk numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMcf numeric
@attribute o2atLcf numeric
@attribute o2atMhb numeric
@attribute o2atLhb numeric
@attribute o2atMki numeric
@attribute o2atLki numeric
@attribute o2atMib numeric
@attribute o2atLib numeric
@attribute o2atMei numeric
@attribute o2atLei numeric
@attribute o2atMig numeric
@attribute o2atLig numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMhf numeric
@attribute o2atLhf numeric
@attribute o2atMfj numeric
@attribute o2atLfj numeric
@attribute o2atMjc numeric
@attribute o2atLjc numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o2atMad numeric
@attribute o2atLad numeric
@attribute o2atMja numeric
@attribute o2atLja numeric
@attribute o2atMgi numeric
@attribute o2atLgi numeric
@attribute o2atMic numeric
@attribute o2atLic numeric
@attribute o2atMfe numeric
@attribute o2atLfe numeric
@attribute o2atMhk numeric
@attribute o2atLhk numeric
@attribute o2atMke numeric
@attribute o2atLke numeric
@attribute o2atMea numeric
@attribute o2atLea numeric
@attribute o2atMga numeric
@attribute o2atLga numeric
@attribute o2atMkc numeric
@attribute o2atLkc numeric
@attribute o2atMkf numeric
@attribute o2atLkf numeric
@attribute o2atMhe numeric
@attribute o2atLhe numeric
@attribute o2atMjf numeric
@attribute o2atLjf numeric
@attribute o2atMhj numeric
@attribute o2atLhj numeric
@attribute o2atMgj numeric
@attribute o2atLgj numeric
@attribute o2atMjb numeric
@attribute o2atLjb numeric
@attribute o2atMhd numeric
@attribute o2atLhd numeric
@attribute o2atMjd numeric
@attribute o2atLjd numeric
@attribute o2atMid numeric
@attribute o2atLid numeric
@attribute o2atMkh numeric
@attribute o2atLkh numeric
@attribute o2atMjg numeric
@attribute o2atLjg numeric
@attribute o2atMie numeric
@attribute o2atLie numeric
@attribute o2atMje numeric
@attribute o2atLje numeric
@attribute o2atMkd numeric
@attribute o2atLkd numeric
@attribute o2atMif numeric
@attribute o2atLif numeric
@attribute o2atMkg numeric
@attribute o2atLkg numeric
@attribute o2atMej numeric
@attribute o2atLej numeric
@attribute o2atMhc numeric
@attribute o2atLhc numeric
@attribute o2atMge numeric
@attribute o2atLge numeric
@attribute o2atMgc numeric
@attribute o2atLgc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMae numeric
@attribute o2atLae numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMbf numeric
@attribute o2atLbf numeric
@attribute o2atMgb numeric
@attribute o2atLgb numeric
@attribute o2atMdg numeric
@attribute o2atLdg numeric
@attribute o3atMff numeric
@attribute o3atLff numeric
@attribute o3atMgg numeric
@attribute o3atLgg numeric
@attribute o3atMfg numeric
@attribute o3atLfg numeric
@attribute o3atMfk numeric
@attribute o3atLfk numeric
@attribute o3atMgf numeric
@attribute o3atLgf numeric
@attribute o3atMee numeric
@attribute o3atLee numeric
@attribute o3atMef numeric
@attribute o3atLef numeric
@attribute o3atMek numeric
@attribute o3atLek numeric
@attribute o3atMfe numeric
@attribute o3atLfe numeric
@attribute o3atMge numeric
@attribute o3atLge numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMhh numeric
@attribute o3atLhh numeric
@attribute o3atMii numeric
@attribute o3atLii numeric
@attribute o3atMgh numeric
@attribute o3atLgh numeric
@attribute o3atMhi numeric
@attribute o3atLhi numeric
@attribute o3atMhk numeric
@attribute o3atLhk numeric
@attribute o3atMih numeric
@attribute o3atLih numeric
@attribute o3atMhg numeric
@attribute o3atLhg numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMig numeric
@attribute o3atLig numeric
@attribute o3atMeg numeric
@attribute o3atLeg numeric
@attribute o3atMjh numeric
@attribute o3atLjh numeric
@attribute o3atMdk numeric
@attribute o3atLdk numeric
@attribute o3atMhf numeric
@attribute o3atLhf numeric
@attribute o3atMgk numeric
@attribute o3atLgk numeric
@attribute o3atLik numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMck numeric
@attribute o3atLck numeric
@attribute o3atMji numeric
@attribute o3atLji numeric
@attribute o3atMcc numeric
@attribute o3atMfd numeric
@attribute o3atLfd numeric
@attribute o3atMjf numeric
@attribute o3atLjf numeric
@attribute o3atMeh numeric
@attribute o3atLeh numeric
@attribute destClass {1.0,2.0}

@data
28,25,31,1,4,30,29,2,1,26,29,2,5,26,1,0,31,0,0,30,5,25,0,31,1,2,5,2,0,30,0,30,31,0,31,0,1,0,31,0,0,31,29,0,29,0,5,0,0,30,0,30,0,0,0,2,0,26,0,0,31,0,6,26,1,1,14,22,18,13,22,9,25,5,28,2,8,24,2,29,15,15,19,10,23,6,26,3,4,27,16,2,4,2,2,29,26,3,23,6,19,10,15,14,29,1,8,11,2,7,29,1,15,11,2,11,8,15,23,3,2,23,4,26,3,27,2,2,4,24,3,14,2,27,27,1,15,7,20,1,2,27,4,24,3,11,27,1,3,7,8,7,19,6,4,26,15,10,15,4,3,3,2,27,2,27,2,4,19,6,3,6,6,22,24,1,7,1,2,27,2,15,4,1,16,1,6,10,15,3,23,3,19,3,3,4,3,10,3,3,3,6,24,1,19,3,6,6,6,3,4,1,15,6,20,1,8,4,3,10,6,14,3,14,3,26,2,27,3,26,3,26,4,24,3,15,4,15,27,31,30,1,28,3,29,1,28,2,0,31,0,31,0,1,0,31,0,2,0,31,0,31,30,0,30,0,30,0,30,0,31,0,30,0,30,0,0,31,30,0,0,3,30,0,0,1,28,0,31,0,0,0,31,0,31,0,1,30,0,0,0,31,28,0,0,1,1.0
31,26,31,0,3,30,31,0,1,27,31,0,4,27,1,0,31,0,0,30,4,26,0,31,1,0,4,0,0,30,0,30,31,0,31,0,1,0,31,0,0,31,31,0,31,0,4,0,0,30,0,30,0,0,0,0,0,27,0,0,31,0,9,26,4,2,13,19,17,15,19,11,23,9,25,6,10,21,3,28,14,16,19,12,21,11,24,7,4,27,15,5,4,5,2,28,24,7,20,9,17,11,13,15,26,5,11,13,3,10,26,5,15,12,2,12,10,17,20,7,2,20,4,26,3,27,3,5,4,21,3,15,2,27,24,5,15,11,19,5,3,27,4,21,3,11,24,5,4,9,11,11,18,9,4,26,13,11,15,7,4,7,2,27,3,27,3,7,19,11,4,9,9,19,21,5,10,5,2,27,2,16,4,5,14,5,9,11,14,7,21,7,19,7,4,7,3,11,4,7,4,9,20,5,18,7,10,9,10,7,4,5,14,9,18,5,11,7,3,11,9,15,3,15,3,26,3,27,3,26,3,26,4,21,3,15,4,17,29,8,30,0,29,0,30,0,30,1,19,31,20,10,21,1,21,10,21,1,0,31,0,31,30,0,30,0,30,0,30,0,31,0,30,0,30,0,0,31,30,0,20,1,30,0,0,1,30,0,31,0,0,0,31,0,31,0,1,30,0,0,0,10,30,0,20,1,1.0
3,27,29,24,2,30,4,25,0,28,5,26,3,28,1,1,30,1,0,30,2,27,0,31,0,26,3,26,0,30,0,30,29,0,29,0,0,1,29,1,0,31,5,1,5,1,3,1,0,30,0,30,0,0,0,26,0,28,0,1,30,0,5,25,0,3,15,24,20,11,24,7,27,5,31,2,6,25,4,27,17,14,22,8,25,6,28,3,5,26,18,0,5,0,3,27,28,3,25,6,22,8,16,12,31,0,6,9,4,6,31,0,18,9,4,9,6,14,25,3,3,25,5,25,4,26,4,0,5,25,4,12,3,26,28,0,18,6,22,0,4,26,5,25,5,8,28,0,5,6,6,6,22,6,5,25,17,8,18,3,5,3,3,26,4,26,4,3,22,6,5,6,5,24,25,0,6,0,3,26,3,13,5,0,17,0,6,8,17,3,25,3,22,3,5,3,5,8,5,3,5,6,25,0,22,3,6,6,6,3,5,0,17,6,22,0,6,3,5,8,5,12,4,12,4,25,4,26,4,25,4,25,5,25,4,12,5,14,27,28,30,1,28,2,29,0,28,1,1,31,1,29,2,1,1,29,2,2,0,31,0,31,30,0,30,0,30,0,30,0,31,0,30,0,30,0,0,31,30,0,1,3,30,0,0,1,28,0,31,0,0,0,31,0,31,0,1,30,0,0,0,29,28,0,1,1,2.0
24,16,31,4,14,29,26,6,1,17,25,5,14,16,1,0,31,0,2,30,15,17,1,31,1,6,14,5,1,30,1,29,31,0,31,0,1,0,31,0,1,30,25,0,25,0,14,0,0,30,1,30,0,0,1,5,1,16,1,0,31,0,4,26,2,2,4,25,10,25,20,17,24,7,27,5,4,26,3,28,5,25,12,19,22,9,25,6,4,27,5,3,4,3,2,28,25,5,21,8,11,18,4,25,28,3,5,19,3,9,28,3,5,19,2,19,5,26,22,6,2,26,4,26,3,27,3,3,4,26,3,25,2,27,25,3,5,9,12,3,3,27,4,26,3,18,25,3,4,8,5,9,12,8,4,26,4,18,5,6,4,6,2,27,3,27,3,6,12,9,4,8,4,25,22,3,5,3,2,27,2,26,4,3,5,3,4,18,5,6,22,6,12,6,4,6,3,18,4,6,4,8,22,3,12,6,5,8,5,6,4,3,5,8,12,3,5,6,3,18,4,25,3,25,3,26,3,27,3,26,3,26,4,26,3,25,4,26,23,24,30,4,24,5,25,0,25,6,5,29,5,25,6,1,6,25,6,6,1,30,1,30,30,0,30,0,30,0,30,0,31,0,30,0,30,0,0,31,30,0,5,6,30,0,1,1,25,0,31,0,0,0,31,0,31,0,1,30,0,0,1,25,25,0,5,1,2.0
9,26,31,18,2,30,11,19,0,28,11,19,2,27,1,0,31,0,0,30,3,27,0,31,1,20,3,20,0,30,0,30,31,0,31,0,1,0,31,0,0,31,11,0,11,0,3,0,0,30,0,30,0,0,0,20,0,27,0,0,31,0,4,26,2,2,9,25,19,19,23,10,24,6,27,5,5,26,3,28,11,21,20,11,24,7,25,6,4,27,11,3,4,3,2,28,25,5,23,7,20,11,10,20,28,3,5,11,3,7,28,3,11,11,3,11,5,21,24,6,3,26,4,26,3,27,3,3,4,26,4,20,2,27,25,3,11,7,20,3,3,27,4,26,4,11,25,3,4,7,5,7,20,7,4,26,10,11,11,6,4,6,2,27,3,27,3,6,20,7,4,7,5,25,24,3,5,3,2,27,3,20,4,3,10,3,5,11,10,6,24,6,20,6,4,6,4,11,4,6,4,7,24,3,20,6,5,7,5,6,4,3,10,7,20,3,5,6,4,11,5,20,4,20,3,26,3,27,3,26,3,26,4,26,4,20,4,21,30,8,30,0,30,0,31,0,30,0,17,31,19,11,20,1,20,11,20,0,0,31,0,31,30,0,30,0,30,0,30,0,31,0,30,0,30,0,0,31,30,0,19,1,30,0,0,1,30,0,31,0,0,0,31,0,31,0,1,30,0,0,0,11,30,0,19,1,1.0
19,26,31,8,3,30,21,9,0,27,21,10,4,27,1,0,31,0,0,30,3,26,0,31,1,10,4,10,0,30,0,30,31,0,31,0,1,0,31,0,0,31,21,0,21,0,4,0,0,30,0,30,0,0,0,10,0,27,0,0,31,0,5,25,1,2,16,23,18,11,20,9,23,7,28,4,7,25,3,28,17,13,19,10,21,8,24,5,4,26,18,2,4,1,2,28,24,5,21,8,19,10,17,12,29,1,7,11,2,9,29,1,17,11,2,11,7,13,21,5,2,24,5,26,4,27,3,2,5,25,4,12,2,27,25,1,17,9,20,1,3,27,4,25,3,10,25,1,3,8,7,9,19,8,4,26,17,10,17,6,3,5,2,27,3,27,2,6,19,8,3,8,5,23,22,1,6,1,2,26,2,13,4,1,18,1,5,10,17,5,21,5,19,5,3,5,4,10,4,5,4,8,22,1,19,5,5,8,5,5,5,1,17,8,20,1,7,6,3,10,5,12,3,12,4,26,3,26,4,26,4,25,4,25,3,12,5,13,28,21,30,0,29,1,30,0,29,1,6,31,7,23,8,1,8,23,8,1,0,31,0,31,30,0,30,0,30,0,30,0,31,0,30,0,30,0,0,31,30,0,7,2,30,0,0,1,29,0,31,0,0,0,31,0,31,0,1,30,0,0,0,23,29,0,7,1,2.0
31,0,31,0,29,20,31,0,1,1,31,0,30,1,1,0,31,0,9,23,30,1,1,31,1,0,30,0,6,30,8,22,31,0,31,0,1,0,31,0,1,23,31,0,31,0,30,0,0,30,1,30,0,0,8,0,8,1,8,0,31,0,9,24,0,2,13,19,21,15,24,8,26,5,31,3,10,20,3,28,15,16,22,9,25,6,27,4,4,25,15,0,4,0,2,28,27,4,25,6,22,9,14,15,31,0,11,9,3,6,31,0,15,9,3,9,11,17,25,4,3,20,5,25,4,27,3,0,6,21,6,16,3,27,27,0,15,6,22,0,3,27,4,21,4,9,27,0,4,6,11,6,22,6,4,25,14,9,15,4,4,4,2,27,3,27,3,4,22,6,4,6,9,19,25,0,10,0,3,25,3,16,4,0,14,0,10,9,14,4,25,4,22,4,4,4,6,9,6,4,6,6,25,0,22,4,10,6,10,4,6,0,14,6,22,0,11,4,4,9,10,15,4,16,4,26,3,25,5,26,5,25,4,21,4,16,6,17,0,31,4,31,0,31,0,1,0,31,0,31,0,31,0,1,0,31,0,31,0,31,0,31,25,26,30,3,5,27,26,5,27,1,26,4,4,26,0,31,4,4,0,31,26,0,0,1,0,26,5,1,0,0,31,0,31,0,1,30,0,0,0,31,0,0,0,27,2.0
21,29,31,4,0,30,24,6,0,30,24,7,1,30,1,0,31,0,0,30,0,29,0,31,1,7,1,7,0,30,0,30,31,0,31,0,1,0,31,0,0,31,24,0,24,0,1,0,0,30,0,30,0,0,0,7,0,30,0,0,31,0,9,26,3,2,15,19,18,13,20,10,22,8,24,6,11,21,3,28,16,15,19,11,22,9,23,8,4,27,17,5,4,4,2,28,22,6,20,8,18,10,15,13,26,4,11,12,2,9,26,4,16,12,2,11,11,15,20,6,2,20,4,26,3,27,3,5,4,21,3,13,2,27,24,5,17,10,20,5,3,27,4,21,3,10,23,4,3,8,11,10,18,8,4,26,15,10,17,8,3,6,2,27,3,27,2,7,20,9,3,8,9,19,22,5,10,4,2,27,2,14,4,4,16,4,9,10,15,6,22,8,20,8,3,6,3,10,3,6,3,8,21,4,18,6,9,8,9,6,4,4,15,8,19,4,11,8,3,10,9,13,3,13,3,26,3,27,3,26,3,26,4,21,3,13,4,15,28,11,29,1,28,1,29,0,29,2,16,31,17,13,18,1,18,13,18,2,0,31,0,31,30,0,30,0,29,0,30,0,31,0,30,0,30,1,0,31,30,0,17,2,30,0,0,1,29,1,30,0,0,0,31,0,31,0,1,30,0,0,0,13,29,0,17,1,1.0
16,30,31,11,0,30,18,12,0,31,18,13,0,30,1,0,31,0,0,30,0,30,0,31,1,13,0,13,0,30,0,30,31,0,31,0,1,0,31,0,0,31,18,0,18,0,0,0,0,30,0,30,0,0,0,13,0,30,0,0,31,0,5,25,1,2,13,24,18,14,20,9,23,7,28,4,6,25,3,28,15,16,19,11,21,8,24,5,4,26,15,2,4,1,2,28,24,5,21,8,19,10,14,15,29,1,6,11,2,9,29,1,15,11,2,11,6,16,21,5,2,25,5,26,4,27,3,2,5,25,4,15,2,27,25,1,15,9,20,2,3,27,4,25,3,10,25,1,3,8,6,9,19,8,4,26,14,10,15,6,3,5,2,27,3,27,2,6,19,9,3,8,5,24,22,1,6,1,2,26,2,16,4,1,15,1,5,10,14,5,21,5,19,6,3,5,4,10,4,5,4,8,22,1,19,5,5,8,5,5,5,1,14,8,20,1,6,6,3,10,5,15,3,15,4,26,3,26,4,26,4,25,4,25,3,15,5,16,30,14,30,0,30,0,31,0,30,0,13,31,14,16,15,1,15,16,15,0,0,31,0,31,30,0,30,0,30,0,30,0,31,0,30,0,30,0,0,31,30,0,14,1,30,0,0,1,30,0,31,0,0,0,31,0,31,0,1,30,0,0,0,16,30,0,14,1,2.0
10,27,31,15,1,30,13,17,0,29,13,18,2,28,1,0,31,0,0,30,2,28,0,31,1,18,2,18,0,30,0,30,31,0,31,0,1,0,31,0,0,31,13,0,13,0,2,0,0,30,0,30,0,0,0,18,0,28,0,0,31,0,4,25,3,2,10,25,18,18,22,10,24,7,26,5,5,25,2,28,11,20,20,11,23,8,25,6,4,26,12,4,4,4,3,28,24,6,23,8,19,10,10,18,27,4,5,12,3,8,27,3,12,12,3,11,5,20,23,6,3,26,4,25,4,26,3,4,5,25,4,18,3,26,25,4,12,8,20,4,3,27,5,26,4,11,25,4,4,8,5,8,19,8,4,26,11,10,12,6,5,6,3,27,3,26,3,6,20,8,5,8,4,25,23,4,5,4,3,26,3,19,5,4,11,4,5,10,11,6,23,6,20,6,4,6,5,10,5,6,5,8,23,4,19,6,5,8,5,6,5,4,11,8,19,4,5,6,5,10,4,18,4,18,4,26,3,26,4,25,4,25,4,26,3,19,5,20,30,12,30,0,30,0,31,0,30,0,17,31,17,13,18,1,18,13,18,0,0,31,0,31,30,0,30,0,30,0,30,0,31,0,30,0,30,0,0,31,30,0,17,1,30,0,0,1,30,0,31,0,0,0,31,0,31,0,1,30,0,0,0,13,30,0,17,1,1.0
