@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atLddd numeric
@attribute o1atMabb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o2atMeea numeric
@attribute o2atLeea numeric
@attribute o2atMaaa numeric
@attribute o2atMccc numeric
@attribute o2atLccc numeric
@attribute o2atMcee numeric
@attribute o2atLcee numeric
@attribute o2atMcdd numeric
@attribute o2atLcdd numeric
@attribute o2atMddc numeric
@attribute o2atLddc numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMcce numeric
@attribute o2atLcce numeric
@attribute o2atMeaa numeric
@attribute o2atLeaa numeric
@attribute o2atMdde numeric
@attribute o2atLdde numeric
@attribute o2atLeee numeric
@attribute o2atMedd numeric
@attribute o2atLedd numeric
@attribute o2atMccd numeric
@attribute o2atLccd numeric
@attribute o2atMddd numeric
@attribute o2atLddd numeric
@attribute o2atMdee numeric
@attribute o2atLdee numeric
@attribute o2atMeed numeric
@attribute o2atLeed numeric
@attribute o2atMdcc numeric
@attribute o2atLdcc numeric
@attribute o2atMdea numeric
@attribute o2atLdea numeric
@attribute o2atMcde numeric
@attribute o2atLcde numeric
@attribute o2atMacc numeric
@attribute o2atLacc numeric
@attribute o2atMcda numeric
@attribute o2atLcda numeric
@attribute o2atMaac numeric
@attribute o2atLaac numeric
@attribute o2atMdaa numeric
@attribute o2atLdaa numeric
@attribute o2atMdda numeric
@attribute o2atLdda numeric
@attribute o2atMbcd numeric
@attribute o2atLbcd numeric
@attribute o2atMcaa numeric
@attribute o2atLcaa numeric
@attribute o2atMcdc numeric
@attribute o2atLcdc numeric
@attribute o2atMdca numeric
@attribute o2atLdca numeric
@attribute o2atMedc numeric
@attribute o2atLedc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMcba numeric
@attribute o2atLcba numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMdcd numeric
@attribute o2atLdcd numeric
@attribute o2atMcea numeric
@attribute o2atLcea numeric
@attribute o2atMcdb numeric
@attribute o2atLcdb numeric
@attribute o2atMdba numeric
@attribute o2atLdba numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atMeca numeric
@attribute o2atLeca numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMdec numeric
@attribute o2atLdec numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMdeb numeric
@attribute o2atLdeb numeric
@attribute o2atMeba numeric
@attribute o2atLeba numeric
@attribute o2atMcca numeric
@attribute o2atLcca numeric
@attribute o2atMcec numeric
@attribute o2atLcec numeric
@attribute o2atMceb numeric
@attribute o2atLceb numeric
@attribute o2atMcbc numeric
@attribute o2atLcbc numeric
@attribute o2atMded numeric
@attribute o2atLded numeric
@attribute o2atMeda numeric
@attribute o2atLeda numeric
@attribute o2atMeeb numeric
@attribute o2atLeeb numeric
@attribute o2atMced numeric
@attribute o2atLced numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMbde numeric
@attribute o2atLbde numeric
@attribute o2atMbbd numeric
@attribute o2atLbbd numeric
@attribute o2atMbce numeric
@attribute o2atLbce numeric
@attribute o2atMbdb numeric
@attribute o2atLbdb numeric
@attribute o2atMbdd numeric
@attribute o2atLbdd numeric
@attribute o2atMbdc numeric
@attribute o2atLbdc numeric
@attribute o2atMeec numeric
@attribute o2atLeec numeric
@attribute o3atMccc numeric
@attribute o3atLccc numeric
@attribute o3atMcce numeric
@attribute o3atLcce numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbbb numeric
@attribute o3atMbbe numeric
@attribute o3atLbbe numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMbce numeric
@attribute o3atLbce numeric
@attribute o3atMcdd numeric
@attribute o3atLcdd numeric
@attribute o3atLdde numeric
@attribute o3atMccd numeric
@attribute o3atLccd numeric
@attribute o3atMddd numeric
@attribute o3atLddd numeric
@attribute o3atMdcc numeric
@attribute o3atLdcc numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMcbe numeric
@attribute o3atLcbe numeric
@attribute o3atMddc numeric
@attribute o3atLddc numeric
@attribute o3atMcdc numeric
@attribute o3atLcdc numeric
@attribute o3atMedc numeric
@attribute o3atLedc numeric
@attribute o3atMdcd numeric
@attribute o3atLdcd numeric
@attribute o3atMdce numeric
@attribute o3atLdce numeric
@attribute o3atMcde numeric
@attribute o3atLcde numeric
@attribute o3atMedd numeric
@attribute o3atLedd numeric
@attribute o3atMecc numeric
@attribute o3atLecc numeric
@attribute o3atMded numeric
@attribute o3atLded numeric
@attribute destClass {1.0,2.0}

@data
1,30,27,29,28,1,28,1,28,1,1,0,29,0,29,0,29,0,0,0,0,29,0,29,1,29,1,1,0,29,0,29,0,29,0,1,0,1,0,29,0,30,1,1,0,30,4,3,2,14,23,18,3,16,10,16,9,3,26,4,25,5,24,16,5,3,5,23,3,1,23,3,15,12,21,8,25,2,25,2,15,10,2,4,17,4,4,24,2,12,3,25,2,12,2,10,5,12,2,25,14,11,2,11,17,3,3,23,2,24,2,26,16,8,2,5,3,11,2,11,4,24,3,4,3,24,16,3,3,25,3,3,3,4,2,24,14,4,3,4,4,23,21,3,3,4,5,2,16,4,3,24,5,4,4,12,5,5,3,11,5,10,5,11,18,2,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,7,2,13,23,17,7,16,13,13,11,3,26,4,25,5,24,15,9,3,8,20,8,6,19,7,15,15,18,11,22,7,21,7,13,11,3,9,17,9,4,24,2,14,3,25,2,13,2,12,5,15,2,25,13,13,2,12,14,7,3,23,2,24,2,26,15,11,2,9,3,13,2,12,4,24,3,7,3,24,14,8,3,25,4,8,3,7,2,24,13,8,3,8,4,23,19,8,3,7,5,7,16,8,3,24,5,9,4,15,5,9,3,13,5,13,5,13,15,7,29,19,30,0,9,21,10,20,8,9,1,9,19,9,0,29,0,0,29,0,29,0,29,0,8,20,8,20,8,19,10,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
0,30,14,29,14,11,15,10,16,12,1,9,19,9,18,8,18,7,6,0,0,29,0,29,0,29,0,12,0,29,0,29,0,29,0,12,0,12,0,29,0,30,0,11,0,30,5,3,3,16,23,20,3,20,9,19,9,3,25,4,24,5,23,18,4,4,4,25,4,2,25,4,18,11,24,8,26,3,26,3,17,9,5,4,20,4,5,24,4,11,4,25,4,10,5,9,5,11,3,25,17,10,4,9,19,4,3,23,3,24,3,25,19,8,4,4,4,10,4,9,4,23,4,4,3,23,19,4,3,24,5,4,4,4,3,24,17,4,4,4,4,23,24,4,5,4,5,3,20,4,3,23,5,4,4,11,5,4,3,10,5,9,5,10,19,3,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,22,30,21,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,1,8,23,7,29,9,22,1,0,7,21,7,21,8,21,7,0,1,0,7,22,1,23,1,0,1,22,4,6,2,6,23,10,6,10,18,10,17,3,26,4,25,4,24,8,7,3,7,22,7,5,22,7,8,19,21,16,23,6,23,6,8,18,4,7,10,7,4,24,2,20,3,25,3,20,4,18,5,20,2,25,6,19,3,19,10,7,3,23,2,24,2,26,10,16,2,7,3,19,3,19,4,24,3,7,3,24,10,7,3,25,5,7,3,7,2,24,6,7,3,7,4,23,21,7,4,7,5,6,10,7,3,24,5,7,4,20,5,7,3,19,5,18,4,19,10,6,29,24,30,0,4,26,5,25,3,4,1,4,24,4,0,29,0,0,29,0,29,0,29,0,3,25,3,25,3,24,5,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
0,30,25,29,27,1,26,1,27,2,1,0,29,0,28,0,28,0,0,0,0,29,0,29,0,29,1,2,0,29,0,29,0,29,0,2,0,2,0,29,0,30,0,1,0,30,4,5,2,14,23,18,5,18,11,16,11,3,26,4,25,5,24,16,6,3,6,23,6,4,23,5,16,13,22,10,24,5,24,5,15,11,4,6,18,6,4,24,3,13,3,25,3,12,4,11,5,13,3,25,15,13,4,12,17,6,4,23,3,24,2,26,17,10,3,6,4,13,3,12,4,24,4,6,3,24,16,6,3,25,5,6,3,6,3,24,15,6,4,6,5,23,22,6,4,6,5,5,18,6,3,24,5,6,4,13,5,6,3,13,5,11,5,13,17,5,29,23,30,0,5,25,6,24,4,5,1,5,23,5,0,29,0,0,29,0,29,0,29,0,4,24,4,24,4,23,6,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,4,2,14,23,18,4,16,10,16,9,3,26,4,25,5,24,16,6,3,6,22,4,2,22,4,15,12,20,8,24,3,24,3,15,10,2,5,17,5,4,24,2,12,3,25,2,12,2,10,5,12,2,25,14,11,2,11,17,4,3,23,2,24,2,26,16,8,2,6,3,11,2,11,4,24,3,5,3,24,16,4,3,25,3,4,3,5,2,24,14,5,3,5,4,23,20,4,3,5,5,3,16,5,3,24,5,5,4,12,5,6,3,11,5,10,5,11,18,3,29,27,30,0,0,29,1,28,0,0,1,1,28,1,1,29,0,0,29,0,29,0,29,0,0,29,0,29,0,28,1,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,1,30,0,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,1,27,2,26,29,28,1,1,0,27,2,28,1,28,0,27,0,1,0,26,2,1,2,1,0,1,2,4,3,2,17,21,19,3,19,12,17,11,3,26,4,24,7,23,18,4,3,4,25,4,2,25,4,18,13,24,11,26,3,26,3,17,11,4,4,19,4,4,23,4,12,3,24,3,11,4,11,7,13,3,23,17,12,4,11,17,4,6,22,4,23,3,26,18,11,4,4,6,12,4,11,5,23,4,4,4,24,17,4,3,25,6,4,4,4,4,22,17,4,6,4,6,21,24,4,4,4,6,3,19,4,4,24,7,4,5,13,7,4,4,12,7,12,7,12,17,3,1,30,2,1,0,30,0,30,0,0,1,0,30,0,1,3,28,1,2,29,29,27,1,27,0,30,0,30,0,30,0,1,1,27,1,28,1,0,2,27,2,1,3,1,29,0,1,0,29,0,2.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,5,2,15,23,19,6,18,11,15,9,3,26,4,25,5,24,17,8,3,6,22,7,5,21,5,17,13,20,9,24,6,22,5,15,9,3,7,19,8,4,24,2,12,3,25,2,11,2,10,5,13,2,25,15,11,2,10,16,5,3,23,2,24,2,26,17,9,2,7,3,11,2,10,4,24,3,5,3,24,16,6,3,25,4,6,3,5,2,24,15,6,3,6,4,23,21,6,3,5,5,5,18,6,3,24,5,8,4,13,5,8,3,11,5,11,5,11,17,5,28,19,29,0,9,21,10,20,8,9,1,9,19,9,0,28,0,0,28,0,29,0,29,1,8,20,8,20,8,19,10,0,29,0,28,0,29,0,29,0,30,0,29,0,29,0,29,0,29,0,1.0
1,30,26,29,26,2,27,2,27,2,1,1,28,1,28,1,28,0,0,0,0,29,0,29,1,29,1,2,0,29,0,29,0,29,0,2,0,2,0,29,0,30,1,2,0,30,4,4,2,14,23,18,4,16,10,16,9,3,26,4,25,5,24,16,6,3,6,22,4,2,22,4,15,12,20,8,24,3,24,3,15,10,2,5,17,5,4,24,2,12,3,25,2,12,2,10,5,12,2,25,14,11,2,11,17,4,3,23,2,24,2,26,16,8,2,6,3,11,2,11,4,24,3,5,3,24,16,4,3,25,3,4,3,5,2,24,14,5,3,5,4,23,20,4,3,5,5,3,16,5,3,24,5,5,4,12,5,6,3,11,5,10,5,11,18,3,29,27,30,0,1,29,2,28,0,1,1,1,27,1,0,29,0,0,29,0,29,0,29,0,0,28,0,28,0,27,2,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,30,27,29,28,1,28,1,28,1,1,0,29,0,29,0,29,0,0,0,0,29,0,29,1,29,1,1,0,29,0,29,0,29,0,1,0,1,0,29,0,30,1,1,0,30,4,6,2,12,23,17,6,17,12,15,11,3,26,4,25,5,24,14,7,3,6,23,7,5,22,6,14,15,22,11,24,6,23,6,13,12,4,7,17,7,4,24,3,14,3,25,3,13,4,11,5,15,2,25,14,13,3,12,15,6,3,23,2,24,2,26,16,12,3,7,4,13,3,12,4,24,3,6,3,24,15,7,3,25,5,7,3,6,2,24,14,7,4,7,4,23,22,7,4,6,5,6,17,7,3,24,5,7,4,15,5,7,3,13,5,12,5,13,15,6,29,19,30,0,5,23,8,20,3,5,1,7,20,7,0,29,0,0,29,0,29,0,29,0,5,22,4,22,6,19,8,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
