@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
66,54,37,27,39,56,67,28,39,56,67,28,2.0
67,48,46,24,47,49,69,26,46,48,69,26,2.0
67,60,31,25,33,62,69,27,33,62,68,26,3.0
77,67,25,16,27,69,78,17,26,68,78,17,7.0
69,52,39,22,41,54,71,24,41,54,71,24,6.0
70,52,37,23,40,55,71,24,40,55,71,24,7.0
74,58,33,19,35,60,75,20,35,60,75,20,4.0
67,49,44,25,45,50,69,27,45,50,68,26,5.0
78,61,29,16,32,64,79,17,31,63,78,16,6.0
69,44,45,24,48,47,70,25,48,47,70,25,1.0
73,60,31,20,33,62,74,21,33,62,74,21,5.0
70,48,42,23,45,51,71,24,44,50,71,24,5.0
75,49,41,18,44,52,76,19,43,51,76,19,2.0
77,61,30,16,32,63,78,17,32,63,78,17,3.0
73,59,31,20,34,62,74,21,33,61,74,21,4.0
75,54,38,18,40,56,76,19,39,55,76,19,4.0
70,50,39,23,42,53,71,24,42,53,71,24,5.0
77,73,20,16,21,74,78,17,21,74,78,17,1.0
78,62,25,14,29,66,80,16,29,66,79,15,3.0
69,60,31,23,33,62,71,25,33,62,70,24,4.0
68,64,27,25,29,66,69,26,29,66,69,26,3.0
70,75,18,23,19,76,71,24,19,76,71,24,3.0
74,56,35,19,37,58,75,20,37,58,75,20,4.0
73,46,47,20,48,47,74,21,48,47,74,21,3.0
70,59,32,24,34,61,71,25,34,61,70,24,5.0
77,61,31,16,33,63,78,17,32,62,78,17,4.0
64,66,25,27,27,68,66,29,27,68,66,29,1.0
71,46,46,22,48,48,72,23,47,47,72,23,6.0
75,56,33,18,36,59,76,19,36,59,76,19,4.0
81,64,27,13,29,66,82,14,29,66,81,13,3.0
67,47,43,26,46,50,68,27,45,49,68,27,2.0
55,58,33,34,35,60,58,37,35,60,58,37,2.0
68,57,34,24,36,59,70,26,36,59,69,25,6.0
68,46,45,25,47,48,69,26,47,48,69,26,3.0
74,52,39,19,41,54,75,20,41,54,75,20,6.0
76,54,36,17,39,57,77,18,38,56,77,18,2.0
63,59,31,28,34,62,65,30,33,61,65,30,7.0
73,51,40,20,42,53,74,21,42,53,74,21,4.0
