@relation 'Sax dominant'

@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
66,48,43,66,25,70,27,23,27,68,45,50,67,28,71,24,45,50,27,68,71,24,67,28,67,24,45,28,27,50,2.0
61,45,47,79,12,80,30,13,14,81,49,47,62,32,81,13,48,46,14,81,81,14,63,32,63,14,49,32,14,47,2.0
58,56,35,73,20,73,32,20,21,74,37,58,61,35,74,21,37,58,21,74,74,21,60,34,61,21,37,35,21,58,3.0
74,32,58,89,4,79,19,14,5,90,60,35,75,19,80,15,60,34,5,90,80,15,75,20,75,15,61,20,5,35,7.0
61,44,49,73,18,80,30,13,20,75,49,45,63,31,81,14,50,45,20,75,81,14,63,32,63,14,50,32,20,45,6.0
69,36,54,83,10,73,24,20,11,84,57,39,70,25,74,21,56,38,11,84,74,21,70,25,70,21,57,25,11,39,7.0
71,50,42,76,15,78,22,15,17,78,43,52,72,22,79,16,43,51,17,78,79,16,72,23,72,16,44,23,17,52,4.0
60,45,48,81,12,73,31,20,13,82,49,46,61,33,74,20,49,46,13,82,74,21,62,33,62,21,49,33,13,46,5.0
77,28,64,85,8,79,17,15,9,86,66,30,78,18,80,16,65,29,9,86,79,15,77,17,78,16,66,18,9,30,6.0
68,29,64,82,9,72,25,21,11,84,65,30,69,26,73,22,65,30,11,84,73,22,69,26,69,22,65,26,11,30,1.0
71,52,39,81,10,78,22,15,12,83,41,54,72,23,79,16,41,54,12,83,79,16,72,23,72,16,41,23,12,54,5.0
69,40,50,80,11,72,24,21,13,82,53,43,70,25,73,22,52,42,13,82,73,22,70,25,70,22,53,25,13,43,5.0
74,36,54,84,9,79,19,14,10,85,57,39,75,20,80,15,56,38,10,85,80,15,75,20,75,15,57,20,10,39,2.0
66,45,48,83,10,81,24,12,10,84,49,45,69,27,82,13,49,46,11,84,82,13,68,26,69,13,49,27,11,46,3.0
71,38,53,77,14,76,22,17,16,79,55,40,72,23,77,18,55,40,16,79,77,18,72,23,72,18,55,23,16,40,4.0
73,41,49,76,15,79,20,14,17,78,52,44,74,21,80,15,51,43,17,78,80,15,74,21,74,15,52,21,17,44,4.0
68,38,51,85,8,73,25,20,9,86,54,41,69,26,74,21,54,41,9,86,74,21,69,26,69,21,54,26,9,41,5.0
74,47,46,80,13,84,19,10,14,81,47,48,75,20,85,11,47,48,14,81,84,10,75,20,75,11,47,20,14,48,1.0
76,31,60,85,8,81,17,13,9,86,62,33,77,18,82,14,62,33,9,86,81,13,77,18,77,14,62,18,9,33,3.0
62,55,36,80,13,75,28,18,14,81,38,57,64,31,76,18,38,57,14,81,76,19,64,30,65,19,38,31,14,57,4.0
62,54,37,79,14,73,30,20,15,80,38,56,64,31,74,21,39,56,15,80,74,21,63,31,64,21,39,32,15,56,3.0
57,52,41,79,14,74,33,19,15,80,41,53,60,35,75,20,42,53,15,80,75,20,59,35,60,20,42,36,15,53,3.0
71,49,42,76,15,78,21,15,17,78,44,51,73,23,79,16,44,51,17,78,79,16,72,22,73,16,44,23,17,51,4.0
72,41,50,86,7,77,21,16,8,87,52,43,73,22,78,17,52,43,8,87,78,17,73,22,73,17,52,22,8,43,3.0
66,45,46,81,12,76,27,17,13,82,48,47,67,28,77,18,48,47,13,82,77,18,67,28,67,18,48,28,13,47,5.0
75,54,36,76,14,81,18,12,17,79,39,57,76,19,82,13,38,56,16,78,82,13,76,19,76,13,39,19,17,57,4.0
61,42,49,79,14,71,30,22,15,80,51,44,62,32,72,22,51,44,15,80,72,23,63,32,63,23,51,32,15,44,1.0
68,46,48,82,9,76,24,17,11,84,49,47,69,26,77,17,48,46,11,84,77,18,69,25,70,18,49,26,11,47,6.0
74,38,51,82,9,79,19,14,11,84,54,41,75,20,80,15,54,41,11,84,80,15,75,20,75,15,54,20,11,41,4.0
80,35,55,91,2,82,14,12,3,92,58,38,81,15,83,13,57,37,3,92,82,12,80,14,81,13,58,15,3,38,3.0
66,31,62,76,15,70,27,23,17,78,63,32,67,28,71,24,63,32,17,78,71,24,67,28,67,24,63,28,17,32,2.0
51,54,37,68,23,73,41,20,25,70,39,56,52,42,74,21,39,56,25,70,74,21,53,43,52,21,39,42,25,56,2.0
63,43,46,70,23,71,29,22,24,71,48,46,65,30,72,23,49,46,24,71,72,23,64,30,65,23,49,31,24,46,6.0
66,38,53,74,16,71,27,22,19,77,55,40,67,28,72,23,55,40,18,76,72,23,67,28,67,23,55,28,19,40,3.0
72,40,49,87,6,78,21,15,7,88,52,43,72,22,79,15,52,43,7,88,79,16,73,22,73,16,52,22,7,43,6.0
75,38,52,83,10,79,18,14,11,84,55,41,76,19,80,15,54,40,11,84,80,15,76,19,76,15,55,19,11,41,2.0
59,48,40,75,16,71,32,22,18,77,44,52,61,34,72,23,43,51,18,77,72,23,61,34,61,23,44,34,18,52,7.0
71,44,47,76,15,78,22,15,17,78,49,46,72,23,79,16,49,46,17,78,79,16,72,23,72,16,49,23,17,46,4.0
64,46,47,83,10,81,28,12,11,84,48,47,66,30,82,13,48,47,11,84,82,13,65,29,66,13,48,30,11,47,2.0
57,60,30,77,16,73,33,20,17,78,33,63,60,36,74,21,32,62,17,78,74,21,59,35,60,21,33,36,17,63,5.0
76,37,54,95,0,79,17,14,0,95,56,39,77,18,80,15,56,39,0,95,80,15,77,18,77,15,56,18,0,39,2.0
73,51,38,72,19,77,20,16,21,74,41,54,74,21,78,17,41,54,21,74,78,17,74,21,74,17,41,21,21,54,2.0
71,39,52,82,9,74,22,19,11,84,54,41,72,23,75,20,54,41,11,84,75,20,72,23,72,20,54,23,11,41,4.0
49,49,43,71,21,72,43,20,23,73,45,51,51,45,74,22,44,50,22,72,73,21,50,44,51,22,45,45,23,51,1.0
68,42,49,79,12,72,25,21,14,81,51,44,69,26,73,22,51,44,14,81,73,22,69,26,69,22,51,26,14,44,4.0
65,54,36,82,11,76,27,17,12,83,39,57,67,29,77,18,38,56,12,83,77,18,66,28,67,18,39,29,12,57,4.0
69,36,54,83,10,73,24,20,11,84,57,39,70,25,74,21,56,38,11,84,74,21,70,25,70,21,57,25,11,39,7.0
70,39,52,76,15,76,22,17,17,78,54,41,72,24,77,18,54,41,17,78,77,18,71,23,72,18,54,24,17,41,4.0
66,47,41,76,17,69,27,24,18,77,45,51,67,28,70,25,44,50,18,77,70,25,67,28,67,25,45,28,18,51,7.0
77,45,47,80,11,79,17,15,13,82,49,47,78,18,80,16,48,46,13,82,79,15,77,17,78,16,49,18,13,47,3.0
68,36,55,83,10,73,25,20,11,84,57,38,69,26,74,21,57,38,11,84,74,21,69,26,69,21,57,26,11,38,7.0
70,37,54,75,16,74,23,19,18,77,56,39,71,24,75,20,56,39,18,77,75,20,71,24,71,20,56,24,18,39,6.0
67,42,50,72,19,75,25,18,21,74,52,44,68,27,76,18,51,43,21,74,76,19,68,26,69,19,52,27,21,44,6.0
55,47,45,72,18,87,37,7,21,75,47,49,57,39,88,8,46,48,20,74,87,7,56,38,57,8,47,39,21,49,2.0
60,57,34,80,13,70,31,23,14,81,35,59,62,32,71,24,36,59,14,81,71,24,62,33,62,24,36,33,14,59,1.0
57,52,38,78,15,71,33,22,16,79,40,55,60,35,72,23,40,54,16,79,72,23,59,35,60,23,41,36,16,55,6.0
72,46,48,88,5,79,21,14,6,89,49,47,73,22,80,15,48,46,6,89,80,15,73,22,73,15,49,22,6,47,5.0
69,54,37,77,14,77,23,16,16,79,39,56,71,25,78,17,39,56,16,79,78,17,70,24,71,17,39,25,16,56,6.0
68,34,58,79,12,76,24,17,14,81,60,36,70,26,77,18,59,35,14,81,77,18,69,25,70,18,60,26,14,36,2.0
74,43,47,81,10,77,19,16,12,83,50,46,75,20,78,17,49,45,12,83,78,17,75,20,75,17,50,20,12,46,3.0
71,37,54,81,10,77,22,16,12,83,56,39,72,23,78,17,56,39,12,83,78,17,72,23,72,17,56,23,12,39,4.0
69,40,50,78,13,73,24,20,15,80,53,43,70,25,74,21,52,42,15,80,74,21,70,25,70,21,53,25,15,43,5.0
67,36,55,81,10,71,26,22,12,83,57,38,68,27,72,23,57,38,12,83,72,23,68,27,68,23,57,27,12,38,4.0
62,46,47,81,12,73,28,20,13,82,48,47,65,31,74,21,48,47,13,82,74,21,64,30,65,21,48,31,13,47,3.0
67,53,39,77,14,78,25,15,16,79,41,55,69,27,79,16,40,54,16,79,79,16,68,26,69,16,41,27,16,55,5.0
60,43,50,82,11,71,31,22,12,83,50,44,62,32,72,23,51,44,12,83,72,23,62,33,62,23,51,33,12,44,1.0
69,49,41,78,15,72,24,21,16,79,44,52,70,25,73,22,43,51,16,79,73,22,70,25,70,22,44,25,16,52,7.0
65,50,38,79,14,72,28,21,15,80,41,54,66,28,73,22,41,53,15,80,73,22,66,29,66,22,42,29,15,54,5.0
57,46,47,82,11,74,33,19,12,83,48,47,60,36,75,20,48,47,12,83,75,20,59,35,60,20,48,36,12,47,4.0
70,48,43,73,16,73,23,20,19,76,45,50,71,24,74,21,45,50,19,76,74,21,71,24,71,21,45,24,19,50,3.0
67,33,57,85,8,76,26,17,9,86,59,36,68,26,77,18,59,35,9,86,77,18,68,27,68,18,60,27,9,36,6.0
69,48,45,86,7,79,22,14,8,87,45,49,71,23,80,15,46,49,8,87,80,15,71,24,71,15,46,24,8,49,5.0
67,35,57,72,20,69,27,25,22,74,59,37,68,28,70,26,58,36,21,73,69,25,67,27,68,26,59,28,22,37,3.0
61,45,48,79,14,70,29,23,15,80,49,46,64,32,71,24,49,46,15,80,71,24,63,31,64,24,49,32,15,46,1.0
69,35,56,87,6,73,24,20,7,88,58,37,70,25,74,21,58,37,7,88,74,21,70,25,70,21,58,25,7,37,5.0
67,39,52,75,16,71,26,22,18,77,54,41,68,27,72,23,54,41,18,77,72,23,68,27,68,23,54,27,18,41,2.0
71,33,60,91,2,78,22,15,3,92,61,34,72,23,79,16,61,34,3,92,79,16,72,23,72,16,61,23,3,34,3.0
51,52,39,75,16,73,39,20,18,77,40,54,54,41,74,21,41,54,18,77,74,21,53,41,54,21,41,42,18,54,4.0
63,48,43,82,11,73,29,20,12,83,45,50,65,31,74,21,45,50,12,83,74,21,64,30,65,21,45,31,12,50,4.0
63,47,46,75,16,81,28,12,18,77,47,48,64,30,82,12,47,48,18,77,82,13,65,30,65,13,47,30,18,48,6.0
70,35,55,87,6,78,23,15,7,88,57,38,71,23,79,16,57,37,7,88,79,16,71,24,71,16,58,24,7,38,7.0
62,56,35,80,13,73,29,20,14,81,37,58,64,31,74,21,37,58,14,81,74,21,64,31,64,21,37,31,14,58,3.0
61,41,53,82,11,77,31,14,12,83,53,42,63,32,79,16,53,41,12,83,79,16,62,32,63,16,54,33,12,42,2.0
65,57,31,79,14,69,28,24,15,80,35,61,66,29,70,25,34,60,15,80,70,25,66,29,66,25,35,29,15,61,5.0
73,45,45,79,12,77,20,16,14,81,48,48,74,21,78,17,47,47,14,81,78,17,74,21,74,17,48,21,14,48,3.0
68,60,31,81,12,73,24,20,13,82,33,62,69,26,74,20,33,62,13,82,74,21,69,25,70,21,33,26,13,62,3.0
55,45,48,69,22,79,35,14,24,71,48,46,58,37,80,15,49,46,24,71,80,15,57,37,58,15,49,38,24,46,4.0
61,43,50,73,18,73,30,20,20,75,50,44,63,31,74,21,51,44,20,75,74,21,63,32,63,21,51,32,20,44,5.0
72,33,59,88,5,78,21,15,6,89,61,35,73,22,79,16,60,34,6,89,79,16,73,22,73,16,61,22,6,35,5.0
69,29,63,89,4,78,24,15,5,90,64,31,70,24,79,16,64,30,5,90,79,16,70,25,70,16,65,25,5,31,7.0
61,47,46,80,13,72,30,21,14,81,47,48,63,32,73,22,47,48,14,81,73,22,63,32,63,22,47,32,14,48,1.0
57,44,49,80,13,73,33,20,14,81,49,45,60,35,74,21,50,45,14,81,74,21,59,35,60,21,50,36,14,45,5.0
68,35,55,86,5,78,25,15,7,88,58,38,69,26,79,16,57,37,7,88,79,16,69,26,69,16,58,26,7,38,7.0
78,44,47,83,8,80,16,14,10,85,49,46,79,17,81,15,49,46,10,85,80,14,78,16,79,15,49,17,10,46,2.0
69,40,51,87,6,78,24,15,7,88,53,42,69,25,79,15,53,42,7,88,79,16,70,25,70,16,53,25,7,42,7.0
73,40,51,79,12,76,20,17,14,81,53,42,74,21,77,18,53,42,14,81,77,18,74,21,74,18,53,21,14,42,3.0
67,51,40,72,19,76,25,17,21,74,42,53,69,27,77,18,42,53,21,74,77,18,68,26,69,18,42,27,21,53,6.0
68,42,49,81,11,72,25,21,13,83,51,44,69,26,73,22,51,44,12,82,73,22,69,26,69,22,51,26,13,44,6.0
68,38,53,86,7,74,25,19,8,87,55,40,68,26,75,19,55,40,8,87,75,20,69,26,69,20,55,26,8,40,6.0
58,44,48,74,17,75,34,17,19,76,50,46,60,36,77,19,49,45,19,76,76,18,59,35,60,19,50,36,19,46,1.0
57,45,48,72,19,80,34,13,21,74,49,46,59,36,81,14,49,46,21,74,81,14,59,36,59,14,49,36,21,46,6.0
69,45,43,75,16,75,24,18,18,77,47,49,69,25,76,18,46,48,18,77,76,19,70,25,70,19,47,25,18,49,6.0
71,41,51,84,9,75,22,18,10,85,53,43,72,23,76,19,52,42,10,85,76,19,72,23,72,19,53,23,10,43,4.0
61,45,48,80,13,80,30,13,14,81,48,46,63,31,81,14,49,46,14,81,81,14,63,32,63,14,49,32,14,46,1.0
56,43,50,81,12,74,34,19,13,82,51,44,58,37,75,19,51,44,13,82,75,20,58,36,59,20,51,37,13,44,4.0
