@relation 'Sax dominant'

@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMfed numeric
@attribute o1atLfed numeric
@attribute o1atMeee numeric
@attribute o1atLeee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMggg numeric
@attribute o1atLggg numeric
@attribute o1atMhgf numeric
@attribute o1atLhgf numeric
@attribute o1atMfgg numeric
@attribute o1atLfgg numeric
@attribute o1atMggf numeric
@attribute o1atLggf numeric
@attribute o1atMfee numeric
@attribute o1atLfee numeric
@attribute o1atMdeg numeric
@attribute o1atLdeg numeric
@attribute o1atMegh numeric
@attribute o1atLegh numeric
@attribute o1atMeef numeric
@attribute o1atLeef numeric
@attribute o1atMhij numeric
@attribute o1atLhij numeric
@attribute o1atMjih numeric
@attribute o1atLjih numeric
@attribute o1atLkkk numeric
@attribute o1atMjkk numeric
@attribute o1atLjkk numeric
@attribute o1atMkkj numeric
@attribute o1atLkkj numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMeff numeric
@attribute o1atLeff numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMffg numeric
@attribute o1atLffg numeric
@attribute o1atMfff numeric
@attribute o1atLfff numeric
@attribute o1atMgfe numeric
@attribute o1atLgfe numeric
@attribute o1atMijj numeric
@attribute o1atLijj numeric
@attribute o1atMjji numeric
@attribute o1atLjji numeric
@attribute o1atMghi numeric
@attribute o1atLghi numeric
@attribute o1atMihg numeric
@attribute o1atLihg numeric
@attribute o1atMjjk numeric
@attribute o1atLjjk numeric
@attribute o1atMkjj numeric
@attribute o1atLkjj numeric
@attribute o1atMjjj numeric
@attribute o1atLjjj numeric
@attribute o1atMceg numeric
@attribute o1atLceg numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMegj numeric
@attribute o1atLegj numeric
@attribute o1atMiih numeric
@attribute o1atLiih numeric
@attribute o1atMhgg numeric
@attribute o1atLhgg numeric
@attribute o1atMggh numeric
@attribute o1atLggh numeric
@attribute o1atMjii numeric
@attribute o1atLjii numeric
@attribute o1atMhhg numeric
@attribute o1atLhhg numeric
@attribute o1atMgff numeric
@attribute o1atLgff numeric
@attribute o1atMghh numeric
@attribute o1atLghh numeric
@attribute o1atMihh numeric
@attribute o1atLihh numeric
@attribute o1atMgjk numeric
@attribute o1atLgjk numeric
@attribute o1atMhhh numeric
@attribute o1atLhhh numeric
@attribute o1atMaaa numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMdef numeric
@attribute o1atLdef numeric
@attribute o1atMgii numeric
@attribute o1atLgii numeric
@attribute o1atMiii numeric
@attribute o1atLiii numeric
@attribute o1atMfgi numeric
@attribute o1atLfgi numeric
@attribute o1atMiij numeric
@attribute o1atLiij numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMffe numeric
@attribute o1atLffe numeric
@attribute o1atMefg numeric
@attribute o1atLefg numeric
@attribute o1atMijk numeric
@attribute o1atLijk numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMceh numeric
@attribute o1atLceh numeric
@attribute o1atMhkk numeric
@attribute o1atLhkk numeric
@attribute o1atMehk numeric
@attribute o1atLehk numeric
@attribute o1atMdgi numeric
@attribute o1atLdgi numeric
@attribute o1atMgik numeric
@attribute o1atLgik numeric
@attribute o1atMikk numeric
@attribute o1atLikk numeric
@attribute o1atMcdg numeric
@attribute o1atLcdg numeric
@attribute o1atMhgh numeric
@attribute o1atLhgh numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbdg numeric
@attribute o1atLbdg numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMghg numeric
@attribute o1atLghg numeric
@attribute o1atMgij numeric
@attribute o1atLgij numeric
@attribute o1atMcdf numeric
@attribute o1atLcdf numeric
@attribute o1atMdfg numeric
@attribute o1atLdfg numeric
@attribute o1atMfef numeric
@attribute o1atLfef numeric
@attribute o1atMefe numeric
@attribute o1atLefe numeric
@attribute o1atMegi numeric
@attribute o1atLegi numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcei numeric
@attribute o1atLcei numeric
@attribute o1atMeik numeric
@attribute o1atLeik numeric
@attribute o1atMehj numeric
@attribute o1atLehj numeric
@attribute o1atMhjk numeric
@attribute o1atLhjk numeric
@attribute o1atMghj numeric
@attribute o1atLghj numeric
@attribute o1atMdgj numeric
@attribute o1atLdgj numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbdh numeric
@attribute o1atLbdh numeric
@attribute o1atMdhj numeric
@attribute o1atLdhj numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMdhk numeric
@attribute o1atLdhk numeric
@attribute o1atMdeh numeric
@attribute o1atLdeh numeric
@attribute o1atMfgf numeric
@attribute o1atLfgf numeric
@attribute o1atMdfh numeric
@attribute o1atLdfh numeric
@attribute o1atMfhk numeric
@attribute o1atLfhk numeric
@attribute o1atMgfg numeric
@attribute o1atLgfg numeric
@attribute o1atMihi numeric
@attribute o1atLihi numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMfik numeric
@attribute o1atLfik numeric
@attribute o1atMdfi numeric
@attribute o1atLdfi numeric
@attribute o1atMfgh numeric
@attribute o1atLfgh numeric
@attribute o1atMhjj numeric
@attribute o1atLhjj numeric
@attribute o1atMefh numeric
@attribute o1atLefh numeric
@attribute o1atMfhj numeric
@attribute o1atLfhj numeric
@attribute o1atMhhi numeric
@attribute o1atLhhi numeric
@attribute o1atMbdf numeric
@attribute o1atLbdf numeric
@attribute o1atMhii numeric
@attribute o1atLhii numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMgge numeric
@attribute o1atLgge numeric
@attribute o1atMgee numeric
@attribute o1atLgee numeric
@attribute o1atMcef numeric
@attribute o1atLcef numeric
@attribute o1atMfhi numeric
@attribute o1atLfhi numeric
@attribute o1atMfhh numeric
@attribute o1atLfhh numeric
@attribute o1atMbcf numeric
@attribute o1atLbcf numeric
@attribute o1atMcfi numeric
@attribute o1atLcfi numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMfij numeric
@attribute o1atLfij numeric
@attribute o1atMfjk numeric
@attribute o1atLfjk numeric
@attribute o1atMcfj numeric
@attribute o1atLcfj numeric
@attribute o1atMcfh numeric
@attribute o1atLcfh numeric
@attribute o1atMgfd numeric
@attribute o1atLgfd numeric
@attribute o1atMfdd numeric
@attribute o1atLfdd numeric
@attribute o1atMbcg numeric
@attribute o1atLbcg numeric
@attribute o1atMcgj numeric
@attribute o1atLcgj numeric
@attribute o1atMcdh numeric
@attribute o1atLcdh numeric
@attribute o1atMddf numeric
@attribute o1atLddf numeric
@attribute o1atMdfj numeric
@attribute o1atLdfj numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMkji numeric
@attribute o1atLkji numeric
@attribute o1atMeeg numeric
@attribute o1atLeeg numeric
@attribute o1atMjkj numeric
@attribute o1atLjkj numeric
@attribute o1atMkjk numeric
@attribute o1atLkjk numeric
@attribute o1atMhih numeric
@attribute o1atLhih numeric
@attribute o1atMffh numeric
@attribute o1atLffh numeric
@attribute o1atMjig numeric
@attribute o1atLjig numeric
@attribute o1atMigf numeric
@attribute o1atLigf numeric
@attribute o1atMefi numeric
@attribute o1atLefi numeric
@attribute o1atMfdc numeric
@attribute o1atLfdc numeric
@attribute o1atMhge numeric
@attribute o1atLhge numeric
@attribute o1atMggi numeric
@attribute o1atLggi numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMhik numeric
@attribute o1atLhik numeric
@attribute o1atMiig numeric
@attribute o1atLiig numeric
@attribute o1atMfeg numeric
@attribute o1atLfeg numeric
@attribute o1atMegg numeric
@attribute o1atLegg numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMfec numeric
@attribute o1atLfec numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMacf numeric
@attribute o1atLacf numeric
@attribute o1atMiji numeric
@attribute o1atLiji numeric
@attribute o1atMehi numeric
@attribute o1atLehi numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMged numeric
@attribute o1atLged numeric
@attribute o1atMjij numeric
@attribute o1atLjij numeric
@attribute o1atMihf numeric
@attribute o1atLihf numeric
@attribute o1atMhfe numeric
@attribute o1atLhfe numeric
@attribute o1atMdgh numeric
@attribute o1atLdgh numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
30,66,24,60,24,68,23,68,42,43,47,48,41,50,32,60,32,59,41,50,64,30,60,28,59,31,59,32,49,42,42,34,51,28,48,42,68,24,68,24,16,76,17,76,17,33,58,22,70,22,70,33,58,21,94,49,41,40,51,40,51,38,56,34,52,34,52,24,67,58,32,56,39,51,34,70,23,70,23,66,26,66,26,75,18,75,18,74,22,34,34,24,52,51,24,67,25,65,27,65,27,69,23,65,27,58,32,65,27,67,25,66,18,66,26,0,0,94,0,94,41,43,66,25,68,24,60,26,69,23,0,94,0,70,49,41,50,33,70,18,32,52,42,48,34,28,68,17,51,18,42,26,66,18,70,17,34,34,66,26,0,94,24,34,22,60,64,28,66,24,34,43,42,33,50,39,47,43,51,26,34,56,34,26,51,18,51,24,68,18,66,24,42,24,0,60,24,28,42,24,38,52,42,18,42,28,56,33,42,28,60,18,60,30,68,24,24,60,0,94,60,18,42,26,60,27,68,23,50,28,60,24,67,25,24,43,67,25,21,70,51,32,49,34,34,43,60,26,60,27,24,43,34,26,30,60,60,24,60,18,34,24,34,28,42,34,40,43,24,34,34,24,34,28,40,43,42,24,0,52,0,70,70,18,49,33,74,18,76,16,66,26,58,27,66,24,60,26,50,26,34,43,51,28,65,26,24,52,68,18,66,25,51,32,50,32,0,70,34,43,24,52,0,43,68,24,51,26,0,94,42,34,70,22,60,26,51,28,42,28,2.0
25,79,10,67,11,81,10,81,45,45,47,47,45,47,26,65,26,66,46,47,62,33,57,28,56,34,57,35,48,45,47,36,48,28,47,44,78,11,79,13,8,84,9,84,9,27,64,9,83,9,83,27,65,7,94,47,44,45,47,46,47,45,63,28,48,27,47,11,79,55,35,53,43,49,37,80,11,81,12,64,14,66,15,83,9,83,10,82,11,29,37,11,49,49,13,79,14,64,28,63,27,80,13,66,26,55,36,64,26,78,15,66,10,77,24,0,0,94,0,94,46,44,64,14,79,13,56,14,80,11,0,94,0,83,48,44,48,36,81,9,27,48,46,47,29,28,79,9,49,10,47,15,65,10,81,9,28,37,65,24,0,94,11,37,9,67,62,28,65,12,28,45,47,36,48,43,47,45,48,15,27,63,29,15,49,10,49,12,79,9,65,12,47,13,0,67,11,28,47,12,45,47,47,10,47,28,53,36,47,28,57,10,57,33,78,13,11,65,0,94,57,10,47,15,56,27,78,11,48,28,57,12,77,13,11,45,77,13,7,83,49,35,48,37,28,45,56,14,56,26,11,45,29,15,25,66,57,12,57,10,29,13,29,28,45,37,45,45,11,37,29,13,28,28,46,44,47,13,0,49,0,83,81,10,48,36,82,10,84,8,77,14,55,27,66,13,57,15,48,15,27,45,49,28,63,14,11,48,78,9,66,14,49,35,48,35,0,83,27,45,11,47,0,45,79,12,48,14,0,94,45,37,81,11,57,15,49,28,47,28,2.0
23,73,19,69,19,74,18,74,34,54,36,56,32,58,24,69,24,68,33,58,63,42,47,27,47,45,47,44,38,52,34,47,40,29,38,53,70,19,70,19,10,82,11,82,11,24,68,18,75,18,74,24,68,17,80,38,52,32,59,32,59,30,67,25,60,25,60,19,73,45,45,43,50,40,46,74,18,75,18,66,23,65,24,81,11,81,12,80,17,25,47,19,60,40,19,70,23,64,27,64,28,74,19,65,26,45,46,65,27,69,24,67,12,68,25,10,11,82,11,82,34,54,67,23,73,22,48,24,74,19,12,81,12,75,40,52,40,47,75,12,24,60,34,56,25,29,70,11,40,12,34,24,67,12,75,11,25,47,65,25,11,81,19,47,18,69,63,28,67,19,25,54,34,47,40,50,36,54,40,24,25,67,25,24,40,12,40,19,70,12,66,19,34,19,12,69,19,29,34,19,30,60,34,12,34,29,43,47,34,29,48,12,47,42,70,22,19,69,12,80,48,12,34,24,47,29,70,18,40,29,48,19,69,22,19,54,70,22,17,75,40,44,38,46,25,54,48,23,47,27,19,54,25,24,23,69,48,19,48,12,25,19,25,29,34,46,32,54,19,47,25,19,25,29,32,54,34,19,12,60,11,75,75,12,38,47,80,12,82,10,68,23,45,29,65,19,47,24,40,24,25,54,40,27,65,23,19,60,70,12,65,23,40,45,40,45,12,75,25,54,19,60,12,54,73,19,40,23,10,82,34,46,75,17,47,24,40,27,34,29,3.0
18,89,3,74,3,90,3,90,47,28,64,40,47,43,19,72,19,74,47,42,74,22,70,18,69,22,70,23,65,28,48,23,65,18,64,27,77,12,78,14,9,83,10,83,10,20,71,2,91,2,91,20,72,1,94,64,27,44,46,45,45,42,70,21,46,20,46,3,89,69,22,68,26,66,24,79,12,80,13,74,15,76,16,82,10,82,11,81,12,22,24,3,47,66,14,78,15,75,18,74,17,79,14,76,17,69,24,74,17,77,16,76,11,76,16,0,0,94,0,94,47,27,74,15,78,14,69,15,79,12,0,94,0,91,66,27,65,23,80,10,20,47,48,41,22,18,78,10,66,11,48,16,75,11,80,10,21,24,75,16,0,94,3,24,2,74,74,18,75,13,21,28,48,23,65,26,64,28,65,16,20,70,22,16,66,11,66,13,78,10,75,13,48,14,0,74,3,18,48,13,42,45,48,11,48,18,68,23,48,18,70,11,70,22,77,14,3,72,0,94,70,11,48,16,69,17,77,12,65,18,70,13,76,14,3,28,76,14,1,91,66,23,65,24,21,28,69,15,69,17,3,28,22,16,18,73,70,13,70,11,22,14,22,18,47,24,44,28,3,24,22,14,21,18,45,27,48,14,0,47,0,91,80,11,65,23,81,11,83,9,76,15,69,17,76,14,70,16,65,16,20,28,66,18,74,15,3,46,77,10,76,15,66,22,65,23,0,91,20,28,3,46,0,28,78,13,65,15,0,94,47,24,80,12,70,16,66,18,48,18,7.0
27,78,11,63,12,80,11,80,48,43,49,44,48,45,29,63,28,62,47,44,64,35,55,26,55,36,55,36,49,43,47,38,50,25,49,44,77,12,79,13,8,84,8,84,9,31,61,10,82,10,82,29,61,8,94,49,44,47,46,47,44,46,59,30,45,31,46,12,78,54,37,53,43,49,37,79,11,81,12,67,14,68,15,83,8,83,10,82,11,30,39,12,46,50,13,79,14,66,26,66,24,80,13,68,24,54,37,67,23,78,15,68,9,77,22,0,0,94,0,94,47,44,67,14,79,13,56,14,79,11,0,94,0,82,49,43,49,38,80,8,29,45,48,44,31,26,79,9,51,10,48,15,68,9,81,8,30,39,68,22,0,94,12,39,10,63,64,25,67,12,30,45,47,38,49,43,49,44,50,15,30,59,31,15,51,9,50,13,78,9,67,12,48,13,0,63,12,26,48,13,46,45,48,10,48,25,53,37,48,25,57,9,55,35,78,13,12,63,0,94,57,9,48,15,56,24,77,12,50,25,56,12,77,14,12,45,77,14,8,82,49,36,49,37,30,45,56,14,56,23,12,45,31,15,27,63,56,12,57,9,31,13,31,25,48,37,47,43,12,39,31,13,30,26,47,44,48,13,0,46,0,82,81,10,49,38,82,9,84,8,77,15,55,24,68,13,55,15,50,15,31,43,49,26,66,14,12,45,78,9,68,14,49,37,49,37,0,82,31,43,12,46,0,45,79,12,50,15,0,94,48,37,80,11,55,15,49,26,48,25,6.0
19,83,9,69,9,84,8,84,47,29,63,40,47,44,22,69,22,68,44,43,67,25,67,25,66,25,66,26,64,29,45,26,64,24,63,27,70,19,71,20,13,79,13,79,14,25,66,8,85,8,84,24,66,7,88,63,27,43,48,42,46,39,63,24,47,25,48,9,83,66,25,65,27,65,27,72,19,74,19,68,22,69,23,78,13,78,15,77,18,25,26,9,47,65,20,71,22,68,24,67,24,73,20,69,24,66,27,67,24,70,23,69,14,69,23,2,3,90,3,90,44,28,68,22,72,21,67,22,72,19,4,89,4,85,65,28,64,25,73,14,22,47,46,40,25,25,71,14,65,15,46,23,69,15,74,14,25,27,68,23,3,89,9,27,8,69,67,25,68,20,24,29,45,26,64,27,63,28,65,22,25,63,25,23,65,15,65,20,71,14,68,20,46,20,4,69,9,25,46,20,39,47,46,15,45,25,65,26,45,25,67,15,67,25,71,21,9,69,4,88,67,15,45,23,66,24,70,19,64,24,67,20,70,21,9,29,70,21,7,85,65,26,64,27,24,28,67,22,66,24,9,29,25,23,19,69,67,20,67,14,25,20,25,25,47,27,43,29,9,27,25,20,25,25,42,28,45,20,4,47,3,85,74,15,64,25,77,14,79,13,69,22,66,24,69,20,67,23,64,22,25,29,65,25,68,22,9,47,71,14,69,22,65,25,64,25,4,85,25,29,9,48,4,29,72,20,65,22,2,90,47,27,73,18,67,23,65,25,45,25,7.0
26,77,12,64,13,79,12,79,39,35,54,51,39,53,28,64,27,63,38,52,71,23,69,21,68,23,69,24,56,35,39,24,58,21,56,35,75,14,76,16,10,82,11,82,11,30,62,11,81,11,81,28,62,9,94,57,33,37,55,37,53,35,60,29,54,30,55,13,77,68,23,67,31,58,25,77,14,78,15,71,17,73,18,81,11,81,12,80,14,30,25,13,55,59,16,76,17,72,21,71,20,77,16,73,20,68,25,71,20,75,18,73,12,74,19,0,0,94,0,94,38,35,71,17,76,16,68,17,77,14,0,94,0,81,58,33,58,24,78,11,28,54,39,51,30,21,76,11,59,12,39,18,72,12,78,11,29,25,72,19,0,94,13,25,11,64,71,21,72,15,29,36,39,24,58,31,54,35,58,18,29,60,30,18,59,12,59,15,76,11,72,15,39,16,0,64,13,21,39,15,35,54,39,12,39,21,67,24,39,21,69,12,69,23,75,16,13,64,0,94,69,12,39,18,68,20,75,14,58,21,69,15,74,16,13,36,74,16,9,81,58,24,56,25,29,36,68,17,68,20,13,36,30,18,26,64,69,15,69,12,30,16,30,21,39,25,37,35,13,25,30,16,29,21,37,35,39,16,0,55,0,81,78,12,57,24,80,12,82,10,74,17,68,20,73,16,69,18,58,18,30,35,58,21,71,17,13,54,75,11,73,17,59,23,58,24,0,81,30,35,13,55,0,36,76,15,58,17,0,94,39,25,78,14,69,18,58,21,39,21,4.0
34,80,11,57,12,81,10,81,47,44,48,45,47,46,35,58,35,56,45,46,63,40,52,28,51,40,52,41,49,44,46,41,49,27,48,42,69,17,70,18,10,82,10,82,11,36,57,11,82,10,82,35,56,10,85,48,42,46,47,45,46,45,56,35,46,36,47,11,80,51,40,50,42,50,42,74,17,76,17,65,23,66,24,81,10,81,12,80,16,36,41,11,47,50,18,70,23,64,28,63,27,75,18,66,26,51,42,64,26,69,24,66,11,68,25,5,6,87,6,87,45,43,65,23,74,22,52,23,74,17,7,86,7,82,50,43,49,40,75,11,35,46,46,45,36,28,70,11,50,12,47,24,66,12,76,11,36,41,65,26,7,86,12,42,11,58,64,28,65,18,35,43,46,41,49,42,48,43,50,23,36,56,36,24,50,12,50,18,70,11,65,18,47,18,7,58,12,28,47,18,45,47,47,12,46,28,50,41,46,28,52,12,52,40,70,22,12,58,7,85,52,12,46,24,51,27,69,17,49,27,52,18,69,22,11,44,69,22,10,82,50,41,49,42,35,43,52,23,51,26,11,44,36,24,34,57,52,18,52,11,36,18,36,28,47,42,46,44,11,42,36,18,36,28,45,43,46,18,7,47,6,82,76,12,49,40,80,11,82,10,68,23,51,27,66,18,52,24,49,23,36,44,50,28,64,23,11,47,70,11,66,23,50,40,49,40,7,82,36,44,12,47,7,44,74,18,50,23,5,87,47,42,75,16,52,24,50,28,46,28,5.0
15,85,7,75,7,86,7,86,38,22,68,51,38,53,17,75,17,75,37,54,77,16,76,15,77,17,76,16,69,22,38,18,72,17,70,22,79,15,77,14,13,81,14,79,13,19,73,6,87,6,87,18,73,5,94,71,21,36,55,35,55,34,71,18,56,19,55,7,85,77,17,76,20,70,16,79,15,78,14,78,16,77,15,80,14,79,13,79,14,19,18,7,56,72,16,77,15,77,15,77,16,78,14,77,15,76,16,77,16,77,15,79,15,77,15,0,0,94,0,94,38,23,78,16,78,15,78,17,79,15,0,94,0,87,70,21,72,17,80,15,17,56,37,51,19,17,79,14,72,15,39,17,79,15,80,14,19,18,77,15,0,94,7,18,6,75,77,16,79,16,19,24,39,18,71,20,68,22,72,17,19,71,19,17,72,15,72,16,79,15,78,16,39,16,0,75,7,17,39,16,34,56,39,15,38,17,76,17,39,17,78,15,77,16,78,15,7,75,0,94,78,15,39,17,77,17,79,15,72,17,78,16,78,15,7,24,78,15,5,87,70,16,69,16,19,23,78,16,77,16,7,24,19,17,15,75,78,16,78,15,19,16,19,17,38,16,36,22,7,18,19,16,19,17,36,23,39,16,0,56,0,87,78,13,70,17,79,14,80,13,77,15,77,17,77,14,76,15,72,17,19,22,70,15,78,16,7,56,79,15,77,15,71,17,72,17,0,87,19,22,7,55,0,24,78,15,72,16,0,94,38,16,79,14,76,15,70,15,39,17,6.0
24,81,9,62,9,83,8,83,53,29,63,37,52,39,28,63,28,61,52,39,66,26,66,26,65,26,65,27,64,28,53,28,65,26,63,28,70,21,70,21,16,76,17,76,17,31,59,7,85,7,85,30,58,5,94,63,28,51,40,51,40,49,55,31,41,32,41,9,81,65,26,64,27,65,28,72,20,73,20,68,24,68,24,75,17,75,18,74,19,31,28,9,41,65,21,70,23,67,25,67,25,72,21,67,25,65,27,67,25,69,23,68,18,68,24,0,0,94,0,94,52,29,68,23,71,22,66,24,72,20,0,94,0,85,64,28,64,27,73,18,28,41,53,37,31,26,70,17,65,18,53,24,68,18,73,17,31,28,68,24,0,94,9,28,7,62,66,26,68,21,31,29,53,27,64,27,63,29,65,24,32,55,31,24,65,18,65,21,70,18,68,21,53,21,0,62,9,26,53,21,49,41,53,18,53,26,64,27,53,26,66,18,66,26,70,22,9,63,0,94,66,18,53,24,66,25,70,20,64,26,66,21,69,23,9,29,69,23,5,85,65,27,64,28,31,29,66,24,66,25,9,29,31,24,24,62,66,21,66,18,31,21,31,26,53,28,51,29,9,28,31,21,31,26,51,29,53,21,0,41,0,85,73,18,64,27,74,18,76,16,68,24,65,25,68,21,66,24,64,24,32,29,65,26,67,24,9,41,70,18,68,23,65,26,64,27,0,85,32,29,9,41,0,29,71,21,65,24,0,94,53,28,73,19,66,24,65,26,53,26,1.0
