@relation 'Sax dominant'

@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atLee numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atLee numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o3atLee numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
31,13,17,19,11,18,14,12,20,11,19,31,0,31,0,31,0,17,13,31,0,0,31,0,11,13,19,15,17,17,15,13,12,20,14,18,16,16,18,14,16,14,11,19,17,13,14,16,13,17,12,18,15,15,9,21,11,19,17,12,27,2,3,28,13,18,22,10,20,12,13,18,3,28,19,11,19,9,21,9,13,11,2.0
31,0,31,25,4,31,0,5,26,5,26,31,0,31,0,31,0,31,0,31,0,0,31,0,8,15,21,16,15,16,14,13,9,22,16,16,16,15,17,13,17,14,9,22,17,14,16,15,15,15,9,16,16,14,0,31,15,13,29,0,31,0,0,31,1,30,31,0,15,17,1,30,0,31,14,16,14,0,31,0,1,16,2.0
27,18,12,23,7,13,19,8,24,7,23,31,2,28,3,28,3,12,18,31,0,0,31,0,12,14,18,15,16,17,15,13,13,19,15,17,16,16,18,14,16,14,12,18,17,13,15,16,14,16,13,17,15,15,6,24,14,15,21,8,31,0,0,31,9,22,25,7,16,15,9,22,0,31,16,15,16,6,24,6,9,15,3.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,4,12,25,16,16,17,14,13,5,26,13,18,17,14,18,14,17,14,5,26,17,13,14,15,13,17,5,18,16,14,0,30,4,26,15,14,31,0,0,31,15,16,31,1,27,5,15,16,0,31,26,4,26,0,30,0,15,4,7.0
31,0,30,18,11,31,1,12,19,12,19,31,0,31,0,31,0,30,0,31,0,0,31,0,7,18,22,18,12,19,12,11,8,23,18,13,19,12,20,12,19,12,8,23,19,11,19,13,18,12,8,13,18,12,1,29,17,11,31,0,31,0,0,31,0,31,30,2,13,19,0,31,0,31,12,18,12,1,29,1,0,18,6.0
31,7,22,31,0,23,8,0,31,0,31,31,0,31,0,31,0,23,8,31,0,0,31,0,10,15,19,16,15,17,14,13,11,20,16,16,17,15,18,14,17,14,11,20,17,13,16,15,15,15,11,16,16,14,6,24,9,21,13,16,31,0,0,31,17,14,25,7,22,10,17,14,0,31,21,9,21,6,24,6,17,9,7.0
31,0,31,19,10,31,0,11,20,11,20,31,0,31,0,31,0,31,0,31,0,0,31,0,5,11,24,22,18,23,8,7,6,25,11,19,23,8,24,8,23,8,6,25,23,7,12,9,12,19,6,19,22,8,7,23,13,17,31,0,31,0,0,31,0,31,24,8,18,14,0,31,0,31,17,13,17,7,23,7,0,13,4.0
25,16,14,31,0,15,17,0,31,0,31,31,3,26,4,27,5,14,16,31,0,0,31,0,11,31,19,31,0,31,0,0,11,19,31,0,31,0,31,0,31,0,12,20,31,0,31,0,31,0,11,0,31,0,20,9,28,2,29,1,30,0,1,31,2,30,10,21,2,28,1,29,0,30,2,29,3,21,10,20,2,29,5.0
31,10,19,31,0,20,11,0,31,0,31,31,0,31,0,31,0,20,11,31,0,0,31,0,0,31,31,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,0,31,31,0,31,0,31,0,0,0,31,0,15,15,17,13,18,12,21,8,9,22,13,19,15,15,13,17,12,18,9,22,14,18,14,16,16,16,13,18,6.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,4,15,25,17,15,19,13,11,5,26,16,16,18,14,20,12,18,12,5,26,19,11,16,14,15,15,5,16,17,13,9,21,11,19,13,17,24,5,6,25,17,13,22,10,20,12,18,14,6,25,19,11,19,9,21,9,17,11,1.0
