@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atLccc numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMaba numeric
@attribute o2atLaba numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMaaa numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atLccc numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMaba numeric
@attribute o3atLaba numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
16,15,14,30,14,15,16,14,14,14,14,14,15,0,30,0,30,0,30,0,30,0,30,0,15,14,30,0,11,13,18,15,16,14,12,19,14,17,16,15,11,17,11,17,13,16,12,17,14,14,11,18,14,14,10,19,8,10,19,10,19,12,20,11,18,18,9,20,9,20,18,10,18,10,10,10,10,18,19,10,8,20,2.0
30,0,30,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,13,15,16,16,15,13,14,17,15,15,17,14,13,15,13,15,15,15,14,15,15,13,13,16,15,13,0,30,0,0,30,7,19,11,21,9,17,30,0,30,0,30,18,9,19,8,0,9,0,30,20,7,0,30,2.0
13,18,11,30,17,12,19,11,17,11,17,11,18,0,30,0,30,0,30,0,30,0,30,0,12,17,30,0,12,14,17,16,15,13,13,18,15,16,17,14,12,16,12,16,14,15,13,16,15,13,12,17,15,13,6,23,4,6,23,9,19,11,20,10,18,22,5,24,5,24,19,10,19,9,6,10,6,22,20,9,4,24,3.0
16,12,16,30,12,16,12,18,13,17,14,16,13,0,30,0,30,0,30,0,30,0,30,0,17,12,30,0,7,9,20,17,14,12,8,21,16,19,18,13,9,20,8,21,9,14,9,19,16,12,7,21,16,12,0,30,0,0,30,1,28,3,29,2,27,30,0,30,0,30,27,1,27,1,0,1,0,30,28,1,0,30,7.0
28,1,26,30,0,27,2,28,1,27,2,26,2,0,30,0,30,0,30,0,30,0,30,0,28,0,30,0,11,12,16,18,12,11,12,17,17,15,19,12,13,16,12,17,13,13,13,15,17,11,11,17,17,11,0,30,0,0,30,7,19,11,21,9,17,30,0,30,0,30,18,9,19,8,0,9,0,30,20,7,0,30,6.0
14,15,12,30,14,13,16,14,15,13,16,12,16,0,30,0,30,0,30,0,30,0,30,0,14,14,30,0,14,15,15,16,14,13,15,16,15,14,17,14,14,14,14,14,16,15,15,14,15,13,14,15,15,13,10,19,8,10,19,7,22,9,23,8,21,18,9,20,9,20,21,7,21,7,10,7,10,18,22,7,8,20,7.0
26,3,24,30,2,25,4,26,3,25,4,24,4,0,30,0,30,0,30,0,30,0,30,0,26,2,30,0,7,9,20,23,8,6,8,21,22,19,24,7,9,20,8,21,9,8,9,19,22,6,7,21,22,6,0,30,0,0,30,10,19,12,20,11,18,30,0,30,0,30,18,10,18,10,0,10,0,30,19,10,0,30,4.0
11,20,9,30,19,10,21,9,19,9,19,9,20,0,30,0,30,0,30,0,30,0,30,0,10,19,30,0,30,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,28,0,1,29,24,2,26,3,25,1,28,0,28,1,30,3,26,4,25,2,27,1,28,4,24,0,29,5.0
13,16,11,30,15,12,17,13,16,12,17,11,17,0,30,0,30,0,30,0,30,0,30,0,13,15,30,0,3,3,25,30,0,0,3,25,30,25,30,0,5,26,4,27,3,0,4,25,30,0,3,26,30,0,11,17,11,13,18,15,13,15,13,15,13,17,11,17,12,19,14,17,15,16,13,17,12,17,14,15,11,18,6.0
20,8,18,30,8,19,9,21,9,19,10,19,10,0,30,0,30,0,30,0,30,0,30,0,20,8,30,0,9,11,18,17,14,12,10,19,16,17,18,13,11,18,10,19,11,14,11,17,16,12,9,19,16,12,17,14,15,15,13,9,20,11,21,10,19,13,16,15,15,13,19,9,19,9,15,9,16,13,20,9,15,14,1.0
