@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMaa numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atLkk numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute destClass {1,2}

@data
31,68,20,91,51,49,91,12,64,37,21,73,65,28,32,63,33,52,53,39,66,14,21,73,66,28,52,41,32,62,3,24,72,78,26,41,61,3,26,69,80,13,55,38,43,42,4,70,44,4,53,39,25,69,80,14,55,38,43,51,53,39,3,74,55,28,92,3,67,3,22,15,91,3,3,92,42,51,32,51,21,69,33,42,33,4,43,41,52,40,22,42,25,62,26,63,81,3,55,14,22,52,80,3,55,28,26,52,43,40,56,3,3,91,22,69,22,63,53,28,33,40,22,29,53,28,3,73,54,3,66,14,4,63,26,42,53,14,4,52,26,4,22,40,43,29,43,15,43,39,26,40,33,29,32,41,3,69,55,14,33,15,25,51,25,39,43,28,22,4,21,62,26,29,53,14,26,15,66,3,21,41,1.0
29,66,21,91,38,57,91,5,68,40,23,72,69,23,30,66,30,59,39,43,70,6,22,72,70,24,38,55,29,65,3,28,71,87,22,35,65,3,29,67,88,5,50,43,36,56,4,67,37,4,39,43,28,66,88,6,51,42,36,58,48,54,4,73,51,24,92,3,71,3,23,7,91,3,3,92,35,59,29,58,22,66,30,56,30,4,36,55,39,54,23,56,28,65,29,66,89,3,51,6,23,59,88,3,51,24,29,59,36,44,52,3,3,91,23,67,23,66,39,24,30,44,23,25,39,24,3,72,40,3,70,6,4,66,29,56,39,6,4,59,29,4,23,44,36,25,36,7,36,43,29,44,30,25,29,55,3,66,51,6,30,7,28,58,28,43,36,24,23,4,22,65,29,25,39,6,29,7,70,3,22,55,1.0
38,64,9,92,66,42,82,16,75,23,11,84,75,18,38,54,40,45,67,24,76,17,10,83,76,18,67,27,39,54,2,26,81,76,17,46,52,10,28,66,77,16,70,23,49,27,3,67,50,12,67,24,28,65,77,17,70,24,49,44,69,26,3,84,70,18,84,11,77,12,12,18,83,11,3,93,49,43,40,45,11,66,40,27,41,12,49,27,66,27,11,28,28,54,28,54,78,11,71,17,11,46,77,11,70,18,28,45,49,24,71,12,2,92,11,67,11,55,67,18,40,24,11,19,67,18,2,83,68,12,76,17,3,55,28,27,68,17,3,46,29,12,11,25,49,18,50,17,49,24,28,24,40,18,40,27,2,66,70,17,41,17,28,45,28,24,49,18,12,12,11,54,28,18,67,17,29,17,76,11,11,27,2.0
32,65,23,91,45,58,91,9,67,42,25,70,69,25,32,63,32,60,46,43,69,10,24,70,69,25,46,48,32,62,3,29,69,83,23,34,62,3,30,66,84,10,51,43,35,48,4,66,36,4,46,43,29,65,84,10,51,43,35,59,50,47,4,71,51,25,92,3,70,3,25,11,91,3,3,92,34,59,32,59,24,65,33,49,33,4,35,48,46,47,25,49,29,62,30,63,85,3,51,10,25,60,84,3,51,25,30,60,35,44,52,3,3,91,25,66,25,63,46,25,33,44,25,26,46,25,3,70,47,3,69,10,4,63,30,49,46,10,4,60,30,4,25,44,35,26,35,11,35,43,30,44,33,26,32,48,3,65,51,10,33,11,29,59,29,43,35,25,25,4,24,62,30,26,46,10,30,11,69,3,24,48,2.0
31,66,21,91,38,57,91,9,66,42,23,72,68,26,31,63,32,59,39,44,68,10,22,72,68,26,39,54,32,62,3,28,71,83,24,35,61,3,29,67,84,10,50,43,36,55,4,67,37,3,39,44,28,66,84,10,50,44,35,58,48,54,4,73,50,26,92,3,69,3,23,11,91,3,3,92,36,57,32,58,22,66,32,56,33,4,36,55,38,55,23,56,28,62,29,63,85,3,50,10,23,59,84,3,50,26,29,59,36,44,51,3,3,91,23,67,23,63,39,26,32,45,23,27,39,26,3,72,40,3,68,10,4,63,29,56,39,10,4,59,29,4,23,45,36,26,36,10,36,44,29,45,32,27,32,55,3,66,50,10,32,11,28,58,28,44,36,26,23,4,22,62,29,27,39,10,29,11,68,3,22,55,1.0
38,66,7,92,57,38,80,14,76,23,9,86,76,18,40,53,40,40,60,25,77,15,9,85,76,18,59,35,40,53,2,24,83,78,18,52,52,12,25,68,79,15,70,25,55,35,3,69,55,14,59,24,25,68,79,15,70,24,54,40,69,33,3,86,70,19,82,13,77,14,10,16,81,13,3,93,53,40,40,40,9,68,41,35,41,14,54,35,60,34,10,36,26,54,26,54,80,14,71,16,9,41,79,13,70,18,26,40,55,25,71,14,2,92,9,69,9,55,60,19,41,25,10,19,59,18,2,85,60,14,76,15,3,55,27,35,60,16,3,41,27,14,10,25,55,19,55,16,54,24,27,25,41,19,40,35,2,68,70,15,41,16,26,40,26,24,54,18,10,14,9,54,27,19,59,15,27,16,76,13,9,35,1.0
27,68,18,88,58,56,79,13,72,23,19,76,72,20,27,65,29,57,60,25,72,13,19,75,73,20,59,35,28,66,4,24,74,79,20,34,65,13,24,69,79,13,68,25,36,36,6,70,37,15,59,25,25,69,79,14,68,25,36,58,67,34,6,76,68,22,81,13,74,13,20,15,80,13,6,90,36,57,28,58,19,69,29,36,29,15,36,35,59,35,20,36,25,66,24,66,81,13,68,15,20,59,80,14,69,21,26,58,37,26,70,15,5,89,19,70,19,67,60,22,29,26,20,22,59,21,5,75,60,15,73,14,6,67,26,36,60,15,6,59,26,15,20,26,37,22,37,15,36,25,26,26,29,22,28,35,5,69,69,14,29,15,25,58,25,25,36,21,20,15,19,66,26,22,59,14,26,15,73,14,19,35,2.0
31,66,24,91,38,54,91,4,62,45,25,69,65,29,32,63,32,56,39,47,65,5,25,69,65,29,39,54,32,62,3,28,68,88,26,38,61,3,29,66,89,5,47,47,39,55,4,67,40,3,39,47,28,66,89,5,47,47,38,55,45,54,4,70,47,29,92,3,66,3,26,6,91,3,3,92,38,55,32,55,25,66,32,56,33,4,39,55,39,54,26,56,28,62,29,63,90,3,47,5,26,56,89,3,47,29,29,56,39,47,48,3,3,91,26,67,26,63,39,29,32,48,26,30,39,29,3,69,40,3,65,5,4,63,29,56,39,5,4,56,29,4,26,48,39,29,39,5,39,47,29,48,32,30,32,55,3,66,47,5,32,6,28,55,28,47,39,29,26,4,25,62,29,30,39,5,29,6,65,3,25,55,1.0
31,66,25,91,38,60,91,3,70,46,26,70,72,21,31,63,32,62,39,47,72,3,25,69,72,22,39,55,32,62,3,28,69,91,20,32,61,3,29,67,91,3,46,47,33,55,4,67,34,3,39,47,28,66,91,3,47,47,33,61,46,54,4,70,47,22,92,3,73,3,26,4,91,3,4,92,33,60,32,61,25,66,32,56,33,4,33,55,39,55,26,56,28,62,29,63,92,3,47,3,26,62,91,3,47,22,29,62,33,47,48,3,3,91,26,67,26,63,39,22,32,48,26,23,39,22,3,69,40,3,72,3,4,63,29,56,39,3,4,62,29,4,26,48,33,22,33,3,33,47,29,48,32,23,32,55,3,66,47,3,32,4,28,61,28,47,33,22,26,4,25,62,29,23,39,3,29,4,72,3,25,55,1.0
32,62,24,91,46,50,91,13,60,37,26,69,60,32,32,62,33,52,47,39,61,13,25,69,61,33,47,46,32,62,3,32,68,79,32,40,62,3,32,63,80,13,54,39,42,48,4,63,43,4,47,39,32,62,80,14,55,39,41,52,53,46,4,70,54,33,92,3,62,3,26,15,91,3,3,92,42,52,32,52,25,62,33,48,33,4,42,47,47,47,26,48,32,62,32,63,81,3,55,14,26,53,80,3,55,33,33,53,42,40,56,3,3,91,26,63,26,63,47,33,33,40,26,34,47,33,3,69,48,3,61,14,4,63,33,48,47,14,4,53,33,4,26,40,42,34,42,15,42,39,33,40,33,34,32,47,3,62,55,14,33,15,32,52,32,39,42,33,26,4,25,62,33,34,47,14,33,15,61,3,25,47,2.0
