@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute destClass {1,2}

@data
23,33,69,52,59,77,38,13,25,71,35,61,54,41,80,15,55,16,24,70,79,15,54,40,34,60,35,41,35,16,25,16,25,61,25,41,34,40,24,60,54,15,1.0
21,34,71,43,58,79,47,11,23,73,34,60,45,48,82,13,46,13,22,72,81,13,45,49,35,59,35,50,36,14,23,14,23,60,23,50,35,49,22,59,45,13,1.0
11,38,79,69,52,76,23,16,13,82,40,54,70,24,78,17,71,17,13,81,77,17,70,24,40,54,40,24,41,17,14,18,13,55,13,25,40,24,13,54,70,17,2.0
25,32,67,46,62,82,46,10,27,69,32,63,47,47,84,11,48,12,26,68,83,11,47,47,32,62,33,48,33,12,27,12,27,63,27,48,32,47,26,62,47,11,2.0
21,32,71,41,60,83,49,9,23,73,33,62,43,51,85,10,44,10,22,72,84,10,43,51,33,61,33,52,34,11,23,11,23,62,23,52,33,51,22,61,43,10,1.0
14,42,76,57,48,76,33,18,15,79,43,49,60,34,77,19,60,19,16,78,76,18,59,35,44,50,45,35,45,19,17,19,16,51,17,36,44,35,16,50,59,18,1.0
21,30,71,65,60,76,25,16,22,73,33,62,67,28,78,17,68,18,22,72,77,17,67,27,32,62,33,28,33,18,23,18,23,63,23,28,32,27,22,62,67,17,2.0
28,32,66,41,60,86,51,6,29,67,33,62,42,52,88,7,43,7,28,66,87,7,42,52,33,61,33,53,34,8,29,8,29,62,29,53,33,52,28,61,42,7,1.0
28,31,66,42,61,87,50,5,29,67,32,63,43,51,89,6,44,6,28,66,88,6,43,51,32,62,32,52,33,7,29,7,29,63,29,52,32,51,28,62,43,6,1.0
25,32,67,49,62,79,41,13,27,69,33,63,51,44,81,14,52,15,26,68,80,14,51,43,32,62,33,44,33,15,27,15,27,63,27,44,32,43,26,62,51,14,2.0
