@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute destClass {1.0,2.0}

@data
21,24,69,23,68,49,57,53,38,53,37,32,59,33,60,55,13,23,71,31,67,22,69,25,61,35,59,33,58,77,14,10,76,14,52,16,51,41,74,35,80,12,78,12,51,39,35,38,35,13,33,16,33,41,54,15,25,13,35,41,23,59,23,16,25,38,25,59,23,61,23,41,33,39,53,14,35,15,25,41,35,16,23,39,33,37,22,59,23,39,23,58,32,39,25,41,53,12,51,14,1.0
19,23,71,21,70,40,56,43,45,44,46,33,58,32,60,46,10,21,73,32,69,20,71,23,60,32,58,34,57,79,11,8,78,12,43,12,42,46,76,44,82,10,80,10,42,48,34,47,36,11,34,14,33,50,45,12,23,11,33,48,21,58,21,14,23,47,23,58,21,60,21,50,34,48,44,12,35,13,23,48,34,13,21,48,34,46,20,58,21,48,21,57,33,48,23,50,44,10,42,12,1.0
8,12,79,11,78,67,49,69,22,69,22,37,52,37,53,71,15,10,82,35,76,10,80,12,54,38,51,39,51,76,16,14,75,16,69,16,68,22,74,21,78,15,76,15,68,23,39,22,41,15,38,16,37,23,70,16,14,16,39,23,12,53,11,18,12,23,12,52,10,55,10,25,39,23,69,16,40,16,12,24,40,16,12,23,39,22,10,53,12,23,12,51,37,23,12,24,69,15,68,16,2.0
23,27,67,25,66,44,61,46,45,46,45,31,61,31,63,48,10,25,69,31,65,24,67,27,63,31,62,31,61,82,10,8,81,10,46,12,45,46,80,44,84,9,82,9,45,46,33,46,33,10,32,12,32,48,47,11,27,10,32,47,25,61,25,12,27,46,27,62,25,63,25,48,31,46,46,10,33,11,27,47,32,12,25,46,31,45,24,61,25,46,25,61,31,46,27,48,46,9,45,10,2.0
19,23,71,21,70,38,58,42,48,42,48,31,60,31,62,44,8,21,73,30,69,20,71,23,62,32,60,32,59,83,9,7,82,9,41,9,40,50,81,46,85,8,83,8,40,50,32,49,34,9,32,11,31,52,43,9,23,9,32,51,21,60,21,11,23,49,23,60,21,62,21,52,32,50,42,9,33,10,23,51,33,10,21,50,32,48,20,60,21,50,21,59,31,50,23,52,42,8,40,9,1.0
11,13,76,15,75,54,45,60,31,58,32,41,49,40,47,60,18,12,79,39,73,13,77,14,49,41,46,43,47,76,19,17,75,17,57,19,57,32,75,30,77,18,75,17,56,34,45,32,45,18,42,19,42,34,60,19,17,18,43,33,15,49,14,19,17,33,15,48,13,51,14,36,43,34,58,17,45,19,16,34,43,19,15,34,43,32,13,49,15,34,15,47,41,34,15,35,58,17,56,17,1.0
19,21,71,21,70,62,57,65,25,66,24,29,61,30,61,68,16,20,73,27,69,20,71,22,62,33,59,31,59,76,15,14,75,16,65,18,64,28,74,22,78,15,76,15,64,26,33,25,33,16,30,18,30,28,67,17,23,16,33,28,21,61,21,18,23,25,23,60,21,63,21,28,31,26,66,16,33,17,23,28,33,18,21,26,31,24,20,61,21,26,21,59,29,26,22,28,66,15,64,16,2.0
27,28,66,27,65,39,58,41,50,41,50,31,60,31,61,43,5,28,67,30,65,27,65,29,62,32,60,32,59,86,6,4,85,6,41,6,40,51,84,49,88,5,86,5,40,51,32,51,34,6,32,8,31,53,42,6,29,6,32,52,27,60,28,8,29,51,29,60,28,62,28,53,32,51,41,6,33,7,29,52,33,7,27,51,32,50,27,60,27,51,27,59,31,51,29,53,41,5,40,6,1.0
27,28,66,27,65,40,59,42,49,42,49,30,61,30,62,44,4,28,67,29,65,27,65,29,63,31,61,31,60,87,5,3,86,5,42,5,41,50,85,48,89,4,87,4,41,50,31,50,33,5,31,7,30,52,43,5,29,5,31,51,27,61,28,7,29,50,29,61,28,63,28,52,31,50,42,5,32,6,29,51,32,6,27,50,31,49,27,61,27,50,27,60,30,50,29,52,42,4,41,5,1.0
23,27,67,25,66,46,61,50,41,50,40,31,61,32,63,52,13,25,69,31,65,24,67,27,63,32,62,31,61,79,13,11,78,13,49,15,48,43,77,38,81,12,79,12,48,42,33,41,33,13,32,15,32,44,51,14,27,13,33,44,25,61,25,15,27,41,27,62,25,63,25,44,31,42,50,13,33,14,27,44,33,15,25,42,31,40,24,61,25,42,25,61,31,42,27,44,50,12,48,13,2.0
