@relation 'Sax dominant'

@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMaa numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMga numeric
@attribute o1atLga numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMha numeric
@attribute o1atLha numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atLkk numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMfa numeric
@attribute o1atLfa numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMia numeric
@attribute o1atLia numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMhb numeric
@attribute o1atLhb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMak numeric
@attribute o1atLak numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMaj numeric
@attribute o1atLaj numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMja numeric
@attribute o1atLja numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMjc numeric
@attribute o1atLjc numeric
@attribute destClass {2,1}

@data
67,38,93,23,15,91,24,75,50,58,1,69,26,17,78,30,64,54,41,70,2,95,1,3,93,18,42,30,25,2,92,29,41,17,77,69,24,28,64,52,39,1,91,1,91,94,1,93,1,1,91,1,91,94,1,1,93,3,91,2,91,17,65,54,2,3,65,2,41,94,0,94,1,1,93,94,0,95,0,2,77,3,78,3,78,1,92,94,1,3,65,31,26,53,24,54,26,70,1,31,41,3,42,2,41,69,1,3,91,70,1,2,25,54,1,3,42,94,0,2,41,1,92,3,26,2,91,18,26,54,1,30,1,53,1,2,25,17,64,93,0,0,3,42,2,64,18,1,2,77,3,2,94,1,17,41,69,0,2,1,2,77,3,26,2,25,3,78,3,65,3,26,2,64,2,64,18,2,94,0,18,1,53,0,30,0,31,1,3,2,3,1,93,0,3,1,17,1,17,25,69,0,31,2,2,1,3,1,3,2,2,1,31,1,3,1,30,0,2,0,3,1,17,0,17,0,2,0,2.0
55,47,70,35,31,68,39,61,45,53,0,57,38,33,63,41,55,47,49,58,24,95,1,1,70,33,49,40,37,0,69,40,48,32,62,57,37,40,54,46,48,6,94,8,88,72,23,71,23,7,87,24,86,94,22,1,95,26,70,25,69,33,55,47,24,1,55,0,48,94,0,94,1,1,88,94,0,95,0,7,62,26,63,1,63,0,94,72,1,26,55,41,38,46,37,47,38,58,1,41,49,8,49,7,48,57,23,8,70,58,1,0,37,47,1,26,49,94,0,25,48,0,87,1,38,7,69,33,38,47,1,40,23,46,23,25,37,32,54,71,0,0,1,49,0,54,33,1,25,62,26,24,72,1,32,48,57,0,0,23,0,62,26,38,7,37,8,63,8,55,8,38,7,54,25,54,33,24,94,0,33,1,46,0,40,0,41,1,1,24,1,1,71,0,26,1,32,23,32,37,57,0,41,24,7,23,1,1,8,24,25,23,41,1,26,1,40,0,0,0,8,1,32,0,32,0,25,0,2.0
77,34,93,11,6,91,20,84,52,66,1,80,14,6,86,25,68,56,39,81,1,95,1,2,93,9,39,24,14,1,92,24,37,7,85,80,14,23,69,56,37,1,91,1,91,94,1,93,1,1,91,1,91,94,1,1,93,2,91,1,91,9,70,57,2,3,71,2,38,94,0,94,1,1,93,94,0,95,0,1,85,2,86,2,87,1,92,94,1,3,70,25,15,56,14,56,15,81,1,25,39,3,39,2,37,80,1,2,91,81,1,2,14,57,1,3,39,94,0,2,37,1,92,3,15,1,91,9,15,57,1,24,1,56,1,2,14,7,69,93,0,0,3,39,1,70,9,1,1,85,3,2,94,1,8,37,80,0,2,1,1,86,3,15,2,14,2,86,3,70,3,15,1,69,1,69,9,2,94,0,9,1,56,0,24,0,25,1,3,2,3,1,93,0,3,1,8,1,8,14,80,0,25,2,2,1,3,1,3,2,2,1,25,1,3,1,24,0,2,0,3,1,8,0,8,0,2,0,1.0
66,34,73,24,29,82,46,63,56,46,1,68,27,30,65,47,47,59,36,69,21,83,1,2,83,31,37,47,26,1,82,47,36,30,64,68,26,47,47,58,36,7,93,9,86,75,20,74,20,8,86,12,85,81,19,1,94,13,83,12,82,30,48,59,21,2,48,1,36,94,11,82,13,2,87,82,12,95,0,8,64,13,65,2,65,1,93,75,1,13,48,48,27,58,26,59,27,69,1,48,36,9,37,8,36,68,20,9,83,69,13,1,26,59,1,13,37,94,0,12,36,1,86,2,27,8,82,31,27,59,13,47,20,58,20,12,26,30,47,74,12,0,2,37,1,47,31,1,12,64,13,21,75,13,30,36,68,12,1,20,1,64,13,27,8,26,9,65,9,48,9,27,8,47,12,47,31,21,82,0,31,13,58,12,47,12,48,13,2,21,2,1,74,0,13,1,30,20,30,26,68,0,48,21,8,20,2,13,9,21,12,20,48,1,13,13,47,0,1,12,9,1,30,12,30,0,12,12,1.0
65,33,74,27,33,90,52,55,59,40,0,67,29,36,57,54,41,61,35,67,20,85,1,1,92,37,35,53,28,1,91,53,34,36,57,66,28,53,41,60,34,1,92,2,91,76,20,75,19,1,92,2,91,83,18,0,94,2,91,2,90,37,42,61,20,2,42,1,34,94,9,85,11,1,93,84,10,95,1,2,58,4,58,2,59,1,93,76,1,4,42,54,29,60,28,61,29,67,1,54,35,3,35,2,34,66,19,2,91,67,11,1,28,61,1,4,35,94,0,3,34,1,92,2,29,1,91,37,29,61,11,53,19,60,19,3,28,36,41,75,10,0,2,35,1,41,37,1,3,57,4,20,76,11,36,34,66,10,1,19,1,58,4,29,2,28,3,58,3,42,3,29,2,41,3,41,37,20,84,0,37,11,60,10,53,10,54,11,2,20,2,1,75,0,4,1,36,19,36,28,66,0,54,20,2,19,2,11,3,20,3,19,54,1,4,11,53,0,1,10,3,1,36,10,36,0,3,10,1.0
50,50,80,40,24,71,31,68,40,59,0,53,42,25,69,33,61,42,52,53,13,95,0,1,73,26,53,33,42,0,72,33,52,25,69,52,41,33,61,41,52,13,94,15,80,82,13,82,12,14,80,21,79,94,10,0,95,22,73,22,72,26,61,43,13,1,62,0,52,94,0,94,0,1,81,94,0,95,0,14,69,22,70,1,70,0,94,83,1,23,62,34,43,42,42,43,42,53,1,33,53,15,53,14,52,52,12,15,73,53,1,0,42,43,1,23,53,94,0,22,52,0,80,1,43,14,72,26,43,43,1,33,12,42,12,22,42,25,61,82,0,0,1,53,0,61,26,1,22,69,23,13,82,1,25,52,52,0,0,12,0,69,23,43,14,42,15,70,15,62,15,43,14,61,22,61,26,13,94,0,26,1,42,0,33,0,34,1,1,13,1,1,82,0,23,1,25,12,25,42,52,0,34,13,14,12,1,1,15,13,22,12,34,1,23,1,33,0,0,0,15,1,25,0,25,0,22,0,2.0
55,38,63,37,37,75,43,55,54,47,0,56,38,37,56,45,48,55,39,56,30,95,0,1,78,39,40,45,38,0,77,45,39,38,56,56,37,45,49,54,39,0,94,1,94,65,29,65,29,0,94,15,94,94,27,0,95,17,78,17,77,38,49,56,30,1,50,0,39,94,0,94,0,1,95,94,0,95,0,0,56,17,57,1,57,0,94,66,0,18,50,46,39,55,38,56,39,57,1,46,39,1,40,0,39,56,29,1,78,56,1,0,38,56,1,18,40,94,0,17,39,0,94,1,39,0,77,39,39,56,1,45,29,55,29,17,38,38,49,65,0,0,1,40,0,49,39,1,17,56,18,30,65,0,38,39,56,0,0,29,0,56,18,39,0,38,1,57,1,50,1,39,0,49,17,49,39,30,94,0,39,1,55,0,45,0,46,1,1,30,1,1,65,0,18,1,38,29,38,38,56,0,46,30,0,29,1,1,1,30,17,29,46,1,18,1,45,0,0,0,1,1,38,0,38,0,17,0,2.0
67,35,72,25,29,82,42,63,55,48,1,68,27,30,65,44,50,58,37,69,22,82,1,2,83,31,38,44,26,1,82,44,37,30,64,68,26,44,50,57,37,10,93,11,85,74,21,73,21,10,84,12,84,80,20,2,94,13,83,12,82,30,51,58,22,2,51,1,37,94,12,81,14,2,85,81,13,95,0,10,64,13,65,2,65,1,93,74,1,13,51,45,27,57,26,58,27,69,1,45,37,11,38,10,37,68,21,11,83,69,14,1,26,58,1,13,38,94,0,12,37,1,84,2,27,10,82,31,27,58,14,44,21,57,21,12,26,30,50,73,13,0,2,38,1,50,31,1,12,64,13,22,74,14,30,37,68,13,1,21,1,64,13,27,10,26,11,65,11,51,11,27,10,50,12,50,31,22,81,0,31,14,57,13,44,13,45,14,2,22,2,1,73,0,13,1,30,21,30,26,68,0,45,22,10,21,2,14,11,22,12,21,45,1,13,14,44,0,1,13,11,1,30,13,30,0,12,13,1.0
55,51,84,35,24,73,28,68,39,64,0,57,37,26,69,29,66,41,53,58,9,95,1,0,75,26,54,29,37,0,74,29,53,25,69,57,37,29,65,41,53,13,94,14,80,86,9,85,9,14,80,19,79,94,8,0,95,20,74,20,74,26,66,42,10,1,66,0,53,94,0,94,1,0,81,94,0,95,0,14,69,21,69,1,70,0,94,86,1,21,66,30,38,41,37,41,38,58,1,30,54,15,54,14,53,57,9,14,74,58,1,0,37,42,1,21,54,94,0,20,53,0,80,1,38,14,74,26,38,42,1,29,9,41,9,20,37,25,65,85,0,0,1,54,0,65,26,1,20,69,21,10,86,1,25,53,57,0,0,9,0,69,21,38,14,37,15,69,15,66,15,38,14,65,20,65,26,10,94,0,26,1,41,0,29,0,30,1,1,10,1,1,85,0,21,1,25,9,25,37,57,0,30,10,14,9,1,1,15,10,20,9,30,1,21,1,29,0,0,0,15,1,25,0,25,0,20,0,2.0
70,27,72,22,13,82,54,75,63,34,0,71,24,16,75,57,37,66,29,72,22,86,1,1,86,17,29,57,23,1,85,57,28,15,76,70,23,55,36,65,27,2,92,3,89,74,21,73,20,2,90,6,88,84,20,0,94,6,84,7,83,16,37,66,22,2,38,1,29,94,8,85,10,1,91,85,9,95,0,3,78,9,77,2,79,1,93,74,1,9,37,58,24,65,23,66,24,72,1,58,29,5,30,4,29,71,21,3,85,72,10,1,23,66,1,10,29,94,0,9,28,1,90,2,24,2,85,17,24,66,10,57,21,65,21,9,23,15,36,73,9,0,2,30,1,37,17,1,8,76,10,22,74,10,16,28,71,9,1,21,1,78,10,24,4,23,4,78,4,38,5,24,3,37,8,36,17,22,85,0,17,10,65,9,57,9,58,10,2,22,2,1,73,0,10,1,16,21,16,23,71,0,58,22,4,21,2,10,5,22,9,21,58,1,10,10,57,0,1,9,5,1,16,9,16,0,9,9,1.0
