@relation 'Sax dominant'

@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atLccc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute destClass {2.0,1.0}

@data
14,79,13,78,9,73,20,72,18,14,70,76,76,17,74,16,11,80,11,81,9,81,13,76,14,20,70,19,13,16,13,18,14,17,11,20,75,14,11,18,9,19,13,18,13,14,13,20,14,19,13,19,2.0
32,62,30,61,28,60,34,59,32,30,58,60,62,32,60,31,29,62,30,64,28,63,31,60,32,34,58,33,30,31,31,32,32,32,30,34,61,30,29,32,28,33,30,32,31,30,31,34,32,33,30,33,2.0
4,90,2,89,0,90,4,89,2,0,88,88,92,2,90,1,1,90,2,92,0,91,3,88,4,4,88,3,2,1,3,2,4,2,2,4,91,0,1,2,0,3,2,2,3,0,3,4,4,3,2,3,1.0
25,69,23,68,21,70,24,69,22,20,68,67,72,22,70,21,22,69,23,71,21,70,24,67,25,24,68,23,23,21,24,22,25,22,23,24,71,20,22,22,21,23,23,22,24,20,24,24,25,23,23,23,1.0
26,66,24,65,18,69,25,68,23,21,67,62,71,23,69,22,21,68,22,70,18,69,25,62,26,25,67,24,24,22,25,23,26,23,22,25,70,21,21,23,18,24,24,23,25,21,25,25,26,24,24,24,1.0
26,68,24,67,22,64,29,63,27,23,61,66,67,26,65,25,23,68,24,70,22,69,25,66,26,29,61,28,24,25,25,27,26,26,24,29,66,23,23,27,22,28,24,27,25,23,25,29,26,28,24,28,2.0
34,57,33,56,28,55,38,54,38,36,53,54,56,37,55,37,30,59,31,61,29,60,34,55,35,39,53,38,33,37,34,38,35,37,31,39,56,36,30,38,29,38,33,38,34,36,34,38,34,38,33,38,2.0
26,68,24,67,22,68,26,67,24,22,66,66,70,24,68,23,23,68,24,70,22,69,25,66,26,26,66,25,24,23,25,24,26,24,24,26,69,22,23,24,22,25,24,24,25,22,25,26,26,25,24,25,1.0
24,70,23,69,21,66,26,65,24,19,62,68,70,22,68,21,22,70,22,71,21,71,23,68,24,26,63,25,23,21,23,24,24,22,22,26,69,19,22,24,21,25,23,24,23,19,23,26,24,25,23,25,2.0
16,76,14,75,8,71,23,70,21,19,69,72,73,21,71,20,11,78,12,80,8,79,15,72,16,23,69,22,14,20,15,21,16,21,12,23,72,19,11,21,8,22,14,21,15,19,15,23,16,22,14,22,1.0
14,79,11,78,9,83,11,82,7,7,81,76,85,9,83,7,10,80,11,82,9,81,12,77,14,11,81,9,12,8,13,8,14,9,11,11,84,7,10,9,9,10,11,8,13,7,12,11,14,9,11,10,1.0
12,81,10,80,6,84,10,83,8,6,82,78,86,8,84,7,8,82,9,84,6,83,11,78,12,10,82,9,10,7,11,8,12,8,9,10,85,6,8,8,6,9,10,8,11,6,11,10,12,9,10,9,2.0
37,55,36,54,32,55,38,54,38,36,53,52,56,37,55,37,34,56,35,58,32,57,37,52,38,39,53,38,36,37,37,38,38,37,35,39,56,36,34,38,32,38,36,38,37,36,37,38,37,38,36,38,2.0
26,68,24,67,22,65,29,64,27,25,63,66,67,27,65,26,23,68,24,70,22,69,25,66,26,29,63,28,24,26,25,27,26,27,24,29,66,25,23,27,22,28,24,27,25,25,25,29,26,28,24,28,1.0
30,62,30,61,28,62,29,61,29,25,59,60,65,28,63,27,29,62,30,64,28,63,31,60,32,31,59,30,30,27,31,29,32,28,30,31,64,25,29,29,28,30,30,29,31,25,31,29,30,30,30,30,1.0
17,73,17,72,11,65,26,64,26,22,63,69,68,24,66,24,14,75,14,77,11,76,17,69,18,27,63,26,17,24,17,26,19,25,15,28,67,23,14,26,11,27,17,26,18,23,18,26,17,27,17,26,2.0
36,51,37,50,35,57,27,56,27,18,49,48,64,23,63,22,36,53,36,54,35,54,37,49,40,30,51,28,40,23,39,28,41,23,37,31,64,18,37,30,36,30,38,28,40,18,38,27,37,28,38,29,1.0
35,59,33,58,31,65,29,64,27,25,63,57,67,27,65,26,32,59,33,61,31,60,34,57,35,29,63,28,33,26,34,27,35,27,33,29,66,25,32,27,31,28,33,27,34,25,34,29,35,28,33,28,1.0
5,88,3,87,0,93,2,92,0,0,92,85,94,1,92,0,1,89,2,91,0,90,4,86,5,2,92,1,3,0,4,0,5,1,2,2,93,0,1,0,0,1,3,0,4,0,4,2,5,1,3,1,2.0
22,69,21,68,16,56,37,55,37,35,54,65,57,36,56,36,18,71,19,73,16,72,22,66,23,38,54,37,21,36,22,37,23,36,19,38,57,35,18,37,16,37,21,37,22,35,22,37,22,37,21,37,2.0
31,62,30,61,28,71,22,70,22,20,69,60,72,21,71,21,29,62,30,64,28,63,31,60,32,23,69,22,30,21,31,22,32,21,30,23,72,20,29,22,28,22,30,22,31,20,31,22,31,22,30,22,2.0
32,59,32,58,28,63,29,62,29,27,61,57,65,28,63,28,30,60,30,62,29,61,32,57,33,30,61,29,32,28,32,29,34,29,31,31,64,27,30,29,29,30,32,29,33,27,33,29,32,30,32,29,1.0
28,62,27,61,19,56,35,55,35,30,52,58,59,32,58,32,23,65,24,67,20,66,28,58,29,36,53,35,27,32,28,35,29,32,24,36,59,30,23,35,20,35,27,35,28,30,28,35,28,35,27,35,2.0
22,70,22,69,19,65,27,64,26,23,62,67,68,25,66,24,20,71,20,72,19,72,22,68,23,28,63,27,22,24,22,26,23,25,20,28,67,23,20,26,19,27,22,26,22,23,22,27,22,27,22,27,2.0
31,62,30,61,28,62,30,61,29,25,60,60,65,28,63,27,29,62,30,64,28,63,31,60,32,31,60,30,30,27,31,29,32,28,30,31,64,26,29,29,28,30,30,29,31,26,31,30,31,30,30,30,1.0
20,72,17,71,14,79,14,78,11,8,76,68,82,11,80,10,15,74,16,76,14,75,19,70,20,14,76,13,18,10,19,11,20,11,16,14,81,8,15,12,14,13,18,12,19,8,19,14,20,13,17,13,1.0
18,73,15,72,9,71,22,70,19,16,68,68,74,19,72,18,12,76,13,78,9,77,17,69,18,22,68,21,16,18,17,19,18,19,13,22,73,16,12,20,9,21,16,20,17,16,17,22,18,21,15,21,2.0
17,72,14,71,8,69,21,68,18,15,66,66,73,18,71,17,11,76,12,78,8,77,16,68,17,22,66,20,16,18,16,19,18,19,12,23,72,15,11,21,8,22,15,20,17,16,16,22,17,21,14,21,2.0
17,63,14,62,3,59,25,58,23,19,53,52,65,23,63,22,7,73,9,75,4,74,16,58,19,29,53,26,19,24,18,24,21,25,9,31,64,19,8,29,4,30,17,27,20,19,18,27,17,28,14,28,2.0
37,54,37,53,33,53,38,52,39,35,50,51,55,37,54,37,35,55,36,57,33,56,38,51,39,40,50,39,37,37,38,39,39,37,36,40,55,35,35,39,33,39,37,39,38,35,38,38,37,39,37,39,2.0
18,75,16,74,12,80,13,79,11,7,77,72,83,10,81,9,14,76,15,78,12,77,17,72,18,13,77,12,16,9,17,11,18,10,15,13,82,7,14,11,12,12,16,11,17,7,17,13,18,12,16,12,2.0
6,87,4,86,0,93,2,92,0,0,92,84,94,1,92,0,2,88,3,90,0,89,5,84,6,2,92,1,4,0,5,0,6,1,3,2,93,0,2,0,0,1,4,0,5,0,5,2,6,1,4,1,1.0
29,65,27,64,25,68,26,67,24,22,66,63,70,24,68,23,26,65,27,67,25,66,28,63,29,26,66,25,27,23,28,24,29,24,27,26,69,22,26,24,25,25,27,24,28,22,28,26,29,25,27,25,1.0
34,60,32,59,30,67,27,66,25,23,65,58,69,25,67,24,31,60,32,62,30,61,33,58,34,27,65,26,32,24,33,25,34,25,32,27,68,23,31,25,30,26,32,25,33,23,33,27,34,26,32,26,1.0
25,68,23,67,19,68,26,67,24,22,66,65,70,24,68,23,21,69,22,71,19,70,24,65,25,26,66,25,23,23,24,24,25,24,22,26,69,22,21,24,19,25,23,24,24,22,24,26,25,25,23,25,1.0
5,88,4,87,0,93,2,92,0,0,92,85,94,1,92,0,2,89,2,90,0,90,4,85,5,2,92,1,4,0,4,0,5,1,2,2,93,0,2,0,0,1,4,0,4,0,4,2,5,1,4,1,2.0
30,62,29,61,25,62,28,61,27,19,58,59,67,24,65,23,27,63,28,65,25,64,30,59,31,29,58,28,29,23,30,27,31,24,28,29,66,20,27,27,25,28,29,27,30,20,30,28,30,28,29,28,1.0
27,66,25,65,21,60,34,59,32,30,58,64,62,32,60,31,23,67,24,69,22,68,26,64,27,34,58,33,25,31,26,32,27,32,24,34,61,30,23,32,22,33,25,32,26,30,26,34,27,33,25,33,2.0
21,71,19,70,14,72,22,71,20,18,70,68,74,20,72,19,16,73,17,75,15,74,20,69,21,22,70,21,19,19,20,20,21,20,17,22,73,18,16,20,15,21,19,20,20,18,20,22,21,21,19,21,1.0
