@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMaaa numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbad numeric
@attribute o1atLbad numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMdbd numeric
@attribute o1atLdbd numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMcad numeric
@attribute o1atLcad numeric
@attribute o1atMead numeric
@attribute o1atLead numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMdac numeric
@attribute o1atLdac numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMcae numeric
@attribute o1atLcae numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMceb numeric
@attribute o1atLceb numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMcda numeric
@attribute o1atLcda numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMeab numeric
@attribute o1atLeab numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMdea numeric
@attribute o1atLdea numeric
@attribute o1atMeac numeric
@attribute o1atLeac numeric
@attribute o1atMdad numeric
@attribute o1atLdad numeric
@attribute o1atMada numeric
@attribute o1atLada numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMebd numeric
@attribute o1atLebd numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMbda numeric
@attribute o1atLbda numeric
@attribute o1atMbec numeric
@attribute o1atLbec numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute o1atMbeb numeric
@attribute o1atLbeb numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMdae numeric
@attribute o1atLdae numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute destClass {2.0,1.0}

@data
2,90,2,91,3,31,63,27,19,29,16,73,16,74,59,67,64,27,21,28,14,89,19,71,17,70,1,91,1,92,93,25,62,29,19,68,65,1,0,61,27,2,70,2,71,1,73,1,75,2,75,20,30,59,29,94,0,0,93,0,94,0,93,0,63,0,20,1,19,30,2,27,2,29,3,28,1,29,1,31,93,0,94,0,65,0,2,73,2,30,3,30,64,0,62,1,14,30,19,0,20,29,17,30,16,29,20,25,2,29,64,25,2,68,2,73,14,74,3,1,2,89,19,27,2,0,2,29,2,0,2,74,2,27,0,74,63,0,19,0,21,1,0,92,21,0,17,1,61,0,2,74,2,30,19,0,16,0,2,29,1,1,21,0,19,27,3,0,2,1,2,74,17,29,17,0,64,0,20,0,2,1,2,29,59,0,64,0,20,1,63,0,2,30,3,1,2,0,3,1,2,0,2,0,2,25,0,30,19,0,2,0,20,0,1,0,2,30,19,0,2,0,19,0,14,0,20,0,2,0,2,0,2.0
10,80,12,81,12,44,50,41,34,42,33,58,34,60,48,56,51,42,36,42,32,78,36,58,34,57,8,82,9,84,93,40,50,44,35,56,52,1,6,49,42,10,57,12,58,8,58,9,60,12,60,36,44,48,43,94,0,0,93,0,94,0,93,0,50,0,36,1,36,43,10,41,11,42,12,42,8,42,9,44,93,0,94,0,52,0,10,58,11,44,12,44,51,0,50,1,32,43,34,0,35,44,34,44,33,42,35,40,10,42,51,40,11,56,11,58,32,59,12,1,11,78,34,41,10,0,11,44,11,0,11,60,11,42,6,59,50,0,34,0,36,1,6,83,36,0,34,1,49,0,12,59,12,43,34,0,33,0,10,42,9,1,36,0,35,42,12,0,11,1,10,59,34,43,34,0,51,0,35,0,11,1,10,43,48,0,51,0,35,1,50,0,12,43,12,1,11,0,12,1,10,0,11,0,11,40,6,43,34,0,10,0,35,0,8,0,10,43,36,0,10,0,35,0,32,0,35,0,11,0,10,0,2.0
0,90,0,91,2,25,69,21,12,23,9,78,10,79,65,74,70,22,14,22,7,89,14,77,12,76,0,91,0,92,93,19,68,25,13,75,71,1,0,67,23,2,77,3,78,1,80,1,82,2,81,14,25,65,24,94,0,0,93,0,94,0,93,0,69,0,14,1,14,24,2,21,1,23,3,22,1,23,1,25,93,0,94,0,71,0,1,79,1,25,3,25,70,0,68,1,7,24,12,0,13,25,10,25,9,23,13,19,2,23,70,19,2,75,1,78,7,79,2,1,0,89,12,21,2,0,2,25,2,0,1,79,2,23,0,81,69,0,12,0,14,1,0,92,14,0,10,1,67,0,0,80,3,24,12,0,9,0,1,23,1,1,14,0,13,23,3,0,2,1,0,80,12,24,12,0,70,0,13,0,1,1,2,24,65,0,70,0,13,1,69,0,0,24,3,1,1,0,3,1,2,0,2,0,2,19,0,24,12,0,2,0,13,0,1,0,0,24,14,0,1,0,13,0,7,0,13,0,2,0,2,0,1.0
9,83,11,84,11,30,64,26,36,28,35,56,36,58,60,54,65,27,38,27,34,83,37,56,36,55,9,83,10,85,77,25,63,29,37,54,66,15,9,62,28,9,55,11,56,9,56,10,58,11,58,38,30,61,29,79,14,11,78,13,81,13,79,12,64,13,38,15,37,29,9,26,10,28,11,27,9,28,10,30,77,14,80,11,66,13,9,56,10,30,11,30,65,14,63,15,34,29,36,13,37,29,36,30,35,28,37,25,9,28,65,25,10,54,10,56,34,57,11,15,10,83,36,26,9,12,10,29,10,13,10,58,10,28,9,57,64,12,36,13,38,15,9,84,38,14,36,15,62,13,11,57,11,29,36,12,35,13,9,28,10,15,38,13,37,28,11,13,10,15,9,57,36,29,36,14,65,14,37,14,10,15,9,29,61,14,65,13,37,15,64,14,11,29,11,15,10,13,11,15,9,14,10,13,10,25,9,29,36,14,9,13,37,13,9,13,9,29,37,14,9,13,37,13,34,14,37,11,10,14,9,13,1.0
0,89,4,90,4,32,62,29,44,30,43,46,44,50,60,46,64,30,46,30,42,88,45,48,44,46,0,90,2,92,79,28,62,31,45,46,64,13,0,61,30,2,47,4,48,1,48,2,50,4,50,46,32,60,31,81,13,9,80,11,83,11,81,10,62,11,46,13,45,31,2,29,3,30,4,30,1,30,2,32,79,12,82,9,64,11,1,47,2,32,4,32,64,12,62,13,42,31,44,11,45,31,44,32,43,30,45,28,2,30,63,28,3,46,3,46,42,48,4,13,2,88,44,29,2,10,3,31,3,11,2,50,3,30,0,49,62,10,44,11,46,13,0,91,46,12,44,13,61,11,4,48,4,31,44,10,43,11,1,30,2,13,46,11,45,30,4,11,3,13,0,49,44,31,44,12,63,13,45,13,2,13,2,31,60,12,63,11,45,13,62,12,4,31,4,13,3,11,4,13,2,12,3,11,3,28,0,31,44,12,2,11,45,11,1,11,0,31,45,12,1,11,45,11,42,12,45,9,3,13,2,11,1.0
15,77,15,78,16,51,43,48,26,49,25,66,26,67,41,64,44,49,28,49,24,76,27,66,26,65,14,78,14,79,93,47,43,50,27,64,45,1,13,42,49,15,65,16,66,14,66,14,68,16,68,28,51,41,50,94,0,0,93,0,94,0,93,0,43,0,28,1,27,50,15,48,15,49,16,49,14,49,14,51,93,0,94,0,45,0,15,66,15,51,16,51,44,0,43,1,24,50,26,0,27,50,26,51,25,49,27,47,15,49,44,47,15,64,15,66,24,67,16,1,15,76,26,48,15,0,15,50,15,0,15,67,15,49,13,67,43,0,26,0,28,1,13,79,28,0,26,1,42,0,15,67,16,50,26,0,25,0,15,49,14,1,28,0,27,49,16,0,15,1,15,67,26,50,26,0,44,0,27,0,15,1,15,50,41,0,44,0,27,1,43,0,15,50,16,1,15,0,16,1,15,0,15,0,15,47,13,50,26,0,15,0,27,0,14,0,15,50,27,0,15,0,27,0,24,0,27,0,15,0,15,0,2.0
4,88,4,89,5,39,54,37,41,38,39,51,40,52,53,47,55,37,42,37,37,87,41,50,41,49,3,89,3,90,86,36,54,37,42,47,56,5,2,54,38,4,49,5,50,3,51,3,53,5,53,42,39,53,38,88,5,3,87,4,89,4,88,4,55,5,43,6,41,38,4,37,4,38,5,37,3,38,3,39,86,5,89,3,56,4,4,51,4,39,5,39,55,5,55,5,37,38,41,5,42,37,40,39,39,38,42,36,4,38,55,36,4,47,4,51,37,52,5,6,4,87,41,37,4,4,4,37,4,4,4,52,4,38,2,52,55,4,41,5,43,5,2,90,42,5,40,6,54,5,4,52,5,38,41,4,39,5,4,38,3,6,43,4,42,38,5,4,4,5,4,52,41,38,41,5,56,5,42,5,4,6,4,38,53,5,55,4,42,5,54,5,4,38,5,5,4,5,5,6,4,5,4,5,4,36,2,38,41,5,4,5,42,4,3,5,4,38,41,5,4,5,42,5,37,5,42,3,4,5,4,5,2.0
9,83,11,84,11,30,64,27,35,28,34,57,35,59,62,55,65,28,37,28,33,83,37,57,35,56,9,83,10,85,76,26,64,30,36,55,66,16,9,63,28,9,56,11,57,9,57,10,59,11,59,37,30,62,29,78,15,13,77,15,79,14,78,14,64,15,37,16,37,29,9,27,10,28,11,28,9,28,10,30,76,15,79,13,66,14,9,57,10,30,11,30,65,15,64,16,33,29,35,15,36,30,35,30,34,28,36,26,9,28,65,26,10,55,10,57,33,58,11,16,10,83,35,27,9,14,10,30,10,15,10,59,10,28,9,58,64,14,35,15,37,16,9,84,37,15,35,16,63,15,11,58,11,29,35,14,34,15,9,28,10,16,37,14,36,28,11,14,10,16,9,58,35,29,35,15,65,15,36,15,10,16,9,29,62,15,65,15,36,16,64,15,11,29,11,16,10,15,11,16,9,15,10,15,10,26,9,29,35,15,9,15,36,15,9,15,9,29,37,15,9,15,36,15,33,15,36,13,10,15,9,15,1.0
15,77,15,78,16,50,44,46,26,48,25,66,25,67,40,64,45,47,28,47,24,76,26,66,26,65,14,78,14,79,93,45,43,49,26,64,46,1,13,42,48,15,65,15,66,14,66,14,68,15,68,27,49,41,48,94,0,0,93,0,94,0,93,0,44,0,27,1,27,49,15,46,15,48,16,47,14,48,14,50,93,0,94,0,46,0,15,66,15,49,16,49,45,0,43,1,24,49,26,0,27,49,26,49,25,48,27,45,15,48,45,45,15,64,15,66,24,67,16,1,15,76,26,46,15,0,15,49,15,0,15,67,15,48,13,67,44,0,26,0,28,1,13,79,28,0,26,1,42,0,15,67,15,49,26,0,25,0,15,48,14,1,28,0,26,48,16,0,15,1,15,67,26,48,26,0,45,0,27,0,15,1,15,48,41,0,45,0,27,1,44,0,15,49,16,1,15,0,16,1,15,0,15,0,15,45,13,49,26,0,15,0,27,0,14,0,15,49,27,0,15,0,26,0,24,0,27,0,15,0,15,0,2.0
0,87,0,88,3,25,69,22,27,23,22,61,23,62,67,55,70,23,29,23,17,85,29,59,27,58,0,89,0,90,79,21,69,25,28,55,71,13,0,68,23,4,60,5,61,2,65,2,67,3,65,29,25,67,24,81,12,10,80,12,82,11,81,11,69,12,29,13,29,24,4,22,2,23,5,23,2,23,2,25,79,12,82,10,71,11,2,63,2,25,5,25,70,12,69,13,17,24,27,12,28,25,23,25,22,23,28,21,4,23,70,21,4,55,2,61,17,62,3,13,0,85,27,22,4,11,4,25,4,12,2,62,4,23,0,66,69,11,27,12,29,13,0,90,29,12,23,13,68,12,0,64,5,24,27,11,22,12,2,23,2,13,29,11,28,23,5,11,4,13,0,64,27,24,27,12,70,12,28,12,2,13,4,24,67,12,70,12,28,13,69,12,0,24,5,13,2,12,5,13,4,12,4,12,4,21,0,24,27,12,4,12,28,12,2,12,0,24,29,12,2,12,28,12,17,12,28,10,4,12,4,12,1.0
