@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o2atLcc numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute destClass {2.0,1.0}

@data
23,26,5,2,4,28,25,7,24,6,3,27,3,6,4,7,10,20,20,9,10,21,21,11,10,21,20,10,10,10,10,11,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,2.0
27,20,3,10,11,21,28,4,27,3,10,20,10,3,11,4,27,3,31,0,0,31,4,28,0,31,3,27,0,27,0,28,29,9,1,30,2,20,21,10,21,10,21,1,29,1,21,2,2.0
31,29,0,1,2,30,31,0,31,0,1,29,1,0,2,0,1,28,31,0,0,31,29,2,0,31,29,2,0,2,0,2,29,28,1,30,2,1,2,29,2,29,2,1,29,1,2,2,1.0
20,17,10,13,14,18,21,11,20,10,13,17,13,10,14,11,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,29,19,1,30,2,10,11,20,11,20,11,1,29,1,11,2,1.0
24,15,6,13,15,17,25,7,24,6,14,16,14,6,15,7,11,19,29,1,1,29,20,12,2,30,19,11,1,11,2,12,25,21,5,26,6,8,9,22,9,22,9,5,25,5,9,6,1.0
27,29,2,1,2,30,28,3,28,3,1,29,1,3,2,3,23,7,31,0,0,31,7,23,0,31,8,24,0,24,0,23,29,6,1,30,2,23,24,7,24,7,24,1,29,1,24,2,2.0
15,29,15,1,2,30,16,16,15,15,1,29,1,15,2,16,21,9,24,3,5,26,10,22,5,26,9,21,5,21,5,22,30,2,0,31,1,27,28,3,28,3,28,0,30,0,28,1,2.0
18,18,12,12,13,19,19,13,18,12,12,18,12,12,13,13,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,29,17,1,30,2,12,13,18,13,18,13,1,29,1,13,2,1.0
20,30,9,0,1,31,21,10,21,10,0,30,0,10,1,10,12,15,31,0,0,31,17,14,0,31,17,14,0,14,0,14,29,7,1,30,2,22,23,8,23,8,23,1,29,1,23,2,2.0
20,29,10,1,2,30,21,11,20,10,1,29,1,10,2,11,9,21,19,9,10,20,22,10,11,21,21,9,10,9,11,10,29,27,1,30,2,1,3,29,2,28,2,1,29,1,3,2,1.0
21,15,8,11,14,18,22,9,22,8,12,17,13,9,14,9,0,31,31,0,0,31,31,0,0,31,31,0,0,0,0,0,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
30,29,0,1,2,30,31,1,30,0,1,29,1,0,2,1,6,24,28,1,2,29,25,7,2,29,24,6,2,6,2,7,29,22,1,30,2,7,8,23,8,23,8,1,29,1,8,2,2.0
15,29,15,1,2,30,16,16,15,15,1,29,1,15,2,16,21,9,23,7,7,23,10,22,8,24,9,21,7,21,8,22,30,2,0,31,1,27,28,3,28,3,28,0,30,0,28,1,2.0
21,15,9,15,16,16,22,10,21,9,15,15,15,9,16,10,16,14,31,0,0,31,15,17,0,31,14,16,0,16,0,17,29,20,1,30,2,9,10,21,10,21,10,1,29,1,10,2,1.0
21,13,8,17,18,14,22,9,22,9,17,13,17,9,18,9,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,22,16,8,23,9,13,14,17,14,17,14,8,22,8,14,9,1.0
16,23,12,3,5,26,18,13,17,13,5,25,5,13,6,14,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,29,17,1,30,2,12,13,18,13,18,13,1,29,1,13,2,2.0
22,17,2,9,11,20,26,5,25,4,10,19,11,5,12,6,19,6,31,0,0,31,9,22,0,31,9,22,0,22,0,22,29,1,0,30,1,28,29,2,28,2,29,1,30,0,29,1,1.0
21,15,9,15,16,16,22,10,21,9,15,15,15,9,16,10,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,24,12,6,25,7,18,19,13,18,12,18,6,24,6,19,7,1.0
31,29,0,1,2,30,31,0,31,0,1,29,1,0,2,0,0,31,28,1,2,29,31,0,2,29,31,0,2,0,2,0,29,29,1,30,2,0,1,30,1,30,1,1,29,1,1,2,2.0
27,24,3,2,5,27,28,4,27,3,4,26,4,3,5,4,31,0,31,0,0,31,0,31,0,31,0,31,0,31,0,31,29,12,0,30,1,17,18,13,18,13,18,1,30,1,18,1,2.0
31,29,0,1,2,30,31,0,31,0,1,29,1,0,2,0,21,9,31,0,0,31,10,22,0,31,9,21,0,21,0,22,30,1,0,31,1,29,30,2,29,1,29,0,30,0,30,1,2.0
20,12,10,16,18,14,21,11,20,10,17,13,17,10,18,11,9,21,31,0,0,31,22,10,0,31,21,9,0,9,0,10,21,14,9,22,9,15,15,15,16,15,16,9,21,9,16,10,1.0
25,17,3,9,12,20,27,5,26,4,11,19,11,4,12,5,26,3,31,0,0,31,4,27,0,31,4,27,0,27,0,27,28,12,1,29,2,15,17,14,17,14,17,2,29,2,17,2,2.0
23,28,5,0,2,30,25,7,24,6,1,29,1,6,2,7,18,12,27,3,3,27,13,19,4,28,12,18,3,18,4,19,29,14,1,30,2,16,17,15,16,14,16,1,29,1,17,2,2.0
19,14,11,16,17,15,20,12,19,11,16,14,16,11,17,12,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,22,15,6,24,8,14,15,16,15,16,15,7,23,7,15,8,1.0
24,27,5,1,3,29,25,6,25,6,2,28,2,6,3,6,4,25,29,0,1,30,26,5,1,30,26,5,1,5,1,5,28,14,2,29,3,15,16,15,16,15,16,2,28,2,16,3,1.0
27,22,2,5,7,24,28,3,28,3,7,24,7,3,7,3,16,13,31,0,0,31,14,17,0,31,14,17,0,17,0,17,29,19,1,30,2,8,10,21,10,21,10,1,29,1,10,2,2.0
16,21,12,7,8,23,18,13,17,12,7,22,8,13,9,14,5,23,26,1,3,28,25,7,3,28,24,6,3,6,3,7,29,23,1,30,2,4,6,25,6,25,6,1,29,1,6,2,2.0
26,16,3,6,11,21,27,4,27,3,9,20,10,4,11,4,18,6,25,0,1,28,10,21,2,28,9,19,3,21,3,22,26,20,4,27,5,3,7,24,7,24,7,4,26,4,7,5,2.0
15,26,13,4,5,27,17,15,16,14,4,26,4,14,5,15,23,7,25,5,5,25,8,24,6,26,7,23,5,23,6,24,30,2,0,31,1,26,28,4,27,3,27,0,30,0,28,1,2.0
28,29,1,1,2,30,29,2,29,2,1,29,1,2,2,2,8,21,26,4,4,26,22,9,5,27,22,9,4,9,5,9,29,19,1,30,2,9,11,21,10,20,10,1,29,1,11,2,2.0
31,24,0,3,5,26,31,0,31,0,5,26,5,0,5,0,0,31,31,0,0,31,31,0,0,31,31,0,0,0,0,0,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
25,13,5,17,18,14,26,6,25,5,17,13,17,5,18,6,13,17,31,0,0,31,18,14,0,31,17,13,0,13,0,14,25,19,5,26,6,10,11,20,11,20,11,5,25,5,11,6,1.0
22,15,8,15,16,16,23,9,22,8,15,15,15,8,16,9,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,26,12,4,27,5,17,18,13,18,13,18,4,26,4,18,5,1.0
