@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMaa numeric
@attribute o1atLkk numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMia numeric
@attribute o1atLia numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute destClass {0.0,1.0}

@data
41,52,28,66,9,93,70,20,30,62,13,80,46,43,73,16,49,28,31,29,51,2,65,1,25,44,50,19,45,42,29,62,14,81,34,60,22,76,56,35,84,14,24,69,37,55,88,3,62,25,25,64,63,18,1,70,66,1,26,6,38,29,74,4,48,28,30,55,62,24,24,69,88,2,36,54,1,94,92,0,30,56,14,57,72,16,0,94,37,43,24,56,94,0,93,0,0,0,90,0,39,2,14,69,14,63,24,63,89,0,64,5,74,3,1,19,31,19,38,28,38,19,1,57,38,5,50,5,50,5,37,43,25,57,25,30,76,0,0,81,14,69,30,44,49,19,31,43,64,4,14,64,64,17,25,45,1,64,38,19,39,5,31,5,32,2,38,1,25,20,14,30,1,45,1,81,14,19,1,20,14,44,75,0,26,2,1,30,14,56,14,45,14,2,25,29,31,29,32,5,1,69,1,63,14,6,50,1,0.0
49,45,41,57,18,93,57,39,42,51,22,73,52,43,58,36,52,41,44,41,52,1,54,0,36,43,51,36,50,43,42,50,22,72,43,49,35,68,53,41,64,35,36,58,46,47,67,27,54,41,36,51,54,37,1,59,55,1,37,28,46,40,58,27,51,40,43,47,54,39,35,58,67,27,46,47,1,94,94,24,44,48,23,49,58,36,1,94,47,44,36,48,95,0,94,0,0,0,68,0,47,1,22,58,22,51,35,51,67,0,54,27,58,27,1,36,43,36,47,41,47,37,1,49,46,27,51,27,52,28,46,43,37,48,37,41,59,0,1,73,22,59,44,44,52,37,43,43,54,28,22,52,54,36,37,44,1,52,46,36,47,28,43,27,44,1,46,0,37,37,23,41,1,44,1,72,22,36,1,37,22,43,58,0,37,1,1,41,22,48,23,44,23,1,36,40,43,40,44,28,1,58,1,51,23,28,51,0,0.0
53,47,33,62,17,92,65,28,34,59,18,77,54,37,66,26,55,30,34,31,57,3,63,3,28,38,56,27,55,38,34,60,17,77,39,59,24,76,60,35,69,25,27,67,42,51,71,21,62,29,28,61,62,26,2,67,64,3,29,23,43,31,67,22,56,31,34,51,63,30,28,65,72,21,43,51,2,93,89,19,34,51,18,52,66,27,2,93,42,38,28,51,92,2,91,3,1,1,73,3,44,4,18,66,18,60,28,60,72,3,63,22,67,21,2,27,34,27,42,31,42,27,2,52,43,22,56,22,56,21,43,38,28,52,28,32,68,3,2,77,18,67,34,38,55,26,34,38,63,21,18,61,63,27,28,39,2,61,43,27,43,22,34,22,35,4,43,3,28,28,18,32,2,39,2,77,18,27,2,28,18,38,67,3,29,4,2,32,18,51,18,39,18,4,28,31,34,31,35,22,2,66,2,60,18,23,56,3,0.0
48,48,44,58,16,84,62,34,45,51,19,75,50,45,64,29,50,37,45,37,51,7,58,6,32,44,50,30,50,44,44,50,19,75,46,50,28,72,56,42,69,28,33,62,47,49,72,22,57,36,33,51,58,30,10,63,59,6,33,23,46,36,64,22,50,36,44,48,58,36,32,62,72,22,46,48,9,85,85,19,45,49,20,49,64,30,9,86,47,45,32,48,89,6,88,6,8,3,73,6,47,7,19,62,19,50,32,50,72,6,58,22,64,22,9,30,44,30,47,37,47,31,10,49,46,22,50,22,50,23,46,44,33,49,33,37,65,6,9,76,20,62,45,45,50,31,44,44,58,22,20,51,58,30,33,45,10,51,46,30,47,23,44,22,45,7,46,6,33,31,20,37,10,45,9,75,19,30,10,31,19,44,64,6,33,7,10,37,19,48,20,45,20,7,32,36,44,36,45,23,9,62,9,50,20,23,50,6,0.0
57,38,39,54,5,94,60,30,45,48,12,82,59,36,63,29,59,33,46,33,60,12,62,11,32,35,59,31,58,35,43,45,10,82,52,43,24,75,60,33,69,28,31,62,55,40,72,22,60,32,33,50,62,31,1,63,63,11,33,23,54,32,63,21,58,32,45,39,60,31,28,60,71,21,54,38,0,94,79,19,46,41,13,41,62,29,0,95,55,36,32,40,84,11,83,10,0,7,73,11,55,12,10,62,12,49,31,47,72,11,62,22,63,22,0,31,45,31,55,33,55,32,1,41,54,22,59,22,59,23,54,35,33,41,33,33,64,11,0,83,13,62,46,36,59,32,45,35,62,22,13,50,61,30,33,36,1,50,54,31,55,23,45,22,46,12,54,11,33,32,13,33,1,36,0,82,12,31,1,32,12,35,63,11,33,12,1,33,12,40,13,36,13,12,32,32,45,32,46,23,0,62,0,49,13,23,59,11,0.0
46,40,28,73,4,90,67,21,30,59,6,88,47,34,72,17,54,29,34,32,57,1,62,1,15,37,54,17,48,32,30,60,5,87,36,56,11,86,51,28,79,13,14,78,41,46,84,8,59,23,14,61,61,18,3,79,63,1,17,11,42,30,74,8,51,27,31,48,57,24,15,77,84,7,39,46,2,91,92,5,33,47,7,49,71,15,3,92,42,38,15,48,94,1,93,1,2,0,85,1,46,2,5,77,5,60,15,60,84,1,62,8,74,9,3,20,33,19,44,32,45,21,4,50,45,10,56,9,56,10,40,36,16,49,17,33,75,1,3,89,6,78,33,38,55,19,31,37,62,9,6,61,60,15,16,39,3,62,44,18,45,11,33,10,34,2,45,1,17,21,7,33,4,39,2,88,6,19,4,21,5,37,74,1,17,2,4,33,5,48,7,39,7,2,15,31,31,31,34,11,2,78,2,61,7,11,56,1,0.0
47,51,38,57,23,88,54,45,40,56,27,68,48,47,55,40,49,46,40,46,49,3,49,2,36,46,48,39,48,46,39,55,26,68,41,54,35,65,49,45,69,38,37,59,43,53,72,22,50,45,37,56,50,40,5,59,50,3,37,23,42,45,55,22,48,45,39,52,49,45,36,58,72,22,42,52,4,90,90,19,40,53,27,53,55,39,4,91,43,47,36,52,93,2,92,2,2,0,73,2,43,3,26,58,26,55,36,55,72,2,49,22,55,23,4,39,39,39,43,46,43,40,5,53,42,22,48,22,49,23,42,46,37,53,37,46,56,3,5,69,27,59,40,47,49,40,39,46,50,23,27,56,49,39,37,47,5,56,42,39,43,23,39,22,40,3,42,2,37,40,27,46,5,47,4,68,26,39,5,40,26,46,55,2,37,3,5,46,26,52,27,47,27,3,36,45,39,45,40,23,4,58,4,55,27,23,48,2,0.0
44,56,31,64,17,82,68,25,31,63,21,74,50,43,70,21,50,30,33,30,51,8,65,7,28,44,50,23,50,43,31,62,20,73,34,61,26,69,61,38,71,20,29,66,35,57,73,20,63,29,29,63,64,23,8,67,66,8,29,22,36,29,71,20,50,29,31,58,64,29,28,65,73,19,35,57,8,87,84,19,31,59,22,59,69,22,8,87,37,43,28,58,88,7,87,7,3,4,74,7,37,8,21,66,21,62,28,62,73,7,65,21,71,20,8,23,32,23,37,30,37,24,8,59,36,21,50,21,51,22,36,43,29,59,29,30,72,7,8,74,22,67,33,45,51,24,32,44,65,22,22,63,64,23,29,45,8,63,36,23,37,22,32,21,33,8,36,7,29,24,22,30,8,45,8,73,21,23,8,24,21,44,71,7,29,8,8,30,21,58,22,45,22,8,28,29,32,29,33,22,8,66,8,62,22,22,50,7,0.0
49,52,27,66,16,87,68,26,30,62,18,76,52,42,70,22,53,31,32,31,53,7,64,6,25,42,52,23,52,42,30,62,18,75,34,59,22,72,60,39,78,20,24,68,38,55,80,13,63,30,25,63,64,24,6,70,65,7,26,15,38,30,70,13,52,30,31,56,61,30,24,68,79,13,38,55,6,89,85,12,31,56,20,57,70,20,6,89,39,42,25,56,89,6,88,5,4,3,81,6,39,7,19,69,19,63,25,63,80,5,63,14,71,14,6,23,31,23,39,31,39,24,6,57,38,14,52,14,53,15,38,42,25,57,26,31,72,7,6,76,19,70,32,42,53,24,31,42,65,15,20,64,63,23,26,43,6,64,38,23,39,15,31,14,32,7,38,6,26,24,20,31,6,43,6,75,19,23,6,24,19,42,71,5,26,7,6,31,19,56,20,43,20,7,25,30,31,30,32,15,6,69,6,63,20,15,52,6,0.0
53,39,31,64,5,90,67,26,36,56,7,87,58,35,70,23,58,30,38,30,58,6,65,5,25,37,57,24,57,34,34,56,7,87,43,51,20,85,62,33,82,21,24,69,47,44,83,11,64,30,26,57,65,25,2,70,66,6,26,12,49,29,70,11,57,29,36,45,64,29,24,69,83,11,46,42,2,92,88,10,37,46,8,46,70,23,2,93,50,37,25,45,90,5,89,5,0,4,84,5,50,6,7,69,7,57,25,57,83,5,65,11,70,11,2,24,37,24,50,30,50,25,3,46,49,11,57,11,58,12,49,36,26,46,26,30,71,5,2,88,7,69,38,38,58,25,37,37,65,12,8,57,65,24,26,38,3,58,49,24,50,12,37,11,38,6,49,5,26,25,8,30,3,38,2,87,7,24,3,25,7,37,70,5,26,6,3,30,7,45,8,38,8,6,25,29,37,29,38,12,2,69,2,57,8,12,57,5,0.0
