@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute destClass ,1}

@data
78,27,47,58,32,73,12,2,17,78,33,61,56,36,86,8,58,9,34,38,35,10,57,9,85,7,55,37,34,60,17,78,17,61,17,9,34,9,34,37,17,60,17,38,17,37,17,10,0.0
63,40,52,49,41,65,23,29,26,69,44,51,54,42,65,31,54,31,44,42,44,31,53,30,64,30,53,41,43,51,26,68,27,52,26,30,43,30,43,41,26,51,27,42,26,41,27,31,0.0
66,30,56,57,35,76,17,24,18,77,36,59,59,34,69,25,61,26,36,35,37,27,60,26,68,26,60,34,36,58,18,77,18,59,18,26,36,26,36,34,18,58,18,35,18,34,18,27,0.0
67,39,53,50,44,71,19,23,22,74,45,51,54,41,70,25,55,26,45,41,45,26,54,25,69,25,54,40,44,50,21,73,22,51,21,25,44,25,44,40,21,50,22,41,21,40,22,26,0.0
66,32,58,42,46,69,11,22,19,77,50,46,60,35,70,25,61,26,50,35,50,26,60,25,69,24,59,34,49,45,18,76,19,46,18,25,49,25,49,34,18,45,19,35,18,34,19,26,0.0
75,24,50,49,29,80,10,7,11,83,37,56,59,34,82,12,61,14,38,35,38,14,60,11,81,9,56,31,34,56,11,82,13,58,12,13,37,12,35,33,11,57,13,35,11,34,13,14,0.0
68,45,49,51,41,61,29,20,32,64,43,53,50,46,72,24,50,24,43,46,43,24,49,23,71,23,49,45,42,52,31,63,32,53,31,23,42,23,42,45,31,52,32,46,31,45,32,24,0.0
71,27,59,56,32,66,20,19,25,71,35,60,63,31,74,21,64,22,36,32,36,22,63,21,73,20,62,30,34,59,24,70,25,60,24,21,35,21,35,31,24,59,25,32,24,31,25,22,0.0
74,33,57,55,31,70,20,12,23,73,36,60,60,36,79,17,60,17,36,36,36,17,59,16,78,16,59,35,35,59,22,72,23,60,22,16,35,16,35,35,22,59,23,36,22,35,23,17,0.0
76,32,60,47,35,82,8,12,10,85,42,53,62,34,80,16,62,16,42,34,42,16,61,15,79,15,61,33,41,53,10,84,11,54,10,15,41,15,41,33,10,53,11,34,10,33,11,16,0.0
