@relation 'Sax dominant'

@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMaaa numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atLeee numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMece numeric
@attribute o1atLece numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMada numeric
@attribute o1atLada numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMaec numeric
@attribute o1atLaec numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute destClass ,1}

@data
35,7,44,8,8,17,70,77,6,40,55,12,77,12,77,32,58,54,7,33,57,47,9,54,23,47,8,1,45,35,34,9,46,34,85,2,85,2,16,72,16,72,10,77,52,26,32,58,31,59,53,25,17,37,30,69,43,35,17,59,34,27,78,6,78,6,56,8,71,20,55,7,16,58,33,36,35,2,85,1,57,2,16,60,33,55,17,2,30,60,33,7,58,2,33,36,12,60,17,36,12,9,55,6,56,6,33,35,32,37,33,35,32,36,17,9,34,8,33,26,34,2,57,1,30,37,17,36,32,9,32,9,16,60,17,9,33,9,17,58,34,34,32,36,17,57,12,59,16,37,16,60,34,9,55,6,12,36,10,37,17,36,17,9,12,37,17,9,17,27,34,7,10,60,16,37,34,6,17,59,12,9,16,9,17,2,33,8,0.0
44,30,50,30,21,26,63,61,30,50,46,23,67,23,68,43,48,52,30,43,48,52,31,53,38,51,30,28,51,40,43,30,52,41,64,29,63,29,25,64,26,65,22,68,52,39,41,49,41,50,53,40,26,42,39,62,50,41,26,50,44,40,62,30,63,30,54,31,61,38,52,30,27,49,44,42,44,29,64,28,52,29,26,51,43,46,26,29,39,50,43,30,54,29,43,40,23,51,27,42,23,30,53,30,53,30,43,41,43,41,43,40,41,42,26,30,44,31,43,39,43,29,53,28,39,41,26,40,41,30,41,31,25,50,26,30,44,31,26,49,43,41,41,40,26,48,23,50,27,41,26,51,43,31,53,30,23,40,22,41,26,40,26,31,23,42,26,31,27,40,43,30,22,51,26,41,43,30,26,50,23,31,27,30,27,29,43,30,0.0
36,26,55,25,16,18,74,64,25,53,55,17,76,17,76,36,57,60,25,36,56,56,25,59,29,56,26,22,56,34,36,26,55,33,68,23,68,24,18,75,18,75,16,76,60,30,35,57,35,58,58,29,18,34,34,74,55,33,18,57,36,30,66,26,66,24,59,24,64,28,60,26,18,57,36,34,37,24,68,22,60,24,18,58,36,55,18,24,34,58,36,25,60,23,36,34,17,58,18,34,17,26,60,24,59,26,36,33,36,34,36,34,35,34,18,26,36,25,36,30,36,24,60,22,34,34,18,34,35,26,35,26,18,58,18,26,36,26,18,57,36,33,35,34,18,56,17,57,18,34,18,58,36,25,58,25,17,34,16,34,18,34,18,26,17,34,18,26,18,30,36,26,16,58,18,34,36,24,18,58,17,26,18,26,18,24,36,26,0.0
45,25,51,25,17,21,69,65,25,51,49,19,72,19,73,45,50,53,25,43,49,53,26,53,38,52,25,21,52,40,43,25,52,41,69,23,68,23,21,70,22,71,18,73,53,39,43,49,44,51,53,39,22,41,43,69,51,40,21,49,45,39,66,25,67,25,54,25,65,38,53,25,22,50,45,41,45,23,69,22,53,23,22,51,44,49,21,23,43,50,43,25,54,23,43,40,19,51,22,41,19,25,54,25,53,25,43,40,45,40,44,40,44,41,21,25,45,25,43,39,43,23,54,22,43,40,21,40,43,25,44,26,21,50,21,25,45,26,21,49,44,41,43,40,21,49,19,49,22,40,22,50,44,26,53,25,19,40,18,40,21,40,22,26,19,41,21,26,22,39,43,25,18,50,22,40,44,25,21,51,19,26,22,25,22,23,44,25,0.0
50,24,56,25,8,18,67,64,24,56,38,11,75,11,76,49,42,57,25,48,41,58,26,58,31,57,25,20,56,34,48,25,57,34,69,22,68,21,17,68,18,69,10,76,57,32,45,43,46,45,59,32,19,35,43,63,56,34,18,44,50,32,65,23,66,25,60,25,63,30,58,24,19,42,50,35,50,22,69,21,59,22,19,46,49,39,18,22,43,45,48,25,60,22,48,34,11,46,19,35,11,25,59,25,59,23,48,34,49,34,49,34,46,35,18,25,50,25,48,32,48,22,60,21,43,34,18,34,45,25,46,26,17,45,18,25,50,26,18,43,49,34,45,34,18,41,11,44,19,34,18,45,49,26,59,24,11,34,10,34,18,34,19,26,11,35,18,26,19,32,48,24,10,45,18,34,49,25,18,45,11,26,19,25,19,22,49,25,0.0
38,9,48,11,8,10,77,73,8,44,41,9,81,9,82,32,47,56,10,31,47,50,14,54,23,49,10,4,47,28,34,10,50,30,81,6,80,6,9,79,10,80,8,82,53,22,27,53,28,54,58,24,11,35,25,77,48,30,9,55,38,24,74,8,75,10,59,12,70,18,55,8,11,49,37,32,38,7,81,6,59,6,11,56,33,45,12,7,26,54,34,11,60,7,32,30,10,57,13,34,10,13,56,12,58,10,32,32,33,31,34,29,29,33,11,12,38,12,33,23,37,6,60,6,26,33,9,33,29,10,29,14,9,55,11,11,37,14,10,53,34,30,27,31,9,48,9,56,11,31,10,56,34,14,58,9,9,34,8,34,9,31,11,14,10,35,11,14,13,24,35,8,8,57,10,33,35,12,11,54,10,14,11,11,13,7,36,10,0.0
43,23,48,23,27,31,59,64,23,48,49,29,62,29,63,43,51,48,23,41,50,49,24,49,44,48,23,17,48,44,41,23,49,46,71,20,70,20,31,60,32,61,28,63,48,44,40,51,41,53,50,45,32,46,40,59,48,45,31,51,43,45,67,23,68,24,50,24,64,44,48,23,32,51,43,46,43,20,71,17,48,20,32,53,42,50,31,20,40,52,41,23,50,20,41,44,29,53,32,46,29,23,49,24,49,23,41,45,43,45,42,44,41,46,31,23,43,24,41,44,41,20,49,17,40,45,31,44,40,23,41,24,31,52,31,23,43,24,31,51,42,46,40,44,31,50,29,51,32,45,32,52,42,24,50,23,29,44,28,45,31,44,32,24,29,46,31,24,32,45,41,23,28,52,32,45,42,24,31,53,29,24,32,23,32,20,42,23,0.0
35,20,55,21,16,24,63,69,20,54,53,20,69,20,70,33,56,60,21,33,55,59,21,61,24,58,21,18,57,29,33,21,58,29,73,19,72,19,24,65,24,66,18,70,59,26,31,58,31,59,60,26,25,32,30,63,55,29,24,58,35,27,70,19,71,19,63,20,68,24,61,20,24,56,35,31,36,19,73,18,62,19,24,60,33,55,24,19,31,59,34,21,63,19,33,30,20,60,25,31,20,21,62,19,62,19,33,30,33,30,34,30,32,31,24,21,36,21,34,27,34,19,63,18,31,31,24,31,31,21,32,22,24,59,24,21,35,22,24,58,34,29,31,31,24,55,20,58,24,30,24,59,34,21,60,20,20,31,18,31,24,30,25,22,20,32,24,22,25,27,34,20,18,59,24,31,35,19,24,59,20,22,24,21,25,19,34,21,0.0
36,16,55,16,18,22,68,72,16,55,52,20,71,20,72,36,55,57,16,34,54,57,17,59,31,56,16,10,56,34,34,16,57,36,78,12,77,12,21,69,23,70,19,72,57,32,30,57,31,60,59,33,23,36,27,68,55,35,22,58,36,33,73,15,74,16,60,17,70,30,58,16,23,55,36,36,36,12,78,11,58,12,23,60,35,53,22,12,29,59,34,16,60,12,34,34,20,60,23,36,20,16,59,16,59,15,34,35,36,35,35,34,31,36,22,16,36,17,34,32,34,12,59,11,29,35,22,34,30,16,31,17,21,59,22,16,36,17,22,57,35,36,30,34,22,54,20,58,23,35,23,59,35,17,59,16,20,34,19,35,22,34,23,17,20,36,22,17,23,33,34,16,19,59,23,35,35,16,22,60,20,17,23,16,23,12,35,16,0.0
42,15,58,15,6,10,79,75,15,58,42,8,83,8,84,41,46,60,15,40,46,60,16,61,30,59,15,11,59,31,41,15,60,33,79,12,78,12,10,81,10,82,6,84,60,31,35,52,35,52,62,32,10,34,29,79,58,33,10,52,42,32,75,15,76,16,62,16,73,30,60,15,11,47,42,34,42,12,79,12,60,12,10,53,41,42,10,12,31,52,41,15,62,12,41,32,8,53,11,34,8,15,61,16,61,15,40,33,41,33,41,31,35,34,10,15,42,16,41,31,41,12,61,12,31,33,10,32,35,15,35,16,10,52,10,15,42,16,10,52,41,33,35,32,10,46,8,52,11,33,10,53,41,16,62,15,8,32,6,33,10,32,10,16,8,34,10,16,11,32,41,15,6,53,10,33,41,16,10,52,8,16,11,15,11,12,41,15,0.0
