@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atLee numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMaa numeric
@attribute o2atLee numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMea numeric
@attribute o2atLea numeric
@attribute o2atMec numeric
@attribute o2atLec numeric
@attribute o2atMdb numeric
@attribute o2atLdb numeric
@attribute o2atMbe numeric
@attribute o2atLbe numeric
@attribute o2atMeb numeric
@attribute o2atLeb numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMaa numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atLee numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute o3atMec numeric
@attribute o3atLec numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMeb numeric
@attribute o3atLeb numeric
@attribute o3atMbe numeric
@attribute o3atLbe numeric
@attribute o3atMdb numeric
@attribute o3atLdb numeric
@attribute o3atMad numeric
@attribute o3atLad numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o3atMae numeric
@attribute o3atLae numeric
@attribute destClass ,1}

@data
27,2,25,6,23,16,8,11,19,27,1,24,2,27,2,29,1,26,4,24,7,12,20,11,7,0,23,7,25,3,29,0,24,4,23,4,12,7,11,4,12,4,11,2,3,30,9,27,27,13,1,31,4,28,14,18,29,2,13,17,29,2,0,0,0,30,3,27,0,2,13,2,3,17,4,2,3,2,4,18,14,2,0,27,12,24,3,23,11,2,16,14,4,27,26,5,6,15,16,5,15,15,6,25,4,27,26,4,5,26,5,25,16,5,4,25,6,5,6,5,6,15,4,15,4,25,4,5,0.0
31,0,31,2,27,4,21,23,7,31,0,28,0,31,0,31,0,31,0,28,3,24,7,24,3,0,28,2,31,0,31,0,28,0,28,0,24,3,24,0,24,0,24,0,9,29,11,21,18,19,2,30,10,22,12,20,19,13,11,19,18,12,1,12,1,29,9,21,1,12,11,12,9,19,10,13,9,12,10,20,12,13,1,21,9,25,0,13,20,16,10,21,0,31,14,17,5,21,10,17,10,21,5,26,0,31,14,17,4,31,5,26,10,17,0,26,5,17,5,17,5,21,0,21,0,26,0,17,0.0
28,3,26,5,24,17,13,13,17,27,1,25,2,27,2,29,2,27,4,25,6,14,18,13,6,1,24,6,26,3,29,1,25,4,24,4,14,6,13,4,14,4,13,2,10,27,18,20,20,12,4,28,11,21,19,13,21,11,18,12,20,10,3,10,3,27,10,20,3,10,18,10,10,12,11,11,10,10,11,13,19,11,3,20,11,31,0,17,14,12,13,17,0,31,18,12,0,17,14,13,14,17,0,31,0,31,18,13,0,31,0,31,14,13,0,31,0,13,0,13,0,17,0,17,0,31,0,13,0.0
31,0,31,0,31,10,17,19,12,31,0,31,0,31,0,31,0,31,0,31,0,19,12,19,0,0,31,0,31,0,31,0,31,0,31,0,19,0,19,0,19,0,19,0,12,29,15,18,19,15,2,30,13,19,16,16,20,12,15,15,19,11,1,11,1,29,12,18,1,11,15,11,12,15,13,12,12,11,13,16,16,12,1,18,6,31,0,16,23,11,6,24,0,31,18,12,0,24,7,13,7,24,0,31,0,31,18,13,0,31,0,31,7,13,0,31,0,13,0,13,0,24,0,24,0,31,0,13,0.0
31,0,31,1,28,8,10,17,15,31,0,29,0,31,0,31,0,31,0,29,2,16,14,17,2,0,29,2,31,0,31,0,29,0,29,0,16,2,17,0,16,0,17,0,16,28,20,12,25,10,2,29,18,14,21,11,26,5,20,10,26,5,1,4,2,29,17,13,2,5,20,5,17,10,18,5,17,5,18,11,21,5,2,13,6,28,0,8,22,18,7,24,0,31,11,20,2,24,7,20,6,23,2,29,0,31,10,19,1,31,2,29,8,21,0,29,2,20,2,21,2,23,0,24,0,29,0,21,0.0
23,15,3,28,0,30,0,0,31,10,5,2,5,9,4,26,2,7,20,0,29,0,30,1,30,1,2,29,9,22,27,4,1,21,2,22,0,29,1,22,0,21,1,5,17,21,23,9,23,7,9,22,19,11,23,7,24,6,23,7,25,6,8,5,8,22,19,11,9,7,24,6,19,7,19,6,20,6,19,7,23,6,8,12,23,11,2,28,1,0,26,4,2,28,30,1,16,5,26,0,25,3,14,15,3,28,29,0,11,27,15,15,27,2,3,16,15,1,16,2,14,4,3,5,3,15,3,2,0.0
31,0,31,0,31,1,26,28,3,31,0,31,0,31,0,31,0,31,0,31,0,28,3,28,0,0,31,0,31,0,31,0,31,0,31,0,28,0,28,0,28,0,28,0,9,28,17,19,21,13,3,29,11,21,18,14,23,9,17,13,22,8,2,7,2,28,10,20,2,8,17,8,10,13,11,9,10,8,11,14,18,9,2,20,0,31,0,15,31,12,0,31,0,31,17,14,0,31,0,14,0,31,0,31,0,31,17,14,0,31,0,31,0,14,0,31,0,14,0,14,0,31,0,31,0,31,0,14,0.0
31,0,31,0,31,2,20,25,7,31,0,31,0,31,0,31,0,31,0,31,0,24,6,25,0,0,31,0,31,0,31,0,31,0,31,0,24,0,25,0,24,0,25,0,0,31,7,29,17,18,0,31,1,30,10,21,19,13,9,20,18,11,0,11,0,31,0,30,0,12,10,12,1,21,1,13,1,12,1,21,10,13,0,30,21,26,0,22,8,7,21,9,0,31,23,7,3,9,22,8,22,9,3,28,0,31,23,8,1,31,3,28,22,8,0,28,3,8,3,8,3,9,0,9,0,28,0,8,0.0
31,0,31,5,18,18,11,12,19,31,0,22,0,31,0,31,0,31,0,22,9,12,19,12,9,0,22,9,31,0,31,0,22,0,22,0,12,9,12,0,12,0,12,0,12,20,20,18,29,10,10,22,13,19,21,11,30,1,20,10,30,1,8,0,9,21,12,18,9,1,20,1,12,10,13,1,12,1,13,11,21,1,9,18,5,31,0,12,23,12,7,25,0,31,16,16,0,25,6,15,6,24,0,31,0,31,15,15,0,31,0,31,7,16,0,31,0,15,0,16,0,24,0,25,0,31,0,16,0.0
31,0,31,11,12,26,3,3,27,31,0,16,0,31,0,31,0,31,0,16,15,4,27,4,15,0,16,14,31,0,31,0,16,0,16,0,4,15,4,0,4,0,4,0,6,27,7,24,15,23,4,28,7,25,8,24,17,14,7,23,17,14,3,12,3,27,6,24,3,14,7,14,6,23,7,14,6,14,7,24,8,14,3,24,21,11,1,29,8,0,22,9,2,29,30,1,18,9,22,1,22,9,18,13,2,29,30,1,16,28,18,13,22,1,2,13,18,1,18,1,18,9,2,9,2,13,2,1,0.0
