@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atLccc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atLccc numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMaba numeric
@attribute o2atLaba numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMcca numeric
@attribute o2atLcca numeric
@attribute o2atMcaa numeric
@attribute o2atLcaa numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMcbc numeric
@attribute o2atLcbc numeric
@attribute o2atMaac numeric
@attribute o2atLaac numeric
@attribute o2atMaca numeric
@attribute o2atLaca numeric
@attribute o2atMcba numeric
@attribute o2atLcba numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMaaa numeric
@attribute o3atMacc numeric
@attribute o3atLacc numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMaac numeric
@attribute o3atLaac numeric
@attribute o3atLccc numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMcca numeric
@attribute o3atLcca numeric
@attribute o3atMaba numeric
@attribute o3atLaba numeric
@attribute o3atMacb numeric
@attribute o3atLacb numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMcaa numeric
@attribute o3atLcaa numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute o3atMcba numeric
@attribute o3atLcba numeric
@attribute o3atMbac numeric
@attribute o3atLbac numeric
@attribute o3atMbca numeric
@attribute o3atLbca numeric
@attribute o3atMcab numeric
@attribute o3atLcab numeric
@attribute destClass ,1}

@data
18,1,25,2,17,9,18,9,15,16,12,26,2,25,1,18,9,28,1,24,7,19,3,16,12,0,15,11,27,0,27,0,17,2,17,3,16,3,16,3,15,2,18,2,1,3,28,16,10,18,11,7,17,10,2,29,15,27,20,8,19,8,1,28,2,27,1,27,1,27,1,8,1,10,3,11,20,7,2,11,1,10,1,10,5,24,3,5,8,19,10,4,10,7,19,8,17,23,4,25,20,8,17,8,3,24,3,25,21,7,20,7,5,8,3,25,3,9,4,23,4,10,4,9,5,10,5,8,5,8,4,10,0.0
27,0,30,0,27,2,28,2,26,26,3,30,0,30,0,27,1,30,0,30,1,28,0,27,3,0,26,2,30,0,30,0,27,0,27,0,27,0,26,0,26,0,27,0,6,9,21,11,18,12,19,17,11,17,7,23,11,20,13,18,11,17,7,22,8,21,7,20,6,21,7,17,6,17,9,19,12,17,7,19,7,18,7,17,4,25,2,4,16,10,19,3,18,16,10,18,9,24,3,26,12,17,10,18,4,25,3,26,12,17,11,16,4,17,2,26,4,18,4,24,3,19,4,18,4,19,4,18,4,18,4,19,0.0
23,2,26,2,22,6,24,6,22,22,7,27,3,26,1,23,5,28,2,26,5,24,3,23,7,1,22,6,27,1,27,1,22,2,22,3,23,3,22,3,22,2,23,3,8,10,21,17,12,18,13,11,17,11,9,22,17,20,19,12,17,11,8,21,9,20,8,20,8,20,8,11,8,11,10,13,18,11,9,13,8,12,8,11,0,30,0,0,12,14,15,0,14,12,14,14,12,30,0,30,16,13,13,14,0,30,0,30,16,12,15,12,0,13,0,30,0,14,0,30,0,15,0,14,0,15,0,14,0,14,0,15,0.0
29,0,30,0,29,0,29,0,27,28,1,30,0,30,0,29,0,30,0,30,0,29,0,28,1,0,28,1,30,0,30,0,29,0,29,0,28,0,28,0,28,0,29,0,6,9,21,15,14,16,15,13,15,13,7,23,15,20,17,14,15,13,7,22,8,21,7,20,6,21,7,13,6,13,9,15,16,13,7,15,7,14,7,13,0,30,0,0,17,11,19,0,18,17,11,18,10,30,0,30,12,18,10,18,0,30,0,30,12,17,11,17,0,18,0,30,0,18,0,30,0,19,0,18,0,19,0,18,0,18,0,19,0.0
25,0,30,0,25,2,25,2,19,21,5,30,0,30,0,25,1,30,0,30,1,25,0,22,5,0,22,5,30,0,30,0,25,0,25,0,22,0,21,0,22,0,25,0,6,12,16,20,9,21,10,8,20,8,8,19,20,14,22,9,20,8,8,19,11,15,11,15,8,18,11,8,8,8,12,10,21,8,8,10,8,9,11,8,2,27,0,2,21,6,22,1,23,20,7,23,5,26,1,28,7,21,5,22,2,27,1,28,8,20,8,21,2,21,0,28,2,22,2,26,1,22,2,23,2,22,2,23,2,22,2,22,0.0
1,7,10,12,1,30,0,29,0,0,30,12,11,13,13,0,29,17,6,8,29,0,11,0,29,3,0,30,19,7,18,4,1,13,1,12,0,11,0,12,0,13,0,11,10,14,14,22,6,22,6,6,23,6,12,16,22,12,22,6,24,6,10,16,13,12,12,14,11,16,14,7,12,8,14,6,23,6,12,6,10,7,13,7,9,14,6,13,1,22,2,9,5,0,23,3,20,12,7,17,25,0,22,2,10,15,8,19,26,1,26,1,11,1,7,18,11,3,10,13,8,4,12,4,10,3,11,3,9,3,11,2,0.0
30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,5,7,24,17,12,18,13,11,17,11,6,25,17,23,19,12,17,11,5,24,6,23,5,23,5,23,5,11,5,11,7,13,18,11,6,13,5,12,5,11,0,30,0,0,28,0,29,0,29,27,0,29,0,30,0,30,1,28,0,29,0,30,0,30,1,28,1,28,0,28,0,30,0,29,0,30,0,29,0,29,0,29,0,29,0,29,0,29,0.0
29,0,30,0,29,0,29,0,27,28,1,30,0,30,0,29,0,30,0,30,0,29,0,28,1,0,28,1,30,0,30,0,29,0,29,0,28,0,28,0,28,0,29,0,0,0,28,9,17,10,16,12,10,16,0,29,7,27,14,14,13,13,0,29,1,28,1,28,0,29,1,13,0,16,1,17,13,12,0,17,0,17,1,16,0,30,0,0,7,21,9,0,8,7,21,8,20,30,0,30,22,8,20,8,0,30,0,30,22,7,21,7,0,8,0,30,0,8,0,30,0,9,0,8,0,9,0,8,0,8,0,9,0.0
16,0,30,0,16,10,17,10,11,12,14,30,0,30,0,16,9,30,0,30,7,17,0,13,14,0,12,13,30,0,30,0,16,0,16,0,13,0,12,0,12,0,16,0,11,13,18,20,8,20,8,3,19,7,12,19,19,17,23,5,22,5,11,18,12,17,11,17,11,17,11,5,11,7,13,8,22,5,12,8,11,8,11,7,0,30,0,0,19,6,20,0,22,16,7,22,5,30,0,30,8,18,5,21,0,30,0,30,9,17,10,19,0,18,0,30,0,21,0,30,0,20,0,22,0,20,0,22,0,21,0,20,0.0
10,0,30,0,10,17,11,17,6,7,20,30,0,30,0,10,16,30,0,30,15,11,0,8,20,0,7,19,30,0,30,0,10,0,10,0,8,0,7,0,7,0,10,0,4,6,25,7,22,8,23,21,7,21,5,26,7,24,9,22,7,21,4,25,5,24,4,24,4,24,4,21,4,21,6,23,8,21,5,23,4,22,4,21,16,12,12,16,2,24,5,14,4,1,24,4,23,10,14,14,26,3,23,4,16,12,14,14,26,2,25,2,16,3,12,14,16,4,16,10,14,5,16,4,16,5,16,4,16,4,16,5,0.0
