@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atLee numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atLee numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMec numeric
@attribute o2atLec numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMeb numeric
@attribute o2atLeb numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMdb numeric
@attribute o2atLdb numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atLee numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMaa numeric
@attribute o3atMdb numeric
@attribute o3atLdb numeric
@attribute o3atMbe numeric
@attribute o3atLbe numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o4atMdd numeric
@attribute o4atLdd numeric
@attribute o4atMcc numeric
@attribute o4atLcc numeric
@attribute o4atMaa numeric
@attribute o4atMde numeric
@attribute o4atLde numeric
@attribute o4atMcd numeric
@attribute o4atLcd numeric
@attribute o4atMab numeric
@attribute o4atLab numeric
@attribute o4atMec numeric
@attribute o4atLec numeric
@attribute o4atMdc numeric
@attribute o4atLdc numeric
@attribute o4atMcb numeric
@attribute o4atLcb numeric
@attribute o4atMba numeric
@attribute o4atLba numeric
@attribute o4atLee numeric
@attribute o4atMed numeric
@attribute o4atLed numeric
@attribute o4atMbb numeric
@attribute o4atLbb numeric
@attribute o4atMbc numeric
@attribute o4atLbc numeric
@attribute o4atMce numeric
@attribute o4atLce numeric
@attribute o4atMdb numeric
@attribute o4atLdb numeric
@attribute o4atMbd numeric
@attribute o4atLbd numeric
@attribute o4atMeb numeric
@attribute o4atLeb numeric
@attribute o5atMdd numeric
@attribute o5atLdd numeric
@attribute o5atLee numeric
@attribute o5atMcc numeric
@attribute o5atLcc numeric
@attribute o5atMde numeric
@attribute o5atLde numeric
@attribute o5atMcd numeric
@attribute o5atLcd numeric
@attribute o5atMed numeric
@attribute o5atLed numeric
@attribute o5atMdc numeric
@attribute o5atLdc numeric
@attribute o5atMbb numeric
@attribute o5atLbb numeric
@attribute o5atMbc numeric
@attribute o5atLbc numeric
@attribute o5atMcb numeric
@attribute o5atLcb numeric
@attribute o5atMce numeric
@attribute o5atLce numeric
@attribute o5atMec numeric
@attribute o5atLec numeric
@attribute o5atMaa numeric
@attribute o5atMbd numeric
@attribute o5atLbd numeric
@attribute o5atMac numeric
@attribute o5atLac numeric
@attribute o5atMeb numeric
@attribute o5atLeb numeric
@attribute o5atMba numeric
@attribute o5atLba numeric
@attribute o5atMab numeric
@attribute o5atLab numeric
@attribute o5atMbe numeric
@attribute o5atLbe numeric
@attribute o5atMdb numeric
@attribute o5atLdb numeric
@attribute o5atMad numeric
@attribute o5atLad numeric
@attribute o5atMca numeric
@attribute o5atLca numeric
@attribute o5atMae numeric
@attribute o5atLae numeric
@attribute destClass {0,1}

@data
15,2,13,6,11,15,3,15,1,12,2,15,2,17,1,14,4,12,7,4,16,3,15,3,7,0,13,3,17,0,11,7,12,4,11,4,3,4,4,7,4,4,3,2,5,15,7,17,3,19,1,9,11,16,4,18,2,8,10,15,3,0,19,0,17,0,19,0,16,2,15,0,18,0,8,3,17,1,15,1,9,4,15,9,4,19,7,12,17,2,17,2,7,12,0,19,0,0,19,0,19,0,19,0,0,12,0,2,0,12,0,19,7,2,0,19,17,4,10,13,3,18,1,12,6,4,15,13,1,12,7,6,14,4,15,0,18,0,5,14,5,13,12,1,6,7,5,6,6,1,8,11,2,2,15,11,5,3,12,10,4,3,12,0,15,0,15,0,15,3,5,3,4,0,0,12,0,15,0,4,0,15,0,15,0,5,0,12,0,12,0,15,0,5,0.0
19,0,19,2,15,4,9,19,0,16,0,19,0,19,0,19,0,16,3,12,7,11,7,12,3,0,19,0,19,0,16,2,16,0,16,0,12,0,12,3,12,0,12,0,13,19,5,19,0,19,0,14,6,19,0,19,0,13,5,19,0,0,19,0,19,0,19,0,19,0,19,0,19,0,13,0,19,0,19,0,14,0,10,15,3,17,4,16,11,9,10,8,3,15,1,19,8,2,18,0,19,1,17,0,1,15,2,9,2,16,0,19,4,9,0,17,0,19,0,19,0,0,19,0,19,0,19,0,19,0,19,0,19,0,19,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,13,4,0,9,9,14,1,10,5,14,1,10,5,4,15,5,10,5,10,10,1,10,1,0,5,5,0,10,5,1,0,15,0,15,5,1,5,5,0,5,0,10,0,1,0.0
16,3,14,5,12,17,1,15,1,13,2,15,2,17,2,15,4,13,6,2,18,1,17,1,6,1,14,3,17,1,12,6,13,4,12,4,1,4,2,6,2,4,1,2,15,19,3,19,0,19,0,16,4,19,0,19,0,15,3,19,0,0,19,0,19,0,19,0,19,0,19,0,19,0,15,0,19,0,19,0,16,0,12,8,10,16,11,9,13,7,12,6,10,8,2,19,6,3,17,0,19,2,16,0,2,8,3,7,3,9,0,19,11,7,0,16,2,18,0,19,0,2,16,0,18,0,19,1,17,1,19,0,19,0,19,16,3,17,0,19,0,19,0,16,0,19,0,18,0,17,14,0,0,11,15,15,0,12,2,14,0,13,2,0,15,0,15,0,15,13,1,13,0,0,0,2,0,15,0,0,0,15,0,15,0,1,0,2,0,2,0,15,0,1,0.0
19,0,19,0,19,10,7,19,0,19,0,19,0,19,0,19,0,19,0,8,11,8,11,8,0,0,19,0,19,0,19,0,19,0,19,0,8,0,8,0,8,0,8,0,11,19,5,19,0,19,0,13,7,19,0,19,0,12,6,19,0,0,19,0,19,0,19,0,19,0,19,0,19,0,12,0,19,0,19,0,13,0,11,11,7,14,8,12,12,8,11,7,7,11,4,19,7,5,15,0,19,4,14,0,4,11,5,8,5,12,0,19,8,8,0,14,1,19,0,19,0,2,16,0,19,0,19,0,17,0,19,0,19,0,19,15,3,17,0,19,0,19,0,16,0,19,0,19,0,17,14,7,0,6,15,15,0,6,8,14,0,7,8,0,15,0,15,0,15,7,1,7,0,0,0,8,0,15,0,0,0,15,0,15,0,1,0,8,0,8,0,15,0,1,0.0
19,0,19,0,19,3,9,19,0,19,0,19,0,19,0,19,0,19,0,12,6,13,7,13,0,0,19,0,19,0,19,0,19,0,19,0,13,0,12,0,12,0,13,0,1,16,12,19,1,19,0,4,15,17,2,19,0,4,15,17,2,0,19,0,19,0,19,0,17,0,17,0,19,0,4,2,19,0,17,0,4,2,14,6,12,8,13,7,15,5,14,4,12,6,8,18,4,10,10,1,19,9,9,0,9,6,10,5,10,7,0,18,13,5,0,9,6,17,0,19,0,8,12,1,18,0,19,1,11,1,18,0,19,0,19,10,7,11,0,19,0,19,1,12,0,18,0,18,0,11,6,7,7,6,12,7,7,6,8,7,7,6,8,1,15,2,13,2,13,7,8,7,8,0,2,8,0,13,2,8,0,15,0,15,2,8,2,8,0,8,0,13,0,8,0.0
14,6,3,16,0,18,0,8,3,2,3,8,3,16,2,7,10,0,17,0,18,0,19,1,18,1,7,11,16,2,2,17,1,11,2,11,1,11,0,17,0,11,1,3,0,0,19,0,19,8,17,0,19,0,19,1,18,0,19,0,19,6,11,9,1,8,10,7,0,18,0,8,1,9,0,19,0,18,0,18,0,19,19,0,19,1,19,0,19,0,19,0,19,0,17,10,0,18,2,9,11,17,1,8,17,0,18,0,18,0,8,10,19,0,8,1,19,0,19,5,0,19,0,19,0,0,19,19,0,19,0,11,9,0,19,0,19,0,7,19,10,8,19,0,11,0,10,0,11,0,12,1,0,7,6,14,1,10,4,13,0,9,3,4,11,6,8,5,8,11,2,10,0,2,7,5,3,9,6,1,3,12,2,12,7,2,5,4,3,5,3,8,3,2,0.0
19,0,19,0,19,0,17,19,0,19,0,19,0,19,0,19,0,19,0,18,1,18,1,18,0,0,19,0,19,0,19,0,19,0,19,0,18,0,18,0,18,0,18,0,11,19,5,19,0,19,0,13,7,19,0,19,0,12,6,19,0,0,19,0,19,0,19,0,19,0,19,0,19,0,12,0,19,0,19,0,13,0,13,9,9,15,10,10,14,5,14,5,9,9,1,19,4,3,17,0,19,2,16,0,2,9,3,5,3,10,0,19,10,5,0,16,3,19,0,19,0,4,15,0,19,0,19,0,15,0,19,0,19,0,19,14,4,15,0,19,0,19,0,15,0,19,0,19,0,15,12,15,1,0,15,13,2,0,15,13,2,0,15,0,15,0,15,0,15,0,2,0,2,0,0,15,0,15,0,2,0,15,0,15,0,2,0,15,0,15,0,15,0,2,0.0
19,0,19,0,19,1,16,19,0,19,0,19,0,19,0,19,0,19,0,17,2,17,2,17,0,0,19,0,19,0,19,0,19,0,19,0,17,0,17,0,17,0,17,0,3,11,9,14,7,17,2,7,13,11,8,16,3,6,12,11,7,0,18,1,15,1,18,0,12,4,11,1,16,1,6,7,14,3,11,3,7,8,11,11,4,17,6,13,12,8,11,7,6,12,0,19,7,1,18,0,19,0,18,0,1,13,1,8,1,13,0,19,6,8,0,18,7,12,6,19,0,7,11,6,12,0,19,7,12,7,13,0,19,0,19,11,8,12,0,19,0,19,6,11,0,13,0,12,0,12,14,0,0,14,10,15,0,14,1,14,0,14,0,1,15,3,12,3,12,15,1,14,0,0,3,1,0,12,3,0,0,15,0,15,3,1,3,0,0,1,0,12,0,1,0.0
19,0,19,5,6,18,0,19,0,10,0,19,0,19,0,19,0,10,9,0,18,1,19,1,9,0,19,0,19,0,10,9,10,0,10,0,1,0,0,9,0,0,1,0,17,19,0,19,0,19,0,18,1,19,0,19,0,18,1,19,0,0,19,0,19,0,19,0,19,0,19,0,19,0,18,0,19,0,19,0,18,0,19,6,12,14,13,7,19,0,19,0,12,6,4,16,0,5,15,3,17,4,14,2,4,6,5,0,5,7,2,16,13,0,2,14,10,12,5,19,0,12,8,6,13,0,19,6,7,6,13,0,19,0,19,6,11,7,0,19,0,19,6,8,0,13,0,13,0,7,4,13,5,0,15,7,8,1,14,7,8,1,14,0,15,0,15,0,15,1,8,1,8,0,0,14,0,15,0,8,0,15,0,15,0,8,0,14,0,14,0,15,0,8,0.0
19,0,19,6,7,18,0,19,0,10,0,19,0,19,0,19,0,10,9,0,18,0,19,1,9,0,19,0,19,0,10,8,10,0,10,0,1,0,0,9,0,0,1,0,7,12,10,19,5,19,0,8,11,13,6,19,0,8,11,13,6,0,19,0,19,0,19,0,13,0,13,0,19,0,8,6,19,0,13,0,8,6,3,19,0,19,0,19,5,14,5,14,0,19,0,19,12,0,19,0,19,0,19,0,0,19,0,14,0,19,0,19,0,14,0,19,17,9,9,10,0,18,1,9,9,0,19,10,1,10,10,8,12,0,19,0,18,1,6,19,7,11,9,1,8,10,7,9,8,1,14,3,0,11,5,15,1,12,4,14,0,11,3,9,13,10,6,9,5,12,1,11,0,1,10,4,2,6,9,0,1,13,2,14,10,1,9,3,2,4,1,5,2,1,0.0
