@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atLddd numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atMccc numeric
@attribute o2atLccc numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMcdd numeric
@attribute o2atLcdd numeric
@attribute o2atMddc numeric
@attribute o2atLddc numeric
@attribute o2atMdcb numeric
@attribute o2atLdcb numeric
@attribute o2atMcdc numeric
@attribute o2atLcdc numeric
@attribute o2atMdcd numeric
@attribute o2atLdcd numeric
@attribute o2atMccd numeric
@attribute o2atLccd numeric
@attribute o2atLddd numeric
@attribute o2atMcbc numeric
@attribute o2atLcbc numeric
@attribute o2atMdcc numeric
@attribute o2atLdcc numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMbdc numeric
@attribute o2atLbdc numeric
@attribute o2atMcbd numeric
@attribute o2atLcbd numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMbdd numeric
@attribute o2atLbdd numeric
@attribute o2atMbcd numeric
@attribute o2atLbcd numeric
@attribute o3atMccc numeric
@attribute o3atLccc numeric
@attribute o3atMcdd numeric
@attribute o3atLcdd numeric
@attribute o3atMddc numeric
@attribute o3atLddc numeric
@attribute o3atMccd numeric
@attribute o3atLccd numeric
@attribute o3atLddd numeric
@attribute o3atMdcc numeric
@attribute o3atLdcc numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMdcb numeric
@attribute o3atLdcb numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMbcd numeric
@attribute o3atLbcd numeric
@attribute o3atMabd numeric
@attribute o3atLabd numeric
@attribute o3atMcdc numeric
@attribute o3atLcdc numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMcba numeric
@attribute o3atLcba numeric
@attribute o3atMdca numeric
@attribute o3atLdca numeric
@attribute o3atMdcd numeric
@attribute o3atLdcd numeric
@attribute o3atMcab numeric
@attribute o3atLcab numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMddb numeric
@attribute o3atLddb numeric
@attribute o3atMdbd numeric
@attribute o3atLdbd numeric
@attribute o3atMbbd numeric
@attribute o3atLbbd numeric
@attribute o3atMcbd numeric
@attribute o3atLcbd numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaad numeric
@attribute o3atLaad numeric
@attribute o3atMaaa numeric
@attribute o3atMbdd numeric
@attribute o3atLbdd numeric
@attribute o3atMdbc numeric
@attribute o3atLdbc numeric
@attribute o3atMdbb numeric
@attribute o3atLdbb numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMcaa numeric
@attribute o3atLcaa numeric
@attribute o3atMbad numeric
@attribute o3atLbad numeric
@attribute destClass {-1.0,1.0}

@data
10,9,11,19,9,23,6,23,6,21,7,20,10,19,18,10,20,22,7,5,9,19,9,20,10,18,10,7,21,7,20,9,9,19,22,6,21,8,10,6,20,6,20,7,19,9,19,8,11,7,9,9,11,10,10,10,11,7,21,6,23,5,20,8,20,8,20,7,19,7,10,10,20,7,20,6,10,8,9,7,10,8,20,7,9,10,9,9,10,7,11,6,10,7,10,7,12,14,17,17,14,30,12,13,18,16,16,18,13,30,0,30,0,16,0,30,0,30,0,30,0,0,17,12,30,0,16,13,16,12,16,12,14,14,12,16,12,16,18,0,17,0,13,16,18,0,18,0,21,30,24,5,23,5,23,7,4,22,6,0,30,0,30,0,6,0,30,0,30,0,30,0,7,0,7,21,6,0,30,0,30,0,6,24,4,0,30,0,30,0,30,0,30,0,5,0,4,0,7,0,7,0,30,0,30,0,7,0,0,5,0,6,0,6,0,30,0,30,0,7,-1.0
20,3,20,6,15,29,0,29,0,27,1,26,4,25,5,17,9,28,0,0,20,7,17,10,20,6,21,1,28,1,27,3,17,10,28,1,27,2,21,0,26,0,26,0,25,3,25,2,20,1,20,3,20,4,20,4,20,1,27,0,29,0,25,2,26,2,26,1,25,0,17,4,26,0,26,1,20,2,20,1,20,2,25,1,20,4,17,3,20,1,20,0,17,1,20,1,0,0,30,0,29,9,27,0,30,0,30,1,28,15,10,15,10,1,15,12,15,15,12,10,15,8,1,28,10,14,0,29,0,28,0,29,0,29,0,30,0,30,1,15,1,15,0,30,1,10,1,15,18,8,23,4,23,4,20,5,2,20,5,13,11,1,26,18,6,15,10,14,11,1,26,17,6,2,7,19,7,12,24,1,12,2,7,23,3,2,11,16,9,15,9,17,8,18,4,18,3,15,6,18,5,0,26,0,28,0,7,0,17,4,17,5,15,6,0,28,0,13,1,6,1.0
11,9,12,18,10,24,5,24,5,21,6,20,10,19,17,11,19,23,6,4,10,18,10,19,11,17,11,6,22,6,20,9,10,18,23,5,22,8,11,5,20,5,20,6,19,9,19,8,12,6,10,9,12,10,11,10,12,6,21,5,24,4,20,8,20,8,20,6,19,6,11,10,20,6,20,5,11,8,10,6,11,8,20,6,10,10,10,9,11,6,12,5,11,6,11,6,12,14,17,16,15,25,13,13,18,15,16,17,14,29,1,27,0,15,1,26,2,28,0,27,3,0,16,13,26,1,15,14,15,13,15,13,14,15,12,16,12,16,17,2,16,3,13,16,17,1,17,3,10,30,19,4,20,5,14,10,2,14,11,0,30,0,30,0,11,0,30,0,30,0,30,0,10,0,10,13,10,0,30,0,30,0,11,20,4,0,30,0,30,0,30,0,30,0,5,0,4,0,10,0,10,0,30,0,30,0,10,0,0,4,0,11,0,11,0,30,0,30,0,10,-1.0
4,14,6,24,4,21,5,22,6,16,9,15,15,14,23,5,25,18,7,4,4,24,4,25,5,23,4,8,17,8,16,14,4,24,19,9,16,13,5,6,15,5,15,7,14,14,14,13,6,9,4,14,6,15,5,15,6,9,16,6,21,4,14,13,15,13,15,9,14,7,5,15,14,7,15,9,5,13,4,8,5,13,14,8,4,15,4,14,4,9,6,6,5,9,5,9,14,16,15,20,11,30,9,15,16,19,14,21,10,30,0,30,0,19,0,30,0,30,0,30,0,0,20,9,30,0,19,10,19,9,19,9,16,11,14,14,14,14,21,0,20,0,15,14,21,0,21,0,21,30,23,6,22,6,22,8,5,21,7,0,30,0,30,0,7,0,30,0,30,0,30,0,8,0,8,21,7,0,30,0,30,0,7,23,6,0,30,0,30,0,30,0,30,0,6,0,6,0,8,0,8,0,30,0,30,0,8,0,0,6,0,7,0,7,0,30,0,30,0,8,-1.0
15,9,17,13,15,22,5,22,6,20,8,18,11,17,12,16,14,20,5,4,15,13,15,14,16,12,16,7,18,7,18,9,15,13,20,6,18,7,16,6,19,6,19,6,17,10,17,9,17,8,15,10,17,11,16,11,17,8,20,6,22,4,17,8,18,8,18,8,17,7,16,11,18,6,18,6,16,8,15,8,16,9,17,8,15,11,15,10,15,8,17,6,16,8,16,8,4,6,25,7,24,21,22,5,26,6,24,8,23,23,6,23,6,6,7,21,7,23,5,22,7,5,7,22,22,7,6,23,6,22,6,22,6,24,4,24,4,24,8,7,7,7,5,24,8,6,8,7,26,15,29,0,28,0,28,2,0,27,1,10,18,0,30,12,1,10,18,10,18,0,30,12,2,0,2,27,1,9,30,0,18,0,1,29,0,0,18,12,16,12,16,12,16,12,0,12,0,10,2,12,2,0,30,0,30,0,2,0,12,0,12,1,10,1,0,30,0,18,0,2,1.0
17,5,17,10,16,26,3,26,3,23,3,20,5,17,8,17,12,25,3,2,16,10,16,12,17,9,18,4,24,4,22,4,16,11,25,3,24,4,18,3,22,3,22,3,19,6,19,5,19,4,17,7,18,7,18,6,18,4,23,3,26,2,21,4,22,4,20,3,19,3,17,8,22,3,22,3,18,4,17,4,17,5,21,4,16,7,16,7,17,4,19,3,17,4,18,3,3,5,26,7,24,16,22,4,27,6,25,8,23,24,1,24,1,6,6,20,6,24,2,19,6,0,7,22,19,6,6,23,6,22,6,22,5,24,3,25,3,25,8,6,7,6,4,25,8,1,8,6,22,30,25,4,24,4,24,6,3,23,5,0,30,0,30,0,5,0,30,0,30,0,30,0,6,0,6,22,5,0,30,0,30,0,5,25,3,0,30,0,30,0,30,0,30,0,4,0,3,0,6,0,6,0,30,0,30,0,6,0,0,4,0,5,0,5,0,30,0,30,0,6,1.0
8,8,10,18,4,23,5,24,6,22,7,21,9,20,16,7,21,22,5,5,8,18,5,21,9,16,8,6,22,6,22,8,6,20,23,7,22,7,9,6,21,5,21,5,20,8,20,7,10,7,8,8,10,9,9,9,10,7,22,6,23,5,20,7,21,7,21,7,20,5,7,9,20,5,21,7,9,7,8,6,9,7,20,6,8,9,6,8,8,7,10,6,7,7,9,7,16,18,13,20,11,30,9,17,14,19,12,21,10,30,0,30,0,19,0,30,0,30,0,30,0,0,20,9,30,0,19,10,19,9,19,9,18,11,16,12,16,12,21,0,20,0,17,12,21,0,21,0,24,30,27,2,26,2,26,4,1,25,3,0,30,0,30,0,3,0,30,0,30,0,30,0,4,0,4,24,3,0,30,0,30,0,3,27,1,0,30,0,30,0,30,0,30,0,2,0,1,0,4,0,4,0,30,0,30,0,4,0,0,2,0,3,0,3,0,30,0,30,0,4,-1.0
8,8,10,20,8,23,6,23,6,22,7,21,9,20,19,9,21,22,6,5,8,20,8,21,9,19,9,7,21,7,21,8,8,20,22,6,21,7,9,6,21,6,21,6,20,8,20,7,10,7,8,8,10,9,9,9,10,7,22,6,23,5,20,7,21,7,21,7,20,6,9,9,21,6,21,6,9,7,8,7,9,7,20,7,8,9,8,8,8,7,10,6,9,7,9,7,8,10,21,11,20,30,18,9,22,10,20,12,19,30,0,30,0,10,0,30,0,30,0,30,0,0,11,18,30,0,10,19,10,18,10,18,10,20,8,20,8,20,12,0,11,0,9,20,12,0,12,0,26,27,29,0,28,0,28,2,0,27,1,0,29,0,30,1,1,0,29,0,29,0,30,1,2,0,2,27,1,0,30,0,29,0,1,29,0,0,29,1,28,1,28,1,28,1,0,1,0,0,2,1,2,0,30,0,30,0,2,0,1,0,1,1,0,1,0,30,0,29,0,2,-1.0
17,4,18,10,16,26,3,26,2,25,3,24,4,24,8,17,12,25,3,2,17,10,16,12,18,9,18,4,24,3,24,4,16,11,25,2,24,3,18,3,25,3,24,3,24,4,24,3,19,3,17,4,18,5,18,4,19,4,26,3,26,2,24,3,24,3,25,3,24,3,17,5,25,3,25,2,18,3,17,4,18,3,24,3,17,5,16,4,17,3,19,3,17,4,18,3,2,4,27,5,26,12,24,3,28,4,26,6,25,17,10,17,10,4,13,13,13,17,9,14,13,8,5,24,14,13,4,25,4,24,4,24,4,26,2,26,2,26,6,13,5,13,3,26,6,10,6,13,23,17,26,3,25,3,25,5,2,24,4,2,24,0,30,6,4,2,24,2,24,0,30,6,5,0,5,23,4,1,30,0,24,0,4,26,2,0,24,6,20,6,20,6,20,6,3,6,2,2,5,6,5,0,30,0,30,0,5,0,6,3,6,4,2,4,0,30,0,24,0,5,1.0
16,10,18,12,16,21,6,22,7,20,9,19,11,18,11,17,13,19,7,5,16,12,16,13,17,11,16,8,19,8,19,10,16,12,20,8,19,9,17,7,19,6,19,7,18,10,18,9,18,9,16,10,18,11,17,11,18,9,20,7,21,6,18,9,19,9,19,9,18,7,17,11,18,7,19,8,17,9,16,8,17,9,18,8,16,11,16,10,16,9,18,7,17,9,17,9,2,4,27,5,26,30,24,3,28,4,26,6,25,30,0,30,0,4,0,30,0,30,0,30,0,0,5,24,30,0,4,25,4,24,4,24,4,26,2,26,2,26,6,0,5,0,3,26,6,0,6,0,29,16,30,0,29,0,30,1,0,29,0,10,18,0,30,12,0,11,18,11,18,0,30,12,1,0,1,29,0,10,30,0,18,0,0,30,0,0,18,12,17,12,17,12,16,12,0,12,0,11,1,12,1,0,30,0,30,0,1,0,12,0,12,0,11,0,0,30,0,18,0,1,1.0
