@relation 'Sax dominant'

@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atLkk numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMaj numeric
@attribute o1atLaj numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute destClass {2.0,1.0}

@data
73,42,94,15,46,65,21,74,9,13,83,18,77,76,18,25,70,10,85,14,80,15,79,16,78,20,75,49,45,26,19,77,1,11,76,14,78,19,69,76,18,49,45,25,68,10,84,94,0,17,75,25,46,94,0,10,80,50,1,18,75,94,0,15,78,95,0,16,77,94,0,0,10,81,95,0,13,79,15,78,16,75,10,80,14,79,20,70,15,75,26,1,10,79,14,79,15,77,16,69,11,70,17,70,20,46,11,1,76,0,10,79,49,18,25,45,20,1,50,18,15,69,16,75,13,80,49,0,19,45,14,75,14,78,16,1,10,78,2.0
65,32,77,27,60,40,48,60,10,13,82,28,76,66,28,51,44,11,84,14,80,16,79,17,78,32,63,61,33,52,29,67,0,12,64,14,77,31,43,66,28,61,33,51,42,11,83,94,15,18,64,52,34,78,16,12,80,62,1,30,63,78,16,16,78,95,0,17,76,94,0,0,11,81,79,0,13,79,16,78,17,63,11,80,14,79,32,44,15,63,52,1,12,78,15,79,15,76,17,43,12,44,18,44,32,34,12,17,66,16,11,79,61,28,51,33,32,1,61,29,15,43,16,64,13,80,61,16,31,33,14,63,14,78,16,1,11,77,1.0
63,39,75,29,55,41,53,43,7,11,85,49,73,65,31,54,42,8,87,13,82,15,81,21,75,51,45,56,40,54,31,65,3,9,45,12,74,50,41,64,30,55,39,53,41,8,86,91,17,21,45,54,40,76,19,9,81,56,3,50,44,76,18,19,79,93,2,20,74,92,2,1,9,83,77,3,12,80,15,75,20,44,8,82,13,81,51,42,14,44,54,3,9,75,13,81,14,74,20,41,9,42,21,42,51,40,9,19,64,18,8,80,55,30,53,39,51,3,56,31,14,41,15,45,11,82,55,18,50,39,12,44,14,79,15,3,8,74,2.0
64,34,75,28,58,41,51,51,10,13,82,39,67,65,30,53,43,11,84,15,80,16,79,25,70,42,54,60,36,53,30,66,4,12,54,14,70,41,42,65,29,59,35,52,42,11,83,90,17,25,54,53,36,76,18,12,79,60,4,41,52,76,18,21,77,92,3,23,70,91,3,2,12,81,77,3,14,78,17,71,24,53,11,80,15,79,42,43,16,53,53,4,12,71,15,79,16,70,24,42,12,43,25,43,42,36,12,19,65,18,11,78,59,29,52,35,42,4,60,30,16,42,17,54,13,80,59,18,41,35,14,53,16,77,17,4,11,70,1.0
68,33,78,24,59,45,43,62,11,12,81,28,76,69,26,47,48,12,83,13,81,16,78,17,77,30,64,61,35,47,26,70,1,13,65,13,77,30,48,69,25,60,34,46,48,11,82,94,14,18,65,47,35,79,15,13,79,61,1,30,63,79,15,16,77,95,0,16,76,94,0,0,12,82,80,0,13,78,17,78,17,63,12,81,15,80,31,49,16,64,47,1,13,78,14,78,15,77,17,48,13,49,18,49,31,35,13,16,69,15,12,78,60,25,46,34,31,1,61,26,16,48,17,65,13,80,60,15,30,34,13,64,15,78,17,1,12,77,1.0
64,36,75,28,58,37,57,47,8,12,84,43,65,65,30,58,38,9,86,14,81,15,80,28,67,46,50,59,37,58,30,66,7,10,50,13,67,45,37,65,29,58,36,57,37,9,85,87,17,28,50,58,37,76,18,10,80,59,7,45,48,76,18,25,78,89,6,26,67,88,6,5,10,82,77,6,13,79,16,68,27,49,9,81,14,80,46,38,15,49,58,7,10,68,14,80,15,67,27,37,10,38,28,38,46,37,10,19,65,18,9,79,58,29,57,36,46,7,59,30,15,37,16,50,12,81,58,18,45,36,13,49,15,78,16,7,9,67,1.0
69,32,83,23,58,48,42,68,9,11,83,22,77,70,24,44,50,10,85,12,82,14,80,17,78,24,71,60,34,44,25,71,0,11,71,12,78,24,50,70,24,60,34,44,50,9,84,94,9,17,71,44,35,84,10,10,81,61,0,24,69,84,10,15,79,95,0,15,77,94,0,0,10,83,85,0,12,80,15,78,16,69,10,82,13,81,25,51,14,70,45,1,11,79,12,80,13,78,16,50,11,51,17,51,25,35,11,11,70,10,10,80,60,24,44,34,25,1,60,24,14,50,15,71,12,81,60,10,24,34,12,70,13,80,15,1,10,78,2.0
59,39,75,33,55,39,55,41,8,12,84,51,72,61,35,55,40,10,86,13,82,16,79,22,74,53,43,56,39,56,35,61,1,10,43,13,73,52,39,60,34,55,39,55,39,8,85,94,17,22,43,56,40,76,19,10,80,56,1,52,42,76,18,20,78,95,0,21,72,94,0,0,10,82,77,1,13,79,16,74,21,42,9,81,14,80,53,40,15,42,56,1,10,74,14,80,15,73,21,39,10,40,22,40,53,40,10,19,60,18,9,79,55,34,55,39,53,1,56,35,15,39,16,43,13,80,55,18,52,39,13,42,14,79,16,1,9,73,2.0
68,32,82,24,58,50,38,66,10,13,82,22,75,69,25,42,54,11,84,14,80,16,79,18,77,26,69,60,35,42,26,70,0,12,70,14,76,25,52,69,25,60,34,41,52,11,83,94,10,19,70,42,35,83,11,12,80,61,1,24,68,83,11,17,78,95,0,17,76,94,0,0,11,81,84,0,14,79,16,77,17,69,11,80,14,79,26,54,15,69,42,1,12,77,15,79,15,76,18,53,12,54,19,54,26,35,12,12,69,11,11,79,60,25,41,34,26,1,60,26,15,53,16,70,13,80,60,11,25,34,14,69,15,78,16,1,11,76,1.0
65,32,77,27,60,43,47,61,11,14,81,29,76,66,29,50,45,12,83,15,79,16,78,17,77,31,63,62,34,50,29,67,1,12,64,15,77,31,45,66,28,61,33,49,45,12,82,94,15,17,63,50,34,78,16,12,79,62,1,31,63,78,16,16,77,95,0,17,76,94,0,0,12,80,79,0,14,78,16,77,17,63,12,79,15,78,32,45,16,63,50,1,12,78,15,78,16,76,17,45,13,46,18,45,32,34,13,17,66,16,12,78,61,28,49,33,32,1,62,29,16,45,16,63,14,79,61,16,31,33,15,63,15,77,17,1,12,77,1.0
