@relation 'Sax dominant'

@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atLeee numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMaed numeric
@attribute o1atLaed numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMaec numeric
@attribute o1atLaec numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute destClass {2,1}

@data
14,74,12,14,79,40,49,39,48,30,73,13,75,17,75,19,54,91,1,15,55,33,54,13,80,16,77,40,47,92,1,91,1,90,46,34,53,35,53,41,2,14,76,17,74,18,73,13,74,12,79,0,18,73,93,0,92,0,16,74,17,73,14,53,35,2,12,78,15,49,18,53,15,1,39,1,18,54,13,53,19,2,14,54,93,0,17,54,14,55,18,1,17,53,19,49,18,1,14,1,14,2,15,0,17,2,14,75,2.0
14,67,12,14,79,59,34,58,33,56,63,13,71,18,72,23,36,73,18,15,36,56,35,13,80,16,77,59,32,75,18,74,18,73,32,57,34,58,36,60,19,15,73,23,68,21,67,14,71,13,79,16,22,66,76,17,75,17,16,72,17,70,14,34,58,19,13,78,15,34,21,34,15,18,58,18,21,35,14,34,23,19,15,35,76,16,23,35,15,36,21,18,17,34,23,34,21,18,15,18,15,19,15,17,18,19,15,68,1.0
12,50,10,14,80,55,40,53,39,53,48,11,53,37,55,41,41,71,20,14,41,53,40,12,82,34,78,54,39,73,21,72,20,71,39,53,39,54,41,55,21,14,55,41,51,39,50,12,53,11,80,18,40,49,74,19,73,19,35,54,36,52,12,39,54,21,11,79,14,40,39,39,14,20,53,20,39,40,12,39,41,21,14,40,74,18,41,40,14,41,39,20,36,39,41,40,39,20,14,20,14,21,14,19,37,21,14,51,2.0
14,59,12,14,79,55,40,53,39,53,57,13,61,30,62,33,41,71,20,15,41,53,40,13,80,27,77,54,39,73,21,72,20,71,39,53,39,54,41,55,21,15,63,33,60,31,59,14,61,13,79,18,32,57,74,19,73,19,27,62,29,60,14,39,54,21,13,78,15,40,31,39,15,20,53,20,31,40,14,39,33,21,15,40,74,18,33,40,15,41,31,20,29,39,33,40,31,20,15,20,15,21,15,19,30,21,15,60,1.0
14,74,13,15,78,57,36,55,35,51,73,14,75,17,76,19,39,75,16,16,39,52,38,14,79,15,76,56,34,77,17,76,16,75,34,53,36,54,39,57,17,16,77,19,75,16,73,14,74,13,78,14,18,73,78,15,77,15,15,75,16,73,15,37,54,17,13,77,16,36,17,36,16,16,55,16,16,38,14,37,19,17,16,38,78,14,19,38,16,39,17,16,16,36,19,36,17,16,16,16,16,17,16,15,17,17,16,75,1.0
13,54,11,14,80,59,36,57,35,57,52,12,56,35,58,38,37,71,20,14,37,57,36,12,81,32,78,58,35,73,21,72,20,71,35,57,35,58,37,59,21,14,58,38,55,36,54,13,56,12,80,18,37,52,74,19,73,19,32,57,34,55,13,35,58,21,12,79,14,36,36,35,14,20,57,20,36,36,13,35,38,21,14,36,74,18,38,36,14,37,36,20,34,35,38,36,36,20,14,20,14,21,14,19,35,21,14,55,1.0
13,75,11,13,80,53,38,53,38,49,74,12,76,16,77,18,41,77,14,14,41,49,40,12,81,14,78,53,36,79,14,78,14,77,36,51,40,51,40,54,14,14,78,17,76,16,75,13,76,12,80,12,17,74,80,13,79,13,14,77,15,75,13,40,52,15,12,79,14,38,16,40,14,14,53,14,16,40,13,40,18,15,14,40,80,12,17,40,14,41,16,14,15,40,18,38,16,14,14,14,14,15,14,13,16,15,14,76,2.0
12,56,10,14,80,56,39,54,38,54,52,11,61,27,63,33,40,68,23,14,40,54,39,12,82,24,78,55,38,70,24,69,23,68,38,54,38,55,40,56,24,14,63,33,57,31,56,12,61,11,80,21,32,55,71,22,70,22,25,62,26,61,12,38,55,24,12,79,14,39,31,38,14,23,54,23,31,39,12,38,33,24,14,39,71,21,33,39,14,40,31,23,26,38,33,39,31,23,14,23,14,24,14,22,27,24,14,57,2.0
14,73,12,14,79,52,39,52,39,48,72,13,74,18,75,20,42,76,15,15,42,48,41,13,80,16,77,52,37,78,15,77,15,76,37,50,41,50,42,53,15,15,76,20,74,18,73,14,74,13,79,13,19,72,79,14,78,14,16,75,17,73,14,41,51,16,13,78,15,39,18,41,15,15,52,15,18,41,14,41,20,16,15,41,79,13,20,41,15,42,18,15,17,41,20,39,18,15,15,15,15,16,15,14,18,16,15,74,1.0
15,70,13,15,78,58,34,57,34,53,68,14,72,19,72,21,36,74,17,15,37,54,36,14,79,17,76,57,33,76,18,75,17,74,33,55,36,55,36,58,18,15,73,21,70,21,70,15,72,14,78,15,21,68,77,16,76,16,17,72,19,71,15,36,55,18,14,77,16,35,21,36,16,17,57,17,21,36,15,36,21,18,15,37,77,15,21,36,15,37,21,17,19,36,22,34,21,17,15,17,15,18,16,16,19,18,15,71,1.0
