@relation 'Sax dominant'

@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMaed numeric
@attribute o1atLaed numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMaec numeric
@attribute o1atLaec numeric
@attribute o1atMaaa numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o2atMcca numeric
@attribute o2atLcca numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMccc numeric
@attribute o2atLccc numeric
@attribute o2atMcaa numeric
@attribute o2atLcaa numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atMbcd numeric
@attribute o2atLbcd numeric
@attribute o2atMcdd numeric
@attribute o2atLcdd numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMddd numeric
@attribute o2atLddd numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMcba numeric
@attribute o2atLcba numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMccd numeric
@attribute o2atLccd numeric
@attribute o2atMdde numeric
@attribute o2atLdde numeric
@attribute o2atMcdc numeric
@attribute o2atLcdc numeric
@attribute o2atMdca numeric
@attribute o2atLdca numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atLeee numeric
@attribute o2atMdee numeric
@attribute o2atLdee numeric
@attribute o2atMdcb numeric
@attribute o2atLdcb numeric
@attribute o2atMcbc numeric
@attribute o2atLcbc numeric
@attribute o2atMdba numeric
@attribute o2atLdba numeric
@attribute o2atMcdb numeric
@attribute o2atLcdb numeric
@attribute o2atMded numeric
@attribute o2atLded numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMddc numeric
@attribute o2atLddc numeric
@attribute o3atMded numeric
@attribute o3atLded numeric
@attribute o3atMddc numeric
@attribute o3atLddc numeric
@attribute o3atMccc numeric
@attribute o3atLccc numeric
@attribute o3atMdde numeric
@attribute o3atLdde numeric
@attribute o3atMedd numeric
@attribute o3atLedd numeric
@attribute o3atMddd numeric
@attribute o3atLddd numeric
@attribute o3atMdcc numeric
@attribute o3atLdcc numeric
@attribute o3atMccd numeric
@attribute o3atLccd numeric
@attribute o3atMcde numeric
@attribute o3atLcde numeric
@attribute o3atLeee numeric
@attribute o3atMdee numeric
@attribute o3atLdee numeric
@attribute o3atMeed numeric
@attribute o3atLeed numeric
@attribute o3atMcce numeric
@attribute o3atLcce numeric
@attribute o3atMdcd numeric
@attribute o3atLdcd numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbce numeric
@attribute o3atLbce numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMede numeric
@attribute o3atLede numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMcdd numeric
@attribute o3atLcdd numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMaaa numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMabe numeric
@attribute o3atLabe numeric
@attribute o3atMcdc numeric
@attribute o3atLcdc numeric
@attribute o3atMbbe numeric
@attribute o3atLbbe numeric
@attribute destClass {2,1}

@data
13,14,12,14,6,29,1,18,9,18,12,14,30,13,8,17,9,17,0,30,0,29,0,29,0,29,0,30,0,29,0,29,0,29,0,30,0,29,1,17,1,14,1,0,12,0,0,18,0,18,0,18,30,0,0,30,0,30,0,30,0,0,0,0,17,1,14,0,17,0,0,0,0,0,1,0,0,30,14,11,12,14,15,22,10,13,12,17,12,18,8,24,7,13,16,16,14,30,6,17,11,18,10,13,11,12,16,23,7,30,0,22,7,14,6,12,15,17,10,0,30,0,18,6,18,10,13,6,18,7,30,0,16,11,22,6,27,1,3,26,1,30,28,1,27,1,26,25,2,27,2,27,3,2,0,29,0,28,0,2,2,3,25,0,30,0,30,0,30,0,2,0,30,0,30,29,0,0,30,2,26,0,30,0,0,30,0,30,0,2,1,27,0,2,2.0
30,0,30,0,30,22,1,0,30,0,30,0,30,0,30,0,30,0,1,28,4,25,2,24,3,24,0,30,0,27,1,27,0,26,0,30,0,29,4,0,1,0,1,0,30,0,1,0,4,0,1,0,30,0,0,30,0,30,0,30,0,2,0,0,0,4,0,2,0,2,0,1,0,0,1,0,1,25,14,10,12,14,15,22,9,13,11,17,12,19,8,24,7,13,16,16,14,30,6,19,11,18,10,14,11,13,16,23,8,30,0,22,7,14,6,13,15,17,10,0,30,0,18,6,18,9,14,6,18,7,30,0,16,12,22,6,10,18,4,25,2,30,11,17,11,18,10,24,3,26,3,26,4,18,16,12,17,12,17,3,18,4,24,0,30,0,30,0,30,0,18,0,30,0,30,12,16,0,30,3,25,0,30,0,0,30,0,30,0,18,2,26,0,18,1.0
30,0,30,0,30,6,2,0,30,0,30,0,30,0,30,0,30,0,2,9,21,7,21,7,21,7,2,29,19,9,19,9,19,9,1,30,18,28,21,0,2,0,2,0,30,0,2,0,21,0,2,0,30,0,0,30,0,30,0,30,0,21,0,19,0,21,0,21,0,21,0,2,0,0,2,0,2,7,12,11,10,12,17,21,10,11,12,16,14,18,9,23,8,11,18,14,16,29,7,18,12,16,11,12,12,11,18,22,9,30,1,21,8,12,7,11,17,15,11,0,30,0,16,7,17,10,12,7,16,8,29,0,14,13,21,7,10,18,0,30,0,30,11,18,11,19,10,30,0,30,0,30,0,18,17,11,17,12,18,0,18,0,30,0,30,0,30,0,30,0,18,0,30,0,30,12,17,0,30,0,30,0,30,0,0,30,0,30,0,18,0,30,0,18,2.0
30,0,30,0,30,16,1,0,30,0,30,0,30,0,30,0,30,0,1,18,12,17,12,17,12,16,0,30,10,18,11,17,11,18,0,30,10,29,12,0,1,0,1,0,30,0,1,0,12,0,1,0,30,0,0,30,0,30,0,30,0,12,0,11,0,12,0,12,0,12,0,1,0,0,1,0,1,17,14,10,12,14,15,21,9,13,11,17,12,19,9,23,8,13,16,16,14,29,7,19,11,18,10,14,11,13,16,22,9,30,1,21,8,14,7,13,15,17,10,0,30,0,18,7,18,9,14,7,18,8,29,0,16,12,21,7,10,18,0,30,0,30,11,18,11,19,10,30,0,30,0,30,0,18,17,11,17,12,18,0,18,0,30,0,30,0,30,0,30,0,18,0,30,0,30,12,17,0,30,0,30,0,30,0,0,30,0,30,0,18,0,30,0,18,1.0
28,1,28,1,26,28,1,2,26,2,28,0,30,0,27,2,27,2,1,30,2,29,0,28,1,28,0,30,0,29,1,29,0,28,0,30,0,29,2,2,1,1,1,0,28,0,1,2,2,2,1,2,30,0,0,30,0,30,0,30,0,0,0,0,2,2,1,0,2,0,0,1,0,0,1,0,1,29,14,12,13,15,14,23,11,14,13,16,13,17,5,27,3,14,15,15,13,30,2,17,12,16,11,14,12,13,15,25,5,30,0,24,4,15,3,13,14,16,11,0,30,0,17,2,17,11,14,3,16,4,30,0,15,12,25,2,11,16,0,30,0,30,13,17,12,16,11,30,0,30,0,30,0,17,14,14,15,13,15,0,17,0,30,0,30,0,30,0,30,0,17,0,30,0,30,14,14,0,30,0,30,0,30,0,0,30,0,30,0,17,0,30,0,17,1.0
30,0,30,0,30,13,1,0,30,0,30,0,30,0,30,0,30,0,1,15,15,14,15,14,15,13,1,30,13,15,14,15,14,15,0,30,13,29,15,0,1,0,1,0,30,0,1,0,15,0,1,0,30,0,0,30,0,30,0,30,0,15,0,14,0,15,0,15,0,15,0,1,0,0,1,0,1,14,13,8,11,13,16,25,7,12,9,19,11,21,5,27,4,12,17,17,15,30,3,21,9,19,8,13,9,12,17,26,5,30,0,25,4,13,3,12,16,18,8,0,30,0,19,3,20,7,13,3,19,4,30,0,17,10,25,3,7,20,0,30,0,30,9,21,8,20,7,30,0,30,0,30,0,21,18,10,19,9,19,0,21,0,30,0,30,0,30,0,30,0,21,0,30,0,30,10,18,0,30,0,30,0,30,0,0,30,0,30,0,21,0,30,0,21,1.0
20,9,20,9,18,28,1,10,18,10,20,8,30,8,19,10,19,9,1,30,1,29,0,28,1,28,0,30,0,29,1,29,0,28,0,30,0,29,2,10,1,9,1,0,20,0,1,10,1,10,1,10,30,0,0,30,0,30,0,30,0,0,0,0,10,2,9,0,10,0,0,1,0,0,1,0,1,29,13,13,11,13,16,20,12,12,14,15,14,16,10,22,9,12,17,14,15,30,8,16,13,16,13,13,14,12,17,21,10,30,0,20,9,13,8,12,16,15,13,0,30,0,16,8,16,12,13,8,16,9,30,0,14,14,20,8,15,13,11,19,9,30,16,12,16,14,15,18,10,20,9,19,10,12,12,16,12,17,13,10,13,10,18,0,30,0,30,0,30,0,13,0,30,0,30,17,12,0,30,9,18,0,30,0,0,30,0,30,0,13,9,19,0,13,2.0
30,0,30,0,30,9,2,0,30,0,30,0,30,0,30,0,30,0,2,16,15,12,14,12,14,11,2,29,10,16,11,16,10,15,1,30,9,28,15,0,2,0,2,0,30,0,2,0,15,0,2,0,30,0,0,30,0,30,0,30,0,14,0,10,0,15,0,14,0,14,0,2,0,0,2,0,2,12,12,12,10,12,17,22,11,11,13,16,13,17,8,24,7,11,18,15,16,30,6,17,12,17,12,12,13,11,18,23,8,30,0,22,7,12,6,12,17,16,13,0,30,0,17,6,17,11,12,6,17,7,30,0,15,13,22,6,5,23,0,30,0,30,6,23,6,23,5,30,0,30,0,30,0,23,21,7,22,7,22,0,23,0,30,0,30,0,30,0,30,0,23,0,30,0,30,7,21,0,30,0,30,0,30,0,0,30,0,30,0,23,0,30,0,23,2.0
23,6,23,6,21,28,1,7,21,7,23,5,30,5,22,7,22,7,1,30,2,29,0,28,1,28,0,30,0,29,1,29,0,28,0,30,0,29,2,7,1,6,1,0,23,0,1,7,2,7,1,7,30,0,0,30,0,30,0,30,0,0,0,0,7,2,6,0,7,0,0,1,0,0,1,0,1,29,14,11,12,14,15,21,10,13,12,17,12,18,9,23,8,13,16,16,14,30,7,18,11,18,11,14,12,13,16,22,9,30,0,21,8,14,7,13,15,17,11,0,30,0,18,7,18,10,14,7,18,8,30,0,16,12,21,7,12,15,6,24,4,30,14,15,13,15,12,23,5,25,4,24,5,15,13,15,14,14,14,5,16,5,23,0,30,0,30,0,30,0,16,0,30,0,30,15,13,0,30,4,23,0,30,0,0,30,0,30,0,16,4,24,0,16,1.0
27,0,28,1,24,29,0,2,25,2,27,0,30,0,26,3,25,1,0,30,0,29,0,29,0,29,0,30,0,29,0,29,0,29,0,30,0,29,0,1,1,1,1,0,28,0,0,3,0,2,0,2,30,0,0,30,0,30,0,30,0,0,0,0,3,1,0,0,3,0,0,0,0,0,1,0,0,30,15,7,13,15,14,27,5,14,9,19,9,21,3,29,2,14,15,17,13,30,1,21,7,21,7,15,9,14,15,28,3,30,0,27,2,15,1,14,14,19,8,0,30,0,21,1,21,5,15,1,21,2,30,0,17,9,27,1,10,17,0,30,0,30,12,18,11,17,10,30,0,30,0,30,0,18,15,13,16,12,16,0,18,0,30,0,30,0,30,0,30,0,18,0,30,0,30,13,15,0,30,0,30,0,30,0,0,30,0,30,0,18,0,30,0,18,1.0
