@relation 'Sax dominant'

@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMaa numeric
@attribute o1atLkk numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMfa numeric
@attribute o1atLfa numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMha numeric
@attribute o1atLha numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMga numeric
@attribute o1atLga numeric
@attribute o1atMaj numeric
@attribute o1atLaj numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMja numeric
@attribute o1atLja numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMkb numeric
@attribute o1atLkb numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMka numeric
@attribute o1atLka numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMak numeric
@attribute o1atLak numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMkc numeric
@attribute o1atLkc numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMia numeric
@attribute o1atLia numeric
@attribute o1atMhb numeric
@attribute o1atLhb numeric
@attribute o1atMjc numeric
@attribute o1atLjc numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMjb numeric
@attribute o1atLjb numeric
@attribute destClass {2.0,3.0,4.0,1.0}

@data
76,13,39,40,53,29,15,74,55,17,56,15,18,37,39,14,14,76,76,13,18,38,37,37,74,14,53,29,16,73,24,71,12,12,71,21,30,52,38,36,14,54,13,80,77,14,40,15,14,39,15,19,38,18,15,55,55,16,30,53,16,53,18,14,81,12,73,15,12,81,13,77,16,14,14,55,38,14,12,79,17,54,73,15,80,12,15,14,14,74,80,12,14,74,12,80,12,81,39,18,13,56,18,14,12,80,57,14,79,12,13,75,81,12,15,16,74,13,12,77,15,16,19,14,38,15,14,18,14,37,57,14,81,12,14,38,15,15,18,18,56,13,15,38,15,37,14,14,19,18,16,18,14,55,14,14,79,12,14,14,13,54,78,12,15,18,18,15,19,15,12,78,39,16,15,14,55,14,13,76,13,75,74,14,40,14,15,18,55,13,15,15,14,38,15,14,77,12,75,14,77,12,13,77,14,15,12,77,12,78,14,15,14,18,15,14,13,77,78,12,19,16,16,15,16,16,79,12,78,12,15,15,77,12,12,78,12,78,14,14,2.0
77,13,50,37,59,28,17,73,61,19,61,15,20,33,42,13,12,74,75,13,19,33,40,31,73,13,57,28,15,73,27,68,11,12,69,22,37,49,42,32,14,53,13,81,76,14,42,15,14,34,14,20,40,18,14,51,59,17,37,47,19,52,20,14,80,13,73,17,12,82,14,75,15,15,13,52,41,14,12,80,18,51,73,15,80,12,14,15,12,73,79,13,13,73,11,81,11,82,42,19,14,53,19,15,11,81,61,15,79,13,14,74,80,12,14,16,74,13,13,78,14,16,21,14,40,14,13,19,14,34,62,14,81,12,13,33,14,16,19,19,61,13,14,33,14,34,13,15,20,19,14,20,13,51,13,14,77,13,13,14,14,53,77,13,14,20,19,15,20,15,11,79,42,15,14,15,59,13,14,78,14,74,73,15,43,14,14,19,60,13,14,15,13,33,14,14,77,13,73,15,77,13,13,79,13,15,12,78,12,79,13,15,13,19,14,15,13,79,77,13,20,15,14,16,14,16,78,13,78,13,14,16,78,13,11,79,12,79,13,15,3.0
74,17,45,47,55,30,17,71,58,19,58,17,20,34,35,16,15,73,73,16,20,35,34,34,72,17,57,30,20,71,23,69,13,14,69,21,30,55,33,34,18,58,15,76,74,15,34,16,16,36,16,22,34,20,19,59,58,20,30,58,20,57,21,16,78,15,72,17,15,78,15,74,20,16,15,59,35,16,15,75,20,59,71,19,77,15,18,17,17,73,77,16,19,72,15,77,14,80,34,20,16,60,21,17,14,79,58,16,76,16,17,72,78,14,16,19,73,16,17,74,17,19,22,15,34,17,15,21,17,36,60,15,79,14,15,35,16,18,20,21,59,16,19,35,18,35,15,17,20,20,18,21,17,59,17,16,75,15,15,16,17,59,74,16,17,22,20,18,20,16,15,77,34,17,16,17,58,17,17,73,16,73,72,17,36,15,19,21,59,16,19,18,17,35,19,16,74,17,72,16,75,16,17,74,17,18,16,75,16,76,15,18,17,21,19,17,16,75,75,16,20,17,18,17,18,18,76,15,76,16,17,18,76,16,16,76,17,75,17,17,4.0
77,16,44,39,51,32,17,69,54,21,55,14,20,36,39,13,12,72,71,13,22,38,37,35,70,15,53,30,16,70,23,64,11,11,64,26,33,50,37,35,14,53,12,79,72,12,39,14,12,39,13,24,39,23,16,54,56,21,31,49,19,53,22,13,82,12,69,18,12,80,12,73,17,12,13,55,39,14,12,78,19,54,70,20,80,12,16,13,14,71,80,12,15,70,12,79,12,82,38,21,12,56,22,14,12,81,56,14,79,13,14,70,81,12,14,16,71,14,14,76,15,15,23,12,39,15,13,23,13,37,57,12,82,11,13,38,14,15,22,23,56,13,16,38,14,36,13,14,21,21,15,21,15,54,15,13,79,13,13,13,13,54,79,13,14,22,22,15,22,14,13,79,39,14,14,13,56,15,14,75,13,71,70,13,40,12,16,23,56,14,16,15,15,38,16,13,78,13,71,13,77,14,13,76,15,15,13,77,13,78,13,15,15,23,16,14,13,77,78,13,22,14,16,14,16,14,80,12,79,12,15,15,78,13,13,78,13,77,15,14,4.0
78,13,50,42,58,29,15,77,59,16,60,12,15,33,40,13,12,78,76,13,15,32,36,31,76,13,56,26,14,76,28,74,11,12,71,22,36,53,38,32,13,54,12,82,77,12,40,13,13,34,13,19,39,17,12,53,60,14,33,52,15,54,16,13,82,12,74,15,11,82,13,79,14,13,12,54,40,13,11,81,14,53,75,13,81,12,14,13,12,76,81,12,12,76,11,81,11,82,38,17,13,55,16,13,11,82,61,12,80,13,13,77,82,12,13,15,76,13,11,79,14,15,17,13,40,14,13,18,13,34,62,12,82,12,12,33,13,14,16,17,61,13,12,32,13,33,13,13,15,18,13,18,12,53,13,13,81,12,13,13,13,55,80,12,13,19,16,14,16,14,11,80,39,13,13,13,61,13,12,79,13,78,75,12,41,12,13,17,61,13,13,14,12,32,13,13,79,12,76,12,79,13,12,79,13,14,11,79,11,80,13,14,13,17,13,13,12,80,80,12,16,14,14,14,14,14,81,12,80,12,14,14,79,13,11,79,11,79,13,13,2.0
75,15,43,49,55,29,15,74,56,18,57,17,18,35,32,15,15,76,76,15,18,36,31,35,74,16,57,33,17,74,19,73,13,13,73,21,25,59,32,35,16,60,13,78,77,14,33,17,14,37,14,19,31,18,17,62,57,17,29,61,17,60,18,15,79,14,74,15,13,78,13,77,18,16,15,62,32,16,15,77,17,62,74,17,78,14,18,16,17,76,78,14,17,74,15,77,13,80,32,18,14,63,18,16,15,80,57,17,77,14,15,74,79,14,15,18,75,15,15,75,18,17,19,16,31,17,15,18,17,36,59,16,80,13,15,36,15,17,18,18,58,15,17,36,17,35,15,16,18,18,17,18,17,62,17,15,76,15,15,15,16,61,76,15,17,18,18,17,19,17,15,78,33,17,15,16,57,16,15,75,15,75,75,15,33,16,17,18,58,15,17,17,17,36,17,15,76,15,75,15,75,15,15,75,17,17,15,77,15,76,15,17,17,18,17,16,15,76,76,15,19,17,18,17,18,17,77,14,77,14,18,17,76,14,15,77,15,75,17,16,4.0
75,15,47,38,51,32,18,71,56,22,56,17,19,36,39,15,14,74,70,15,19,35,36,34,68,17,53,30,16,71,22,68,14,13,61,27,34,53,37,36,16,53,14,78,71,16,40,17,15,38,16,25,39,23,15,53,57,21,32,51,19,53,20,15,79,13,68,18,14,79,14,75,18,16,14,55,39,17,14,77,17,53,68,20,78,15,17,16,14,72,77,13,15,72,14,78,14,79,39,23,15,56,20,17,14,78,58,17,77,13,15,72,78,15,16,18,68,17,14,75,16,17,21,16,39,17,16,24,15,36,58,16,80,15,16,37,17,18,20,24,57,15,17,35,16,36,16,17,20,23,17,23,14,53,16,15,77,15,16,15,15,53,77,15,16,23,20,17,21,17,14,76,39,17,17,16,57,17,14,74,14,72,68,16,40,16,17,24,57,17,17,17,16,35,17,15,75,15,70,16,75,15,14,75,16,17,14,75,14,76,16,17,16,24,17,17,14,75,75,15,20,17,18,17,17,17,77,15,75,15,17,17,75,15,14,76,14,76,16,17,1.0
77,15,49,48,56,28,14,70,61,21,61,15,22,30,33,13,11,73,73,12,20,30,31,29,71,13,57,27,15,70,20,65,11,11,67,19,29,54,33,30,14,60,13,79,74,13,34,16,14,33,14,22,32,20,14,59,60,19,28,55,19,58,21,13,81,12,72,15,13,81,13,74,17,14,12,61,33,14,11,78,18,58,71,16,80,13,15,14,12,71,79,12,13,71,11,80,12,82,33,22,13,62,21,14,11,81,62,15,79,12,13,72,80,12,14,16,72,13,13,76,15,16,22,14,32,14,12,21,15,32,63,14,82,12,12,32,14,16,20,20,62,13,15,31,17,31,13,15,22,22,17,22,13,59,14,13,78,13,13,13,13,61,78,14,15,22,20,14,22,16,12,79,33,16,14,14,60,14,13,75,13,73,72,14,34,14,15,20,61,14,15,14,13,31,16,13,77,14,73,14,77,13,13,77,13,14,12,76,13,79,12,15,13,20,16,14,13,78,77,13,22,16,17,16,17,16,79,13,78,13,15,16,78,13,12,78,13,78,14,14,1.0
77,15,37,46,50,29,16,69,53,17,53,15,19,38,34,14,14,72,73,13,22,40,33,40,72,15,48,34,18,68,20,66,12,12,67,23,23,54,30,35,17,59,14,76,74,14,34,15,14,41,14,22,33,21,19,59,53,20,28,56,17,57,22,14,80,13,72,17,13,79,14,73,20,14,14,60,33,16,14,75,22,57,72,15,79,14,17,15,15,72,78,13,16,71,14,78,13,81,33,18,14,61,22,16,13,80,54,15,78,13,16,71,79,14,14,17,72,15,15,74,15,16,23,14,33,16,14,21,15,40,55,14,81,14,14,40,15,17,22,21,54,13,19,40,17,39,14,16,21,19,18,20,16,60,16,14,78,15,14,14,15,60,78,15,15,21,22,16,22,15,14,78,33,15,15,15,53,15,16,71,15,72,72,15,35,14,19,21,53,15,19,16,16,40,19,14,77,15,73,15,77,15,16,73,16,16,15,75,14,77,14,16,16,21,19,16,15,74,77,15,21,15,19,15,18,15,78,15,77,15,16,16,77,15,15,77,15,76,16,16,4.0
74,18,37,43,49,31,18,71,51,21,51,16,21,41,37,16,16,72,70,16,21,39,36,38,69,17,49,35,17,70,23,67,15,15,64,25,27,53,34,37,18,57,16,77,71,16,37,18,17,42,18,25,36,23,16,55,52,23,31,52,18,57,22,16,78,15,68,20,15,77,17,73,19,17,16,57,36,17,16,76,19,55,69,20,77,16,19,17,16,71,76,15,16,70,16,76,15,78,35,23,17,58,21,17,16,77,53,16,76,16,18,71,77,16,18,19,69,17,16,74,19,19,23,17,36,17,17,24,18,41,54,16,78,16,17,41,18,19,21,23,53,16,17,39,18,41,17,18,22,24,19,24,16,56,18,17,76,16,17,17,18,57,76,16,19,24,21,17,22,19,16,75,35,18,18,17,52,17,17,74,18,71,68,16,38,16,17,23,52,17,17,17,17,40,18,16,74,16,70,16,74,17,17,74,17,18,16,75,16,74,17,18,17,24,17,17,17,74,74,16,22,19,19,19,19,19,76,16,74,16,19,19,74,17,16,75,16,74,17,18,2.0
