@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute destClass {2.0,3.0,4.0,1.0}

@data
76,71,13,12,19,77,80,16,18,76,79,15,19,16,18,15,2.0
69,75,13,13,16,79,76,19,15,78,75,18,17,20,16,19,3.0
71,71,17,17,19,75,75,19,19,74,74,19,21,21,20,20,4.0
68,68,14,14,18,75,75,18,20,74,74,20,21,21,20,20,4.0
77,78,12,13,13,81,80,14,13,80,79,14,15,16,14,15,2.0
73,75,15,15,17,78,77,18,17,77,76,18,18,19,17,18,4.0
71,72,14,15,17,77,76,18,18,76,75,19,19,20,18,19,1.0
69,69,13,15,20,76,75,21,18,75,74,19,20,21,19,20,1.0
73,67,15,15,20,74,77,17,21,73,76,18,22,19,21,18,4.0
70,69,17,16,20,74,75,19,20,73,74,19,22,21,21,20,2.0
70,71,19,22,21,74,72,23,20,73,71,22,22,24,21,23,3.0
68,70,20,20,23,73,72,24,21,72,71,22,23,24,22,23,2.0
73,67,13,15,19,75,77,17,18,74,76,16,21,19,20,18,3.0
70,73,17,16,19,76,75,20,19,75,74,20,20,21,19,20,3.0
76,73,13,12,17,78,80,15,16,77,79,14,18,16,17,15,3.0
74,72,16,16,19,76,77,18,19,75,76,18,20,19,19,18,3.0
69,69,17,17,21,74,74,21,21,73,73,21,22,22,21,21,4.0
71,66,18,19,24,72,74,22,22,71,73,20,24,22,23,21,2.0
74,69,17,16,21,74,77,18,20,73,76,17,22,19,21,18,2.0
68,69,21,20,22,72,72,22,23,71,71,23,24,24,23,23,4.0
73,69,17,17,21,74,76,19,21,73,75,19,22,20,21,19,3.0
72,69,19,18,23,73,75,21,21,72,74,19,23,21,22,20,2.0
76,77,15,14,16,79,79,16,16,78,78,16,17,17,16,16,3.0
70,73,17,16,19,76,75,20,18,75,74,19,20,21,19,20,4.0
72,74,16,16,19,77,76,20,17,76,75,18,19,20,18,19,3.0
69,73,13,13,16,78,76,18,16,77,75,18,18,20,17,19,1.0
68,68,18,18,21,73,73,21,21,72,72,21,23,23,22,22,4.0
71,71,17,19,21,75,74,22,18,74,73,19,21,22,20,21,1.0
72,70,12,12,18,77,78,17,17,76,77,16,19,18,18,17,3.0
71,72,18,19,20,75,74,21,20,74,73,21,21,22,20,21,2.0
72,74,16,16,18,77,76,19,18,76,75,19,19,20,18,19,4.0
72,69,15,14,20,75,77,18,19,74,76,17,21,19,20,18,1.0
71,71,17,15,19,75,76,18,20,74,75,19,21,20,20,19,4.0
65,73,17,19,20,76,71,25,18,75,70,23,20,25,19,24,2.0
70,72,18,18,21,75,74,22,20,74,73,21,21,22,20,21,3.0
71,74,12,11,17,79,78,18,14,78,77,15,17,18,16,17,4.0
67,70,20,19,21,73,72,22,21,72,71,22,23,24,22,23,2.0
70,69,17,18,21,74,74,21,21,73,73,21,22,22,21,21,4.0
73,68,18,17,21,73,76,18,21,72,75,18,23,20,22,19,4.0
71,72,18,19,20,75,74,21,19,74,73,20,21,22,20,21,2.0
67,69,21,21,24,72,71,25,22,71,70,23,24,25,23,24,1.0
77,71,13,13,19,77,80,16,18,76,79,15,19,16,18,15,4.0
