@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute destClass {1.0,-1.0}

@data
24,12,80,66,26,69,82,13,27,14,81,13,26,68,26,13,1.0
44,38,52,48,44,50,55,39,46,41,54,40,45,49,45,40,1.0
0,1,91,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
38,43,47,52,40,55,50,45,41,46,49,45,40,54,40,45,1.0
38,43,47,52,39,55,50,44,41,46,49,45,40,54,40,45,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
45,37,53,47,45,49,56,38,47,40,55,39,46,48,46,39,1.0
49,39,51,43,50,45,54,41,51,42,53,40,49,44,50,41,1.0
31,7,85,59,33,62,87,8,34,9,86,7,32,61,33,8,1.0
33,10,82,57,35,60,84,11,36,12,83,11,35,59,35,11,-1.0
37,45,45,53,39,56,48,47,40,48,47,46,38,55,39,47,1.0
0,2,88,94,1,95,91,5,1,5,90,4,0,94,0,4,1.0
34,25,65,56,36,59,68,27,37,28,67,26,35,58,36,27,1.0
24,12,80,66,26,69,82,13,27,14,81,13,26,68,26,13,1.0
39,44,46,51,41,54,49,46,42,47,48,45,40,53,41,46,-1.0
42,45,45,48,44,51,48,47,45,48,47,46,43,50,44,47,1.0
36,30,60,54,37,57,63,31,39,33,62,32,38,56,38,32,1.0
34,47,43,56,35,59,46,48,37,50,45,49,36,58,36,49,1.0
34,26,64,56,35,59,67,27,37,29,66,28,36,58,36,28,1.0
35,53,37,55,36,58,40,54,38,56,39,54,36,57,37,55,1.0
33,11,81,57,35,60,83,12,36,13,82,11,34,59,35,12,1.0
35,51,39,55,37,58,42,53,38,54,41,53,37,57,37,53,1.0
50,31,59,42,51,44,62,33,52,34,61,33,51,43,51,33,1.0
40,37,51,52,40,54,55,39,42,41,54,40,41,53,41,40,1.0
45,39,51,47,46,49,54,41,47,42,53,41,46,48,46,41,1.0
39,50,40,51,39,54,43,50,42,53,42,51,40,53,41,52,1.0
35,45,45,55,37,58,48,47,38,48,47,47,37,57,37,47,1.0
43,39,51,49,43,51,54,40,45,42,53,41,44,50,44,41,1.0
35,29,61,55,37,58,64,31,38,32,63,30,36,57,37,31,1.0
45,36,54,47,46,49,57,38,47,39,56,38,46,48,46,38,1.0
41,40,50,51,42,53,53,42,43,43,52,42,42,52,42,42,1.0
26,12,80,64,28,67,82,13,29,14,81,12,27,66,28,13,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
37,31,59,53,38,56,62,32,40,34,61,32,38,55,39,33,1.0
36,50,40,54,38,57,43,52,39,53,42,52,38,56,38,52,1.0
29,11,81,61,31,64,83,12,32,13,82,11,30,63,31,12,1.0
38,43,47,52,40,55,50,45,41,46,49,45,40,54,40,45,1.0
55,31,59,33,56,37,62,31,59,34,61,32,57,36,58,33,1.0
33,54,36,57,34,60,39,55,36,57,38,56,35,59,35,56,1.0
36,52,38,54,37,57,41,53,39,55,40,53,37,56,38,54,1.0
31,18,72,59,33,62,75,20,34,21,74,19,32,61,33,20,1.0
37,45,45,55,37,57,48,46,39,48,47,47,38,56,38,47,1.0
34,10,82,56,36,59,84,11,37,12,83,11,36,58,36,11,-1.0
36,30,60,54,37,57,63,31,39,33,62,32,38,56,38,32,1.0
42,39,51,50,42,52,54,40,44,42,53,41,43,51,43,41,1.0
48,40,50,44,48,46,53,41,50,43,52,41,48,45,49,42,1.0
19,13,79,71,21,74,81,14,22,15,80,14,21,73,21,14,1.0
37,46,44,53,38,56,47,47,40,49,46,47,38,55,39,48,1.0
39,50,40,51,40,54,43,51,42,53,42,50,39,53,41,52,1.0
30,10,82,60,32,63,84,11,33,12,83,11,32,62,32,11,1.0
40,48,42,50,42,53,45,50,43,51,44,48,40,52,42,50,1.0
29,58,32,61,30,64,35,59,32,61,34,60,31,63,31,60,1.0
39,50,40,51,39,54,43,50,42,53,42,51,40,53,41,52,1.0
48,40,50,42,49,45,53,41,51,43,52,41,49,44,50,42,1.0
34,47,43,56,35,59,46,48,37,50,45,48,35,58,36,49,1.0
43,43,47,47,45,50,50,45,46,46,49,45,45,49,45,45,-1.0
28,11,81,62,30,65,83,12,31,13,82,12,30,64,30,12,1.0
40,40,50,50,42,53,53,42,43,43,52,42,42,52,42,42,1.0
37,43,47,53,39,56,50,45,40,46,49,45,39,55,39,45,1.0
25,13,79,65,27,68,81,14,28,15,80,13,26,67,27,14,1.0
38,34,56,52,40,55,59,36,41,37,58,35,39,54,40,36,1.0
40,36,54,50,42,53,57,38,43,39,56,37,41,52,42,38,1.0
47,35,55,45,48,47,58,37,49,38,57,36,47,46,48,37,1.0
37,51,39,53,38,56,42,52,40,54,41,52,38,55,39,53,1.0
31,56,34,59,33,62,37,58,34,59,36,57,32,61,33,58,1.0
35,52,38,55,37,58,41,54,38,55,40,53,36,57,37,54,1.0
49,34,56,43,49,45,59,35,51,37,58,36,50,44,50,36,1.0
33,55,35,57,35,60,38,57,36,58,37,55,33,59,35,57,1.0
53,36,54,37,54,40,57,37,56,39,56,36,53,39,55,38,1.0
34,55,35,56,35,59,38,56,37,58,37,55,34,58,36,57,1.0
57,32,58,33,58,36,61,33,60,35,60,32,57,35,59,34,1.0
48,40,50,42,50,45,53,42,51,43,52,40,48,44,50,42,1.0
38,43,47,52,40,55,50,45,41,46,49,45,40,54,40,45,1.0
33,18,72,57,34,60,75,19,36,21,74,19,34,59,35,20,1.0
25,13,79,65,27,68,81,14,28,15,80,14,27,67,27,14,1.0
35,54,36,55,35,58,39,54,38,57,38,55,36,57,37,56,1.0
38,49,41,52,40,55,44,51,41,52,43,50,39,54,40,51,1.0
36,27,63,54,38,57,66,29,39,30,65,28,37,56,38,29,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
37,46,44,53,38,56,47,47,40,49,46,48,39,55,39,48,1.0
24,13,79,66,26,69,81,14,27,15,80,14,26,68,26,14,1.0
37,9,83,53,39,56,85,10,40,11,84,9,38,55,39,10,-1.0
35,9,83,55,37,58,85,10,38,11,84,10,37,57,37,10,-1.0
43,45,45,47,44,50,48,46,46,48,47,46,44,49,45,47,-1.0
26,13,79,64,28,67,81,14,29,15,80,13,27,66,28,14,1.0
17,13,79,73,19,76,81,14,20,15,80,14,19,75,19,14,1.0
28,11,81,62,30,65,83,12,31,13,82,11,29,64,30,12,1.0
