@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute destClass {1.0,-1.0}

@data
21,12,79,66,23,72,82,13,25,68,26,14,24,14,80,13,23,68,26,67,22,71,80,13,24,69,80,13,23,15,26,14,23,69,81,13,26,13,27,13,79,14,81,12,23,14,23,13,1.0
0,0,50,46,0,95,95,1,45,48,47,42,1,1,52,0,0,48,44,48,0,94,94,40,44,94,53,41,1,43,46,42,0,49,53,1,46,0,47,1,52,40,94,0,0,42,0,0,1.0
0,1,89,33,0,95,93,1,59,36,59,4,1,3,91,1,0,36,56,36,0,94,91,1,55,94,90,4,1,4,57,3,1,37,92,3,58,2,59,3,90,1,92,1,0,3,0,2,1.0
0,0,46,51,1,95,95,0,41,54,41,47,1,1,48,0,0,53,41,53,0,94,94,44,39,94,48,46,1,47,41,46,1,54,49,0,41,0,42,1,48,46,94,0,0,46,0,0,1.0
0,0,46,51,1,95,95,0,40,54,41,47,1,1,48,0,0,53,41,53,0,94,94,44,39,94,48,45,1,47,41,46,1,54,49,0,41,0,42,1,48,46,94,0,0,46,0,0,1.0
0,0,54,39,0,95,94,2,52,41,54,37,1,2,57,1,0,41,52,41,0,94,92,34,51,94,58,36,1,38,53,37,0,42,58,2,53,1,54,2,57,36,93,1,0,37,0,1,1.0
0,0,48,47,0,95,95,1,45,48,47,44,1,1,50,0,0,48,46,48,0,94,94,42,45,94,51,43,1,45,46,44,0,49,51,1,46,0,47,1,50,44,94,0,0,44,0,0,1.0
0,0,49,43,0,95,95,1,49,44,51,43,1,1,51,0,0,44,49,44,0,94,94,41,49,94,52,42,1,44,50,43,0,45,52,1,50,0,51,1,51,42,94,0,0,43,0,0,1.0
30,6,39,58,32,63,88,6,33,60,33,52,33,8,42,7,31,60,33,58,30,62,86,49,32,60,41,51,32,53,34,51,32,61,43,6,34,7,35,7,42,51,87,7,32,52,32,7,1.0
5,10,40,57,5,89,84,10,35,58,35,53,7,12,42,11,6,59,35,58,5,88,82,50,33,87,41,52,7,53,35,52,7,60,43,11,35,11,36,12,41,52,83,10,6,52,6,11,-1.0
35,0,43,53,36,58,95,0,38,54,39,49,38,1,45,0,36,55,38,54,36,57,94,47,37,55,45,48,37,50,39,48,37,56,46,0,39,0,40,0,45,48,94,0,37,49,37,0,1.0
0,1,88,66,0,95,92,2,23,72,23,5,1,4,90,1,0,72,20,72,0,94,89,2,16,94,89,5,1,5,20,4,1,73,91,4,22,3,23,4,88,2,91,1,0,4,0,3,1.0
31,6,36,56,33,62,88,7,35,58,36,56,34,8,38,7,32,58,35,57,32,61,86,54,34,59,38,55,33,57,36,55,33,59,39,7,36,7,37,7,38,55,87,7,33,56,33,7,1.0
21,11,79,66,23,72,83,12,25,68,26,14,24,13,80,12,23,68,26,67,22,71,81,13,24,69,80,13,23,15,26,14,23,69,81,12,26,12,27,12,79,14,82,11,23,14,23,12,1.0
7,0,44,49,8,86,95,1,42,50,44,47,10,1,46,0,9,51,41,51,9,85,94,46,41,83,47,47,10,49,43,48,8,52,47,1,43,0,44,1,46,46,94,0,9,48,9,0,-1.0
0,0,44,48,1,95,95,0,43,51,44,49,1,1,46,0,0,50,43,50,0,94,94,46,42,94,46,47,1,49,44,48,1,51,47,0,44,0,45,1,46,47,94,0,0,48,0,0,1.0
0,7,38,53,1,95,87,7,37,56,38,55,1,9,40,8,0,55,38,55,0,94,85,52,37,94,39,52,1,55,39,54,1,56,41,7,39,8,40,9,39,53,86,7,0,54,0,8,1.0
33,0,42,55,35,60,95,0,35,57,37,50,36,1,44,0,35,57,37,55,33,59,94,48,35,57,44,48,35,51,37,50,35,58,45,0,37,0,38,0,44,50,94,0,35,50,35,0,1.0
33,6,37,56,34,60,88,7,35,57,36,54,36,8,39,7,35,58,36,56,33,59,86,53,34,57,39,54,35,56,36,55,34,59,40,7,36,7,37,7,38,55,87,6,35,55,35,7,1.0
34,0,37,54,34,59,95,0,37,54,38,54,37,1,39,0,36,56,36,56,36,58,94,53,36,56,39,54,36,56,38,55,35,57,40,0,38,0,39,0,39,53,94,0,36,55,36,0,1.0
10,11,80,57,12,84,83,12,34,60,35,14,12,13,81,11,11,59,34,59,11,83,81,12,33,82,81,12,12,14,34,13,12,60,82,12,35,12,36,13,80,12,82,11,11,13,11,12,1.0
