@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atLeee numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMbad numeric
@attribute o1atLbad numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMceb numeric
@attribute o1atLceb numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMbec numeric
@attribute o1atLbec numeric
@attribute o1atMcda numeric
@attribute o1atLcda numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMdea numeric
@attribute o1atLdea numeric
@attribute o1atMeab numeric
@attribute o1atLeab numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o1atMaed numeric
@attribute o1atLaed numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute destClass {1.0,-1.0}

@data
18,22,14,26,13,79,12,22,13,20,68,77,64,20,72,21,68,23,66,24,65,21,67,19,71,11,21,14,81,12,22,13,78,12,24,13,21,67,24,13,24,13,80,12,78,12,78,12,23,13,23,13,21,66,24,13,21,67,22,66,80,12,23,65,25,12,79,12,23,12,20,69,24,13,77,13,24,13,24,13,77,13,78,12,25,12,80,12,78,12,26,12,22,12,21,14,23,13,80,11,20,14,20,69,23,13,21,13,22,13,24,13,24,64,24,12,19,69,21,13,25,12,21,66,23,13,20,15,21,14,21,13,23,12,78,12,25,13,18,71,21,67,77,13,78,12,78,12,79,11,22,12,20,13,21,66,77,13,77,13,24,13,81,11,24,12,23,14,22,13,79,12,26,12,23,13,21,13,79,11,21,13,22,12,22,13,22,12,21,14,1.0
0,0,42,47,1,52,0,0,0,0,47,48,43,0,94,0,48,44,45,43,45,0,47,0,93,0,0,1,94,0,1,40,53,38,46,39,43,93,47,39,45,38,94,1,93,37,50,39,44,41,44,41,0,46,43,40,43,47,43,47,53,0,43,47,46,0,50,1,44,0,0,94,45,40,52,37,44,39,44,1,50,37,93,0,46,0,53,1,52,37,47,0,0,0,0,39,0,1,93,0,0,41,0,48,0,1,0,39,0,41,46,0,43,44,45,0,0,93,0,41,44,0,0,45,1,1,0,42,0,41,0,0,1,0,52,0,45,1,0,94,0,93,48,0,50,0,53,0,93,0,0,0,0,0,0,47,48,38,52,0,43,0,94,0,47,0,44,39,0,1,52,1,44,1,44,0,0,40,52,0,0,0,0,0,0,41,1,0,0,40,1.0
0,0,4,59,1,90,0,0,1,0,35,86,30,0,94,0,36,59,32,54,32,0,35,0,93,0,0,3,92,0,1,1,88,1,56,1,52,93,59,1,57,0,91,0,89,0,87,4,54,3,55,4,1,33,55,3,53,35,55,35,91,1,53,35,58,1,89,3,55,2,0,94,59,4,88,0,55,1,55,3,87,0,89,0,57,1,90,1,88,0,59,1,0,1,0,1,0,3,91,0,0,3,0,36,1,3,0,1,1,4,56,1,56,30,58,0,0,93,0,4,56,1,0,32,1,1,0,4,0,3,0,2,1,1,89,0,59,3,0,94,0,93,87,1,88,0,88,1,90,0,0,1,0,2,0,35,87,1,88,0,55,2,92,0,59,1,59,1,0,3,90,0,56,3,59,1,0,3,89,0,0,1,0,2,0,3,1,1,1,1,1.0
0,1,47,41,0,47,0,0,0,0,53,43,49,0,94,1,54,38,51,39,51,0,53,0,93,0,0,1,94,0,1,44,47,44,40,44,36,93,40,44,40,45,94,0,93,42,45,44,38,46,38,47,1,51,39,46,36,53,38,54,48,0,38,53,40,0,46,0,38,0,1,94,40,46,47,44,40,46,39,1,45,45,93,0,40,0,48,0,47,42,41,0,0,0,0,46,1,1,93,0,0,46,0,54,1,0,0,44,1,46,40,0,40,49,40,0,0,93,0,47,40,0,0,51,1,0,0,47,0,46,0,0,1,0,47,0,41,0,0,94,0,93,43,0,45,0,47,0,93,0,0,0,0,0,0,54,43,46,47,0,39,0,94,0,40,0,38,46,0,1,48,0,41,0,38,0,0,46,47,0,0,0,0,0,0,46,1,0,1,46,1.0
0,1,47,41,0,47,0,0,0,0,53,43,49,0,94,1,54,37,51,39,51,0,53,0,93,0,0,1,94,0,1,44,47,43,40,44,36,93,40,44,39,45,94,0,93,42,45,43,38,46,38,47,1,51,39,45,36,53,37,54,48,0,38,53,40,0,46,0,38,0,1,94,39,45,47,44,40,46,39,1,45,45,93,0,40,0,48,0,47,42,41,0,0,0,0,46,1,1,93,0,0,46,0,54,1,0,0,44,1,45,40,0,39,49,39,0,0,93,0,47,40,0,0,51,1,0,0,47,0,46,0,0,1,0,47,0,40,0,0,94,0,93,43,0,45,0,47,0,93,0,0,0,0,0,0,54,43,45,47,0,39,0,94,0,40,0,37,46,0,1,48,0,41,0,37,0,0,45,47,0,0,0,0,0,0,46,1,0,1,46,1.0
0,0,37,54,2,57,0,0,1,0,40,51,36,0,94,0,41,50,38,50,38,0,40,0,93,0,0,2,93,0,1,34,57,32,52,33,49,93,54,33,52,33,92,1,90,30,54,33,51,36,51,36,0,39,50,35,49,40,50,40,58,0,50,40,53,0,54,2,51,1,0,94,52,35,56,32,52,35,51,2,54,33,91,1,53,1,58,2,57,30,54,0,0,1,0,35,0,2,92,0,0,36,0,41,0,2,0,33,0,36,52,1,51,36,52,0,0,93,0,36,52,1,0,38,1,2,0,37,0,36,0,1,1,0,57,0,52,2,0,94,0,93,51,1,54,0,57,1,91,0,0,0,0,1,0,40,51,34,56,1,50,1,93,0,54,1,50,35,0,2,57,1,52,2,50,1,0,35,57,0,0,1,0,1,0,36,1,1,0,36,1.0
0,0,44,47,1,50,0,0,0,0,47,46,45,0,94,0,48,44,46,45,46,0,47,0,93,0,0,1,94,0,1,42,51,40,46,41,44,93,47,41,45,42,94,1,93,39,48,41,45,43,45,43,0,47,45,42,44,47,44,47,51,0,45,47,46,0,48,1,45,0,0,94,45,42,50,41,46,43,45,1,48,42,93,0,46,0,51,1,50,39,47,0,0,0,0,43,0,1,93,0,0,43,0,48,0,1,0,41,0,43,46,0,45,45,45,0,0,93,0,43,46,0,0,46,1,1,0,44,0,43,0,0,1,0,50,0,45,1,0,94,0,93,46,0,48,0,51,0,93,0,0,0,0,0,0,47,46,42,50,0,45,0,94,0,47,0,44,43,0,1,50,1,46,1,44,0,0,42,50,0,0,0,0,0,0,43,1,0,0,44,1.0
0,0,43,51,1,51,0,0,0,0,43,48,41,0,94,0,44,48,42,48,42,0,43,0,93,0,0,1,94,0,1,41,52,39,50,40,48,93,51,40,49,40,94,1,93,38,49,40,49,42,49,42,0,43,48,41,48,43,48,43,52,0,48,43,50,0,49,1,49,0,0,94,49,41,51,39,49,41,49,1,49,40,93,0,50,0,52,1,51,39,51,0,0,0,0,41,0,1,93,0,0,42,0,44,0,1,0,40,0,42,50,0,48,41,49,0,0,93,0,42,49,0,0,42,1,1,0,43,0,42,0,0,1,0,51,0,49,1,0,94,0,93,48,0,49,0,52,0,93,0,0,0,0,0,0,43,48,40,51,0,48,0,94,0,51,0,48,41,0,1,51,1,49,1,48,0,0,41,51,0,0,0,0,0,0,42,1,0,0,42,1.0
27,30,52,33,6,41,6,30,7,28,60,35,56,29,63,30,60,30,58,30,56,28,58,27,62,5,30,8,87,5,30,49,39,48,32,48,29,58,31,49,32,49,86,5,84,46,37,49,31,49,30,51,30,58,30,50,29,58,30,58,42,5,30,56,33,6,39,5,31,6,29,60,31,51,40,48,32,49,32,6,38,49,84,6,33,6,41,5,40,46,34,6,31,7,30,51,32,7,86,6,29,52,29,61,32,6,30,49,30,51,32,6,31,56,32,6,27,60,29,51,32,6,28,58,32,6,29,53,29,51,29,7,32,6,41,6,33,6,27,62,29,58,35,6,38,6,39,6,85,6,31,6,29,7,29,58,35,50,40,6,30,6,87,5,31,7,30,51,30,6,42,5,33,5,30,7,28,51,40,6,30,6,31,6,31,49,30,7,30,51,1.0
3,5,53,35,10,41,10,5,11,4,59,37,55,3,89,5,58,33,55,32,56,4,58,3,87,9,5,12,83,9,6,50,39,50,33,50,30,85,33,50,34,50,82,9,80,48,38,51,32,51,32,52,6,57,32,52,30,56,32,56,42,10,32,57,34,10,40,10,32,10,3,87,33,51,39,50,33,51,33,11,38,50,80,9,34,10,41,10,39,48,35,10,5,10,4,52,5,12,82,9,4,52,5,60,7,11,4,50,6,52,33,10,34,55,34,10,3,86,5,52,34,10,4,57,7,10,5,53,4,52,4,11,7,10,40,10,35,10,3,88,3,85,37,11,39,10,39,10,81,9,5,10,4,11,5,56,37,52,39,10,32,11,83,9,33,10,33,52,5,11,41,9,35,10,33,11,4,52,40,9,4,10,4,10,4,51,6,10,6,52,-1.0
