@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atLkk numeric
@attribute o1atMaa numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute destClass {1.0,2.0}

@data
30,68,68,32,47,46,82,18,16,83,33,62,50,42,84,11,17,78,70,24,24,62,32,61,50,44,84,11,70,25,17,78,42,60,22,77,54,41,73,23,9,10,24,71,58,36,43,50,75,20,11,84,25,63,45,45,59,25,46,37,23,70,58,36,45,49,75,20,11,84,51,25,50,36,45,44,51,36,75,11,32,49,70,20,51,20,25,50,46,25,59,20,33,45,59,11,70,11,58,25,33,50,17,63,17,71,17,50,70,20,25,45,33,37,17,70,45,36,25,11,50,20,24,49,17,20,32,44,58,20,33,25,58,11,25,37,50,25,17,25,17,25,33,11,17,62,45,20,11,78,33,20,32,11,75,11,50,11,25,20,17,37,70,11,32,36,46,20,32,25,1.0
33,67,63,31,52,44,83,15,14,83,37,58,55,40,85,10,15,80,67,28,25,58,37,58,54,39,85,10,66,28,15,80,43,54,22,79,57,36,75,25,8,10,25,70,60,34,47,48,78,18,11,84,25,58,47,40,61,28,47,35,25,70,60,33,47,48,77,17,11,84,56,29,55,34,47,39,55,35,78,10,37,48,67,18,56,18,25,48,47,29,61,18,37,40,61,10,67,10,60,28,37,48,15,58,15,70,15,48,66,17,25,40,37,35,15,70,47,34,25,10,55,17,25,48,15,18,37,39,60,17,37,29,60,10,25,35,55,28,15,29,15,28,37,10,15,58,47,17,11,80,37,18,37,10,77,10,55,10,25,18,15,35,66,10,37,34,47,18,37,28,1.0
29,68,61,35,44,54,89,18,18,78,32,63,48,47,91,5,19,76,65,30,25,63,32,63,48,45,90,4,64,30,19,76,35,60,23,75,53,42,72,27,3,15,25,70,56,38,38,57,75,21,16,79,25,63,38,47,57,30,38,39,25,70,56,38,37,57,74,20,16,79,49,31,48,38,38,46,48,39,75,5,32,57,65,21,49,21,25,57,38,31,57,21,32,47,57,5,65,5,56,30,32,57,19,63,19,70,19,57,64,20,25,47,32,39,19,70,38,38,25,5,48,20,25,57,19,21,32,46,56,20,32,31,56,4,25,39,48,30,19,31,19,30,32,5,19,63,38,20,16,76,32,21,32,4,74,4,48,4,25,21,19,39,64,4,32,38,38,21,32,30,2.0
33,68,62,32,45,50,87,12,16,80,36,59,48,46,89,6,19,76,66,28,25,59,35,59,49,45,88,6,66,29,19,76,39,56,23,73,55,42,74,25,5,11,25,70,58,35,42,53,78,17,13,82,25,59,42,46,59,29,42,36,25,70,59,36,41,52,78,16,13,82,49,29,49,36,42,46,49,36,79,7,36,53,66,17,49,17,25,53,42,29,59,17,36,46,59,7,66,7,59,29,36,53,19,59,19,70,19,53,66,16,25,46,36,36,19,70,42,36,25,7,49,16,25,53,19,17,36,46,59,16,36,29,59,6,25,36,49,29,19,29,19,29,36,7,19,59,42,16,13,76,36,17,36,6,78,6,49,6,25,17,19,36,66,6,36,36,42,17,36,29,2.0
35,60,64,34,45,52,86,15,18,87,37,57,47,48,88,7,21,74,68,26,33,58,37,58,47,48,87,7,68,27,21,74,39,56,31,71,55,46,75,23,6,6,32,62,57,37,41,54,77,18,7,88,33,58,41,48,58,27,41,37,33,62,58,37,41,54,77,17,7,88,47,27,47,37,41,48,47,37,78,8,37,54,68,18,47,18,33,54,41,27,58,18,37,48,58,8,68,8,58,27,37,54,21,58,21,62,21,54,68,17,33,48,37,37,21,62,41,37,33,8,47,17,33,54,21,18,37,48,58,17,37,27,58,7,33,37,47,27,21,27,21,27,37,8,21,58,41,17,7,74,37,18,37,7,77,7,47,7,33,18,21,37,68,7,37,37,41,18,37,27,1.0
32,65,66,33,47,51,86,17,19,85,34,61,50,45,87,8,21,74,68,25,28,61,34,61,50,44,87,8,69,25,21,74,38,59,26,72,55,41,73,22,7,8,28,67,58,36,41,54,76,18,9,86,28,61,41,45,58,25,41,37,28,67,58,36,41,54,75,19,9,86,50,26,50,36,41,44,50,37,76,8,34,54,70,19,51,20,28,54,41,26,59,19,34,45,59,8,70,8,58,25,34,54,21,61,21,67,21,54,69,19,28,45,34,37,21,67,41,36,28,8,50,19,28,54,21,20,34,44,58,19,34,26,58,8,28,37,50,25,21,26,21,25,34,8,21,61,41,19,9,74,34,20,34,8,75,8,50,8,28,20,21,37,69,8,34,36,41,20,34,25,1.0
31,63,62,37,44,51,88,18,18,80,34,61,47,48,90,5,20,75,64,31,29,61,34,60,47,48,89,5,64,31,20,75,38,58,26,73,52,45,70,29,4,11,29,66,55,40,41,54,73,22,13,82,29,61,41,48,55,31,41,40,28,66,55,40,41,54,73,21,13,82,47,31,47,40,41,48,47,40,74,6,34,54,64,22,47,22,29,54,41,31,55,22,34,48,55,6,64,6,55,31,34,54,20,61,20,66,20,54,64,21,29,48,34,40,20,66,41,40,29,6,47,21,29,54,20,22,34,48,55,21,34,31,55,5,29,40,47,31,20,31,20,31,34,6,20,61,41,21,13,75,34,22,34,5,73,5,47,5,29,22,20,40,64,5,34,40,41,22,34,31,2.0
34,61,65,32,49,48,86,17,15,87,36,59,52,43,87,8,18,77,67,26,32,59,36,59,52,42,87,8,68,26,18,77,41,57,30,74,56,39,73,23,7,6,32,63,59,35,44,51,76,18,7,88,32,59,44,43,59,26,44,36,32,63,59,35,44,51,75,19,7,88,52,27,52,35,44,42,52,36,76,8,36,51,69,19,53,20,32,51,44,27,60,19,36,43,60,8,69,8,59,26,36,51,18,59,18,63,18,51,68,19,32,43,36,36,18,63,44,35,32,8,52,19,32,51,18,20,36,42,59,19,36,27,59,8,32,36,52,26,18,27,18,26,36,8,18,59,44,19,7,77,36,20,36,8,75,8,52,8,32,20,18,36,68,8,36,35,44,20,36,26,1.0
25,73,63,33,49,55,87,16,17,80,27,67,52,43,88,7,18,77,66,29,20,67,27,67,52,42,88,7,66,29,18,77,33,65,19,76,55,39,73,26,6,13,20,75,59,36,37,58,76,19,14,81,20,68,37,43,59,29,37,37,20,74,58,36,36,58,76,19,14,81,53,29,52,36,36,42,53,37,76,7,27,58,66,19,53,19,21,59,37,29,59,19,28,43,59,7,66,7,58,29,28,58,18,68,18,75,18,59,66,19,21,43,28,37,18,74,36,36,21,7,52,19,20,58,18,19,27,42,58,19,28,29,58,7,21,37,52,29,18,29,18,29,28,7,18,67,36,19,14,77,28,19,27,7,76,7,52,7,21,19,18,37,66,7,27,36,37,19,27,29,2.0
35,62,62,32,50,43,86,17,14,85,37,58,53,41,87,8,16,79,66,28,30,58,37,58,53,40,87,8,65,29,16,79,45,56,27,77,56,38,70,26,7,8,30,65,58,35,48,47,74,21,9,86,30,58,48,42,60,29,48,36,30,65,59,35,47,46,74,21,9,86,54,29,53,35,48,41,53,35,74,8,37,46,66,21,54,21,30,47,49,30,60,21,37,42,60,8,66,8,59,29,37,47,16,58,16,65,16,47,65,21,30,42,37,36,16,65,48,35,30,8,53,21,30,46,16,21,37,41,59,21,37,30,59,8,30,36,53,29,16,30,16,29,37,8,16,58,48,21,9,79,37,21,37,8,74,8,53,8,30,21,16,36,65,8,37,35,49,21,37,29,1.0
