@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute destClass {1.0,2.0}

@data
57,64,26,29,29,67,62,34,28,66,61,33,29,34,28,33,1.0
59,60,27,29,31,64,63,33,31,64,62,32,31,33,31,32,1.0
56,63,26,32,29,66,60,36,29,66,59,35,29,36,29,35,2.0
57,60,29,30,32,63,61,34,32,63,61,34,32,34,32,34,2.0
56,57,34,33,36,59,59,36,36,59,59,36,36,36,36,36,1.0
59,62,29,29,31,64,63,33,31,64,62,32,31,33,31,32,1.0
54,58,31,35,34,61,57,38,34,61,57,38,34,38,34,38,2.0
60,57,34,28,36,59,64,32,36,59,63,31,36,32,36,31,1.0
58,66,24,30,27,69,62,34,26,68,61,33,27,34,26,33,2.0
57,58,33,31,35,60,61,35,35,60,60,34,35,35,35,34,1.0
57,61,30,31,32,63,61,35,32,63,60,34,32,35,32,34,2.0
58,62,29,30,31,64,62,34,31,64,61,33,31,34,31,33,1.0
59,61,29,30,32,64,62,33,31,63,62,33,32,33,31,33,2.0
52,57,32,36,35,60,56,40,35,60,55,39,35,40,35,39,2.0
57,60,30,30,33,63,61,34,32,62,61,34,33,34,32,34,2.0
60,56,35,28,37,58,64,32,37,58,63,31,37,32,37,31,1.0
60,63,27,28,30,66,64,32,29,65,63,31,30,32,29,31,2.0
54,53,36,37,39,56,56,39,39,56,56,39,39,39,39,39,2.0
54,62,27,33,30,65,58,37,30,65,58,37,30,37,30,37,1.0
59,58,33,32,35,60,61,34,35,60,61,34,35,34,35,34,1.0
56,57,34,35,36,59,58,37,36,59,58,37,36,37,36,37,1.0
53,56,33,34,36,59,57,38,36,59,57,38,36,38,36,38,2.0
53,59,30,34,33,62,57,38,33,62,57,38,33,38,33,38,1.0
59,59,28,29,32,63,63,33,32,63,62,32,32,33,32,32,1.0
59,58,32,30,35,61,62,33,34,60,62,33,35,33,34,33,2.0
60,59,31,29,34,62,63,32,33,61,63,32,34,32,33,32,2.0
60,62,29,28,31,64,64,32,31,64,63,31,31,32,31,31,1.0
57,56,35,32,37,58,60,35,37,58,60,35,37,35,37,35,2.0
60,59,30,29,33,62,63,32,33,62,63,32,33,32,33,32,1.0
61,62,28,27,31,65,65,31,30,64,64,30,31,31,30,30,2.0
56,58,33,33,35,60,59,36,35,60,59,36,35,36,35,36,1.0
62,57,32,27,35,60,65,30,35,60,65,30,35,30,35,30,2.0
59,57,31,30,35,61,62,33,34,60,62,33,35,33,34,33,1.0
59,56,33,30,36,59,62,33,36,59,62,33,36,33,36,33,1.0
60,64,26,28,29,67,64,32,28,66,63,31,29,32,28,31,2.0
57,57,34,29,36,59,62,34,36,59,61,33,36,34,36,33,1.0
62,61,27,27,31,65,65,30,30,64,65,30,31,30,30,30,2.0
58,60,30,29,33,63,62,33,32,62,62,33,33,33,32,33,2.0
57,55,36,34,38,57,59,36,38,57,59,36,38,36,38,36,1.0
56,54,36,35,39,57,58,37,38,56,58,37,39,37,38,37,1.0
59,61,30,32,32,63,61,34,32,63,61,34,32,34,32,34,2.0
58,56,35,30,37,58,62,34,37,58,61,33,37,34,37,33,1.0
61,64,26,27,29,67,65,31,28,66,64,30,29,31,28,30,2.0
63,62,29,27,31,64,66,30,31,64,65,29,31,30,31,29,1.0
51,62,29,38,31,64,54,41,31,64,54,41,31,41,31,41,2.0
55,62,27,30,30,65,60,35,30,65,60,35,30,35,30,35,1.0
61,57,31,28,35,61,64,31,34,60,64,31,35,31,34,31,1.0
58,60,31,30,33,62,62,34,33,62,61,33,33,34,33,33,2.0
51,59,30,38,33,62,54,41,33,62,54,41,33,41,33,41,2.0
57,61,30,31,32,63,61,35,32,63,60,34,32,35,32,34,2.0
60,61,28,28,31,64,64,32,31,64,63,31,31,32,31,31,2.0
58,59,31,31,34,62,61,34,33,61,61,34,34,34,33,34,1.0
55,61,30,36,32,63,57,38,32,63,57,38,32,38,32,38,2.0
59,57,30,29,34,61,63,33,34,61,62,32,34,33,34,32,1.0
62,63,27,28,30,66,65,31,29,65,64,30,30,31,29,30,2.0
57,55,36,34,38,57,59,36,38,57,59,36,38,36,38,36,2.0
59,61,30,28,32,63,63,32,32,63,63,32,32,32,32,32,1.0
53,57,32,35,35,60,57,39,35,60,56,38,35,39,35,38,2.0
60,57,32,29,35,60,63,32,35,60,63,32,35,32,35,32,1.0
55,62,27,34,30,65,58,37,30,65,58,37,30,37,30,37,2.0
54,62,29,30,31,64,60,36,31,64,59,35,31,36,31,35,2.0
59,58,33,32,35,60,61,34,35,60,61,34,35,34,35,34,1.0
53,57,32,35,35,60,57,39,35,60,56,38,35,39,35,38,2.0
60,59,28,28,32,63,64,32,32,63,63,31,32,32,32,31,1.0
61,57,34,27,36,59,65,31,36,59,64,30,36,31,36,30,1.0
58,57,30,30,34,61,62,34,34,61,61,33,34,34,34,33,1.0
56,51,39,34,42,54,59,37,41,53,58,36,42,37,41,36,1.0
49,61,28,37,31,64,54,42,31,64,53,41,31,42,31,41,2.0
49,64,27,40,29,66,52,43,29,66,52,43,29,43,29,43,2.0
54,65,26,34,28,67,58,38,28,67,57,37,28,38,28,37,1.0
59,52,37,30,40,55,62,33,40,55,62,33,40,33,40,33,1.0
58,58,33,28,35,60,63,33,35,60,62,32,35,33,35,32,2.0
59,57,34,32,36,59,61,34,36,59,61,34,36,34,36,34,2.0
59,63,28,29,30,65,63,33,30,65,62,32,30,33,30,32,2.0
50,62,29,38,31,64,54,42,31,64,53,41,31,42,31,41,2.0
58,57,32,31,35,60,61,34,35,60,61,34,35,34,35,34,2.0
55,65,26,33,28,67,59,37,28,67,58,36,28,37,28,36,1.0
60,66,23,28,26,69,64,32,26,69,63,31,26,32,26,31,1.0
57,56,35,34,37,58,59,36,37,58,59,36,37,36,37,36,2.0
60,61,30,28,32,63,64,32,32,63,63,31,32,32,32,31,2.0
