@relation 'Sax dominant'

@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute destClass {1.0,2.0}

@data
32,56,18,75,16,18,75,34,55,34,56,55,36,54,36,48,48,31,74,39,52,38,51,17,76,17,76,71,21,17,71,21,52,40,69,33,51,39,38,49,73,19,73,19,55,21,39,40,38,39,69,21,18,55,55,21,55,19,73,17,34,40,18,52,18,74,54,21,16,76,18,56,17,56,39,36,55,33,52,21,48,39,39,39,54,19,18,21,17,55,34,21,17,21,38,21,18,40,39,21,17,39,17,40,18,21,18,55,18,21,38,19,38,17,38,40,55,21,18,21,38,36,34,39,38,39,18,36,38,21,34,21,1.0
32,54,16,77,14,16,77,36,54,36,54,58,33,58,32,52,46,32,76,40,50,40,50,15,78,15,78,70,21,15,70,20,55,36,67,29,55,35,40,46,74,18,73,17,59,21,40,36,40,35,68,20,16,54,58,21,59,18,73,15,36,36,16,50,16,76,58,20,14,78,16,54,15,54,40,33,58,29,55,21,52,36,40,36,58,17,16,20,15,54,36,21,15,21,40,20,16,36,40,21,15,35,15,36,16,20,16,54,16,21,40,17,40,15,40,36,58,21,16,21,40,32,36,35,40,36,16,33,40,20,36,20,1.0
27,61,19,74,17,19,74,30,61,30,61,55,37,54,36,48,55,27,73,33,58,33,58,18,75,18,75,70,23,17,69,21,51,40,67,33,51,39,33,55,73,20,71,19,55,22,33,40,33,39,67,22,19,61,55,23,55,20,72,17,30,40,19,58,19,73,54,21,17,75,19,61,18,61,33,37,54,33,51,23,48,40,33,40,54,19,19,21,18,61,30,23,18,23,33,21,19,40,33,23,18,39,18,40,19,21,19,61,19,23,33,19,33,17,33,40,54,23,19,23,33,36,30,39,33,40,19,37,33,21,30,21,2.0
34,54,22,69,19,23,69,37,53,37,54,50,40,50,40,42,48,34,67,37,51,39,51,21,71,21,71,71,19,11,71,18,46,41,67,36,46,43,40,48,76,15,75,14,50,19,40,44,40,44,68,19,23,54,50,19,50,15,75,11,37,44,23,51,23,67,50,18,19,71,23,54,21,54,40,40,50,36,46,19,42,44,37,44,50,14,23,18,21,54,37,19,21,19,40,18,23,44,40,19,21,44,21,44,23,18,23,53,23,19,40,14,40,11,40,41,50,19,23,19,40,40,37,44,39,44,23,40,40,18,37,18,2.0
36,54,24,67,18,24,67,38,54,38,54,54,36,55,36,49,50,36,64,40,52,40,52,21,70,21,70,73,17,13,73,18,52,39,70,33,52,39,40,50,76,15,76,15,54,18,40,39,40,39,71,18,24,54,55,18,55,15,76,13,38,39,24,52,24,64,55,18,18,70,24,54,21,54,40,36,55,33,52,18,49,39,40,39,55,15,24,18,21,54,38,18,21,18,40,18,24,39,40,18,21,39,21,39,24,18,24,54,24,18,40,15,40,13,40,39,55,17,24,18,40,36,38,39,40,39,24,36,40,18,38,18,1.0
31,59,22,70,18,22,70,33,59,33,59,55,35,56,34,50,55,31,68,35,57,35,57,20,72,20,72,73,17,15,73,19,53,38,71,31,53,37,35,55,75,16,75,17,55,19,35,38,35,37,71,18,22,59,56,19,57,17,75,15,33,38,22,57,22,68,56,19,18,72,22,59,20,59,35,35,56,31,53,19,50,38,35,38,56,17,22,19,20,59,33,19,20,19,35,19,22,38,35,19,20,37,20,38,22,19,22,59,22,19,35,17,35,15,35,38,56,17,22,19,35,34,33,37,35,38,22,35,35,19,33,19,1.0
33,55,22,70,18,22,70,36,55,36,55,52,39,52,39,46,49,33,68,39,52,39,52,20,72,20,72,66,26,21,66,25,49,42,64,36,49,42,39,49,69,24,68,23,52,26,39,42,39,42,64,26,22,55,52,26,52,24,68,21,36,42,22,52,22,68,52,25,18,72,22,55,20,55,39,39,52,36,49,26,46,42,39,42,52,23,22,25,20,55,36,26,20,26,39,25,22,42,39,26,20,42,20,42,22,25,22,55,22,26,39,23,39,21,39,42,52,26,22,26,39,39,36,42,39,42,22,39,39,25,36,25,2.0
34,56,25,66,19,25,66,36,56,36,56,55,35,56,34,50,52,34,63,38,54,38,54,22,69,22,69,72,18,16,72,20,53,38,70,31,53,37,38,52,74,17,74,18,55,20,38,38,38,37,70,19,25,56,56,20,57,18,74,16,36,38,25,54,25,63,56,20,19,69,25,56,22,56,38,35,56,31,53,20,50,38,38,38,56,18,25,20,22,56,36,20,22,20,38,20,25,38,38,20,22,37,22,38,25,20,25,56,25,20,38,18,38,16,38,38,56,18,25,20,38,34,36,37,38,38,25,35,38,20,36,20,1.0
25,65,18,75,16,18,75,27,64,27,65,57,34,56,34,50,60,25,74,30,63,29,62,17,76,17,76,70,21,15,70,21,54,38,67,31,53,37,29,60,73,18,73,18,57,21,30,38,29,37,67,21,18,64,57,21,57,18,73,15,27,38,18,63,18,74,56,21,16,76,18,65,17,65,30,34,57,31,54,21,50,37,30,37,56,18,18,21,17,64,27,21,17,21,29,21,18,38,30,21,17,37,17,38,18,21,18,64,18,21,29,18,29,15,29,38,57,21,18,21,29,34,27,37,29,37,18,34,29,21,27,21,2.0
35,53,19,73,15,19,73,38,53,38,53,54,36,55,36,49,47,35,71,41,50,41,50,17,75,17,75,68,21,14,68,22,52,39,65,33,52,39,41,47,72,18,72,18,54,22,41,39,41,39,65,22,19,53,55,22,55,18,72,15,38,39,19,50,19,71,55,22,15,75,19,53,17,53,41,36,55,33,52,22,49,39,41,39,55,18,19,22,17,53,38,22,17,22,41,22,19,39,41,22,17,39,17,39,19,22,19,53,19,22,41,18,41,15,41,39,55,21,19,22,41,36,38,39,41,39,19,36,41,22,38,22,1.0
