@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atLkk numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMak numeric
@attribute o1atLak numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute destClass {1,3,2}

@data
17,73,46,31,76,12,81,7,52,26,21,58,58,19,24,44,29,24,31,3,30,35,44,33,70,12,12,64,91,3,82,10,26,60,2,89,6,3,94,31,51,38,38,6,82,65,17,69,11,42,29,9,64,10,47,46,20,12,35,1,4,47,24,59,21,28,47,90,4,68,17,38,43,8,82,81,3,26,33,59,12,52,26,58,22,46,11,82,4,58,11,48,2,58,3,70,4,69,3,12,47,90,3,83,2,82,3,30,4,30,24,47,4,89,3,90,3,59,4,47,12,13,3,71,2,0,95,60,2,12,12,12,35,46,3,0,0,95,0,64,1,3,0,94,0,94,0,47,0,47,59,3,0,82,29,12,70,3,0,48,92,2,0,25,0,4,0,94,12,24,0,24,12,24,0,83,0,82,0,65,0,12,12,12,1
19,94,51,30,74,12,79,8,56,22,25,60,61,18,28,44,33,23,35,3,34,31,47,31,71,11,0,60,91,3,80,10,28,60,2,87,6,0,94,36,45,41,35,0,94,66,16,70,11,45,25,0,60,0,44,48,20,0,31,1,4,50,23,61,20,34,44,89,4,68,14,45,38,0,94,80,4,31,31,63,13,54,26,60,19,49,12,81,5,62,11,51,2,62,4,71,5,70,4,0,44,89,3,82,2,81,3,34,5,34,23,50,5,88,3,90,3,63,5,50,13,1,3,72,2,0,95,64,2,0,13,0,31,49,4,0,0,95,0,60,1,3,0,94,0,94,0,44,0,44,63,3,0,94,33,13,71,3,0,45,92,2,0,24,0,5,0,94,0,23,0,23,0,23,0,95,0,94,0,61,0,13,0,13,3
9,94,60,29,84,7,86,5,66,19,18,74,68,10,19,38,20,12,21,3,20,24,56,24,82,7,0,74,91,3,87,5,18,74,2,89,4,0,94,47,63,51,36,0,94,80,8,81,5,54,23,0,74,0,38,55,12,0,24,1,4,56,12,70,12,20,38,90,4,80,11,51,36,0,94,86,3,20,24,70,7,69,19,77,14,55,7,87,4,69,6,57,3,69,3,82,4,81,3,0,38,90,3,88,2,87,3,20,4,20,12,56,4,89,3,90,3,70,4,56,7,1,3,83,2,0,95,71,2,0,7,0,24,55,4,0,0,95,0,74,1,3,0,94,0,94,0,38,0,38,70,3,0,94,20,7,82,3,0,39,92,2,0,13,0,4,0,94,0,12,0,12,0,12,0,95,0,94,0,75,0,7,0,7,1
17,87,48,35,80,12,83,5,52,25,21,60,58,18,26,49,31,24,33,3,32,33,43,31,70,8,4,62,91,3,84,6,25,61,2,87,4,1,94,29,47,36,39,2,90,66,15,69,6,38,27,3,62,4,50,43,19,4,33,1,4,44,24,60,23,30,50,89,4,67,17,38,43,3,90,84,4,27,33,61,9,54,27,58,20,43,8,85,5,60,8,45,2,60,4,70,5,69,4,4,50,89,3,86,2,85,3,32,5,32,24,44,5,88,3,90,3,61,5,44,9,5,3,71,2,0,95,62,2,4,9,4,33,43,4,0,0,95,0,62,1,3,0,94,0,94,0,50,0,50,61,3,0,90,31,9,70,3,0,51,92,2,0,25,0,5,0,94,4,24,0,24,4,24,0,91,0,90,0,63,0,9,4,9,3
16,94,53,30,81,8,84,6,59,21,23,64,62,12,25,42,29,16,31,4,30,30,52,30,78,8,0,64,90,4,85,7,29,64,3,88,5,0,94,40,50,43,35,0,94,75,11,77,7,48,25,0,64,0,42,51,13,0,30,1,5,52,16,63,16,30,42,89,5,76,12,48,41,0,94,84,4,27,30,64,9,60,26,70,19,51,8,85,5,63,8,53,3,63,4,78,5,77,4,0,42,89,4,86,3,85,4,30,5,30,16,52,5,88,4,89,4,64,5,52,9,1,4,79,3,0,95,65,3,0,9,0,30,51,4,0,0,95,0,64,1,4,0,94,0,94,0,42,0,42,64,4,0,94,29,9,78,4,0,43,91,3,0,17,0,5,0,94,0,16,0,16,0,16,0,95,0,94,0,65,0,9,0,9,2
20,90,38,32,82,7,83,5,50,28,24,59,53,12,27,46,33,15,35,3,34,39,47,34,77,8,2,60,91,3,84,4,28,59,2,85,4,0,94,32,46,36,37,1,92,76,10,77,6,44,32,1,60,2,47,46,12,2,39,1,4,47,15,55,15,29,47,88,4,75,14,34,41,1,92,85,4,31,39,55,8,54,26,71,22,46,7,86,4,53,7,48,2,54,5,79,6,78,4,2,47,88,3,87,2,86,3,34,6,34,15,47,6,87,3,90,3,55,6,47,8,3,3,80,2,0,95,56,2,2,8,2,39,46,5,0,0,95,0,60,1,3,0,94,0,94,0,47,0,47,55,3,0,92,33,8,79,3,0,48,92,2,0,16,0,6,0,94,2,15,0,15,2,15,0,93,0,92,0,61,0,8,2,8,1
3,94,65,26,84,7,86,5,70,17,10,84,72,11,10,36,10,12,11,3,10,21,57,21,82,7,0,84,91,3,87,5,9,84,2,89,4,0,94,48,77,54,36,0,94,80,9,81,6,57,21,0,84,0,36,57,12,0,21,1,4,58,12,73,11,10,36,90,4,80,10,54,35,0,94,86,3,10,21,73,7,71,17,77,13,57,7,87,4,72,6,59,3,72,3,82,4,81,3,0,36,90,3,88,2,87,3,10,4,10,12,58,4,89,3,90,3,73,4,58,7,1,3,83,2,0,95,74,2,0,7,0,21,57,4,0,0,95,0,84,1,3,0,94,0,94,0,36,0,36,73,3,0,94,10,7,82,3,0,37,92,2,0,13,0,4,0,94,0,12,0,12,0,12,0,95,0,94,0,85,0,7,0,7,1
10,94,58,27,81,8,84,6,62,20,18,74,65,14,19,37,20,17,21,4,20,27,56,26,77,9,0,74,90,4,85,7,18,74,3,88,5,0,94,47,64,50,35,0,94,74,12,76,7,54,26,0,74,0,37,56,17,0,27,1,5,57,17,67,16,19,37,89,5,75,14,53,35,0,94,84,4,20,27,67,9,64,23,68,18,56,9,85,5,66,8,58,4,66,4,77,5,76,4,0,37,89,4,86,3,85,4,20,5,20,17,57,5,88,4,89,4,67,5,57,9,1,4,78,3,0,95,68,3,0,9,0,27,56,5,0,0,95,0,74,1,4,0,94,0,94,0,37,0,37,67,4,0,94,20,9,77,4,0,38,91,3,0,18,0,5,0,94,0,17,0,17,0,17,0,95,0,94,0,75,0,9,0,9,1
17,76,44,36,83,8,84,3,53,24,21,59,56,15,24,48,29,19,31,3,30,36,41,36,73,7,7,64,91,3,84,4,24,60,2,85,3,0,94,28,51,31,42,4,85,71,14,72,5,39,30,6,64,8,51,42,17,9,36,1,4,43,19,58,17,30,49,88,3,72,14,39,45,5,85,86,3,28,35,58,7,53,32,64,22,42,6,87,4,56,6,44,2,57,5,75,6,74,4,9,51,88,3,88,2,87,3,30,6,30,19,43,6,87,3,90,3,58,6,43,7,10,3,76,2,0,95,59,2,9,7,9,36,42,5,0,0,95,0,64,1,3,0,94,0,94,0,51,0,51,58,3,0,85,29,7,75,3,0,52,92,2,0,20,0,6,0,94,9,19,0,19,9,19,0,86,0,85,0,65,0,7,9,7,3
8,94,58,29,81,6,84,6,64,17,14,77,66,10,15,39,17,12,18,4,17,25,55,25,82,8,0,77,90,3,85,5,17,77,3,89,5,0,94,45,68,47,36,0,94,79,7,81,6,53,23,0,77,0,39,54,12,0,25,1,5,55,12,68,12,17,39,89,4,78,10,52,39,0,94,84,3,17,25,69,9,67,22,76,14,54,9,85,4,68,8,56,4,68,3,82,4,81,3,0,39,90,4,86,3,85,4,17,4,17,12,55,4,89,3,89,3,69,4,55,9,1,4,83,3,0,95,70,3,0,9,0,25,54,4,0,0,95,0,77,1,4,0,94,0,94,0,39,0,39,69,4,0,94,17,9,82,4,0,40,91,3,0,13,0,4,0,94,0,12,0,12,0,12,0,95,0,94,0,78,0,9,0,9,3
