@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute destClass {1,3,2}

@data
8,68,55,13,78,15,24,69,27,18,77,17,26,68,26,17,1
10,66,58,12,76,18,23,71,25,20,75,19,24,70,24,19,3
6,78,84,2,84,11,6,89,7,12,83,11,6,88,6,11,1
9,65,57,13,76,18,24,70,26,20,75,19,25,69,25,19,3
7,75,77,3,82,13,10,85,11,14,81,13,10,84,10,13,2
6,76,60,12,83,12,23,72,24,13,82,12,23,71,23,12,1
5,81,90,0,86,9,2,93,3,10,85,9,2,92,2,9,1
6,76,84,2,83,12,6,89,7,13,82,12,6,88,6,12,1
6,76,61,9,83,11,20,74,22,13,82,12,21,73,21,12,3
6,80,85,1,85,10,5,90,6,11,84,10,5,89,5,10,3
5,79,67,5,85,9,15,79,17,11,84,10,16,78,16,10,1
5,79,70,6,85,9,14,80,16,11,84,10,15,79,15,10,3
10,64,57,13,75,19,24,70,26,21,74,20,25,69,25,20,2
5,79,86,0,85,10,4,91,5,11,84,10,4,90,4,10,3
6,80,90,0,85,10,2,93,3,11,84,10,2,92,2,10,1
8,74,94,0,81,14,0,95,1,15,80,14,0,94,0,14,1
8,78,66,10,83,12,19,76,20,13,82,12,19,75,19,12,3
6,80,85,1,85,10,5,90,6,11,84,10,5,89,5,10,3
8,70,70,4,79,16,14,81,15,17,78,16,14,80,14,16,3
11,61,61,11,73,21,21,73,23,23,72,22,22,72,22,22,3
8,68,56,14,78,16,25,69,27,18,77,17,26,68,26,17,2
4,80,62,10,86,8,20,74,22,10,85,9,21,73,21,9,3
4,78,59,13,85,9,23,71,25,11,84,10,24,70,24,10,3
10,70,55,13,78,16,25,69,27,18,77,17,26,68,26,17,2
8,70,76,4,79,16,11,84,12,17,78,16,11,83,11,16,2
7,71,73,3,80,15,12,83,13,16,79,15,12,82,12,15,1
6,80,86,0,85,10,4,91,5,11,84,10,4,90,4,10,3
11,69,57,13,77,17,24,70,26,19,76,18,25,69,25,18,3
11,71,60,10,78,16,21,73,23,18,77,17,22,72,22,17,2
8,68,56,12,78,16,24,70,26,18,77,17,25,69,25,17,3
5,77,59,11,84,10,22,72,24,12,83,11,23,71,23,11,3
8,74,94,0,81,14,0,95,1,15,80,14,0,94,0,14,1
5,81,83,1,86,9,6,89,7,10,85,9,6,88,6,9,1
9,69,58,12,78,16,23,71,25,18,77,17,24,70,24,17,3
4,80,64,10,86,9,20,75,21,10,85,9,20,74,20,9,1
8,78,69,5,83,12,15,80,16,13,82,12,15,79,15,12,3
6,76,62,12,83,12,22,73,23,13,82,12,22,72,22,12,1
9,61,56,12,74,19,23,70,26,22,73,21,25,69,25,21,3
13,65,57,13,74,20,24,70,26,22,73,21,25,69,25,21,1
11,69,59,11,77,17,22,72,24,19,76,18,23,71,23,18,3
6,80,88,0,85,10,3,92,4,11,84,10,3,91,3,10,3
8,78,67,9,83,12,18,77,19,13,82,12,18,76,18,12,3
13,65,59,11,74,20,22,72,24,22,73,21,23,71,23,21,2
7,73,61,13,81,14,23,72,24,15,80,14,23,71,23,14,2
8,70,82,4,79,16,8,87,9,17,78,16,8,86,8,16,1
5,79,71,3,85,10,13,82,14,11,84,10,13,81,13,10,3
11,69,59,11,77,17,22,72,24,19,76,18,23,71,23,18,2
10,62,61,11,74,20,21,73,23,22,73,21,22,72,22,21,2
12,68,57,13,76,18,24,70,26,20,75,19,25,69,25,19,3
10,76,67,9,81,14,18,77,19,15,80,14,18,76,18,14,3
11,65,59,11,75,19,22,72,24,21,74,20,23,71,23,20,3
9,67,57,9,77,16,21,72,24,19,76,18,23,71,23,18,2
5,77,66,10,84,11,19,76,20,12,83,11,19,75,19,11,3
9,65,58,12,76,18,23,71,25,20,75,19,24,70,24,19,3
9,77,65,5,82,13,17,78,18,14,81,13,17,77,17,13,2
4,78,61,13,85,10,23,72,24,11,84,10,23,71,23,10,2
7,73,68,6,81,14,16,79,17,15,80,14,16,78,16,14,3
9,67,57,11,77,17,23,71,25,19,76,18,24,70,24,18,2
5,79,60,12,85,9,22,72,24,11,84,10,23,71,23,10,3
6,80,80,2,85,10,8,87,9,11,84,10,8,86,8,10,3
12,68,54,14,76,17,25,68,28,20,75,19,27,67,27,19,3
7,79,90,0,84,11,2,93,3,12,83,11,2,92,2,11,1
3,81,77,3,87,8,10,85,11,9,86,8,10,84,10,8,3
13,67,58,12,75,19,23,71,25,21,74,20,24,70,24,20,3
9,77,68,10,82,13,18,77,19,14,81,13,18,76,18,13,3
8,78,78,4,83,12,10,85,11,13,82,12,10,84,10,12,1
9,69,63,9,78,16,19,75,21,18,77,17,20,74,20,17,3
10,64,58,12,75,19,23,71,25,21,74,20,24,70,24,20,3
9,65,57,15,76,18,25,69,27,20,75,19,26,68,26,19,3
