@relation 'Sax dominant'

@attribute o1atLee numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMaa numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute destClass {1,3,2}

@data
4,86,20,52,43,23,94,89,5,31,57,62,25,36,31,38,6,1,7,37,31,88,6,63,28,34,57,64,5,63,6,37,6,0,95,0,0,58,0,57,0,32,0,31,0,94,1
4,84,14,56,40,26,94,88,5,33,54,66,19,39,26,41,7,1,8,40,26,87,7,68,25,39,54,69,6,68,7,40,7,0,95,0,0,55,0,54,0,27,0,26,0,94,3
3,87,9,71,47,19,94,90,3,31,61,76,14,32,16,34,5,1,6,33,16,89,4,77,16,33,61,79,4,78,5,33,5,0,95,0,0,62,0,61,0,17,0,16,0,94,1
3,85,14,56,41,23,94,89,4,32,56,66,20,37,26,39,6,1,7,38,26,88,5,67,26,38,56,69,5,68,6,38,6,0,95,0,0,57,0,56,0,27,0,26,0,94,3
4,86,9,65,38,30,94,89,5,39,51,74,15,42,19,44,6,1,7,43,19,88,6,75,18,42,51,76,5,75,6,43,6,0,95,0,0,52,0,51,0,20,0,19,0,94,2
3,85,14,56,40,24,94,89,4,33,55,66,20,38,26,40,6,1,7,39,26,88,5,67,26,39,55,69,5,68,6,39,6,0,95,0,0,56,0,55,0,27,0,26,0,94,1
3,87,10,76,47,19,94,90,3,33,61,78,14,33,14,34,5,1,6,33,14,89,5,80,13,32,61,81,5,80,5,33,5,0,95,0,0,62,0,61,0,15,0,14,0,94,1
4,88,12,66,35,39,94,90,4,46,45,73,17,48,20,50,5,1,6,49,20,89,5,74,20,49,45,75,4,74,5,49,5,0,95,0,0,46,0,45,0,21,0,20,0,94,1
3,85,14,54,44,22,94,89,4,31,58,65,22,35,27,37,6,1,7,36,27,88,5,66,26,35,58,68,5,67,6,36,6,0,95,0,0,59,0,58,0,28,0,27,0,94,3
4,88,10,66,36,36,94,90,4,44,47,74,16,46,19,48,5,1,6,47,19,89,5,75,19,47,47,76,4,75,5,47,5,0,95,0,0,48,0,47,0,20,0,19,0,94,3
3,83,15,67,47,19,94,88,6,32,61,72,20,32,21,34,7,1,8,32,21,87,6,72,19,31,61,74,6,73,6,33,7,0,95,0,0,62,0,61,0,22,0,21,0,94,1
3,83,15,67,49,21,94,88,6,32,61,72,20,32,21,34,7,1,8,32,21,87,6,72,19,31,61,74,6,73,6,33,7,0,95,0,0,62,0,61,0,22,0,21,0,94,3
4,84,15,55,39,29,94,88,6,35,52,66,20,41,27,43,7,1,8,42,27,87,7,67,25,40,52,68,6,67,7,42,7,0,95,0,0,53,0,52,0,28,0,27,0,94,2
3,87,14,72,43,23,94,90,4,36,57,75,17,36,18,38,5,1,6,37,18,89,5,76,16,35,57,77,4,76,5,37,5,0,95,0,0,58,0,57,0,19,0,18,0,94,3
3,89,7,77,51,19,94,91,3,31,63,81,12,31,12,32,4,1,5,31,12,90,4,82,12,31,63,83,4,82,4,31,4,0,95,0,0,64,0,63,0,13,0,12,0,94,1
5,83,11,65,27,45,94,87,7,51,38,73,15,55,20,57,8,1,9,56,20,86,7,73,18,54,38,75,7,74,8,56,8,0,95,0,0,39,0,38,0,21,0,20,0,94,1
3,85,14,66,43,25,94,89,5,37,56,72,20,37,21,39,6,1,7,38,21,88,5,72,20,37,56,74,5,73,6,38,6,0,95,0,0,57,0,56,0,22,0,21,0,94,3
3,87,9,77,54,14,94,90,3,27,67,79,13,27,13,28,5,1,6,27,13,89,5,81,13,27,67,82,5,81,5,27,5,0,95,0,0,68,0,67,0,14,0,13,0,94,3
4,86,15,61,36,34,94,89,5,41,48,69,19,45,24,47,6,1,7,46,24,88,6,70,22,44,48,71,5,70,6,46,6,0,95,0,0,49,0,48,0,25,0,24,0,94,3
3,87,14,56,42,22,94,90,4,31,57,67,20,36,26,38,5,1,6,37,26,89,5,68,26,37,57,69,4,68,5,37,5,0,95,0,0,58,0,57,0,27,0,26,0,94,3
4,84,17,57,40,26,94,88,6,35,54,66,22,39,27,41,7,1,8,40,27,87,7,67,25,38,54,68,6,67,7,40,7,0,95,0,0,55,0,54,0,28,0,27,0,94,2
3,85,14,64,44,22,94,89,5,33,58,71,19,35,22,37,6,1,7,36,22,88,5,71,22,36,58,73,5,72,6,36,6,0,95,0,0,59,0,58,0,23,0,22,0,94,3
3,85,11,57,44,22,94,89,4,31,58,68,19,35,24,37,6,1,7,36,24,88,4,68,24,36,58,71,5,70,6,36,6,0,95,0,0,59,0,58,0,25,0,24,0,94,3
4,86,18,54,42,26,94,89,5,33,55,64,23,38,29,40,6,1,7,39,29,88,6,65,28,38,55,66,5,65,6,39,6,0,95,0,0,56,0,55,0,30,0,29,0,94,2
4,86,13,63,37,31,94,89,5,41,50,71,19,43,22,45,6,1,7,44,22,88,6,72,20,42,50,73,5,72,6,44,6,0,95,0,0,51,0,50,0,23,0,22,0,94,2
