@relation 'Sax dominant'

@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atLeee numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMdbd numeric
@attribute o1atLdbd numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMaaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMaed numeric
@attribute o1atLaed numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMaec numeric
@attribute o1atLaec numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaeb numeric
@attribute o1atLaeb numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMada numeric
@attribute o1atLada numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute destClass {1,3,2}

@data
1,4,13,56,85,5,34,28,30,24,42,31,28,43,24,42,3,62,14,88,4,52,23,51,18,14,30,62,18,36,4,20,57,18,56,60,15,34,19,37,20,12,93,46,23,86,5,33,19,23,5,84,13,63,6,22,30,23,31,28,34,60,5,52,3,25,27,46,5,62,5,34,3,63,4,34,6,63,3,31,23,37,4,23,6,86,3,62,3,88,3,37,6,29,25,62,5,52,6,36,14,0,31,88,3,63,3,0,0,94,0,57,0,43,0,57,0,6,0,57,0,57,0,25,0,5,0,6,0,20,0,31,0,94,0,6,0,31,0,31,0,94,0,93,0,31,1
1,4,18,53,83,5,39,25,32,18,45,29,33,40,26,39,3,66,9,87,4,56,20,54,12,19,25,66,14,39,4,25,54,21,53,63,9,37,13,40,14,16,93,51,19,84,5,38,14,26,6,81,8,68,7,25,25,26,26,32,33,64,6,56,4,28,24,51,6,66,5,39,4,68,4,39,7,68,3,33,20,40,4,26,7,84,3,66,3,87,3,40,7,34,19,66,5,56,7,39,9,0,26,87,3,68,3,0,0,94,0,54,0,40,0,54,0,7,0,54,0,54,0,19,0,5,0,7,0,14,0,26,0,94,0,7,0,26,0,26,0,94,0,93,0,26,3
1,3,16,60,86,3,33,16,31,13,65,36,33,47,29,46,2,75,6,89,3,71,16,69,11,16,15,77,9,32,2,19,61,18,60,74,7,32,8,33,9,13,93,67,14,87,4,32,12,19,4,85,5,77,4,19,15,19,16,31,44,75,3,71,3,29,15,68,4,76,5,33,4,78,3,33,5,77,2,31,16,33,3,19,5,87,2,76,2,89,2,33,4,33,14,78,3,71,5,32,6,0,16,89,2,78,2,0,0,94,0,61,0,47,0,61,0,4,0,61,0,61,0,14,0,3,0,5,0,9,0,16,0,94,0,5,0,16,0,16,0,94,0,93,0,16,1
1,3,15,55,84,4,38,26,31,19,45,28,31,41,23,40,2,65,9,88,3,56,19,54,12,15,25,66,14,37,3,23,56,18,55,63,10,35,13,38,14,13,93,50,20,85,4,37,13,23,5,82,8,67,5,22,25,23,26,32,33,64,4,56,3,25,25,51,5,66,5,38,3,68,3,38,6,67,2,32,19,38,3,23,6,85,2,66,2,88,2,38,5,31,20,67,4,56,6,37,9,0,26,88,2,68,2,0,0,94,0,56,0,41,0,56,0,5,0,56,0,56,0,20,0,4,0,6,0,14,0,26,0,94,0,6,0,26,0,26,0,94,0,93,0,26,3
1,4,22,50,85,5,42,18,38,14,56,28,39,38,32,37,3,74,6,88,4,65,16,64,9,23,18,73,9,42,4,29,51,26,50,72,6,40,8,43,9,20,93,62,15,86,4,41,9,30,5,84,5,75,6,29,18,30,19,38,31,72,5,65,3,33,17,62,5,74,4,42,3,75,4,42,6,75,3,39,16,43,4,30,6,86,3,74,3,88,3,43,6,40,15,73,5,65,6,42,6,0,19,88,3,75,3,0,0,94,0,51,0,38,0,51,0,6,0,51,0,51,0,15,0,5,0,6,0,9,0,19,0,94,0,6,0,19,0,19,0,94,0,93,0,19,2
1,3,16,54,84,3,38,26,32,19,45,27,31,40,25,39,2,65,9,88,2,55,18,55,13,16,25,66,14,38,3,24,55,19,54,64,10,36,13,38,14,14,93,51,20,85,4,38,14,24,5,82,8,67,5,23,25,24,26,33,32,65,4,56,3,27,25,51,5,66,4,39,3,68,3,39,6,67,3,33,18,39,3,24,6,85,2,66,2,88,2,39,5,31,20,66,4,56,5,38,9,0,26,88,2,68,2,0,0,94,0,55,0,40,0,55,0,5,0,55,0,55,0,20,0,4,0,6,0,14,0,26,0,94,0,6,0,26,0,26,0,94,0,93,0,26,1
1,3,15,60,86,3,32,13,33,13,72,35,32,46,32,46,2,78,7,89,3,76,12,74,12,15,13,80,9,33,2,19,60,19,60,76,9,33,9,33,10,12,93,73,12,87,5,32,12,19,4,85,7,80,5,19,13,19,14,32,42,77,4,76,4,32,12,73,4,78,5,32,4,80,3,32,5,80,2,33,13,33,3,19,5,87,2,78,2,89,2,33,5,32,13,80,3,76,5,33,7,0,14,89,2,80,2,0,0,94,0,61,0,47,0,61,0,5,0,60,0,61,0,14,0,3,0,5,0,10,0,14,0,94,0,5,0,14,0,14,0,94,0,93,0,14,1
1,4,31,44,87,4,49,20,45,16,59,26,45,35,41,34,3,73,10,89,4,66,16,65,13,31,19,74,12,48,3,39,45,36,44,72,10,47,11,49,12,30,93,64,17,88,5,48,13,39,4,87,9,74,5,38,19,39,20,46,27,72,4,66,3,42,19,64,4,73,5,49,3,74,4,49,5,74,3,46,16,49,4,39,5,88,3,73,3,89,3,49,5,45,17,74,4,66,5,48,10,0,20,89,3,74,3,0,0,94,0,45,0,35,0,45,0,5,0,45,0,45,0,17,0,4,0,5,0,12,0,20,0,94,0,5,0,20,0,20,0,94,0,93,0,20,1
1,3,12,57,84,4,35,26,30,21,43,31,29,44,22,43,2,64,9,88,3,54,21,53,13,13,26,65,14,35,3,21,58,18,57,63,10,33,13,36,14,12,93,48,22,85,4,34,14,22,5,82,7,66,5,21,26,22,27,30,35,64,4,54,3,23,25,49,5,65,5,35,3,67,3,35,6,66,3,31,21,36,3,22,6,85,2,65,2,88,2,36,5,30,22,66,4,54,6,35,9,0,27,88,2,67,2,0,0,94,0,58,0,44,0,58,0,5,0,58,0,58,0,22,0,4,0,6,0,14,0,27,0,94,0,6,0,27,0,27,0,94,0,93,0,27,3
1,4,28,46,87,4,47,19,43,15,58,27,42,36,39,35,3,74,6,89,4,66,14,65,11,28,18,74,10,46,3,36,47,33,46,73,7,45,9,47,10,26,93,62,16,88,4,46,11,36,4,87,5,75,5,35,18,36,19,44,28,73,4,66,3,39,18,62,4,74,4,47,3,75,4,47,5,75,3,44,14,47,4,36,5,88,3,74,3,89,3,47,5,42,16,74,4,66,5,46,6,0,19,89,3,75,3,0,0,94,0,47,0,36,0,47,0,5,0,47,0,47,0,16,0,4,0,5,0,10,0,19,0,94,0,5,0,19,0,19,0,94,0,93,0,19,3
