@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atLcc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atLcc numeric
@attribute destClass {1,3,2}

@data
8,13,21,3,18,12,6,25,7,13,18,13,6,24,6,13,5,25,17,8,21,28,2,9,3,10,22,28,3,0,28,16,5,9,21,30,1,10,2,10,21,29,1,0,1
10,11,23,1,16,13,3,27,5,15,16,15,4,26,4,15,6,27,17,10,21,29,2,10,2,10,21,29,2,0,26,18,5,9,22,29,3,9,3,9,22,28,2,0,3
6,19,30,0,22,8,0,31,1,9,22,9,0,30,0,9,0,31,28,1,29,31,0,1,0,2,30,31,0,0,26,25,2,4,27,29,3,4,3,4,27,28,2,0,1
8,13,22,2,18,12,5,26,6,13,18,13,5,25,5,13,5,26,18,9,22,28,3,9,3,9,22,28,3,1,24,17,6,9,21,28,3,10,4,10,21,27,3,0,3
7,16,26,0,20,10,2,29,3,11,20,11,2,28,2,11,0,29,26,2,28,30,1,2,1,3,29,30,1,0,28,24,3,5,26,30,2,5,2,5,26,29,1,0,2
6,19,22,2,22,8,5,26,6,9,22,9,5,25,5,9,4,31,19,8,23,31,0,8,0,8,23,31,0,0,24,19,6,9,22,28,4,9,4,9,22,27,3,0,1
5,22,30,0,24,6,0,31,1,7,24,7,0,30,0,7,0,31,29,1,30,31,0,1,0,1,30,31,0,0,26,29,0,1,30,29,3,1,3,1,30,28,2,0,1
6,17,30,0,21,9,0,31,1,10,21,10,0,30,0,10,0,31,28,1,29,31,0,1,0,2,30,31,0,0,26,25,2,4,27,29,3,4,3,4,27,28,2,0,1
6,19,24,0,22,8,3,28,4,9,22,9,3,27,3,9,4,31,18,8,22,31,0,8,0,9,23,31,0,0,24,18,5,8,22,28,3,9,4,9,22,27,3,0,3
6,19,28,0,22,8,1,30,2,9,22,9,1,29,1,9,0,31,30,0,30,31,0,0,0,1,31,31,0,0,28,26,1,3,28,30,2,3,2,3,28,29,1,0,3
4,23,20,2,25,5,6,25,7,6,25,6,6,24,6,6,2,31,24,4,26,31,0,4,0,5,27,31,0,0,23,22,1,4,26,27,4,5,5,5,26,26,4,1,1
4,23,22,2,25,5,5,26,6,6,25,6,5,25,5,6,2,31,24,4,26,31,0,4,0,5,27,31,0,0,23,23,2,4,26,27,4,5,5,5,26,26,4,1,3
10,11,23,1,16,13,3,27,5,15,16,15,4,26,4,15,7,27,14,12,19,29,2,12,2,12,19,29,2,0,24,20,5,8,23,28,4,8,4,8,23,27,3,0,2
4,23,26,0,25,5,2,29,3,6,25,6,2,28,2,6,0,31,31,0,31,31,0,0,0,0,31,31,0,0,23,27,0,2,29,27,5,2,5,2,29,26,4,1,3
6,21,30,0,23,7,0,31,1,8,23,8,0,30,0,8,0,31,29,1,30,31,0,1,0,1,30,31,0,0,26,29,0,1,30,29,3,1,3,1,30,28,2,0,1
7,14,30,0,19,11,0,31,1,12,19,12,0,30,0,12,0,28,31,0,31,29,2,0,2,0,31,29,2,1,30,31,0,0,31,31,1,0,1,0,31,30,0,0,1
