@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute destClass {2,1}

@data
44,44,64,28,29,66,48,47,30,48,47,47,29,65,29,47,2
31,53,57,25,32,64,59,37,32,37,58,36,31,63,31,36,1
43,47,65,27,29,67,50,46,29,46,49,45,28,66,28,45,2
20,70,68,24,25,70,73,22,26,23,72,22,25,69,25,22,2
26,58,68,24,25,70,64,31,26,32,63,31,25,69,25,31,1
31,47,67,23,26,70,56,40,26,40,55,39,25,69,25,39,1
27,53,61,29,31,64,61,34,32,35,60,34,31,63,31,34,2
27,55,69,23,24,71,62,33,25,34,61,33,24,70,24,33,2
32,52,66,24,27,69,58,38,27,38,57,37,26,68,26,37,1
25,63,69,23,24,71,67,28,25,29,66,28,24,70,24,28,1
31,57,67,25,26,69,61,34,27,35,60,34,26,68,26,34,1
26,58,67,25,27,69,64,32,27,32,63,31,26,68,26,31,1
23,63,66,26,28,68,68,28,28,28,67,27,27,67,27,27,1
25,59,63,23,27,68,65,30,28,31,64,30,27,67,27,30,1
32,54,65,25,27,68,59,36,28,37,58,36,27,67,27,36,2
25,65,71,21,22,73,68,27,23,28,67,27,22,72,22,27,1
25,61,68,22,25,71,66,30,25,30,65,29,24,70,24,29,1
26,56,63,23,27,68,63,32,28,33,62,32,27,67,27,32,1
23,63,63,29,30,65,68,27,31,28,67,27,30,64,30,27,2
32,56,65,25,27,68,60,35,28,36,59,35,27,67,27,35,2
30,52,62,28,31,65,59,37,31,37,58,36,30,64,30,36,1
34,42,67,25,27,69,52,44,27,44,51,43,26,68,26,43,1
23,59,68,22,24,71,66,29,25,30,65,28,23,70,24,29,1
19,69,74,18,19,76,73,22,20,23,72,22,19,75,19,22,2
32,54,69,23,24,71,59,36,25,37,58,36,24,70,24,36,1
