@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute destClass {-1,1}

@data
85,48,5,34,70,44,56,22,88,8,36,58,23,72,46,49,24,50,87,7,45,49,36,58,23,71,23,59,46,8,45,7,23,58,24,8,37,49,36,7,37,8,36,49,23,49,-1.0
76,37,8,31,73,49,53,15,82,12,37,57,17,77,52,42,19,42,81,12,52,41,36,57,17,76,19,59,54,14,53,13,18,58,19,14,37,42,36,13,37,14,36,41,18,41,1.0
87,50,5,32,71,40,60,21,89,7,33,61,22,73,43,52,23,53,88,6,42,52,33,61,22,72,22,62,43,7,42,6,22,61,23,7,34,52,33,6,34,7,33,52,22,52,-1.0
80,32,10,26,74,56,66,18,83,12,27,67,19,76,59,35,19,36,82,12,59,35,27,67,19,75,19,68,60,12,59,12,19,67,20,13,27,35,27,12,28,12,27,35,19,35,-1.0
85,40,5,26,73,46,62,19,88,8,29,65,20,75,51,44,21,45,87,7,50,44,29,65,20,74,20,66,51,8,50,7,20,65,21,8,30,44,29,7,30,8,29,44,20,44,1.0
81,43,3,26,69,37,64,21,87,8,27,66,23,72,44,49,24,51,86,7,43,50,28,65,22,71,23,67,45,9,44,8,23,66,24,9,29,50,28,8,29,9,28,50,23,50,1.0
83,44,7,32,71,46,58,15,86,8,34,60,19,76,47,46,19,47,85,9,48,46,34,60,19,75,19,61,49,9,48,9,19,60,20,10,34,46,34,9,35,9,34,46,19,46,-1.0
87,42,5,25,75,44,67,17,89,6,26,68,18,77,48,46,19,47,88,6,48,46,26,68,18,76,18,69,49,7,48,6,18,68,19,7,27,46,26,6,27,7,26,46,18,46,-1.0
81,43,3,28,69,45,62,21,87,8,30,64,23,72,48,46,24,47,86,7,47,45,29,64,23,71,23,65,49,9,48,7,23,64,24,9,31,46,30,8,31,9,29,46,23,46,1.0
84,34,6,24,74,52,68,18,87,7,25,69,19,76,55,38,19,39,86,7,55,38,25,69,19,75,19,70,57,8,56,8,19,69,20,9,25,38,25,8,26,8,25,38,19,38,1.0
83,40,7,27,77,48,65,15,86,9,28,66,16,79,51,43,17,44,85,8,50,43,28,66,16,78,16,67,52,10,51,9,16,66,17,10,29,43,28,9,29,10,28,43,16,43,1.0
84,48,6,26,72,40,66,20,87,8,28,67,21,74,43,52,22,52,86,8,43,51,27,67,21,73,22,68,44,9,43,8,21,67,22,9,28,52,27,8,28,9,27,51,21,51,1.0
85,38,5,28,70,44,62,22,88,7,30,65,24,72,50,44,24,45,87,6,49,43,29,64,23,71,24,65,51,7,50,6,23,64,24,8,30,45,30,7,31,8,29,44,23,44,1.0
