@relation 'Sax dominant'

@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMdbd numeric
@attribute o1atLdbd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMece numeric
@attribute o1atLece numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMebd numeric
@attribute o1atLebd numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMdac numeric
@attribute o1atLdac numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMaed numeric
@attribute o1atLaed numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o1atMdad numeric
@attribute o1atLdad numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute destClass {-1,1}

@data
24,48,23,69,21,23,70,36,48,34,57,34,57,43,53,46,47,36,55,35,55,32,68,22,70,22,71,85,8,3,84,6,82,46,87,5,86,5,45,7,44,48,32,57,36,48,82,7,46,5,45,5,23,7,23,8,23,49,45,46,23,53,44,47,36,8,21,71,44,47,23,57,36,53,23,49,46,8,24,5,46,7,23,57,45,8,36,48,23,49,24,8,43,48,87,3,23,68,44,8,36,5,23,58,23,7,36,7,44,7,36,3,37,47,36,48,36,7,36,46,37,8,34,8,34,48,36,7,23,56,44,7,23,57,23,48,22,57,23,48,45,3,36,47,36,8,36,47,34,7,34,48,23,8,22,8,35,48,36,6,21,58,23,47,23,7,37,7,36,8,23,58,37,5,23,55,24,7,45,6,22,48,22,58,23,48,23,46,23,8,-1.0
18,37,16,72,13,17,73,35,40,31,54,31,55,45,49,50,37,33,51,35,51,28,70,15,75,15,76,76,11,4,75,10,70,33,81,7,80,7,51,12,47,38,30,55,35,40,71,11,53,8,52,8,18,13,19,14,18,42,50,34,18,51,47,40,37,13,14,76,49,37,17,56,36,50,17,41,52,12,19,8,50,12,17,55,52,11,33,41,17,42,19,12,45,41,81,4,17,71,49,12,36,8,17,57,17,13,36,12,48,12,36,4,35,37,36,38,36,12,36,34,37,12,31,13,31,40,36,12,17,53,49,12,17,56,17,41,15,57,17,41,53,4,35,37,36,11,36,40,31,12,31,40,17,14,15,14,35,41,36,10,14,58,18,40,18,12,35,12,36,12,17,57,37,8,17,52,18,12,51,10,15,41,15,58,17,40,18,34,17,13,1.0
23,50,22,70,20,22,71,33,51,32,60,32,60,39,58,42,50,33,59,33,59,31,69,21,71,21,72,87,6,4,86,5,85,48,88,5,87,5,42,6,40,52,31,60,33,52,85,6,43,5,42,5,22,6,22,7,22,52,42,49,22,58,40,51,33,7,20,72,41,49,22,60,33,58,23,52,43,7,23,5,42,6,22,60,42,6,34,51,22,52,23,7,40,51,88,4,22,69,40,7,33,5,22,61,22,6,33,6,40,6,33,4,34,50,33,52,33,6,33,49,34,7,32,7,32,51,33,6,22,60,41,6,22,60,22,51,21,60,22,51,42,4,33,49,33,6,33,51,32,6,32,52,22,7,21,7,33,51,33,5,20,61,22,51,22,6,34,6,33,7,22,61,34,5,22,59,23,6,42,5,21,51,21,61,22,51,22,49,22,7,-1.0
19,32,19,73,17,19,74,27,34,26,66,26,66,54,64,59,31,27,65,27,65,25,72,18,74,18,75,80,11,8,80,12,78,28,82,9,82,10,59,12,56,34,25,66,27,34,78,11,60,9,59,10,19,12,19,12,19,35,59,29,19,64,56,34,27,11,17,75,59,31,19,66,27,64,19,35,59,11,20,10,59,11,19,66,59,11,27,34,19,35,19,12,54,34,82,8,19,72,56,11,27,10,19,67,19,12,27,12,56,12,27,8,27,31,27,34,27,12,27,29,27,11,26,11,26,34,27,12,19,66,59,11,19,66,19,34,18,66,19,34,59,8,27,31,27,11,27,34,26,12,26,34,19,12,18,12,27,34,27,12,17,67,19,34,19,12,27,11,27,11,19,67,28,9,19,65,19,12,59,12,18,34,18,67,19,34,19,29,19,11,-1.0
21,40,20,72,18,20,73,29,43,26,64,26,64,43,58,50,39,27,61,28,61,24,71,19,73,19,74,85,7,3,84,6,82,35,87,5,86,5,50,7,46,41,24,64,29,43,82,7,51,5,50,5,20,7,20,8,20,44,50,36,20,59,46,42,29,8,18,74,49,39,20,64,29,59,20,44,51,8,21,5,50,7,20,64,50,7,27,43,20,44,21,8,43,43,87,3,20,71,46,8,29,5,20,65,20,7,29,7,46,7,29,3,30,39,29,41,29,7,29,36,30,8,26,8,26,43,29,7,20,62,49,7,20,64,20,43,19,64,20,43,50,3,29,39,29,7,29,42,26,7,26,43,20,8,19,8,28,43,29,6,18,65,20,42,20,7,30,7,29,8,20,65,30,5,20,61,21,7,50,6,19,43,19,65,20,43,20,36,20,8,1.0
23,43,21,68,20,22,69,27,48,26,62,25,64,31,61,43,42,26,63,27,62,24,66,21,70,21,71,81,7,2,80,6,76,38,86,3,85,2,43,7,37,48,24,64,27,48,80,6,45,3,44,3,23,8,23,9,23,49,42,39,23,61,36,48,27,8,20,71,42,42,22,64,27,61,22,50,44,7,24,3,44,7,23,63,43,8,27,49,23,50,24,8,34,48,86,3,22,67,37,8,28,3,22,66,22,8,28,7,37,7,28,3,28,42,28,48,28,7,28,39,29,7,26,8,26,48,27,7,22,64,42,7,22,64,22,49,21,65,22,49,44,3,27,42,28,8,27,48,26,7,26,48,23,9,21,9,27,48,28,6,20,66,23,48,23,7,28,7,28,8,22,65,29,3,22,63,23,7,43,6,21,49,21,66,23,48,23,39,22,8,1.0
19,44,19,70,14,19,71,34,46,32,59,32,59,45,55,47,43,34,57,34,57,31,67,15,74,15,75,83,7,5,83,8,81,42,85,6,85,7,48,9,46,45,31,59,34,45,81,8,48,6,48,7,19,9,19,9,19,46,47,43,19,56,46,46,34,8,15,75,47,44,19,59,34,56,19,46,47,7,20,7,47,8,19,59,48,8,34,45,19,46,19,8,45,45,85,5,19,70,46,8,34,7,19,60,19,9,34,9,46,9,34,5,34,43,34,45,34,9,34,43,34,7,32,8,32,46,34,9,19,58,47,8,19,59,19,46,15,59,19,46,48,5,34,44,34,8,34,46,32,9,32,45,19,9,15,9,34,45,34,8,15,60,19,46,19,9,34,8,34,8,19,60,35,6,19,57,19,9,47,8,15,46,15,60,19,46,19,43,19,8,-1.0
18,42,18,74,16,18,75,26,46,25,67,25,67,41,65,46,41,26,66,26,66,24,73,17,75,17,76,87,5,4,86,5,85,39,88,5,87,5,48,6,43,45,24,67,26,45,85,6,48,5,48,5,18,6,18,7,18,46,47,40,18,65,44,46,26,6,16,76,47,42,18,67,26,65,18,46,48,5,19,5,46,6,18,67,48,5,26,45,18,46,19,6,42,45,88,4,18,73,44,6,26,5,18,68,18,6,26,6,44,6,26,4,26,41,26,45,26,6,26,40,27,5,25,6,25,46,26,6,18,67,47,6,18,67,18,46,17,67,18,46,48,4,26,42,26,5,26,46,25,6,25,45,18,7,17,7,26,45,26,5,16,68,18,46,18,6,26,6,26,6,18,68,27,5,18,66,18,6,47,5,17,46,17,68,18,46,18,40,18,6,-1.0
23,43,22,68,20,22,69,28,45,27,62,28,62,42,59,46,42,29,61,28,61,26,66,21,70,21,71,81,7,2,80,6,77,41,86,3,85,2,47,6,44,44,26,63,30,45,81,7,48,3,48,2,23,7,23,9,23,46,46,41,23,59,44,44,30,8,20,71,46,42,22,63,29,59,23,45,48,7,24,3,46,7,23,62,47,7,29,44,23,46,24,8,43,44,86,4,23,67,45,8,30,3,23,64,23,8,29,7,45,6,30,4,30,42,29,44,29,7,29,41,31,7,28,8,27,45,30,6,23,62,46,7,23,62,22,46,21,63,22,45,48,4,28,43,29,7,29,44,28,7,28,45,23,9,21,9,28,45,30,6,20,64,23,44,23,7,30,7,29,8,22,64,31,3,22,61,23,7,47,6,21,46,21,64,23,45,23,41,23,8,1.0
19,34,19,73,17,18,74,24,38,24,68,24,67,49,66,54,33,25,67,24,67,23,72,18,74,18,75,84,6,4,84,6,82,31,86,5,86,5,55,7,51,37,23,68,25,37,82,6,56,5,56,6,19,8,19,8,19,38,54,32,19,66,51,37,25,7,17,75,54,34,19,68,25,66,19,38,55,6,20,6,54,6,19,68,55,6,25,37,19,38,19,7,50,37,86,4,19,72,52,7,25,6,19,69,19,8,25,8,52,7,25,4,25,33,25,37,25,7,25,32,25,6,24,7,24,38,25,7,19,68,54,7,19,67,19,38,18,68,19,38,56,4,24,34,25,6,25,37,24,8,24,37,19,8,18,8,24,37,25,6,17,69,19,37,19,7,25,6,25,7,18,69,26,5,19,67,19,7,55,6,18,38,18,69,19,38,19,32,19,7,1.0
