@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atLee numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMec numeric
@attribute o2atLec numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMdb numeric
@attribute o2atLdb numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atLee numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMec numeric
@attribute o3atLec numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMbe numeric
@attribute o3atLbe numeric
@attribute o3atMeb numeric
@attribute o3atLeb numeric
@attribute o3atMdb numeric
@attribute o3atLdb numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMaa numeric
@attribute o3atMae numeric
@attribute o3atLae numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMda numeric
@attribute o3atLda numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute destClass {-1,1}

@data
25,8,4,17,21,21,10,8,26,5,18,11,9,9,26,5,22,9,19,12,9,22,22,8,8,22,8,12,9,5,19,8,22,5,9,12,19,5,19,9,22,5,9,9,19,5,13,16,17,22,14,31,8,14,18,17,15,23,9,0,31,0,31,0,22,8,23,0,13,17,22,0,16,14,16,8,27,31,1,29,3,28,2,0,31,0,31,0,31,0,3,0,31,0,2,0,31,0,31,0,31,0,31,0,3,0,2,0,31,0,31,0,0,3,0,31,0,31,0,31,-1.0
31,1,0,21,11,28,6,15,31,0,23,7,18,2,31,0,29,2,23,8,17,13,29,2,17,14,18,8,18,0,23,2,29,0,17,8,23,0,23,2,29,0,17,2,23,0,0,0,31,0,31,18,28,0,31,0,31,2,30,5,22,9,22,9,1,29,2,9,0,31,1,9,0,31,0,29,25,7,3,27,3,26,3,20,15,10,29,13,17,22,5,1,18,22,4,1,18,21,9,13,17,20,9,13,5,13,4,13,9,0,30,0,1,5,0,30,1,9,13,9,1.0
24,7,5,16,21,20,13,8,25,6,16,13,9,9,25,6,22,9,17,14,9,22,22,8,8,22,8,14,9,6,17,8,22,6,9,14,17,6,17,9,22,6,9,9,17,6,12,15,18,19,15,31,11,13,19,16,16,20,12,0,31,0,31,0,19,11,20,0,12,18,19,0,15,15,15,11,30,31,0,31,1,30,0,0,31,0,31,0,31,0,1,0,31,0,0,0,31,0,31,0,31,0,31,0,1,0,0,0,31,0,31,0,0,1,0,31,0,31,0,31,-1.0
24,13,5,7,26,16,22,3,25,5,7,22,3,14,25,6,17,14,8,23,4,27,16,13,3,27,3,23,4,6,7,13,17,6,4,23,8,6,8,14,17,5,4,14,8,5,14,18,16,23,12,31,7,15,17,19,13,24,8,0,31,0,31,0,23,7,24,0,14,16,23,0,18,12,18,7,23,11,5,25,7,24,6,16,31,0,31,0,31,18,7,0,31,18,6,0,31,18,13,0,31,18,13,0,7,0,6,0,13,0,31,0,0,7,0,31,0,13,0,13,-1.0
27,8,2,18,15,19,11,14,28,3,18,11,15,10,28,3,21,10,19,12,15,16,21,9,14,16,14,12,15,3,19,9,21,3,15,12,19,3,19,10,21,3,15,10,19,3,4,6,26,7,24,26,23,5,27,7,25,8,24,3,27,4,27,4,7,23,8,4,4,26,7,4,6,24,6,23,30,8,0,31,1,30,0,19,26,1,31,3,28,21,1,0,28,21,0,0,28,21,10,3,28,21,10,3,1,3,0,3,10,0,31,0,0,1,0,31,0,10,3,10,1.0
26,4,3,19,10,23,8,17,27,4,19,9,19,6,27,3,24,6,21,9,18,12,25,4,18,12,18,10,19,4,21,5,25,4,19,10,21,4,21,6,25,4,19,6,21,4,3,6,27,9,24,27,19,4,28,7,25,10,21,0,29,1,29,2,10,20,11,2,3,27,10,2,6,24,6,20,26,19,0,29,3,28,2,4,31,0,31,0,31,8,3,0,31,8,2,0,31,8,23,0,31,8,23,0,3,0,2,0,23,0,31,0,0,3,0,31,0,23,0,23,1.0
23,7,6,13,25,22,14,0,24,6,14,15,2,8,24,7,23,8,15,16,3,28,22,7,2,28,2,16,3,7,14,7,23,7,3,16,15,7,15,8,23,6,3,8,15,6,14,18,14,23,12,31,7,16,16,19,13,24,8,0,31,0,31,0,23,7,24,0,15,15,23,0,18,12,18,7,27,29,1,29,2,28,2,0,31,0,31,0,31,1,3,0,31,1,2,0,31,1,30,0,31,0,30,0,3,0,2,0,30,0,31,0,0,3,0,31,0,30,0,30,-1.0
24,7,5,14,21,22,15,8,25,6,14,15,9,8,25,6,23,8,15,16,9,22,23,7,8,22,8,16,9,6,15,7,23,6,9,16,15,6,15,8,23,6,9,8,15,6,8,10,22,14,20,31,14,9,23,11,21,16,16,0,31,0,31,0,15,15,16,0,8,22,15,0,10,20,10,15,30,20,0,31,0,30,0,7,31,0,31,0,31,9,1,0,31,9,0,0,31,9,22,0,31,8,22,0,1,0,0,0,22,0,31,0,0,1,0,31,0,22,0,22,-1.0
26,4,3,22,10,25,5,17,27,4,23,6,19,5,27,3,25,4,23,7,19,12,26,4,18,12,18,7,19,4,24,4,26,3,19,7,24,4,23,5,26,4,19,5,24,4,3,5,27,6,25,23,24,4,28,6,26,7,25,0,27,4,27,4,6,24,7,4,3,27,6,4,5,25,5,24,30,14,0,31,0,30,0,13,31,0,31,0,31,15,1,0,31,15,0,0,31,15,16,0,31,14,16,0,1,0,0,0,16,0,31,0,0,1,0,31,0,16,0,16,1.0
21,9,6,19,15,20,10,14,23,7,19,10,14,10,23,7,20,10,20,11,15,16,20,9,14,16,14,11,15,8,19,9,21,8,15,11,20,8,20,10,21,7,15,10,20,7,3,4,27,7,26,31,21,4,28,5,27,9,23,0,31,0,31,0,8,22,9,0,3,27,8,0,4,26,4,22,30,4,0,31,0,30,0,24,31,0,31,0,31,26,1,0,31,25,0,0,31,25,5,0,31,25,6,0,1,0,0,0,5,0,31,0,0,1,0,31,0,5,0,6,1.0
