@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atLccc numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMcbc numeric
@attribute o2atLcbc numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMaba numeric
@attribute o2atLaba numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o3atLccc numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMaaa numeric
@attribute o3atMaba numeric
@attribute o3atLaba numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMcba numeric
@attribute o3atLcba numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMaac numeric
@attribute o3atLaac numeric
@attribute o3atMcca numeric
@attribute o3atLcca numeric
@attribute o3atMcab numeric
@attribute o3atLcab numeric
@attribute o3atMbac numeric
@attribute o3atLbac numeric
@attribute o3atMcaa numeric
@attribute o3atLcaa numeric
@attribute destClass {-1,1}

@data
11,8,12,18,10,7,21,9,22,8,20,17,11,19,20,8,10,18,10,8,10,18,20,7,21,7,21,7,12,9,11,17,10,19,12,8,11,9,11,9,15,17,14,22,8,4,16,15,21,13,24,6,22,5,23,5,21,6,21,7,15,14,16,13,15,13,15,13,28,1,29,1,29,0,30,0,30,0,0,30,0,30,0,30,0,29,0,30,0,30,0,30,0,28,0,30,0,29,0,29,0,29,0,29,0,30,0,29,0,30,-1.0
23,0,22,6,20,0,28,1,29,0,27,5,21,7,28,1,22,7,23,1,21,8,28,0,29,0,29,0,22,1,22,5,20,8,22,0,21,1,22,1,0,0,30,2,26,22,0,30,1,30,4,24,4,24,4,23,2,26,1,26,0,30,0,30,0,30,0,30,5,22,7,22,5,8,16,8,16,1,3,21,20,8,9,15,20,7,18,13,4,21,4,21,21,6,9,9,9,8,18,8,4,8,9,7,9,8,9,7,4,9,1.0
12,5,13,17,11,4,23,6,24,5,22,16,12,18,22,6,12,17,12,6,11,17,23,6,24,5,24,4,13,6,12,16,11,18,13,5,12,6,12,6,13,15,16,22,9,7,14,17,21,15,23,8,21,7,22,7,21,7,21,8,13,16,14,15,13,15,13,15,27,1,28,1,28,0,30,0,30,0,0,30,0,29,0,30,0,29,0,30,0,30,0,30,1,28,0,29,0,29,0,29,0,29,0,28,0,29,0,29,0,29,-1.0
6,11,7,23,5,9,16,13,18,11,15,22,6,24,15,12,5,23,5,12,5,23,15,11,17,10,17,10,7,13,6,22,5,24,7,11,6,13,6,13,16,18,13,30,0,0,17,14,30,12,30,0,30,0,30,0,30,0,30,0,16,13,17,12,16,12,16,12,8,20,8,21,8,0,30,0,30,0,0,30,20,8,0,30,21,10,20,30,0,30,0,30,22,9,0,8,0,10,20,9,0,10,0,8,0,8,0,10,0,8,-1.0
18,7,18,11,17,5,20,8,22,7,18,10,18,12,18,8,17,11,17,8,17,11,19,7,21,6,21,5,19,9,18,10,17,12,19,7,18,9,18,8,4,6,25,11,17,14,5,26,9,24,13,15,13,15,13,14,11,17,10,17,4,25,5,24,4,24,4,24,2,24,3,25,2,0,30,0,30,0,0,30,23,4,0,30,24,6,22,30,0,30,0,30,26,4,0,4,0,6,22,5,0,6,0,3,0,4,0,6,0,4,1.0
18,3,18,10,16,2,25,3,26,3,24,8,17,12,24,4,17,10,18,4,16,11,25,3,26,3,26,2,19,4,18,9,16,12,19,3,17,4,18,3,4,6,25,9,19,11,5,26,8,24,13,15,11,14,12,14,8,17,8,18,4,25,5,24,4,24,4,24,10,15,12,15,12,0,30,0,30,0,0,30,11,16,0,30,11,15,9,30,0,30,0,30,14,11,0,16,0,15,11,15,0,15,0,12,0,16,0,15,0,16,1.0
12,7,13,16,9,6,22,8,23,7,21,15,11,18,21,7,11,16,11,7,10,17,21,6,22,6,22,6,13,8,12,15,10,18,13,7,11,8,12,8,16,18,13,27,4,2,17,14,26,12,28,3,26,2,27,2,26,2,26,3,16,13,17,12,16,12,16,12,11,9,16,9,14,0,30,0,30,0,0,30,3,22,0,30,3,21,0,30,0,30,0,30,8,15,0,22,0,21,1,21,0,21,0,16,0,22,0,21,0,22,-1.0
13,7,14,16,12,6,22,8,23,7,21,15,13,17,21,7,12,16,12,7,12,16,21,6,22,6,22,6,14,8,13,15,12,17,14,7,13,8,13,8,8,10,21,18,10,4,9,22,16,20,21,6,20,6,21,6,17,9,17,9,8,21,9,20,8,20,8,20,12,16,13,16,12,0,30,0,30,0,0,30,14,15,0,30,14,14,12,30,0,30,0,30,15,12,0,15,0,14,13,14,0,14,0,13,0,15,0,14,0,15,-1.0
20,3,20,8,17,2,25,3,26,3,24,6,19,10,24,4,19,8,20,4,18,9,25,3,26,3,26,2,21,4,20,6,17,10,21,3,19,4,20,3,3,5,26,8,23,21,4,27,7,25,9,22,7,21,8,21,7,21,7,22,3,26,4,25,3,25,3,25,4,21,6,21,5,0,30,0,30,0,0,30,17,10,0,30,17,9,14,30,0,30,0,30,20,5,0,10,0,9,16,9,0,9,0,6,0,10,0,9,0,10,1.0
18,9,19,11,17,8,20,10,21,9,19,10,18,12,19,9,17,11,17,9,17,11,19,8,20,8,20,8,19,10,18,10,17,12,19,9,18,10,18,10,3,5,26,13,16,14,4,27,12,25,14,15,14,15,14,14,13,16,12,16,3,26,4,25,3,25,3,25,0,27,1,28,0,0,30,0,30,0,0,30,26,2,0,30,27,3,25,30,0,30,0,30,28,1,0,2,0,3,25,2,0,3,0,1,0,2,0,3,0,2,1.0
