@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atLcc numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o3atMaa numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atLcc numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o4atLcc numeric
@attribute o4atMbb numeric
@attribute o4atLbb numeric
@attribute o4atMaa numeric
@attribute o4atMbc numeric
@attribute o4atLbc numeric
@attribute o4atMab numeric
@attribute o4atLab numeric
@attribute o4atMcb numeric
@attribute o4atLcb numeric
@attribute o4atMba numeric
@attribute o4atLba numeric
@attribute o5atLcc numeric
@attribute o5atMbc numeric
@attribute o5atLbc numeric
@attribute o5atMcb numeric
@attribute o5atLcb numeric
@attribute o5atMaa numeric
@attribute o5atMbb numeric
@attribute o5atLbb numeric
@attribute o5atMab numeric
@attribute o5atLab numeric
@attribute o5atMba numeric
@attribute o5atLba numeric
@attribute o5atMac numeric
@attribute o5atLac numeric
@attribute o5atMca numeric
@attribute o5atLca numeric
@attribute destClass {-1,1}

@data
8,9,18,1,9,10,9,0,0,19,10,8,0,18,0,9,19,19,0,0,19,0,19,0,19,0,19,0,8,14,10,2,9,11,16,4,15,3,8,10,19,0,19,0,0,19,0,19,0,19,0,19,13,1,14,1,14,0,0,15,0,15,0,15,0,14,0,14,-1.0
0,17,6,12,1,18,1,11,12,7,18,1,12,7,12,1,9,13,9,5,10,10,14,6,9,9,13,5,0,0,19,17,0,19,1,18,1,18,0,19,4,12,14,2,13,5,3,15,14,6,4,16,3,11,5,10,4,2,9,7,5,10,5,10,5,5,5,4,1.0
5,12,17,1,6,13,6,0,1,18,13,6,1,18,1,6,19,19,0,0,19,0,19,0,19,0,19,0,6,14,12,4,7,13,15,5,14,4,6,12,19,0,19,0,0,19,0,19,0,19,0,19,14,1,15,0,14,0,0,15,0,15,0,15,0,15,0,14,-1.0
11,4,18,1,13,6,13,0,0,19,6,12,0,18,0,13,14,19,4,0,14,4,19,0,15,5,19,0,9,19,9,0,10,10,19,0,19,0,9,9,0,19,19,0,19,0,0,19,19,0,0,19,9,6,10,5,9,0,5,15,0,15,0,15,0,10,0,9,-1.0
7,8,11,7,9,10,9,6,6,12,10,8,7,12,7,9,17,19,1,0,18,2,19,0,17,1,19,0,0,2,19,15,0,19,3,16,3,16,0,19,3,13,19,0,14,4,0,19,15,5,0,19,1,14,2,13,1,0,13,15,0,15,0,15,0,2,0,1,1.0
3,14,10,7,4,15,4,5,7,12,15,4,7,12,7,4,17,19,1,0,18,2,19,0,17,1,19,0,0,1,19,13,0,19,4,16,3,15,0,19,15,0,19,0,2,17,0,19,2,17,0,19,0,13,2,13,2,0,11,15,0,15,0,15,0,2,0,2,1.0
7,10,16,2,8,11,8,1,1,17,11,7,2,17,2,8,17,19,0,0,18,1,19,0,18,1,19,0,9,19,9,0,10,10,19,0,19,0,9,9,13,2,19,0,4,15,0,19,4,15,0,19,6,5,10,5,10,0,1,15,0,15,0,15,0,10,0,10,-1.0
7,10,16,2,8,11,8,1,1,17,11,7,2,17,2,8,19,19,0,0,19,0,19,0,19,0,19,0,1,10,17,5,2,18,12,7,12,7,1,17,15,1,19,0,2,16,0,19,3,17,0,19,0,14,2,13,1,0,12,15,0,15,0,15,0,2,0,1,-1.0
3,14,8,9,4,15,4,7,9,10,15,4,9,10,9,4,16,19,2,0,17,3,19,0,16,2,19,0,0,0,19,18,0,19,1,19,0,18,0,19,10,2,19,0,5,13,0,19,6,14,0,19,0,15,1,14,0,0,14,15,0,15,0,15,0,1,0,0,1.0
9,8,11,7,10,9,10,6,6,12,9,9,7,12,7,10,16,19,2,0,17,3,19,0,16,2,19,0,0,3,19,15,0,19,3,15,4,16,0,19,1,16,19,0,17,2,0,19,17,2,0,19,0,15,1,14,0,0,14,15,0,15,0,15,0,1,0,0,1.0
6,11,16,2,7,12,7,1,1,17,12,6,2,17,2,7,19,19,0,0,19,0,19,0,19,0,19,0,3,8,15,10,4,16,9,11,8,10,3,15,14,3,19,0,4,15,0,19,4,15,0,19,0,15,1,14,0,0,14,15,0,15,0,15,0,1,0,0,1.0
6,11,15,3,7,12,7,2,3,16,12,7,3,16,3,7,19,19,0,0,19,0,19,0,19,0,19,0,2,13,16,1,3,17,16,4,15,3,2,16,17,0,19,0,1,18,0,19,1,18,0,19,0,14,1,14,1,0,13,15,0,15,0,15,0,1,0,1,1.0
0,19,2,16,0,19,0,15,16,3,19,0,16,3,16,0,10,17,8,0,11,9,18,1,10,8,18,1,0,10,19,6,0,19,12,8,11,7,0,19,11,7,19,0,7,11,0,19,8,12,0,19,5,9,7,8,6,0,7,15,0,15,0,15,0,7,0,6,1.0
7,8,12,6,9,10,9,5,5,13,10,8,6,13,6,9,16,19,2,0,17,3,19,0,16,2,19,0,0,0,19,16,0,19,1,17,2,18,0,19,2,15,19,0,16,3,0,19,16,3,0,19,0,15,1,14,0,1,14,8,4,11,4,11,4,1,4,0,1.0
11,6,18,1,12,7,12,0,0,19,7,11,0,18,0,12,9,19,7,0,10,8,19,0,11,9,19,0,15,19,3,0,16,4,19,0,19,0,15,3,12,6,19,0,7,13,0,19,6,12,0,19,8,4,11,4,11,0,1,15,0,15,0,15,0,11,0,11,-1.0
9,8,13,5,10,9,10,4,4,14,9,9,5,14,5,10,16,19,2,0,17,3,19,0,16,2,19,0,0,2,19,16,0,19,2,16,3,17,0,19,0,19,19,0,19,0,0,19,19,0,0,19,0,15,1,14,0,0,14,15,0,15,0,15,0,1,0,0,1.0
3,14,10,7,4,15,4,5,7,12,15,4,7,12,7,4,16,18,2,0,17,3,19,1,16,2,18,0,0,0,19,17,0,19,1,18,1,18,0,19,3,13,19,0,14,4,0,19,15,5,0,19,0,15,1,14,0,0,14,15,0,15,0,15,0,1,0,0,1.0
8,7,12,6,10,9,10,5,5,13,9,9,6,13,6,10,16,19,2,0,17,3,19,0,16,2,19,0,0,0,19,14,0,19,3,17,2,16,0,19,3,13,19,0,14,4,0,19,15,5,0,19,0,15,1,14,0,1,14,8,4,11,4,11,4,1,4,0,1.0
6,11,8,10,7,12,7,9,9,9,12,6,10,9,10,7,19,19,0,0,19,0,19,0,19,0,19,0,0,19,19,0,0,19,19,0,19,0,0,19,10,5,19,0,7,12,0,19,7,12,0,19,7,7,9,6,8,0,5,15,0,15,0,15,0,9,0,8,-1.0
8,9,18,1,9,10,9,0,0,19,10,8,0,18,0,9,18,19,0,0,18,0,19,0,19,1,19,0,6,19,10,0,8,12,19,0,19,0,7,11,8,6,19,0,9,11,0,19,8,10,0,19,15,0,15,0,15,0,0,15,0,15,0,15,0,15,0,15,-1.0
0,19,1,16,0,19,0,14,16,3,19,0,16,3,16,0,13,18,5,0,14,6,19,1,13,5,18,0,0,3,19,9,0,19,7,13,6,12,0,19,14,4,19,0,4,14,0,19,5,15,0,19,6,8,8,7,7,0,6,15,0,15,0,15,0,8,0,7,1.0
3,12,10,8,5,14,5,7,8,11,14,5,8,11,8,5,17,19,1,0,18,2,19,0,17,1,19,0,0,2,19,13,0,19,4,15,4,15,0,19,6,7,19,0,10,9,0,19,10,9,0,19,11,2,13,2,13,0,0,15,0,15,0,15,0,13,0,13,1.0
5,12,12,5,6,13,5,3,4,14,13,5,4,14,5,6,18,19,0,0,19,1,19,0,18,0,19,0,0,2,19,14,0,19,4,16,3,15,0,19,4,9,19,0,12,7,0,19,12,7,0,19,0,15,1,14,0,0,14,15,0,15,0,15,0,1,0,0,1.0
