@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute destClass {1,2}

@data
83,89,7,3,5,91,86,10,4,9,85,8,5,10,3,90,1
79,89,11,3,5,91,82,14,4,13,81,12,5,14,3,90,1
82,88,6,4,5,90,86,9,5,9,85,8,6,10,4,89,2
75,89,15,3,5,91,78,18,4,17,77,16,5,18,3,90,2
83,89,9,3,5,91,85,11,4,10,84,10,5,11,4,90,1
83,89,7,3,5,91,86,10,4,9,85,8,5,10,3,90,2
62,84,30,6,9,87,64,32,8,31,63,31,9,32,8,86,2
80,89,10,3,5,91,83,13,4,12,82,11,5,13,3,90,1
82,89,8,3,5,91,85,11,4,10,84,9,5,11,3,90,2
82,88,8,4,6,90,85,11,5,10,84,9,6,11,4,89,1
80,88,10,4,6,90,83,13,5,12,82,11,6,13,4,89,1
80,89,10,3,5,91,83,13,4,12,82,11,5,13,3,90,1
80,89,10,3,5,91,83,13,4,12,82,12,5,13,4,90,1
79,88,9,4,5,90,83,12,5,12,82,11,6,13,4,89,2
81,88,9,4,6,90,84,12,5,11,83,10,6,12,4,89,2
69,84,17,6,8,87,74,21,8,21,73,20,9,22,7,86,2
80,88,10,4,6,90,83,13,5,12,82,11,6,13,4,89,1
82,89,8,3,5,91,85,11,4,10,84,9,5,11,3,90,1
81,89,9,3,5,91,84,12,4,11,83,11,5,12,4,90,1
79,89,11,3,5,91,82,14,4,13,81,12,5,14,3,90,1
80,89,10,3,5,91,83,13,4,12,82,12,5,13,4,90,1
83,88,7,4,6,90,86,10,5,9,85,8,6,10,4,89,2
79,89,11,3,5,91,82,14,4,13,81,12,5,14,3,90,1
81,88,7,4,5,90,85,10,5,10,84,9,6,11,4,89,2
82,89,8,3,5,91,85,11,4,10,84,10,5,11,4,90,2
84,88,8,4,6,90,86,10,5,9,85,9,6,10,5,89,2
81,89,7,3,4,91,85,10,4,10,84,10,5,11,4,90,2
80,89,10,3,5,91,83,13,4,12,82,12,5,13,4,90,1
80,89,10,3,5,91,83,13,4,12,82,11,5,13,3,90,1
82,89,8,3,5,91,85,11,4,10,84,10,5,11,4,90,2
80,89,10,3,5,91,83,13,4,12,82,12,5,13,4,90,1
81,88,9,4,6,90,84,12,5,11,83,10,6,12,4,89,1
81,89,9,3,5,91,84,12,4,11,83,11,5,12,4,90,1
68,86,16,4,5,89,74,20,6,21,73,20,7,22,5,88,2
81,89,9,3,5,91,84,12,4,11,83,11,5,12,4,90,2
80,89,8,3,4,91,84,11,4,11,83,11,5,12,4,90,2
81,88,9,4,6,90,84,12,5,11,83,10,6,12,4,89,2
79,89,9,3,4,91,83,12,4,12,82,12,5,13,4,90,2
83,88,9,4,6,90,85,11,5,10,84,10,6,11,5,89,1
82,89,8,3,5,91,85,11,4,10,84,9,5,11,3,90,2
81,89,9,3,5,91,84,12,4,11,83,11,5,12,4,90,1
80,88,10,4,6,90,83,13,5,12,82,11,6,13,4,89,1
81,89,7,3,5,91,85,11,4,10,84,9,5,11,3,90,1
82,89,8,3,5,91,85,11,4,10,84,9,5,11,3,90,2
81,89,9,3,5,91,84,12,4,11,83,10,5,12,3,90,1
83,89,7,3,5,91,86,10,4,9,85,8,5,10,3,90,2
84,89,8,3,5,91,86,10,4,9,85,9,5,10,4,90,1
79,73,11,19,21,75,82,14,20,13,81,12,21,14,19,74,1
83,90,7,2,4,92,86,10,3,9,85,9,4,10,3,91,1
85,89,7,3,5,91,87,9,4,8,86,8,5,9,4,90,2
82,88,8,4,6,90,85,11,5,10,84,9,6,11,4,89,1
81,89,9,3,5,91,84,12,4,11,83,10,5,12,3,90,2
85,88,7,4,6,90,87,9,5,8,86,8,6,9,5,89,2
81,89,9,3,5,91,84,12,4,11,83,10,5,12,3,90,2
81,89,9,3,5,91,84,12,4,11,83,11,5,12,4,90,2
81,89,9,3,5,91,84,12,4,11,83,10,5,12,3,90,2
80,88,10,4,6,90,83,13,5,12,82,11,6,13,4,89,1
81,89,9,3,5,91,84,12,4,11,83,10,5,12,3,90,2
81,89,9,3,5,91,84,12,4,11,83,10,5,12,3,90,1
81,89,9,3,5,91,84,12,4,11,83,11,5,12,4,90,2
81,88,9,4,6,90,84,12,5,11,83,10,6,12,4,89,2
82,88,8,4,6,90,85,11,5,10,84,9,6,11,4,89,2
81,89,9,3,5,91,84,12,4,11,83,10,5,12,3,90,2
81,88,9,4,6,90,84,12,5,11,83,10,6,12,4,89,2
81,88,9,4,6,90,84,12,5,11,83,10,6,12,4,89,1
80,88,8,4,5,90,84,11,5,11,83,10,6,12,4,89,2
83,87,7,3,5,90,86,9,5,9,85,9,6,10,5,89,2
82,89,8,3,5,91,85,11,4,10,84,9,5,11,3,90,2
82,89,8,3,5,91,85,11,4,10,84,10,5,11,4,90,2
80,89,10,3,5,91,83,13,4,12,82,12,5,13,4,90,1
80,89,10,3,5,91,83,13,4,12,82,11,5,13,3,90,1
80,89,10,3,5,91,83,13,4,12,82,12,5,13,4,90,1
83,89,9,3,5,91,85,11,4,10,84,10,5,11,4,90,1
82,89,8,3,5,91,85,11,4,10,84,10,5,11,4,90,2
81,88,9,4,6,90,84,12,5,11,83,10,6,12,4,89,2
79,88,9,4,5,90,83,12,5,12,82,11,6,13,4,89,2
83,89,7,3,5,91,86,10,4,9,85,8,5,10,3,90,1
82,89,8,3,5,91,85,11,4,10,84,10,5,11,4,90,1
82,88,8,4,6,90,85,11,5,10,84,10,6,11,5,89,2
81,89,9,3,5,91,84,12,4,11,83,11,5,12,4,90,2
81,89,9,3,5,91,84,12,4,11,83,10,5,12,3,90,2
82,89,8,3,5,91,85,11,4,10,84,9,5,11,3,90,1
80,89,10,3,5,91,83,13,4,12,82,12,5,13,4,90,1
81,88,9,4,6,90,84,12,5,11,83,10,6,12,4,89,2
