@relation 'Sax dominant'

@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMaaa numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute destClass {1,2}

@data
5,89,4,7,2,83,10,3,9,5,82,7,80,87,85,7,3,90,84,6,5,8,2,9,2,88,2,89,80,8,3,8,5,7,5,10,85,5,3,10,3,87,3,10,2,90,1
5,89,4,11,2,79,14,3,13,9,78,11,76,87,81,11,3,90,80,10,5,12,2,13,2,88,2,89,76,12,3,12,5,11,5,14,81,9,3,14,3,87,3,14,2,90,1
5,88,5,6,3,82,9,4,9,5,82,8,79,86,85,6,4,89,85,6,6,8,4,8,3,87,3,88,81,7,4,8,6,6,5,9,85,5,4,9,4,86,4,9,3,89,2
5,89,4,15,2,75,18,3,17,13,74,15,72,87,77,15,3,90,76,14,5,16,2,17,2,88,2,89,72,16,3,16,5,15,5,18,77,13,3,18,3,87,3,18,2,90,2
5,89,4,9,2,83,11,3,10,8,82,10,81,87,84,9,3,90,83,9,5,10,4,10,4,88,3,89,81,10,4,10,5,9,5,11,84,8,4,11,4,87,3,11,2,90,1
5,89,4,7,2,83,10,3,9,5,82,7,80,87,85,7,3,90,84,6,5,8,2,9,2,88,2,89,80,8,3,8,5,7,5,10,85,5,3,10,3,87,3,10,2,90,2
9,84,8,29,4,62,32,6,30,28,61,30,60,81,64,30,6,86,62,29,9,31,8,31,8,83,6,85,60,31,8,30,9,30,9,32,63,28,8,32,8,81,6,32,4,86,2
5,89,4,10,2,80,13,3,12,8,79,10,77,87,82,10,3,90,81,9,5,11,2,12,2,88,2,89,77,11,3,11,5,10,5,13,82,8,3,13,3,87,3,13,2,90,1
5,89,4,8,2,82,11,3,10,6,81,8,79,87,84,8,3,90,83,7,5,9,2,10,2,88,2,89,79,9,3,9,5,8,5,11,84,6,3,11,3,87,3,11,2,90,2
6,88,5,8,3,82,11,4,10,7,81,9,79,86,84,8,4,89,83,8,6,9,4,10,3,87,3,88,80,9,4,9,6,8,6,11,84,7,4,11,4,86,4,11,3,89,1
6,88,5,10,3,80,13,4,12,9,79,11,77,86,82,10,4,89,81,10,6,11,4,12,3,87,3,88,78,11,4,11,6,10,6,13,82,9,4,13,4,86,4,13,3,89,1
5,89,4,10,2,80,13,3,12,8,79,10,77,87,82,10,3,90,81,9,5,11,2,12,2,88,2,89,77,11,3,11,5,10,5,13,82,8,3,13,3,87,3,13,2,90,1
5,89,4,10,2,80,13,3,12,9,79,11,77,87,82,10,3,90,81,10,5,12,3,12,3,88,3,89,78,12,4,12,5,10,5,13,82,9,4,13,4,87,3,13,2,90,1
5,88,5,9,3,79,12,4,12,8,79,11,76,86,82,9,4,89,82,9,6,11,4,11,3,87,3,88,78,10,4,11,6,9,5,12,82,8,4,12,4,86,4,12,3,89,2
6,88,5,9,3,81,12,4,11,7,80,9,78,86,83,9,4,89,82,8,6,10,3,11,3,87,3,88,78,10,4,10,6,9,6,12,83,7,4,12,4,86,4,12,3,89,2
7,84,8,17,4,69,19,6,21,14,69,20,65,81,73,16,6,86,73,17,7,20,7,20,6,83,5,85,66,19,7,20,9,17,8,21,73,14,7,19,7,81,6,21,4,86,2
6,88,5,10,3,80,13,4,12,9,79,11,77,86,82,10,4,89,81,10,6,11,4,12,3,87,3,88,78,11,4,11,6,10,6,13,82,9,4,13,4,86,4,13,3,89,1
5,89,4,8,2,82,11,3,10,6,81,8,79,87,84,8,3,90,83,7,5,9,2,10,2,88,2,89,79,9,3,9,5,8,5,11,84,6,3,11,3,87,3,11,2,90,1
5,89,4,9,2,81,12,3,11,8,80,10,78,87,83,9,3,90,82,9,5,11,3,11,3,88,3,89,79,11,4,11,5,9,5,12,83,8,4,12,4,87,3,12,2,90,1
5,89,4,11,2,79,14,3,13,9,78,11,76,87,81,11,3,90,80,10,5,12,2,13,2,88,2,89,76,12,3,12,5,11,5,14,81,9,3,14,3,87,3,14,2,90,1
5,89,4,10,2,80,13,3,12,9,79,11,77,87,82,10,3,90,81,10,5,12,3,12,3,88,3,89,78,12,4,12,5,10,5,13,82,9,4,13,4,87,3,13,2,90,1
6,88,5,7,3,83,10,4,9,5,82,7,80,86,85,7,4,89,84,6,6,8,3,9,3,87,3,88,80,8,4,8,6,7,6,10,85,5,4,10,4,86,4,10,3,89,2
5,89,4,11,2,79,14,3,13,9,78,11,76,87,81,11,3,90,80,10,5,12,2,13,2,88,2,89,76,12,3,12,5,11,5,14,81,9,3,14,3,87,3,14,2,90,1
5,88,5,7,3,81,10,4,10,6,81,9,78,86,84,7,4,89,84,7,6,9,4,9,3,87,3,88,80,8,4,9,6,7,5,10,84,6,4,10,4,86,4,10,3,89,2
5,89,4,8,2,82,11,3,10,6,81,9,79,87,84,8,3,90,83,8,5,10,3,10,3,88,3,89,79,10,4,10,5,8,5,11,84,6,4,11,4,87,3,11,2,90,2
6,88,5,8,3,84,10,4,9,7,83,9,82,86,85,8,4,89,84,8,6,9,5,9,5,87,4,88,82,9,5,9,6,8,6,10,85,7,5,10,5,86,4,10,3,89,2
4,89,4,7,2,81,10,3,10,6,81,9,78,87,84,7,3,90,84,7,5,10,3,9,3,88,3,89,80,9,4,10,5,7,4,10,84,6,4,10,4,87,3,10,2,90,2
5,89,4,10,2,80,13,3,12,9,79,11,77,87,82,10,3,90,81,10,5,12,3,12,3,88,3,89,78,12,4,12,5,10,5,13,82,9,4,13,4,87,3,13,2,90,1
5,89,4,10,2,80,13,3,12,9,79,11,77,87,82,10,3,90,81,10,5,11,3,12,2,88,2,89,78,11,3,11,5,10,5,13,82,9,3,13,3,87,3,13,2,90,1
5,89,4,8,2,82,11,3,10,7,81,9,79,87,84,8,3,90,83,8,5,10,3,10,3,88,3,89,80,10,4,10,5,8,5,11,84,7,4,11,4,87,3,11,2,90,2
5,89,4,10,2,80,13,3,12,9,79,11,77,87,82,10,3,90,81,10,5,12,3,12,3,88,3,89,78,12,4,12,5,10,5,13,82,9,4,13,4,87,3,13,2,90,1
6,88,5,9,3,81,12,4,11,8,80,10,78,86,83,9,4,89,82,9,6,10,4,11,3,87,3,88,79,10,4,10,6,9,6,12,83,8,4,12,4,86,4,12,3,89,1
5,89,4,9,2,81,12,3,11,8,80,10,78,87,83,9,3,90,82,9,5,11,3,11,3,88,3,89,79,11,4,11,5,9,5,12,83,8,4,12,4,87,3,12,2,90,1
5,86,6,16,3,68,19,4,21,13,68,20,64,84,73,15,4,88,73,16,5,20,5,20,4,86,3,88,66,19,5,20,6,16,5,20,73,14,5,20,4,85,4,21,3,88,2
5,89,4,9,2,81,12,3,11,7,80,11,78,87,83,9,3,90,82,9,5,11,4,11,4,88,3,89,78,11,4,11,5,9,5,12,83,7,4,12,4,87,3,12,2,90,2
4,89,4,8,2,80,11,3,11,6,80,10,77,87,83,8,3,90,83,8,5,11,3,10,3,88,3,89,78,10,4,11,5,8,4,11,83,6,4,11,4,87,3,11,2,90,2
6,88,5,9,3,81,12,4,11,8,80,10,78,86,83,9,4,89,82,9,6,10,4,11,3,87,3,88,79,10,4,10,6,9,6,12,83,8,4,12,4,86,4,12,3,89,2
4,89,4,9,2,79,12,3,12,8,79,11,76,87,82,9,3,90,82,9,5,12,3,11,3,88,3,89,78,11,4,12,5,9,4,12,82,8,4,12,4,87,3,12,2,90,2
