@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atLkk numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
59,41,40,59,22,95,76,23,61,33,24,71,42,53,69,26,77,18,61,34,42,53,24,71,77,18,69,26,66,32,49,51,32,69,17,51,44,34,61,67,28,71,24,52,34,51,43,34,61,71,24,67,28,68,27,70,25,34,53,67,24,0,0,95,67,26,0,95,69,18,52,28,42,34,71,18,24,61,42,44,52,26,69,24,42,28,61,28,61,26,51,34,34,44,61,24,42,43,34,34,0,71,67,26,34,53,61,28,2
56,44,46,65,9,95,84,12,58,36,11,84,47,48,79,14,85,10,58,37,46,48,11,84,85,10,80,15,65,35,49,48,27,82,9,49,45,28,67,66,28,82,12,50,37,50,45,28,66,82,13,67,28,79,26,81,14,29,49,67,13,0,0,95,66,15,0,95,80,10,50,28,47,37,82,10,11,67,47,45,50,15,80,12,47,28,58,28,58,15,50,37,29,45,58,13,46,45,29,37,0,84,67,15,28,48,58,28,2
45,53,32,69,18,82,82,18,48,48,19,76,34,61,71,23,83,12,47,47,34,61,19,76,83,12,71,24,65,45,38,59,24,75,11,40,55,25,70,66,29,76,19,40,48,40,55,25,70,76,19,66,28,70,27,75,23,25,61,67,19,11,12,83,67,24,12,83,71,12,40,29,34,48,76,12,19,70,34,55,40,24,71,19,34,29,48,29,48,24,40,47,25,55,48,19,34,55,25,48,12,76,66,24,25,61,47,28,3
70,27,45,72,2,95,83,13,71,23,3,92,49,46,78,15,84,11,71,24,48,46,3,92,84,11,79,16,76,23,66,43,20,91,10,66,28,21,74,76,18,81,13,67,24,67,28,21,73,81,14,77,18,78,17,80,15,22,47,77,14,0,0,95,76,16,0,95,79,11,67,18,49,24,81,11,3,74,49,28,67,16,79,13,49,18,71,18,71,16,67,24,22,28,71,14,48,28,22,24,0,92,77,16,21,46,71,18,7
55,44,47,62,10,95,84,12,56,38,12,83,48,46,79,15,85,9,56,38,48,47,12,83,85,10,80,15,67,37,50,46,29,81,9,50,45,30,64,69,25,81,12,50,39,50,44,31,64,82,13,69,26,79,24,81,14,31,47,69,13,0,0,95,69,15,0,95,80,10,51,26,48,39,82,9,12,64,48,45,51,15,79,13,48,26,57,25,57,15,50,38,31,45,57,13,48,44,31,39,0,83,69,15,31,47,56,26,6
67,28,43,67,8,90,79,19,68,26,9,86,46,48,72,22,80,14,68,27,47,48,9,86,80,15,72,23,69,26,65,44,22,85,14,65,28,25,70,69,25,74,20,66,26,66,29,25,70,75,20,70,25,71,24,74,22,25,48,70,20,3,4,91,70,23,4,91,72,15,66,25,47,27,75,15,9,70,46,29,66,23,72,20,47,25,68,25,68,23,66,27,25,29,68,20,47,29,25,27,4,86,70,23,25,48,68,25,7
69,33,37,63,11,95,82,15,70,24,13,82,39,55,76,17,83,12,70,25,39,56,13,82,83,12,77,18,73,24,57,54,28,80,11,59,36,29,65,73,21,79,15,60,25,59,35,30,65,79,16,74,21,76,20,78,17,30,56,74,16,0,0,95,73,18,0,95,77,12,60,21,39,25,79,12,13,65,39,36,60,18,77,15,39,21,70,21,70,18,59,25,30,36,70,16,39,35,30,25,0,82,74,18,30,56,70,21,4
51,44,46,58,11,87,82,17,52,42,11,83,46,48,71,23,83,11,52,43,47,48,12,83,83,12,71,24,64,42,49,47,35,82,11,49,44,36,58,66,29,76,18,50,42,50,45,36,59,77,18,66,28,70,26,76,23,36,48,67,18,6,7,88,67,24,7,88,71,12,50,29,47,43,77,12,12,59,46,45,50,24,71,18,47,29,52,29,52,24,50,43,36,45,52,18,47,45,36,43,7,83,66,24,36,48,52,28,5
77,22,36,74,6,95,80,15,78,18,7,88,38,57,79,16,81,15,77,17,38,56,7,88,80,14,78,16,78,17,70,54,17,87,14,72,23,19,76,78,17,80,16,72,18,71,23,19,76,79,15,78,16,78,16,79,16,19,57,79,16,0,0,95,79,17,0,95,79,15,72,17,39,18,80,15,7,76,39,24,72,17,79,16,39,17,78,17,78,17,71,17,19,24,78,16,38,23,19,18,0,88,78,16,19,56,77,16,6
66,28,52,59,7,95,76,20,67,27,9,86,54,41,71,24,77,18,67,28,54,41,9,86,77,18,71,24,68,27,65,39,28,84,17,65,29,32,63,69,26,74,21,66,28,66,29,32,63,74,21,69,26,70,25,73,23,32,41,69,21,0,0,95,69,24,0,95,71,18,66,26,54,28,74,18,9,63,54,29,66,24,71,21,54,26,67,26,67,24,66,28,32,29,67,21,54,29,32,28,0,86,69,24,32,41,67,26,1
