@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
39,53,35,39,53,65,28,26,65,28,64,51,37,55,37,55,66,27,66,27,39,28,35,55,64,28,39,51,66,26,2
45,47,45,47,48,66,26,22,66,26,64,47,45,47,46,49,68,24,68,24,47,26,45,48,64,26,46,47,68,22,2
33,59,29,33,59,67,27,24,66,26,65,57,31,61,31,61,68,25,67,25,33,27,29,61,65,26,33,57,68,24,3
25,66,23,27,67,76,17,15,76,17,75,65,24,67,25,69,77,16,77,16,27,17,23,68,75,17,26,65,77,15,7
41,51,37,40,51,68,23,20,68,24,66,49,39,53,39,53,70,22,70,22,41,24,37,53,66,24,41,49,70,20,6
40,51,34,39,51,69,23,22,69,24,68,48,37,54,37,54,70,23,70,23,40,24,34,54,68,24,40,48,70,22,7
35,57,31,35,57,73,20,18,73,20,72,55,33,59,33,59,74,19,74,19,35,20,31,59,72,20,35,55,74,18,4
45,48,43,44,48,67,26,24,66,26,65,47,44,49,44,49,68,25,67,25,45,27,43,49,65,26,45,47,68,24,5
31,60,27,32,61,78,17,15,77,15,77,58,29,62,29,63,79,16,77,15,32,17,27,63,77,16,31,58,78,15,6
48,44,42,47,44,68,25,23,68,25,67,42,45,47,44,46,69,24,69,24,47,25,43,47,67,25,47,42,69,23,1
33,59,29,32,59,72,20,19,72,21,71,57,31,61,31,61,73,20,73,20,33,21,29,61,71,21,33,57,73,19,5
43,48,39,44,48,69,24,22,69,24,68,46,41,50,42,51,70,23,70,23,44,24,39,50,68,24,44,46,70,22,5
42,48,38,44,49,74,19,17,74,19,73,46,40,50,41,52,75,18,75,18,44,19,38,51,73,19,43,46,75,17,2
32,60,28,31,60,76,16,15,76,17,75,58,30,62,30,62,77,16,77,16,32,17,28,62,75,17,32,58,77,15,3
32,59,28,33,59,72,21,19,72,21,71,57,30,61,31,62,73,20,73,20,33,21,28,61,71,21,33,57,73,19,4
38,53,36,40,54,74,19,17,74,19,73,52,37,54,38,56,75,18,75,18,40,19,36,55,73,19,39,52,75,17,4
42,50,36,41,49,69,24,22,69,24,68,47,39,53,39,52,70,23,70,23,41,24,36,52,68,24,42,47,70,22,5
21,72,19,21,72,77,16,14,77,16,76,71,20,73,20,73,78,15,78,15,21,16,19,73,76,16,21,71,78,14,1
29,61,22,29,61,78,15,13,78,14,77,57,25,65,25,65,80,14,79,13,29,15,22,65,78,15,29,58,79,13,3
33,59,29,32,59,69,24,22,68,24,67,57,31,61,31,61,70,23,69,23,33,25,29,61,67,24,33,57,70,22,4
29,63,25,29,63,67,26,24,67,26,66,61,27,65,27,65,68,25,68,25,29,26,25,65,66,26,29,61,68,24,3
19,74,17,18,74,69,23,22,69,24,68,73,18,75,18,75,70,23,70,23,19,24,17,75,68,24,19,73,70,22,3
37,55,33,36,55,73,19,18,73,20,72,53,35,57,35,57,74,19,74,19,37,20,33,57,72,20,37,53,74,18,4
48,45,46,47,45,72,20,19,72,21,71,44,47,46,47,46,73,20,73,20,48,21,46,46,71,21,48,44,73,19,3
34,58,30,33,58,70,24,23,69,23,69,56,32,60,32,60,71,24,69,23,34,25,30,60,69,24,34,56,70,23,5
31,60,29,32,61,76,16,15,76,17,75,59,30,61,31,63,77,16,77,16,33,17,29,62,75,17,32,59,77,15,4
27,65,23,27,65,63,28,25,64,29,62,63,25,67,25,67,65,27,66,27,27,28,23,67,62,29,27,63,65,25,1
46,45,44,47,46,70,22,21,70,23,69,45,45,46,46,48,71,22,71,22,48,23,45,47,69,23,47,45,71,21,6
36,56,30,34,55,74,18,17,74,19,73,53,33,59,33,58,75,18,75,18,35,19,30,58,73,19,36,53,75,17,4
29,63,25,29,63,81,14,12,80,12,80,61,27,65,27,65,82,13,80,12,29,14,25,65,80,13,29,61,81,12,3
44,47,40,45,47,66,27,25,66,27,65,45,42,49,43,50,67,26,67,26,45,27,40,49,65,27,45,45,67,25,2
35,57,31,34,57,54,35,31,55,37,52,55,33,59,33,59,57,34,58,34,35,36,31,59,52,37,35,55,57,31,2
36,56,32,36,56,68,26,23,67,25,66,54,34,58,34,58,69,24,68,24,36,26,32,58,66,25,36,54,69,23,6
46,46,42,46,46,67,26,24,67,26,66,44,44,48,44,48,68,25,68,25,46,26,42,48,66,26,46,44,68,24,3
