@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
27,65,23,27,65,64,45,43,49,43,49,66,27,66,27,45,47,41,63,25,67,25,67,45,47,69,24,22,69,24,65,28,70,23,70,23,65,28,66,23,45,24,68,26,45,45,45,28,45,24,43,28,27,49,66,24,64,28,27,63,25,49,27,28,66,26,41,49,27,28,45,27,70,22,45,28,68,24,23,67,66,24,65,24,2
14,78,10,14,78,58,44,46,46,47,47,60,30,62,30,47,45,46,76,12,80,12,80,47,45,79,12,12,79,14,59,31,80,12,80,13,60,32,62,13,48,14,78,28,48,45,47,32,48,13,47,32,14,47,61,13,58,32,14,76,12,47,14,32,61,28,46,46,14,32,47,30,80,12,47,32,78,13,10,80,62,14,60,13,2
21,72,19,21,72,55,53,35,57,35,57,61,32,59,31,37,55,33,71,20,73,20,73,36,55,72,21,19,72,21,58,34,73,20,73,20,57,33,61,20,37,21,71,29,37,53,37,35,37,21,35,35,21,57,61,21,55,34,21,71,20,57,21,35,60,29,33,57,21,35,37,32,73,19,37,33,71,21,19,73,59,21,58,21,3
5,88,3,5,88,72,30,57,34,57,35,73,18,74,19,59,32,55,87,4,89,4,89,58,32,78,14,13,78,15,73,18,79,14,79,14,73,20,74,14,59,15,77,18,59,30,59,19,60,15,58,20,5,35,74,14,72,19,5,87,4,35,5,19,74,18,55,34,5,20,59,19,79,13,59,20,77,15,3,89,74,15,73,14,7
20,72,16,20,72,58,43,49,44,48,45,61,29,62,30,49,43,48,70,18,74,18,74,48,44,79,13,12,79,14,60,30,80,13,80,13,60,32,62,13,49,14,78,28,49,43,49,31,50,14,49,32,20,45,62,13,58,31,20,70,18,45,20,31,62,28,48,44,20,32,49,30,80,12,49,32,78,14,16,74,62,14,60,13,6
11,82,9,10,82,67,34,53,38,54,38,68,24,69,24,55,36,51,81,10,83,10,83,55,36,72,20,19,72,21,68,24,73,20,73,20,68,25,69,20,56,21,71,23,56,34,56,25,56,21,54,25,11,39,69,21,67,25,11,81,10,39,11,25,69,23,51,38,11,25,56,24,73,19,55,25,71,21,9,83,69,21,68,21,7
17,75,13,17,75,69,48,41,50,41,52,70,21,71,22,42,49,40,73,15,77,15,77,42,50,77,15,14,77,16,70,21,78,15,78,15,70,23,71,15,43,16,76,21,42,48,43,22,44,16,42,23,17,52,71,15,69,22,17,73,15,52,17,22,71,21,40,51,17,23,43,22,78,14,42,23,76,16,13,77,71,16,70,15,4
13,80,11,12,80,58,43,48,45,48,44,60,30,62,30,49,44,47,79,12,81,12,81,48,44,72,19,19,72,21,59,31,73,19,73,20,60,32,62,20,49,21,71,29,49,43,48,32,49,20,48,32,13,45,61,20,59,32,13,79,12,45,13,32,61,29,47,45,13,32,48,30,73,19,49,32,71,20,11,81,62,21,60,20,5
9,84,7,9,84,76,26,63,28,64,30,78,17,76,16,64,27,62,83,8,85,8,85,65,28,79,16,14,78,14,77,17,80,15,78,14,76,16,78,15,66,16,78,16,65,26,66,18,66,16,64,18,9,30,78,16,76,17,9,83,8,30,9,18,77,16,62,29,9,18,66,17,79,14,64,16,78,15,7,85,76,14,77,16,6
11,81,7,11,81,66,28,63,30,63,30,68,25,68,25,64,29,62,79,9,83,9,83,64,29,71,22,20,71,22,67,26,72,21,72,21,67,26,68,21,64,22,70,24,64,28,64,26,64,22,63,26,11,30,68,22,66,26,11,79,9,30,11,26,68,24,62,30,11,26,64,25,72,20,64,26,70,22,7,83,68,22,67,22,1
12,80,9,11,80,69,49,39,53,39,52,70,22,71,22,41,51,37,78,10,82,10,82,40,51,77,15,14,77,16,70,22,78,15,78,15,70,23,71,15,41,16,76,21,41,49,41,23,41,16,39,23,12,53,71,16,69,23,12,79,10,53,12,23,71,21,37,53,12,23,41,22,78,14,41,23,76,16,9,82,71,16,70,16,5
13,79,9,13,79,67,38,49,42,50,43,68,24,69,24,51,40,47,77,11,81,11,81,52,40,71,21,20,71,22,68,25,72,21,72,21,68,25,69,21,52,22,70,23,52,38,52,25,52,22,50,25,13,43,69,22,67,25,13,77,11,43,13,25,69,23,47,42,13,25,52,24,72,20,51,25,70,22,9,81,69,22,68,22,5
