@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atLkk numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMjj numeric
@attribute o2atLjj numeric
@attribute o2atLkk numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMgh numeric
@attribute o2atLgh numeric
@attribute o2atMhi numeric
@attribute o2atLhi numeric
@attribute o2atMij numeric
@attribute o2atLij numeric
@attribute o2atMjk numeric
@attribute o2atLjk numeric
@attribute o2atMeg numeric
@attribute o2atLeg numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMii numeric
@attribute o2atLii numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMgj numeric
@attribute o2atLgj numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMkj numeric
@attribute o2atLkj numeric
@attribute o2atMji numeric
@attribute o2atLji numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMef numeric
@attribute o2atLef numeric
@attribute o2atMfg numeric
@attribute o2atLfg numeric
@attribute o2atMgi numeric
@attribute o2atLgi numeric
@attribute o2atMee numeric
@attribute o2atLee numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMeh numeric
@attribute o2atLeh numeric
@attribute o2atMhk numeric
@attribute o2atLhk numeric
@attribute o2atMik numeric
@attribute o2atLik numeric
@attribute o2atMdg numeric
@attribute o2atLdg numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMff numeric
@attribute o2atLff numeric
@attribute o2atMfe numeric
@attribute o2atLfe numeric
@attribute o2atMgg numeric
@attribute o2atLgg numeric
@attribute o2atMgf numeric
@attribute o2atLgf numeric
@attribute o2atMei numeric
@attribute o2atLei numeric
@attribute o2atMhj numeric
@attribute o2atLhj numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMdh numeric
@attribute o2atLdh numeric
@attribute o2atMdf numeric
@attribute o2atLdf numeric
@attribute o2atMfh numeric
@attribute o2atLfh numeric
@attribute o2atMhh numeric
@attribute o2atLhh numeric
@attribute o2atMih numeric
@attribute o2atLih numeric
@attribute o2atMfi numeric
@attribute o2atLfi numeric
@attribute o2atMhg numeric
@attribute o2atLhg numeric
@attribute o2atMcf numeric
@attribute o2atLcf numeric
@attribute o2atMfj numeric
@attribute o2atLfj numeric
@attribute o2atMfd numeric
@attribute o2atLfd numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atLkk numeric
@attribute o3atMjj numeric
@attribute o3atLjj numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMee numeric
@attribute o3atLee numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMef numeric
@attribute o3atLef numeric
@attribute o3atMkj numeric
@attribute o3atLkj numeric
@attribute o3atMji numeric
@attribute o3atLji numeric
@attribute o3atMih numeric
@attribute o3atLih numeric
@attribute o3atMhg numeric
@attribute o3atLhg numeric
@attribute o3atMgf numeric
@attribute o3atLgf numeric
@attribute o3atMfe numeric
@attribute o3atLfe numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMhh numeric
@attribute o3atLhh numeric
@attribute o3atMgg numeric
@attribute o3atLgg numeric
@attribute o3atMff numeric
@attribute o3atLff numeric
@attribute o3atMfg numeric
@attribute o3atLfg numeric
@attribute o3atMgh numeric
@attribute o3atLgh numeric
@attribute o3atMii numeric
@attribute o3atLii numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute o3atMgi numeric
@attribute o3atLgi numeric
@attribute o3atMik numeric
@attribute o3atLik numeric
@attribute o3atMdg numeric
@attribute o3atLdg numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMij numeric
@attribute o3atLij numeric
@attribute o3atMjk numeric
@attribute o3atLjk numeric
@attribute o3atMdf numeric
@attribute o3atLdf numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMeg numeric
@attribute o3atLeg numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMhj numeric
@attribute o3atLhj numeric
@attribute o3atMdh numeric
@attribute o3atLdh numeric
@attribute o3atMhi numeric
@attribute o3atLhi numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMeh numeric
@attribute o3atLeh numeric
@attribute o3atMfi numeric
@attribute o3atLfi numeric
@attribute o3atMge numeric
@attribute o3atLge numeric
@attribute o3atMfh numeric
@attribute o3atLfh numeric
@attribute o3atMcf numeric
@attribute o3atLcf numeric
@attribute o3atMhk numeric
@attribute o3atLhk numeric
@attribute o3atMfd numeric
@attribute o3atLfd numeric
@attribute o3atMgj numeric
@attribute o3atLgj numeric
@attribute o3atMcg numeric
@attribute o3atLcg numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMig numeric
@attribute o3atLig numeric
@attribute o3atMei numeric
@attribute o3atLei numeric
@attribute o3atMec numeric
@attribute o3atLec numeric
@attribute o3atMhf numeric
@attribute o3atLhf numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
26,11,31,3,18,14,16,17,13,20,10,31,19,12,27,4,27,4,19,12,17,15,14,18,11,21,10,20,13,17,0,31,16,14,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,27,0,31,0,31,0,31,0,0,31,0,31,0,19,4,16,12,19,4,11,31,19,13,11,12,20,13,19,14,18,16,16,17,15,18,14,20,12,15,17,12,19,17,14,13,18,16,14,12,18,11,19,19,11,17,13,0,0,31,14,17,15,16,16,15,14,17,13,18,13,17,15,16,17,12,18,12,14,17,0,31,14,16,14,16,15,16,14,16,15,15,17,14,12,19,14,16,14,17,15,16,16,15,16,14,15,15,15,15,13,17,15,14,13,16,0,20,5,25,9,6,29,10,23,16,19,1,30,7,24,11,20,17,14,26,6,22,10,21,11,20,12,19,13,17,14,11,20,7,24,1,30,20,11,19,12,18,13,18,12,19,11,21,10,1,24,19,10,21,5,11,12,0,31,21,9,25,5,11,14,0,0,31,17,12,0,31,20,9,11,11,20,10,7,20,17,11,18,10,17,13,18,11,7,14,20,5,11,14,19,9,7,12,0,30,20,11,17,10,7,20,19,12,2
31,0,31,0,31,0,31,16,14,28,1,31,31,0,31,0,31,0,31,0,31,0,14,16,2,29,2,29,15,17,0,31,31,0,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,31,0,31,0,8,31,20,12,9,9,22,13,17,15,16,16,15,16,14,18,12,21,10,16,16,13,21,17,14,14,17,17,13,14,17,9,22,21,10,18,13,0,0,31,15,16,16,15,16,15,15,16,14,16,14,16,16,15,17,10,18,10,15,16,0,31,15,15,15,15,16,15,15,15,16,15,17,12,9,17,15,15,15,16,16,15,16,14,16,14,16,15,16,14,14,16,16,13,14,15,0,22,0,31,0,0,31,0,31,2,31,0,31,0,31,0,31,2,28,31,0,31,0,31,0,19,13,11,21,3,29,0,31,0,31,0,31,31,11,17,19,9,28,10,20,18,12,31,0,0,31,18,0,31,0,0,20,0,31,31,0,31,0,0,28,0,0,31,2,20,0,31,31,0,0,12,31,0,0,31,2,12,10,0,3,21,10,12,0,28,31,0,0,29,18,0,0,20,0,31,19,0,2,0,0,31,11,13,2
16,17,31,13,13,18,12,19,11,24,6,30,13,17,17,14,17,14,14,18,13,19,12,20,7,25,6,24,11,19,1,31,12,18,31,0,31,0,31,0,31,0,31,0,0,0,30,31,0,17,0,31,0,31,0,31,0,0,31,0,31,0,13,14,12,17,14,14,11,20,19,12,11,12,20,13,19,14,18,16,15,17,14,19,13,20,12,15,16,12,19,18,14,13,18,17,13,12,18,11,19,19,11,18,12,10,11,21,15,17,16,16,17,15,14,17,13,18,13,17,15,15,17,12,19,12,14,16,10,20,15,16,14,16,16,15,15,15,15,15,17,13,12,19,14,15,14,17,16,15,16,14,16,14,16,15,16,14,13,17,16,13,13,16,11,20,0,31,5,0,31,6,31,10,23,0,31,0,31,7,24,11,20,31,0,26,6,23,9,18,13,14,17,11,20,7,24,0,31,0,31,22,12,17,16,13,19,14,17,18,13,25,8,0,31,18,8,25,0,7,17,0,31,25,5,31,0,7,20,0,0,31,11,17,0,31,22,5,7,13,22,8,0,24,11,13,14,8,11,17,14,13,0,20,22,0,7,20,18,5,0,17,0,31,18,9,11,8,0,24,14,13,3
31,0,31,0,31,3,27,16,14,31,0,31,31,0,31,0,31,0,31,0,27,3,14,16,0,31,0,31,15,17,0,31,28,4,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,28,0,31,0,2,31,19,13,10,3,28,6,24,10,20,17,14,17,13,18,13,20,11,17,15,6,27,17,13,7,21,18,14,7,24,3,28,20,11,17,13,0,0,31,16,15,17,14,17,14,16,20,9,23,10,21,17,14,18,11,18,11,10,15,0,31,16,14,16,14,17,14,16,14,17,14,18,13,3,24,10,14,10,15,17,14,17,13,17,13,17,14,17,13,7,15,17,14,10,14,0,28,0,31,0,0,31,9,31,18,18,0,31,0,31,11,20,18,12,31,0,31,0,30,2,28,4,23,9,19,13,11,20,0,31,0,31,29,3,27,8,22,12,22,8,27,3,31,1,0,31,27,1,31,0,11,8,0,31,31,0,31,0,11,12,0,0,31,18,8,0,31,29,0,11,3,29,1,0,20,18,3,22,1,19,9,22,3,0,12,29,0,11,13,27,0,0,8,0,31,28,2,18,1,0,20,23,4,7
31,0,31,0,31,1,29,10,19,25,4,31,31,0,31,0,31,0,31,0,30,2,20,11,5,26,5,26,20,11,0,31,29,1,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,29,0,31,0,6,31,20,11,9,7,24,10,20,18,13,19,12,19,12,19,11,21,9,18,13,10,23,19,11,11,14,19,12,11,20,7,24,21,10,19,11,0,0,31,18,13,18,12,19,12,18,13,17,19,17,13,19,13,20,10,20,9,18,13,0,31,18,12,18,12,18,12,18,12,19,12,19,12,7,20,18,13,18,13,19,12,19,12,19,11,19,12,18,12,11,13,19,12,17,12,0,24,0,31,0,0,31,0,31,0,31,0,31,0,31,0,31,0,31,31,0,31,1,29,3,19,13,6,25,0,31,0,31,0,31,0,31,28,11,17,24,5,31,6,25,18,12,30,2,0,31,18,2,30,0,0,25,0,31,30,0,31,0,0,31,0,0,31,0,25,0,31,28,0,0,12,28,2,0,31,0,12,6,2,0,25,6,12,0,31,28,0,0,31,18,0,0,25,0,31,19,3,0,2,0,31,6,13,6
31,0,31,0,31,13,15,22,7,31,0,31,31,0,31,0,31,0,31,0,17,15,8,23,0,31,0,31,8,23,0,31,16,14,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,16,0,31,0,8,26,17,13,13,9,22,13,18,15,16,16,15,17,14,17,14,18,13,16,15,12,21,17,14,13,16,17,14,13,18,9,22,17,13,17,13,3,4,27,15,15,16,15,17,15,15,15,15,17,15,15,16,15,17,14,18,14,16,16,4,27,15,15,15,15,16,15,15,15,16,15,17,14,9,18,16,15,15,16,16,15,16,14,16,14,16,15,16,14,13,16,16,14,15,15,4,22,0,30,5,3,31,12,26,18,15,0,31,4,27,14,17,18,12,31,1,26,6,24,8,22,10,21,11,19,13,14,17,4,27,0,31,23,9,21,10,20,12,20,10,21,9,25,7,0,27,21,7,25,0,14,10,0,31,25,5,30,0,14,12,0,0,31,18,10,0,31,23,5,14,9,23,7,4,17,18,9,20,7,19,11,20,9,4,12,23,0,14,13,21,5,4,10,0,31,22,8,18,7,4,17,21,10,7
31,0,31,0,31,1,28,8,21,22,7,31,31,0,31,0,31,0,31,0,29,2,22,9,8,23,8,23,22,9,0,31,29,2,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,29,0,31,0,4,31,24,7,6,5,26,7,23,10,20,23,8,23,7,24,7,25,7,16,9,7,25,23,7,8,21,24,8,8,23,5,26,24,6,23,7,0,0,31,15,16,23,8,23,8,14,20,9,22,10,21,16,8,24,7,24,7,10,9,0,31,22,14,15,15,23,8,22,8,16,8,24,7,5,23,10,8,10,16,23,8,23,7,23,7,23,8,23,7,8,16,23,8,10,15,0,26,4,26,7,0,31,0,31,11,31,0,31,0,31,0,31,12,19,27,5,24,8,22,10,19,13,16,16,12,19,0,31,0,31,0,31,21,12,18,15,15,18,15,15,18,12,23,9,0,31,18,9,23,4,0,15,0,31,23,7,26,4,0,19,0,0,31,12,15,0,31,21,7,0,12,21,9,0,31,12,12,15,9,12,16,15,12,0,19,21,4,0,19,18,7,0,15,0,31,19,10,12,9,0,31,16,13,4
17,15,29,13,15,18,12,28,2,31,0,31,15,15,17,13,18,14,16,16,13,19,3,29,0,31,0,31,2,28,0,31,12,18,30,1,30,1,31,0,31,0,31,0,0,0,31,31,0,17,1,31,0,31,0,31,0,0,31,0,31,0,15,13,12,15,16,14,10,23,31,0,0,10,20,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,20,31,0,31,0,31,0,31,0,11,21,31,0,31,0,6,7,24,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,7,24,31,0,31,0,31,0,31,0,31,0,31,0,10,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,7,20,11,18,17,0,30,1,30,1,29,0,31,1,30,1,30,1,29,19,12,13,18,7,24,3,27,1,29,1,29,1,29,0,30,0,30,6,26,2,29,1,29,2,29,3,28,12,23,1,31,4,24,13,12,2,30,0,31,12,18,19,11,1,30,0,0,31,2,29,0,31,7,18,2,28,7,23,1,30,2,28,2,24,1,29,2,28,1,30,7,12,1,29,4,18,1,30,0,31,3,24,2,24,0,29,1,27,5
31,4,31,0,25,15,14,24,5,31,0,31,26,5,31,0,31,0,26,5,15,16,6,25,0,31,0,31,6,25,0,31,15,16,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,26,0,15,5,26,0,0,31,31,0,0,0,31,0,30,9,22,31,0,31,0,31,0,31,0,31,0,0,31,31,0,0,22,31,0,1,31,0,31,31,0,31,0,0,0,31,31,0,31,0,31,0,31,21,8,30,9,22,31,0,31,0,31,0,9,0,0,31,31,0,31,0,31,0,31,0,31,0,31,0,0,30,9,0,9,0,31,0,31,0,31,0,31,0,31,0,0,0,31,0,9,0,0,31,14,16,15,11,23,12,19,12,18,7,24,12,20,12,19,13,18,16,14,15,15,14,16,14,16,13,17,12,18,12,18,11,19,7,24,14,16,14,17,13,18,14,18,14,17,15,16,7,20,15,17,16,15,13,18,6,31,16,16,17,15,13,19,0,0,31,13,18,0,31,15,16,13,17,15,16,12,19,13,17,14,17,12,17,14,17,12,19,15,15,12,18,15,16,12,18,0,24,14,16,13,17,11,18,13,16,6
31,0,31,0,31,5,25,20,9,31,0,31,31,0,31,0,31,0,31,0,25,5,10,21,0,31,0,31,10,21,0,31,26,6,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,26,0,31,0,4,31,20,11,10,5,26,9,22,12,19,18,14,19,13,20,12,21,11,17,15,8,25,19,12,9,19,18,12,9,22,5,26,20,10,19,11,0,0,31,16,15,17,14,18,13,16,18,11,21,12,19,17,14,19,11,20,11,12,15,0,31,16,14,16,14,17,14,16,14,17,13,19,12,5,22,12,14,12,15,17,14,18,13,18,12,17,13,17,13,9,15,17,12,12,14,0,26,6,24,8,11,26,16,16,17,14,4,27,13,18,16,14,17,13,25,7,23,9,21,11,20,12,19,13,18,14,17,15,13,18,4,27,20,11,19,12,18,13,18,12,19,11,22,10,4,18,19,10,22,6,16,12,3,31,22,8,24,6,16,13,0,0,31,17,12,0,31,20,8,16,11,20,10,13,14,17,11,18,10,18,13,18,11,13,13,20,6,17,14,19,8,13,12,0,27,20,11,17,10,13,15,19,12,1
