@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atMcdd numeric
@attribute o2atLcdd numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMdde numeric
@attribute o2atLdde numeric
@attribute o2atLeee numeric
@attribute o2atMccd numeric
@attribute o2atLccd numeric
@attribute o2atMdee numeric
@attribute o2atLdee numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMcee numeric
@attribute o2atLcee numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMbce numeric
@attribute o2atLbce numeric
@attribute o2atMeed numeric
@attribute o2atLeed numeric
@attribute o2atMbcd numeric
@attribute o2atLbcd numeric
@attribute o2atMccc numeric
@attribute o2atLccc numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMbde numeric
@attribute o2atLbde numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMbbd numeric
@attribute o2atLbbd numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMcde numeric
@attribute o2atLcde numeric
@attribute o2atMaac numeric
@attribute o2atLaac numeric
@attribute o2atMacd numeric
@attribute o2atLacd numeric
@attribute o2atMabd numeric
@attribute o2atLabd numeric
@attribute o2atMedd numeric
@attribute o2atLedd numeric
@attribute o2atMddd numeric
@attribute o2atLddd numeric
@attribute o2atMbdd numeric
@attribute o2atLbdd numeric
@attribute o2atMddc numeric
@attribute o2atLddc numeric
@attribute o2atMdcc numeric
@attribute o2atLdcc numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMaba numeric
@attribute o2atLaba numeric
@attribute o2atMdcb numeric
@attribute o2atLdcb numeric
@attribute o2atMcce numeric
@attribute o2atLcce numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMaaa numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMddc numeric
@attribute o3atLddc numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMccc numeric
@attribute o3atLccc numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atLeee numeric
@attribute o3atMedd numeric
@attribute o3atLedd numeric
@attribute o3atMeed numeric
@attribute o3atLeed numeric
@attribute o3atMdcc numeric
@attribute o3atLdcc numeric
@attribute o3atMcdd numeric
@attribute o3atLcdd numeric
@attribute o3atMddd numeric
@attribute o3atLddd numeric
@attribute o3atMccd numeric
@attribute o3atLccd numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMcee numeric
@attribute o3atLcee numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute o3atMbce numeric
@attribute o3atLbce numeric
@attribute o3atMbcd numeric
@attribute o3atLbcd numeric
@attribute o3atMdde numeric
@attribute o3atLdde numeric
@attribute o3atMdee numeric
@attribute o3atLdee numeric
@attribute o3atMdcd numeric
@attribute o3atLdcd numeric
@attribute o3atMcde numeric
@attribute o3atLcde numeric
@attribute o3atMabd numeric
@attribute o3atLabd numeric
@attribute o3atMbde numeric
@attribute o3atLbde numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMbbd numeric
@attribute o3atLbbd numeric
@attribute o3atMede numeric
@attribute o3atLede numeric
@attribute o3atMdcb numeric
@attribute o3atLdcb numeric
@attribute o3atMedc numeric
@attribute o3atLedc numeric
@attribute o3atMcdc numeric
@attribute o3atLcdc numeric
@attribute o3atMaba numeric
@attribute o3atLaba numeric
@attribute o3atMded numeric
@attribute o3atLded numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
12,19,10,30,12,17,14,18,13,16,18,11,20,10,18,10,18,30,0,30,0,30,0,30,0,30,0,16,12,16,12,30,0,11,18,16,13,30,0,0,30,0,30,0,30,0,30,0,17,12,30,0,10,12,19,13,18,16,15,11,20,14,17,17,14,12,15,16,18,13,10,18,16,13,12,18,10,18,14,14,16,12,14,16,14,16,12,16,14,14,12,16,13,16,12,18,16,14,11,18,12,16,12,16,16,12,16,14,14,15,14,14,14,14,12,17,11,18,10,19,12,14,15,14,3,26,1,3,26,20,11,12,17,12,17,18,15,13,16,11,25,2,27,2,27,13,16,8,21,10,22,9,19,12,18,10,20,10,18,10,13,15,18,8,3,17,13,8,13,10,20,8,20,8,19,10,18,8,3,10,13,8,11,17,3,25,12,10,21,8,13,12,20,10,18,11,1,27,20,9,2
5,24,3,30,0,30,0,30,0,30,23,4,25,5,24,4,25,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,5,23,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,7,9,20,15,16,15,14,8,21,15,15,16,12,12,15,14,17,12,9,20,17,13,14,19,8,21,16,14,16,13,15,15,15,14,14,14,16,13,14,14,15,15,9,16,16,13,8,16,9,15,9,15,15,13,15,13,15,14,15,13,15,13,14,15,9,19,7,21,14,13,16,13,0,30,0,0,30,15,15,0,30,0,29,11,28,1,29,0,30,0,30,0,30,0,28,0,30,0,30,0,13,17,13,14,30,13,12,15,1,29,13,0,0,29,0,0,0,15,30,0,30,0,14,13,13,0,0,15,0,0,0,29,0,30,0,15,30,0,1,17,15,0,11,16,0,30,30,0,2
8,23,6,25,17,12,19,13,18,11,22,7,24,6,22,6,22,27,2,27,2,26,3,30,1,26,3,11,17,11,17,25,3,7,22,11,18,30,0,0,30,0,30,0,30,0,27,1,12,17,30,0,11,13,18,14,17,16,15,12,19,14,16,17,14,12,15,15,18,13,11,17,16,13,13,17,11,17,15,14,16,12,15,16,14,15,13,15,15,14,13,15,14,16,13,17,16,14,12,17,13,16,13,16,16,12,16,14,15,15,14,14,14,14,13,16,12,17,11,18,13,14,15,14,0,30,0,0,30,16,13,8,21,8,21,14,19,9,20,7,30,0,30,0,30,9,20,5,24,7,25,6,15,14,16,13,23,12,15,14,9,19,16,5,0,21,9,5,9,14,23,5,23,5,16,12,16,5,0,14,9,5,7,21,0,30,8,14,24,5,9,14,16,7,14,14,0,30,23,6,3
0,30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,3,5,24,11,18,16,13,4,25,12,16,17,13,12,16,13,18,13,5,24,17,13,10,23,4,25,13,14,16,12,13,14,15,14,11,16,14,14,12,15,12,15,5,18,17,13,4,18,5,14,5,15,16,12,16,13,13,14,15,13,15,13,10,17,5,23,3,25,12,13,16,13,0,30,0,0,30,27,4,14,16,14,15,25,14,15,15,13,30,0,30,0,30,14,14,0,30,1,30,0,26,5,25,3,29,3,25,3,15,14,25,0,0,15,14,0,14,3,29,0,29,0,26,3,25,0,0,3,14,0,13,15,0,30,14,3,30,0,15,5,27,1,25,4,0,30,29,0,7
12,17,10,30,0,30,1,30,0,29,16,11,18,12,17,11,18,30,0,30,0,30,0,30,0,30,0,29,0,29,0,30,0,12,16,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,6,8,21,17,13,18,11,7,22,17,12,19,11,10,18,11,20,11,8,21,19,11,17,20,7,22,18,12,18,10,18,12,17,11,17,11,19,12,17,11,18,13,8,13,19,11,7,13,8,12,8,13,18,10,18,11,18,12,17,11,17,11,17,12,8,20,6,22,17,11,18,11,0,30,0,0,30,13,17,0,30,0,30,9,30,0,30,0,30,0,30,0,30,0,30,0,29,2,30,1,11,19,11,16,28,15,10,17,0,30,11,0,0,30,0,0,0,17,28,0,28,0,12,15,11,0,0,17,0,0,0,30,0,30,0,17,29,0,0,19,13,2,9,18,0,30,28,1,6
0,30,0,30,6,21,8,22,7,20,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,21,8,22,7,30,0,0,30,20,8,30,0,0,30,0,30,0,30,0,30,0,22,6,30,0,9,10,18,15,15,16,14,10,19,15,15,17,13,12,16,14,18,13,11,18,17,13,14,17,10,19,16,14,16,12,16,15,15,14,14,14,16,14,14,14,15,15,11,16,17,14,10,16,11,15,11,15,16,12,16,13,16,14,15,13,15,13,14,15,11,17,9,19,14,13,16,14,0,30,0,0,30,22,9,16,14,16,13,20,12,17,13,15,30,0,30,0,30,16,12,5,24,7,25,6,21,10,20,8,23,8,20,8,17,12,20,5,0,13,16,5,16,8,23,5,23,5,21,8,20,5,0,8,16,5,15,13,0,30,16,8,24,5,17,10,22,7,20,9,0,30,23,6,7
11,18,9,30,0,30,0,30,0,30,17,10,19,11,18,10,19,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,11,17,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,4,6,23,10,18,22,7,5,24,10,17,23,7,6,22,7,24,7,6,23,23,7,10,22,5,24,11,8,22,6,11,8,21,16,11,18,12,8,12,17,11,9,6,18,23,7,5,18,6,8,6,9,22,6,22,7,11,8,21,7,21,7,10,18,6,22,4,24,12,7,22,7,0,30,0,0,30,18,13,0,30,0,30,16,30,0,30,0,30,0,30,0,30,0,30,6,23,8,24,7,17,14,16,12,22,12,16,12,0,30,16,6,0,30,0,6,0,12,22,6,22,6,17,12,16,6,0,12,0,6,0,30,0,30,0,12,23,6,0,14,18,8,16,13,0,30,22,7,4
0,30,0,23,15,14,17,15,16,13,30,0,30,0,30,0,30,25,2,27,3,24,3,30,2,25,5,13,15,13,15,24,4,0,30,13,16,30,0,0,30,0,30,0,30,0,26,2,14,15,30,0,10,10,18,30,0,30,0,10,18,30,0,30,0,0,30,0,30,0,12,19,30,0,30,18,11,20,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,10,0,30,0,10,0,10,0,10,0,30,0,30,0,30,0,30,0,30,0,30,0,11,18,10,19,30,0,30,0,0,29,0,0,30,1,27,0,28,1,29,1,28,0,28,0,29,0,29,0,30,1,29,19,8,21,9,20,1,27,1,28,7,27,1,28,1,28,3,20,1,30,2,21,1,29,8,19,9,19,1,27,2,20,1,29,2,20,0,29,0,29,1,29,9,19,0,27,1,21,1,28,0,30,7,20,5
0,30,0,30,9,18,11,19,10,17,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,18,11,19,10,30,0,0,30,17,11,30,0,0,30,0,30,0,30,0,30,0,19,9,30,0,0,0,30,30,0,30,0,0,30,30,0,30,0,0,30,0,30,0,0,30,30,0,30,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,0,30,0,0,0,0,0,0,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,0,30,30,0,30,0,9,20,7,9,20,12,16,11,17,12,19,12,17,11,17,11,19,8,21,8,21,12,18,14,14,14,14,14,12,16,14,17,14,16,13,17,12,17,14,15,9,19,13,16,13,18,15,16,16,15,13,16,14,16,9,18,13,16,11,18,9,19,12,18,15,14,11,16,12,14,12,17,7,21,14,15,6
0,30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,3,5,24,15,16,18,13,4,25,16,15,19,12,10,17,14,20,11,5,24,18,11,14,23,4,25,16,12,18,10,16,14,16,14,14,14,16,12,14,14,15,14,5,16,18,12,4,16,5,14,5,14,18,10,18,12,16,13,16,12,16,12,14,15,5,23,3,25,14,12,17,12,6,23,4,6,23,20,11,17,14,16,12,18,12,18,13,16,22,5,24,5,24,16,12,8,21,10,22,9,19,12,18,10,20,10,18,10,17,12,18,8,6,12,16,8,16,10,20,8,20,8,19,10,18,8,6,10,16,8,16,13,6,22,16,10,21,8,18,12,20,10,18,11,4,24,20,9,1
