@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {1,2}

@data
31,54,61,36,33,63,57,39,56,38,32,62,33,39,1.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,1.0
31,75,59,17,33,62,77,18,76,18,33,61,34,19,2.0
29,50,65,42,30,66,52,44,51,43,29,65,30,44,2.0
31,57,61,33,32,63,60,35,59,35,32,62,33,36,1.0
34,76,56,18,37,59,77,19,76,18,36,58,37,19,1.0
27,68,65,22,29,67,71,25,70,24,28,66,29,25,2.0
31,49,61,41,32,63,52,43,51,43,32,62,33,44,1.0
31,49,61,41,32,63,52,43,51,43,32,62,33,44,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
34,57,58,31,35,60,61,34,60,34,35,59,36,35,2.0
30,54,62,34,31,64,58,37,57,37,31,63,32,38,1.0
31,60,61,30,32,63,63,32,62,32,32,62,33,33,1.0
29,53,65,35,30,66,57,39,56,38,29,65,30,39,2.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,1.0
27,63,63,27,29,66,66,29,65,29,29,65,30,30,2.0
29,63,65,27,30,66,66,30,65,29,29,65,30,30,1.0
32,61,60,29,34,62,64,32,63,31,33,61,34,32,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,53,61,37,32,63,56,39,55,39,32,62,33,40,1.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
32,58,62,34,33,63,60,36,59,35,32,62,33,36,2.0
28,57,66,31,29,67,61,35,60,34,28,66,29,35,1.0
29,58,65,32,30,66,61,35,60,34,29,65,30,35,1.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,1.0
28,61,64,29,30,66,64,32,63,31,29,65,30,32,1.0
29,61,65,29,30,66,64,32,63,31,29,65,30,32,1.0
34,57,58,35,36,60,59,37,58,36,35,59,36,37,2.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,2.0
32,59,62,29,33,63,63,33,62,32,32,62,33,33,1.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
38,72,52,20,41,55,74,22,73,21,40,54,41,22,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,57,63,33,31,65,60,36,59,35,30,64,31,36,1.0
27,74,65,18,29,67,76,20,75,19,28,66,29,20,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
27,71,65,19,29,67,74,22,73,21,28,66,29,22,2.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,61,60,29,34,62,64,32,63,31,33,61,34,32,1.0
31,58,61,32,32,63,61,34,60,34,32,62,33,35,1.0
32,54,62,36,33,63,57,39,56,38,32,62,33,39,2.0
27,66,65,24,29,67,69,27,68,26,28,66,29,27,2.0
31,54,61,36,32,63,57,38,56,38,32,62,33,39,1.0
32,60,62,32,33,63,62,34,61,33,32,62,33,34,2.0
31,76,59,18,34,62,77,19,76,18,33,61,34,19,2.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
28,61,64,31,30,66,63,33,62,32,29,65,30,33,2.0
28,62,64,28,30,66,65,31,64,30,29,65,30,31,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
28,67,64,23,30,66,70,26,69,25,29,65,30,26,2.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,2.0
27,71,65,19,29,67,74,22,73,21,28,66,29,22,2.0
24,67,68,23,26,70,70,26,69,25,25,69,26,26,1.0
31,53,61,37,32,63,56,39,55,39,32,62,33,40,2.0
29,54,65,38,30,66,56,40,55,39,29,65,30,40,2.0
31,48,61,42,32,63,51,44,50,44,32,62,33,45,1.0
33,66,57,24,36,60,69,27,68,26,35,59,36,27,1.0
31,75,57,17,34,61,77,18,76,18,34,60,35,19,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
31,63,61,27,32,63,66,29,65,29,32,62,33,30,1.0
28,54,64,34,30,66,58,38,57,37,29,65,30,38,2.0
31,57,61,33,32,63,60,35,59,35,32,62,33,36,1.0
32,53,62,37,33,63,56,40,55,39,32,62,33,40,2.0
44,64,46,26,46,49,67,28,66,28,46,48,47,29,2.0
34,66,56,26,37,59,68,28,67,27,36,58,37,28,2.0
32,56,62,32,33,63,60,36,59,35,32,62,33,36,2.0
32,53,62,39,33,63,55,41,54,40,32,62,33,41,2.0
33,68,55,24,37,59,70,26,69,25,36,58,37,26,2.0
29,62,65,26,30,66,66,30,65,29,29,65,30,30,2.0
