@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute destClass {1,2}

@data
29,33,61,31,60,54,39,33,53,37,31,63,51,59,57,36,55,35,30,61,33,36,31,39,33,39,31,37,1
28,30,65,28,64,56,36,28,55,34,29,66,52,64,60,32,58,31,28,64,30,32,29,36,30,36,28,34,1
28,32,59,32,58,75,17,15,74,17,30,62,73,56,77,16,75,16,30,60,34,17,31,19,33,18,32,17,2
28,30,65,28,64,50,44,40,49,42,29,66,48,64,52,42,50,41,28,64,30,42,29,44,30,44,28,42,2
29,31,61,31,60,57,34,30,56,34,30,63,54,59,60,32,58,32,30,61,33,33,31,36,32,35,31,34,1
31,37,56,35,55,76,19,17,75,17,34,59,75,53,77,18,75,17,33,57,37,18,34,19,37,19,35,17,1
25,29,65,27,64,68,25,19,67,23,27,67,65,63,71,22,69,21,26,65,29,22,27,25,29,25,27,23,2
29,31,61,31,60,49,42,38,48,42,30,63,46,59,52,40,50,40,30,61,33,41,31,44,32,43,31,42,1
29,31,61,31,60,49,42,38,48,42,30,63,46,59,52,40,50,40,30,61,33,41,31,44,32,43,31,42,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
32,34,58,34,57,57,33,27,56,33,33,60,53,56,61,30,59,30,33,58,36,31,34,35,35,34,34,33,2
28,30,62,30,61,54,36,30,53,36,29,64,50,60,58,33,56,33,29,62,32,34,30,38,31,37,30,36,1
29,31,61,31,60,60,31,27,59,31,30,63,57,59,63,29,61,29,30,61,33,30,31,33,32,32,31,31,1
28,30,65,28,64,53,39,31,52,37,29,66,49,64,57,35,55,34,28,64,30,35,29,39,30,39,28,37,2
28,30,65,28,64,62,31,25,61,29,29,66,59,64,65,28,63,27,28,64,30,28,29,31,30,31,28,29,1
24,28,63,28,62,63,28,24,62,28,26,66,60,60,66,26,64,26,26,64,30,27,27,30,29,29,28,28,2
28,30,65,28,64,63,30,24,62,28,29,66,60,64,66,27,64,26,28,64,30,27,29,30,30,30,28,28,1
30,34,60,32,59,61,32,26,60,30,32,62,58,58,64,29,62,28,31,60,34,29,32,32,34,32,32,30,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
29,31,61,31,60,53,38,34,52,38,30,63,50,59,56,36,54,36,30,61,33,37,31,40,32,39,31,38,1
29,31,61,31,60,56,35,31,55,35,30,63,53,59,59,33,57,33,30,61,33,34,31,37,32,36,31,35,1
31,32,62,31,61,58,35,32,57,34,32,63,56,61,60,34,58,33,31,61,33,34,32,36,33,36,31,34,2
27,29,66,27,65,57,35,27,56,33,28,67,53,65,61,31,59,30,27,65,29,31,28,35,29,35,27,33,1
28,30,65,28,64,58,35,29,57,33,29,66,55,64,61,32,59,31,28,64,30,32,29,35,30,35,28,33,1
28,30,65,28,64,62,31,25,61,29,29,66,59,64,65,28,63,27,28,64,30,28,29,31,30,31,28,29,1
26,29,64,28,63,61,31,26,60,30,28,66,58,62,64,29,62,28,27,64,30,29,28,32,30,32,28,30,1
28,30,65,28,64,61,32,26,60,30,29,66,58,64,64,29,62,28,28,64,30,29,29,32,30,32,28,30,1
32,36,58,34,57,57,37,33,56,35,34,60,55,56,59,35,57,34,33,58,36,35,34,37,36,37,34,35,2
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,2
31,33,62,31,61,59,33,25,58,31,32,63,55,61,63,29,61,28,31,61,33,29,32,33,33,33,31,31,1
29,31,61,31,60,55,36,32,54,36,30,63,52,59,58,34,56,34,30,61,33,35,31,38,32,37,31,36,1
35,41,52,39,51,72,22,18,71,20,38,55,70,49,74,20,72,19,37,53,41,20,38,22,41,22,39,20,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
27,31,63,29,62,57,36,30,56,34,29,65,54,61,60,33,58,32,28,63,31,33,29,36,31,36,29,34,1
25,29,65,27,64,74,20,16,73,18,27,67,72,63,76,18,74,17,26,65,29,18,27,20,29,20,27,18,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
29,31,61,31,60,52,39,35,51,39,30,63,49,59,55,37,53,37,30,61,33,38,31,41,32,40,31,39,1
25,29,65,27,64,71,22,16,70,20,27,67,68,63,74,19,72,18,26,65,29,19,27,22,29,22,27,20,2
28,30,65,28,64,58,34,26,57,32,29,66,54,64,62,30,60,29,28,64,30,30,29,34,30,34,28,32,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
30,34,60,32,59,61,32,26,60,30,32,62,58,58,64,29,62,28,31,60,34,29,32,32,34,32,32,30,1
29,31,61,31,60,58,33,29,57,33,30,63,55,59,61,31,59,31,30,61,33,32,31,35,32,34,31,33,1
31,33,62,31,61,54,39,33,53,37,32,63,51,61,57,36,55,35,31,61,33,36,32,39,33,39,31,37,2
25,29,65,27,64,66,27,21,65,25,27,67,63,63,69,24,67,23,26,65,29,24,27,27,29,27,27,25,2
29,31,61,31,60,54,37,33,53,37,30,63,51,59,57,35,55,35,30,61,33,36,31,39,32,38,31,37,1
31,33,62,31,61,60,34,30,59,32,32,63,58,61,62,32,60,31,31,61,33,32,32,34,33,34,31,32,2
28,34,59,32,58,76,19,17,75,17,31,62,75,56,77,18,75,17,30,60,34,18,31,19,34,19,32,17,2
31,32,62,31,61,54,39,36,53,38,32,63,52,61,56,38,54,37,31,61,33,38,32,40,33,40,31,38,2
26,30,64,28,63,61,33,29,60,31,28,66,59,62,63,31,61,30,27,64,30,31,28,33,30,33,28,31,2
26,30,64,28,63,62,31,25,61,29,28,66,59,62,65,28,63,27,27,64,30,28,28,31,30,31,28,29,1
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
26,30,64,28,63,67,26,20,66,24,28,66,64,62,70,23,68,22,27,64,30,23,28,26,30,26,28,24,2
28,30,65,28,64,56,36,28,55,34,29,66,52,64,60,32,58,31,28,64,30,32,29,36,30,36,28,34,2
25,29,65,27,64,71,22,16,70,20,27,67,68,63,74,19,72,18,26,65,29,19,27,22,29,22,27,20,2
22,26,68,24,67,67,26,20,66,24,24,70,64,66,70,23,68,22,23,68,26,23,24,26,26,26,24,24,1
29,31,61,31,60,53,38,34,52,38,30,63,50,59,56,36,54,36,30,61,33,37,31,40,32,39,31,38,2
28,30,65,28,64,54,40,36,53,38,29,66,52,64,56,38,54,37,28,64,30,38,29,40,30,40,28,38,2
29,31,61,31,60,48,43,39,47,43,30,63,45,59,51,41,49,41,30,61,33,42,31,45,32,44,31,43,1
30,36,57,34,56,66,27,21,65,25,33,60,63,54,69,24,67,23,32,58,36,24,33,27,36,27,34,25,1
27,33,57,33,56,75,17,15,74,17,30,61,73,53,77,16,75,16,30,59,35,17,31,19,34,18,33,17,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
29,31,61,31,60,52,39,35,51,39,30,63,49,59,55,37,53,37,30,61,33,38,31,41,32,40,31,39,1
29,31,61,31,60,63,28,24,62,28,30,63,60,59,66,26,64,26,30,61,33,27,31,30,32,29,31,28,1
26,30,64,28,63,54,38,30,53,36,28,66,50,62,58,34,56,33,27,64,30,34,28,38,30,38,28,36,2
29,31,61,31,60,57,34,30,56,34,30,63,54,59,60,32,58,32,30,61,33,33,31,36,32,35,31,34,1
31,33,62,31,61,53,40,34,52,38,32,63,50,61,56,37,54,36,31,61,33,37,32,40,33,40,31,38,2
41,45,46,45,45,64,27,23,63,27,43,49,61,43,67,25,65,25,43,47,47,26,44,29,46,28,45,27,2
31,37,56,35,55,66,28,24,65,26,34,59,64,53,68,26,66,25,33,57,37,26,34,28,37,28,35,26,2
31,33,62,31,61,56,36,28,55,34,32,63,52,61,60,32,58,31,31,61,33,32,32,36,33,36,31,34,2
31,33,62,31,61,53,41,37,52,39,32,63,51,61,55,39,53,38,31,61,33,39,32,41,33,41,31,39,2
29,37,55,35,54,68,26,22,67,24,33,59,66,51,70,24,68,23,32,57,37,24,33,26,37,26,35,24,2
28,30,65,28,64,62,30,22,61,28,29,66,58,64,66,26,64,25,28,64,30,26,29,30,30,30,28,28,2
28,30,62,30,61,60,31,27,59,31,29,64,57,60,63,29,61,29,29,62,32,30,30,33,31,32,30,31,1
31,33,62,31,61,56,38,34,55,36,32,63,54,61,58,36,56,35,31,61,33,36,32,38,33,38,31,36,2
26,30,64,28,63,68,26,22,67,24,28,66,66,62,70,24,68,23,27,64,30,24,28,26,30,26,28,24,2
28,30,65,28,64,57,35,27,56,33,29,66,53,64,61,31,59,30,28,64,30,31,29,35,30,35,28,33,2
31,33,62,31,61,56,38,34,55,36,32,63,54,61,58,36,56,35,31,61,33,36,32,38,33,38,31,36,2
23,27,64,27,63,61,30,26,60,30,25,67,58,61,64,28,62,28,25,65,29,29,26,32,28,31,27,30,2
28,30,65,28,64,49,44,38,48,42,29,66,46,64,52,41,50,40,28,64,30,41,29,44,30,44,28,42,2
26,30,64,28,63,57,35,27,56,33,28,66,53,62,61,31,59,30,27,64,30,31,28,35,30,35,28,33,2
28,30,65,28,64,56,36,28,55,34,29,66,52,64,60,32,58,31,28,64,30,32,29,36,30,36,28,34,1
32,33,58,34,57,48,42,39,47,43,33,60,45,56,51,41,49,41,33,58,36,42,34,45,35,44,34,43,1
22,26,68,24,67,74,20,16,73,18,24,70,72,66,76,18,74,17,23,68,26,18,24,20,26,20,24,18,2
29,31,61,31,60,51,40,36,50,40,30,63,48,59,54,38,52,38,30,61,33,39,31,42,32,41,31,40,1
29,31,61,31,60,46,45,41,45,45,30,63,43,59,49,43,47,43,30,61,33,44,31,47,32,46,31,45,1
