@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {2,1}

@data
73,79,17,11,14,82,76,20,75,19,13,81,13,19,14,20,2
60,62,32,30,32,64,62,34,61,33,31,63,31,33,32,34,2
90,90,2,2,4,92,92,4,91,3,3,91,3,3,4,4,1
70,69,22,23,25,71,72,24,71,23,24,70,24,23,25,24,1
69,66,23,22,26,70,71,25,70,24,25,69,25,24,26,25,1
64,68,26,24,26,70,67,29,66,28,25,69,25,28,26,29,2
55,57,37,31,35,61,57,39,56,38,34,60,34,38,35,39,2
68,68,24,24,26,70,70,26,69,25,25,69,25,25,26,26,1
66,70,22,22,24,72,70,26,69,25,23,71,23,25,24,26,2
71,76,21,12,16,80,73,23,72,22,15,79,15,22,16,23,1
83,79,9,11,14,82,85,11,84,9,12,81,13,10,14,11,1
84,81,8,9,12,84,86,10,85,9,11,83,11,9,12,10,2
55,55,37,35,38,58,57,39,56,38,37,57,37,38,38,39,2
65,68,27,24,26,70,67,29,66,28,25,69,25,28,26,29,1
62,62,28,30,32,64,65,31,64,30,31,63,31,30,32,31,1
65,73,25,15,18,77,68,27,67,27,18,76,18,27,19,28,2
57,51,23,37,40,55,65,30,64,28,38,54,40,30,41,31,1
65,59,27,33,35,61,67,29,66,28,34,60,34,28,35,29,1
93,88,1,2,5,91,94,2,93,1,4,90,4,1,5,2,2
56,69,36,19,23,73,58,38,57,37,22,72,22,37,23,38,2
71,62,21,30,32,64,73,23,72,22,31,63,31,22,32,23,2
63,59,29,31,33,62,65,30,64,30,33,61,33,30,34,31,1
56,62,32,24,29,67,60,36,59,35,28,66,28,35,29,36,2
65,70,25,20,23,73,68,28,67,27,22,72,22,27,23,28,2
62,62,28,30,32,64,65,31,64,30,31,63,31,30,32,31,1
79,72,11,16,20,76,82,14,81,13,19,75,19,13,20,14,1
71,73,19,13,18,78,74,22,73,21,17,77,17,21,18,22,2
69,72,19,12,17,78,73,22,72,21,16,77,17,22,18,23,2
59,63,25,9,19,75,65,29,64,28,18,74,20,30,21,31,2
53,54,37,36,39,57,56,40,55,39,38,56,38,39,39,40,2
80,75,10,15,18,78,83,13,82,12,17,77,17,12,18,13,2
93,87,1,3,6,90,94,2,93,1,5,89,5,1,6,2,1
68,65,24,27,29,67,70,26,69,25,28,66,28,25,29,26,1
67,60,25,32,34,62,69,27,68,26,33,61,33,26,34,27,1
68,68,24,22,25,71,70,26,69,25,24,70,24,25,25,26,1
93,88,1,2,5,91,94,2,93,1,4,90,4,1,5,2,2
62,62,24,28,31,65,67,29,66,28,30,64,30,28,31,29,1
60,66,32,24,27,69,62,34,61,33,26,68,26,33,27,34,2
72,71,20,17,21,75,74,22,73,21,20,74,20,21,21,22,1
64,56,28,36,38,58,66,30,65,29,37,57,37,29,38,30,1
61,65,27,25,28,68,65,31,64,30,27,67,27,30,28,31,2
56,63,36,27,30,66,58,38,57,37,29,65,29,37,30,38,2
62,62,30,30,32,64,64,32,63,31,31,63,31,31,32,32,2
55,65,37,25,28,68,57,39,56,38,27,67,27,38,28,39,2
66,61,26,29,32,64,68,28,67,27,31,63,31,27,32,28,1
66,63,22,29,30,65,70,25,69,25,30,64,30,25,31,26,1
72,65,18,27,29,67,75,21,74,20,28,66,28,20,29,21,2
67,67,21,19,23,72,71,24,70,24,23,71,23,24,24,25,2
78,71,14,19,22,74,80,16,79,15,21,73,21,15,22,16,2
64,65,24,25,28,68,68,28,67,27,27,67,27,27,28,28,2
62,66,28,26,28,68,65,31,64,30,27,67,27,30,28,31,2
66,58,26,34,36,60,68,28,67,27,35,59,35,27,36,28,1
70,59,22,33,35,61,72,24,71,23,34,60,34,23,35,24,1
56,64,36,26,29,67,58,38,57,37,28,66,28,37,29,38,2
68,72,18,18,21,75,73,23,72,22,20,74,20,22,21,23,1
67,61,25,31,33,63,69,27,68,26,32,62,32,26,33,27,1
67,58,21,32,34,61,71,24,70,24,34,60,34,24,35,25,1
65,59,25,33,35,61,68,28,67,27,34,60,34,27,35,28,1
63,59,29,33,35,61,65,31,64,30,34,60,34,30,35,31,1
56,55,30,31,36,60,61,35,60,34,35,59,35,34,36,35,2
71,88,15,2,5,91,76,20,75,19,4,90,4,19,5,20,1
66,64,26,28,30,66,68,28,67,27,29,65,29,27,30,28,2
85,87,7,3,6,90,87,9,86,8,5,89,5,8,6,9,1
59,71,27,21,23,73,64,32,63,31,22,72,22,31,23,32,1
71,84,19,6,8,87,74,21,73,20,7,86,8,21,9,22,1
62,59,30,33,35,61,64,32,63,31,34,60,34,31,35,32,1
63,61,29,31,33,63,65,31,64,30,32,62,32,30,33,31,1
66,59,26,31,34,62,68,28,67,27,33,61,33,27,34,28,1
66,58,26,34,36,60,68,28,67,27,35,59,35,27,36,28,1
52,68,36,24,26,70,56,40,55,39,25,69,25,39,26,40,2
69,61,21,21,28,68,72,24,71,23,27,67,27,23,28,24,2
62,60,28,32,33,62,65,30,64,30,33,61,33,30,34,31,1
86,75,4,13,16,79,89,6,88,6,16,78,16,6,17,7,2
60,74,32,18,20,76,62,34,61,33,19,75,19,33,20,34,2
