@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atLee numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute destClass {2,1}

@data
94,28,17,91,62,71,1,3,93,20,75,65,30,95,1,21,31,64,30,20,74,2,92,3,75,2,74,0,94,0,65,1,2,30,3,31,20,30,21,1,2,0,64,0,20,0,3,1,2
94,42,34,81,50,58,9,12,84,36,60,52,44,95,1,36,44,51,43,35,59,11,83,12,60,11,59,0,94,0,52,1,11,43,12,44,35,43,36,1,11,0,51,0,35,0,12,1,2
94,22,10,91,68,78,1,2,93,14,81,71,25,95,1,14,25,70,24,13,80,1,92,3,82,2,81,0,94,0,71,1,2,24,3,25,13,24,14,1,2,0,70,0,13,0,3,1,1
79,27,36,84,63,56,10,11,85,38,58,66,30,81,15,38,30,65,29,37,57,10,84,11,58,10,57,13,80,14,66,15,10,29,11,30,37,29,38,15,10,14,65,14,37,14,11,15,1
81,30,44,90,62,48,2,4,92,46,50,64,32,83,13,46,32,63,31,45,48,2,91,4,50,3,49,11,82,12,64,13,3,31,4,32,45,31,46,13,3,12,63,12,45,12,4,13,1
94,49,26,78,43,66,14,16,80,28,68,45,51,95,1,28,51,44,50,27,67,15,79,16,68,15,67,0,94,0,45,1,15,50,16,51,27,50,28,1,15,0,44,0,27,0,16,1,2
88,37,40,89,55,50,3,5,91,43,53,56,39,90,5,43,39,56,38,42,52,4,90,5,53,4,52,4,89,5,57,6,4,38,5,39,42,38,43,6,4,5,56,5,42,5,5,6,2
78,28,35,84,64,57,10,11,85,37,59,66,30,80,16,37,30,65,29,36,58,10,84,11,59,10,58,14,79,15,66,16,10,29,11,30,36,29,37,16,10,15,65,15,36,15,11,16,1
94,47,26,78,43,66,14,16,80,27,68,46,49,95,1,28,50,45,49,27,67,15,79,16,68,15,67,0,94,0,46,1,15,49,16,50,27,49,28,1,15,0,45,0,27,0,16,1,2
81,23,23,88,69,61,2,3,91,29,65,71,25,83,13,29,25,70,24,28,64,2,90,5,67,4,66,11,82,12,71,13,4,24,5,25,28,24,29,13,4,12,70,12,28,12,5,13,1
90,24,25,91,66,65,1,3,93,27,68,69,26,92,4,28,27,68,25,26,66,1,92,3,68,1,67,2,91,3,69,4,2,26,3,27,27,25,28,4,2,3,68,3,27,3,3,4,1
94,27,11,88,63,79,2,3,91,13,80,66,29,95,1,14,29,65,28,12,80,3,90,4,82,3,81,0,94,0,66,1,4,29,5,30,13,28,14,1,4,0,65,0,13,0,5,1,2
87,37,39,91,55,53,1,3,93,41,55,56,39,90,5,41,39,56,38,40,54,2,92,3,55,2,54,3,89,5,57,6,2,38,3,39,40,38,41,6,2,5,56,5,40,5,3,6,2
84,34,31,81,58,61,13,14,82,33,63,60,36,86,10,33,36,59,35,32,62,13,81,14,63,13,62,8,85,9,60,10,13,35,14,36,32,35,33,10,13,9,59,9,32,9,14,10,1
83,35,39,87,57,53,5,7,89,41,55,58,37,86,9,41,37,58,36,40,54,6,88,7,55,6,54,7,85,9,59,10,6,36,7,37,40,36,41,10,6,9,58,9,40,9,7,10,1
91,37,27,89,55,61,1,3,92,30,64,57,38,93,3,31,38,56,38,30,64,3,91,3,65,3,64,1,92,2,57,3,3,38,4,39,30,38,31,3,3,2,56,2,30,2,4,3,2
85,39,37,94,43,49,0,0,95,39,53,47,43,89,4,42,46,49,43,39,53,0,94,1,54,0,53,3,88,6,50,7,0,45,1,46,41,45,42,7,0,6,49,6,41,6,1,7,1
78,33,43,93,59,49,1,2,94,45,51,61,35,80,16,45,35,60,34,44,50,1,93,2,51,1,50,14,79,15,61,16,1,34,2,35,44,34,45,16,1,15,60,15,44,15,2,16,1
94,17,4,89,71,86,1,3,92,7,88,75,21,95,1,7,21,74,20,6,86,1,91,4,89,3,88,0,94,0,75,1,3,20,4,21,6,20,7,1,3,0,74,0,6,0,4,1,2
90,42,31,80,50,55,10,13,83,34,60,51,42,92,3,35,44,51,43,35,59,12,82,13,60,12,59,2,91,3,52,3,12,43,13,44,35,43,36,4,12,3,51,3,35,3,13,4,2
81,23,30,94,69,62,0,1,95,32,64,70,25,83,12,32,25,70,24,31,63,0,94,1,64,0,63,11,82,12,71,13,0,24,1,25,31,24,32,13,0,12,70,12,31,12,1,13,2
79,34,42,93,58,50,1,2,94,42,52,60,34,84,12,44,36,59,35,43,51,1,93,2,52,1,51,7,83,11,60,12,1,35,2,36,43,35,44,12,1,11,59,11,43,11,2,12,1
94,41,34,86,51,54,6,8,88,38,58,52,43,95,0,38,43,52,42,37,57,7,87,8,58,7,57,0,94,0,53,1,7,42,8,43,37,42,38,1,7,0,52,0,37,0,8,1,2
94,36,26,82,54,64,10,11,84,29,66,57,39,95,1,29,39,56,38,28,66,11,83,12,67,11,66,0,94,0,57,1,11,38,12,39,28,38,29,1,11,0,56,0,28,0,12,1,2
81,33,40,91,59,52,1,3,93,41,54,61,34,85,11,42,35,60,34,41,53,2,92,3,54,2,53,7,84,10,61,11,2,34,3,35,41,34,42,11,2,10,60,10,41,10,3,11,1
86,23,26,84,63,60,8,9,86,31,64,67,28,88,7,31,28,67,26,29,64,9,85,10,65,9,64,6,87,7,68,8,9,27,10,28,30,27,31,8,9,7,67,7,30,7,10,8,1
94,31,21,90,55,65,2,3,92,26,69,60,36,95,1,26,36,59,34,24,68,2,91,4,70,3,69,0,94,0,60,1,3,35,4,36,25,35,26,1,3,0,59,0,25,0,4,1,2
84,32,25,85,54,59,1,4,90,28,63,59,34,87,9,31,35,57,34,28,61,2,89,4,65,3,64,6,86,7,59,9,4,36,6,37,29,34,31,9,5,8,58,7,30,7,6,9,2
93,33,12,72,51,60,2,6,83,22,65,57,37,94,2,24,38,56,35,20,64,5,82,12,72,10,71,1,93,1,57,2,12,38,13,39,23,36,24,2,12,1,56,1,23,1,13,2,2
92,38,40,89,52,50,3,5,91,43,53,53,41,94,0,43,41,54,40,42,52,4,90,5,53,4,52,0,93,1,55,2,4,40,5,41,42,40,43,2,4,1,54,1,42,1,5,2,2
94,45,20,92,47,72,0,2,94,22,74,49,47,95,1,22,47,48,46,21,73,1,93,2,74,1,73,0,94,0,49,1,1,46,2,47,21,46,22,1,1,0,48,0,21,0,2,1,2
93,24,8,89,64,78,1,3,92,12,82,68,27,94,2,13,27,67,26,11,80,1,91,3,83,2,82,1,93,1,68,2,3,27,4,28,12,26,13,2,3,1,67,1,12,1,4,2,1
83,32,35,85,58,57,7,9,87,37,59,61,35,85,11,37,35,60,34,36,58,8,86,9,59,8,58,9,84,10,61,11,8,34,9,35,36,34,37,11,8,10,60,10,36,10,9,11,1
79,31,42,93,61,50,1,2,94,44,52,63,33,81,15,44,33,62,32,43,51,1,93,2,52,1,51,13,80,14,63,15,1,32,2,33,43,32,44,15,1,14,62,14,43,14,2,15,1
75,27,38,87,63,50,5,7,89,42,54,66,30,78,18,42,30,65,29,41,53,6,88,7,54,6,53,15,77,17,66,18,6,29,7,30,41,29,42,18,6,17,65,17,41,17,7,18,1
94,29,14,89,59,78,1,3,92,16,79,63,33,95,1,16,33,62,32,15,79,3,91,4,80,3,79,0,94,0,63,1,3,32,4,33,15,32,16,1,3,0,62,0,15,0,4,1,2
87,34,37,94,52,51,0,1,95,41,55,57,39,89,7,41,39,56,38,40,54,0,94,1,55,0,54,5,88,6,57,7,0,38,1,39,40,38,41,7,0,6,56,6,40,6,1,7,1
85,39,36,83,53,54,9,11,85,39,57,55,41,87,9,39,41,54,40,38,56,10,84,11,57,10,56,7,86,8,55,9,10,40,11,41,38,40,39,9,10,8,54,8,38,8,11,9,2
76,21,48,93,71,40,1,2,94,52,44,73,23,78,18,52,23,71,22,51,43,1,93,2,44,1,43,16,77,16,73,18,1,22,2,23,51,22,52,18,1,17,72,17,51,17,2,18,1
79,35,43,93,57,49,1,2,94,45,51,59,37,81,15,45,37,58,36,44,50,1,93,2,51,1,50,13,80,14,59,15,1,36,2,37,44,36,45,15,1,14,58,14,44,14,2,15,1
93,37,28,79,53,60,13,14,81,32,63,56,40,94,2,32,40,55,39,31,63,14,80,15,64,14,63,1,93,1,56,2,14,39,15,40,31,39,32,2,14,1,55,1,31,1,15,2,2
83,38,52,93,54,40,1,2,94,53,42,56,39,85,11,54,40,55,39,53,41,1,93,2,42,1,41,9,84,10,56,11,1,39,2,40,53,39,54,11,1,10,55,10,53,10,2,11,2
89,35,36,89,57,56,5,6,90,38,58,59,37,91,5,38,37,58,36,37,57,5,89,6,58,5,57,3,90,4,59,5,5,36,6,37,37,36,38,5,5,4,58,4,37,4,6,5,2
90,43,30,77,49,60,11,15,81,32,63,51,44,92,4,33,45,50,44,32,62,14,80,15,63,14,62,2,91,3,51,4,14,44,15,45,32,44,33,4,14,3,50,3,32,3,15,4,2
