@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute destClass {0,1}

@data
18,64,63,23,71,23,26,68,28,25,70,24,27,67,27,24,0
36,54,50,38,57,39,42,54,42,39,56,38,41,53,41,38,0
28,60,59,33,64,31,34,61,35,32,63,31,34,60,34,31,0
33,59,53,37,61,35,40,56,40,35,60,34,39,55,39,34,0
30,60,47,33,63,33,41,55,41,33,62,32,40,54,40,32,0
16,60,61,21,70,25,27,68,28,26,69,23,25,67,27,25,0
42,50,56,38,52,44,39,57,39,44,51,43,38,56,38,43,0
23,63,61,29,68,28,32,64,32,28,67,27,31,63,31,27,0
24,60,60,26,66,30,31,65,31,30,65,29,30,64,30,29,0
26,64,56,28,67,29,34,62,34,29,66,28,33,61,33,28,0
39,53,62,28,55,41,31,65,31,41,54,40,30,64,30,40,0
32,54,52,38,59,37,41,55,41,37,58,35,39,54,40,36,0
19,59,60,20,68,26,26,68,28,28,67,26,26,67,27,27,0
46,40,66,28,45,51,29,67,29,51,44,50,28,66,28,50,1
29,57,63,29,62,33,30,65,31,34,61,33,30,64,30,33,1
40,44,67,27,50,46,28,68,28,46,49,45,27,67,27,45,1
34,52,58,30,57,39,34,62,34,39,56,38,33,61,33,38,0
29,61,62,30,64,32,32,64,32,32,63,31,31,63,31,31,0
38,44,66,28,51,45,29,67,29,45,50,44,28,66,28,44,1
31,61,57,35,63,33,37,59,37,33,62,32,36,58,36,32,0
30,62,51,33,64,31,38,57,39,32,63,31,38,56,38,31,0
35,57,46,38,59,37,44,52,44,37,58,36,43,51,43,36,0
27,65,54,32,67,29,37,59,37,29,66,28,36,58,36,28,0
39,53,66,28,55,41,29,67,29,41,54,40,28,66,28,40,1
35,57,59,29,59,37,33,63,33,37,58,36,32,62,32,36,1
31,59,57,37,62,34,38,58,38,34,61,33,37,57,37,33,1
49,45,54,40,46,50,41,55,41,50,45,49,40,54,40,49,1
34,56,55,33,59,37,37,59,37,37,58,36,36,58,36,36,1
23,65,59,31,69,27,34,62,34,27,68,26,33,61,33,26,1
29,57,67,21,62,34,25,71,25,34,61,33,24,70,24,33,1
30,62,53,35,64,32,39,57,39,32,63,31,38,56,38,31,1
26,64,58,36,67,29,37,59,37,29,66,28,36,58,36,28,1
41,45,60,32,50,45,33,62,34,46,49,44,32,61,33,45,1
32,60,67,23,62,34,26,70,26,34,61,33,25,69,25,33,1
28,62,53,29,65,30,35,60,36,31,64,30,35,59,35,30,1
39,53,48,46,55,41,47,49,47,41,54,40,46,48,46,40,1
35,51,62,32,56,40,33,63,33,40,55,39,32,62,32,39,1
36,56,66,28,58,38,29,67,29,38,57,37,28,66,28,37,0
25,61,52,42,66,30,43,53,43,30,65,29,42,52,42,29,1
34,58,58,32,60,36,35,61,35,36,59,35,34,60,34,35,0
32,54,59,33,59,37,35,61,35,37,58,36,34,60,34,36,1
27,57,67,21,63,33,25,71,25,33,62,32,24,70,24,32,1
25,61,57,36,66,30,37,58,37,30,65,29,37,58,37,29,1
30,60,66,24,63,32,26,69,27,33,62,32,26,68,26,32,1
35,51,66,26,56,40,28,68,28,40,55,39,27,67,27,39,1
37,53,53,37,56,40,40,56,40,40,55,39,39,55,39,39,1
15,65,56,20,73,21,28,66,30,23,72,22,29,65,29,22,1
31,57,66,26,61,35,28,68,28,35,60,33,26,67,27,34,0
33,53,57,37,58,38,38,58,38,38,57,37,37,57,37,37,0
30,60,54,24,63,32,32,63,33,33,62,32,32,62,32,32,1
28,56,60,24,62,34,30,66,30,34,61,33,29,65,29,33,1
37,55,51,39,57,39,42,54,42,39,56,38,41,53,41,38,1
31,61,61,29,63,33,32,64,32,33,62,32,31,63,31,32,1
34,58,55,33,60,36,37,59,37,36,59,35,36,58,36,35,1
37,49,63,25,54,42,29,67,29,42,53,41,28,66,28,41,1
20,62,62,26,69,27,30,66,30,27,68,26,29,65,29,26,1
33,59,49,37,61,34,41,54,42,35,60,34,41,53,41,34,1
35,57,66,28,59,37,29,67,29,37,58,36,28,66,28,36,1
9,73,74,8,80,16,15,81,15,16,79,15,14,80,14,15,1
32,58,50,38,61,35,42,54,42,35,60,34,41,53,41,34,1
29,63,64,30,65,31,31,65,31,31,64,30,30,64,30,30,1
24,56,71,19,64,31,21,74,22,32,63,31,21,73,21,31,1
38,52,55,37,55,41,39,57,39,41,54,40,38,56,38,40,1
40,50,53,39,53,43,41,55,41,43,52,42,40,54,40,42,1
34,56,54,38,59,37,40,56,40,37,58,36,39,55,39,36,1
32,58,61,31,61,35,33,63,33,35,60,34,32,62,32,34,1
19,55,59,17,66,30,27,69,27,30,65,29,26,68,26,29,0
29,61,56,34,64,32,37,59,37,32,63,31,36,58,36,31,0
22,66,62,26,70,25,29,66,30,26,69,25,29,65,29,25,0
30,58,48,36,62,34,42,54,42,34,61,33,41,53,41,33,0
28,58,52,26,63,32,34,61,35,33,62,31,33,60,34,32,1
34,56,56,38,59,37,39,57,39,37,58,36,38,56,38,36,1
34,56,49,35,59,36,40,55,41,37,58,36,40,54,40,36,0
43,51,47,43,52,44,46,50,46,44,51,43,45,49,45,43,0
31,61,55,39,63,33,40,56,40,33,62,32,39,55,39,32,0
35,55,57,37,58,38,38,58,38,38,57,37,37,57,37,37,1
26,60,54,34,65,31,38,58,38,31,64,30,37,57,37,30,0
28,60,54,28,64,32,35,61,35,32,63,31,34,60,34,31,0
41,45,60,32,50,46,34,62,34,46,49,45,33,61,33,45,0
28,64,56,32,66,30,36,60,36,30,65,29,35,59,35,29,0
38,54,55,37,56,39,38,57,39,40,55,39,38,56,38,39,0
9,71,60,16,79,16,25,70,26,17,78,16,25,69,25,16,0
36,54,58,30,57,39,34,62,34,39,56,38,33,61,33,38,0
36,50,60,34,55,41,35,61,35,41,54,40,34,60,34,40,1
38,54,51,31,56,40,38,58,38,40,55,39,37,57,37,39,0
27,59,58,34,64,32,36,60,36,32,63,31,35,59,35,31,0
43,49,52,42,51,45,43,53,43,45,50,44,42,52,42,44,0
31,59,54,34,62,32,36,58,38,34,61,33,37,57,37,33,0
23,61,68,21,67,29,24,71,24,29,66,28,24,71,24,28,0
19,61,61,7,69,26,20,75,21,27,68,25,19,74,20,26,0
32,58,57,29,61,34,33,62,34,35,60,34,33,61,33,34,0
19,70,53,26,73,22,34,61,34,22,73,22,34,61,34,22,0
38,46,55,31,52,43,35,60,36,44,51,43,35,59,35,43,0
27,61,58,30,65,30,33,62,34,31,64,30,33,61,33,30,0
53,41,59,35,42,54,36,60,36,54,41,53,35,59,35,53,0
50,38,58,36,42,54,37,59,37,54,41,53,36,58,36,53,0
37,51,60,34,55,41,35,61,35,41,54,40,34,60,34,40,1
32,60,54,36,62,34,39,57,39,34,61,33,38,56,38,33,1
34,56,52,30,59,37,37,59,37,37,58,36,36,58,36,36,0
47,43,58,36,46,50,37,59,37,50,45,49,36,58,36,49,0
35,57,53,41,59,37,42,54,42,37,58,36,41,53,41,36,1
41,49,51,41,52,44,43,53,43,44,51,43,42,52,42,43,0
37,51,58,34,55,41,36,60,36,41,54,40,35,59,35,40,0
30,60,53,29,63,33,36,60,36,33,62,32,35,59,35,32,1
31,53,54,38,59,37,40,56,40,37,58,36,39,55,39,36,0
34,58,58,34,60,36,36,60,36,36,59,35,35,59,35,35,0
32,58,62,26,61,35,30,66,30,35,60,34,29,65,29,34,0
18,62,66,20,70,24,23,71,25,26,69,25,24,70,24,25,0
33,51,54,40,57,39,41,55,41,39,56,38,40,54,40,38,0
29,63,38,46,65,30,51,44,52,31,64,30,51,43,51,30,0
40,52,55,37,54,42,39,57,39,42,53,41,38,56,38,41,0
28,62,54,36,65,31,39,57,39,31,64,30,38,56,38,30,0
18,64,60,26,71,24,30,65,31,25,70,24,30,64,30,24,0
